metadata.title,0,10
metadata.author,11,22
chapter.title,26,50,1
chapter.text,50,24590,1
quote.nonquote,50,7358
chapter.paragraph,52,673,1
chapter.sentence,52,272,1
chapter.sentence,273,353,2
chapter.sentence,354,466,3
chapter.sentence,467,672,4
chapter.paragraph,675,1576,2
chapter.sentence,675,907,5
chapter.sentence,908,1017,6
chapter.sentence,1018,1259,7
chapter.sentence,1260,1405,8
chapter.sentence,1406,1575,9
chapter.paragraph,1578,2655,3
chapter.sentence,1578,1757,10
chapter.sentence,1758,1826,11
chapter.sentence,1827,2245,12
chapter.sentence,2246,2477,13
chapter.sentence,2478,2654,14
chapter.paragraph,2657,3128,4
chapter.sentence,2657,2774,15
chapter.sentence,2775,3127,16
chapter.paragraph,3130,4097,5
chapter.sentence,3130,3184,17
chapter.sentence,3185,3884,18
chapter.sentence,3885,4096,19
chapter.paragraph,4099,5032,6
chapter.sentence,4099,4182,20
chapter.sentence,4183,4471,21
chapter.sentence,4472,4680,22
chapter.sentence,4681,5031,23
chapter.paragraph,5034,5809,7
chapter.sentence,5034,5199,24
chapter.sentence,5200,5616,25
chapter.sentence,5617,5808,26
chapter.paragraph,5811,6466,8
chapter.sentence,5811,5883,27
chapter.sentence,5884,6465,28
chapter.paragraph,6468,7429,9
chapter.sentence,6468,6929,29
chapter.sentence,6930,7171,30
chapter.sentence,7172,7394,31
quote.quote,7358,7431
chapter.sentence,7395,7428,32
quote.nonquote,7431,12629
chapter.paragraph,7431,7838,10
chapter.sentence,7431,7470,33
chapter.sentence,7471,7689,34
chapter.sentence,7690,7837,35
chapter.paragraph,7840,8406,11
chapter.sentence,7840,7923,36
chapter.sentence,7924,8057,37
chapter.sentence,8058,8405,38
chapter.paragraph,8408,8857,12
chapter.sentence,8408,8558,39
chapter.sentence,8559,8856,40
chapter.paragraph,8859,10705,13
chapter.sentence,8859,9131,41
chapter.sentence,9132,9250,42
chapter.sentence,9251,9491,43
chapter.sentence,9492,9811,44
chapter.sentence,9812,10061,45
chapter.sentence,10062,10346,46
chapter.sentence,10347,10704,47
chapter.paragraph,10707,12879,14
chapter.sentence,10707,11042,48
chapter.sentence,11043,11691,49
chapter.sentence,11692,11813,50
chapter.sentence,11814,12694,51
quote.quote,12629,12881
chapter.sentence,12695,12878,52
quote.quote,12881,13039
chapter.paragraph,12881,13037,15
chapter.sentence,12881,13036,53
quote.quote,13039,13127
chapter.paragraph,13039,13125,16
chapter.sentence,13039,13124,54
quote.quote,13127,13153
chapter.paragraph,13127,13151,17
chapter.sentence,13127,13150,55
quote.quote,13153,13242
chapter.paragraph,13153,13240,18
chapter.sentence,13153,13185,56
chapter.sentence,13186,13239,57
quote.nonquote,13242,14020
chapter.paragraph,13242,13877,19
chapter.sentence,13242,13744,58
chapter.sentence,13745,13876,59
chapter.paragraph,13879,14768,20
chapter.sentence,13879,13968,60
chapter.sentence,13969,14113,61
quote.quote,14020,14241
chapter.sentence,14114,14205,62
chapter.sentence,14206,14267,63
quote.nonquote,14241,14365
chapter.sentence,14268,14364,64
chapter.sentence,14365,14414,65
quote.quote,14365,14376
quote.nonquote,14376,14387
quote.suspension.short,14376,14387
quote.quote,14387,14770
chapter.sentence,14415,14481,66
chapter.sentence,14482,14515,67
chapter.sentence,14516,14767,68
quote.quote,14770,14866
chapter.paragraph,14770,14864,21
chapter.sentence,14770,14863,69
quote.quote,14866,14982
chapter.paragraph,14866,14980,22
chapter.sentence,14866,14979,70
chapter.paragraph,14982,15023,23
chapter.sentence,14982,15022,71
quote.quote,14982,15012
quote.nonquote,15012,15025
quote.quote,15025,15217
chapter.paragraph,15025,15215,24
chapter.sentence,15025,15054,72
chapter.sentence,15055,15214,73
quote.quote,15217,15320
chapter.paragraph,15217,15318,25
chapter.sentence,15217,15317,74
quote.quote,15320,15357
chapter.paragraph,15320,15355,26
chapter.sentence,15320,15354,75
quote.quote,15357,15394
chapter.paragraph,15357,15392,27
chapter.sentence,15357,15391,76
chapter.paragraph,15394,15564,28
quote.nonquote,15394,15507
chapter.sentence,15394,15452,77
chapter.sentence,15453,15533,78
quote.quote,15507,15566
chapter.sentence,15534,15563,79
quote.quote,15566,15791
chapter.paragraph,15566,15789,29
chapter.sentence,15566,15572,80
chapter.sentence,15573,15622,81
chapter.sentence,15623,15743,82
chapter.sentence,15744,15769,83
chapter.sentence,15770,15788,84
quote.quote,15791,15943
chapter.paragraph,15791,15941,30
chapter.sentence,15791,15940,85
quote.quote,15943,16124
chapter.paragraph,15943,16122,31
chapter.sentence,15943,16031,86
chapter.sentence,16032,16121,87
chapter.paragraph,16124,16386,32
chapter.sentence,16124,16336,88
quote.quote,16124,16135
quote.nonquote,16135,16147
quote.suspension.short,16135,16147
quote.quote,16147,16388
chapter.sentence,16337,16385,89
quote.quote,16388,16537
chapter.paragraph,16388,16535,33
chapter.sentence,16388,16534,90
quote.nonquote,16537,16628
chapter.paragraph,16537,16626,34
chapter.sentence,16537,16625,91
chapter.paragraph,16628,16731,35
chapter.sentence,16628,16730,92
quote.quote,16628,16662
quote.nonquote,16662,16733
quote.quote,16733,16852
chapter.paragraph,16733,16850,36
chapter.sentence,16733,16779,93
chapter.sentence,16780,16849,94
chapter.paragraph,16852,17016,37
quote.quote,16852,16895
chapter.sentence,16852,16894,95
chapter.sentence,16895,17015,96
quote.nonquote,16895,16938
quote.quote,16938,17018
chapter.paragraph,17018,17260,38
chapter.sentence,17018,17043,97
quote.quote,17018,17025
quote.nonquote,17025,17044
quote.quote,17044,17262
chapter.sentence,17044,17124,98
chapter.sentence,17125,17259,99
quote.nonquote,17262,23619
chapter.paragraph,17262,18579,39
chapter.sentence,17262,17377,100
chapter.sentence,17378,17435,101
chapter.sentence,17436,17496,102
chapter.sentence,17497,17542,103
chapter.sentence,17543,17974,104
chapter.sentence,17975,18054,105
chapter.sentence,18055,18251,106
chapter.sentence,18252,18578,107
chapter.paragraph,18581,18638,40
chapter.sentence,18581,18599,108
chapter.sentence,18600,18637,109
chapter.paragraph,18640,18711,41
chapter.sentence,18640,18710,110
chapter.paragraph,18713,20207,42
chapter.sentence,18713,18916,111
chapter.sentence,18917,19054,112
chapter.sentence,19055,19218,113
chapter.sentence,19219,19526,114
chapter.sentence,19527,19670,115
chapter.sentence,19671,19878,116
chapter.sentence,19879,20078,117
chapter.sentence,20079,20206,118
chapter.paragraph,20209,22840,43
chapter.sentence,20209,20267,119
chapter.sentence,20268,20317,120
chapter.sentence,20318,20401,121
chapter.sentence,20402,20518,122
chapter.sentence,20519,20752,123
chapter.sentence,20753,20894,124
chapter.sentence,20895,21124,125
chapter.sentence,21125,21206,126
chapter.sentence,21207,21451,127
chapter.sentence,21452,21617,128
chapter.sentence,21618,21849,129
chapter.sentence,21850,22042,130
chapter.sentence,22043,22320,131
chapter.sentence,22321,22532,132
chapter.sentence,22533,22626,133
chapter.sentence,22627,22839,134
chapter.paragraph,22842,23617,44
chapter.sentence,22842,22896,135
chapter.sentence,22897,23061,136
chapter.sentence,23062,23358,137
chapter.sentence,23359,23494,138
chapter.sentence,23495,23616,139
chapter.paragraph,23619,23778,45
chapter.sentence,23619,23777,140
quote.quote,23619,23662
quote.nonquote,23662,23696
quote.suspension.long,23662,23696
quote.quote,23696,23780
chapter.paragraph,23780,23831,46
chapter.sentence,23780,23830,141
quote.quote,23780,23795
quote.nonquote,23795,23833
quote.quote,23833,23875
chapter.paragraph,23833,23873,47
chapter.sentence,23833,23872,142
quote.quote,23875,23884
chapter.paragraph,23875,23882,48
chapter.sentence,23875,23881,143
quote.quote,23884,23932
chapter.paragraph,23884,23930,49
chapter.sentence,23884,23929,144
quote.quote,23932,23953
chapter.paragraph,23932,23951,50
chapter.sentence,23932,23950,145
chapter.paragraph,23953,24590,51
quote.nonquote,23953,24590
chapter.sentence,23953,23977,146
chapter.sentence,23978,24039,147
chapter.sentence,24040,24344,148
chapter.sentence,24345,24589,149
chapter.title,24594,24645,2
chapter.text,24645,39270,2
quote.nonquote,24645,26364
chapter.paragraph,24647,26362,1
chapter.sentence,24647,24784,1
chapter.sentence,24785,25369,2
chapter.sentence,25370,25713,3
chapter.sentence,25714,25792,4
chapter.sentence,25793,25869,5
chapter.sentence,25870,25896,6
chapter.sentence,25897,26144,7
chapter.sentence,26145,26361,8
chapter.paragraph,26364,27017,2
chapter.sentence,26364,26812,9
quote.quote,26364,26399
quote.nonquote,26399,29001
chapter.sentence,26813,26906,10
chapter.sentence,26907,27016,11
chapter.paragraph,27019,27727,3
chapter.sentence,27019,27122,12
chapter.sentence,27123,27726,13
chapter.paragraph,27729,29090,4
chapter.sentence,27729,27806,14
chapter.sentence,27807,28167,15
chapter.sentence,28168,28407,16
chapter.sentence,28408,28929,17
chapter.sentence,28930,29089,18
quote.quote,29001,29092
chapter.paragraph,29092,29206,5
chapter.sentence,29092,29205,19
quote.quote,29092,29125
quote.nonquote,29125,29325
chapter.paragraph,29208,29323,6
chapter.sentence,29208,29322,20
chapter.paragraph,29325,30285,7
chapter.sentence,29325,29766,21
quote.quote,29325,29387
quote.nonquote,29387,29818
chapter.sentence,29767,29817,22
chapter.sentence,29818,30073,23
quote.quote,29818,29860
quote.nonquote,29860,29876
quote.suspension.short,29860,29876
quote.quote,29876,30287
chapter.sentence,30074,30284,24
quote.nonquote,30287,31966
chapter.paragraph,30287,31170,8
chapter.sentence,30287,30416,25
chapter.sentence,30417,30564,26
chapter.sentence,30565,30685,27
chapter.sentence,30686,31006,28
chapter.sentence,31007,31169,29
chapter.paragraph,31172,31964,9
chapter.sentence,31172,31357,30
chapter.sentence,31358,31407,31
chapter.sentence,31408,31591,32
chapter.sentence,31592,31695,33
chapter.sentence,31696,31963,34
chapter.paragraph,31966,32127,10
chapter.sentence,31966,32022,35
quote.quote,31966,31998
quote.nonquote,31998,32023
quote.quote,32023,32129
chapter.sentence,32023,32126,36
quote.quote,32129,32217
chapter.paragraph,32129,32215,11
chapter.sentence,32129,32214,37
chapter.paragraph,32217,32296,12
chapter.sentence,32217,32275,38
quote.quote,32217,32258
quote.nonquote,32258,32276
quote.quote,32276,32298
chapter.sentence,32276,32295,39
chapter.paragraph,32298,32380,13
chapter.sentence,32298,32336,40
quote.quote,32298,32311
quote.nonquote,32311,32337
quote.quote,32337,32382
chapter.sentence,32337,32379,41
quote.nonquote,32382,33245
chapter.paragraph,32382,33243,14
chapter.sentence,32382,32891,42
chapter.sentence,32892,33033,43
chapter.sentence,33034,33242,44
chapter.paragraph,33245,33379,15
chapter.sentence,33245,33305,45
quote.quote,33245,33261
quote.nonquote,33261,33306
quote.quote,33306,33381
chapter.sentence,33306,33336,46
chapter.sentence,33337,33378,47
quote.nonquote,33381,33461
chapter.paragraph,33381,33459,16
chapter.sentence,33381,33458,48
chapter.paragraph,33461,33559,17
chapter.sentence,33461,33558,49
quote.quote,33461,33503
quote.nonquote,33503,33526
quote.suspension.short,33503,33526
quote.quote,33526,33561
chapter.paragraph,33561,33588,18
chapter.sentence,33561,33587,50
quote.quote,33561,33570
quote.nonquote,33570,33725
chapter.paragraph,33590,33723,19
chapter.sentence,33590,33722,51
quote.quote,33725,33814
chapter.paragraph,33725,33812,20
chapter.sentence,33725,33772,52
chapter.sentence,33773,33811,53
quote.quote,33814,33894
chapter.paragraph,33814,33892,21
chapter.sentence,33814,33834,54
chapter.sentence,33835,33891,55
quote.quote,33894,33972
chapter.paragraph,33894,33970,22
chapter.sentence,33894,33969,56
quote.quote,33972,34013
chapter.paragraph,33972,34011,23
chapter.sentence,33972,34010,57
quote.quote,34013,34126
chapter.paragraph,34013,34124,24
chapter.sentence,34013,34123,58
chapter.paragraph,34126,34460,25
chapter.sentence,34126,34226,59
quote.quote,34126,34180
quote.nonquote,34180,34952
chapter.sentence,34227,34315,60
chapter.sentence,34316,34459,61
chapter.paragraph,34462,34950,26
chapter.sentence,34462,34656,62
chapter.sentence,34657,34804,63
chapter.sentence,34805,34865,64
chapter.sentence,34866,34909,65
chapter.sentence,34910,34949,66
chapter.paragraph,34952,35053,27
chapter.sentence,34952,34999,67
quote.quote,34952,34972
quote.nonquote,34972,35000
quote.quote,35000,35055
chapter.sentence,35000,35052,68
quote.nonquote,35055,35388
chapter.paragraph,35055,35386,28
chapter.sentence,35055,35278,69
chapter.sentence,35279,35385,70
quote.quote,35388,35409
chapter.paragraph,35388,35407,29
chapter.sentence,35388,35406,71
quote.quote,35409,35436
chapter.paragraph,35409,35434,30
chapter.sentence,35409,35433,72
quote.quote,35436,35464
chapter.paragraph,35436,35462,31
chapter.sentence,35436,35461,73
quote.quote,35464,35518
chapter.paragraph,35464,35516,32
chapter.sentence,35464,35515,74
quote.quote,35518,35660
chapter.paragraph,35518,35658,33
chapter.sentence,35518,35536,75
chapter.sentence,35537,35657,76
quote.quote,35660,35713
chapter.paragraph,35660,35711,34
chapter.sentence,35660,35710,77
quote.quote,35713,35813
chapter.paragraph,35713,35811,35
chapter.sentence,35713,35810,78
quote.quote,35813,35966
chapter.paragraph,35813,35964,36
chapter.sentence,35813,35874,79
chapter.sentence,35875,35963,80
quote.quote,35966,36042
chapter.paragraph,35966,36040,37
chapter.sentence,35966,35986,81
chapter.sentence,35987,36039,82
quote.quote,36042,36285
chapter.paragraph,36042,36283,38
chapter.sentence,36042,36282,83
quote.quote,36285,36718
chapter.paragraph,36285,36716,39
chapter.sentence,36285,36295,84
chapter.sentence,36296,36305,85
chapter.sentence,36306,36422,86
chapter.sentence,36423,36715,87
quote.quote,36718,36753
chapter.paragraph,36718,36751,40
chapter.sentence,36718,36750,88
quote.quote,36753,36952
chapter.paragraph,36753,36950,41
chapter.sentence,36753,36903,89
chapter.sentence,36904,36949,90
chapter.paragraph,36952,37218,42
quote.quote,36952,37069
chapter.sentence,36952,37061,91
chapter.sentence,37062,37217,92
quote.nonquote,37069,37090
quote.suspension.short,37069,37090
quote.quote,37090,37220
quote.nonquote,37220,39270
chapter.paragraph,37220,38018,43
chapter.sentence,37220,37586,93
chapter.sentence,37587,38017,94
chapter.paragraph,38020,39270,44
chapter.sentence,38020,38072,95
chapter.sentence,38073,38280,96
chapter.sentence,38281,38384,97
chapter.sentence,38385,38636,98
chapter.sentence,38637,38837,99
chapter.sentence,38838,38940,100
chapter.sentence,38941,39269,101
chapter.title,39274,39305,3
chapter.text,39305,62537,3
quote.nonquote,39305,41790
chapter.paragraph,39307,43192,1
chapter.sentence,39307,39657,1
chapter.sentence,39658,39798,2
chapter.sentence,39799,39941,3
chapter.sentence,39942,40110,4
chapter.sentence,40111,40238,5
chapter.sentence,40239,40355,6
chapter.sentence,40356,40582,7
chapter.sentence,40583,40678,8
chapter.sentence,40679,40731,9
chapter.sentence,40732,40793,10
chapter.sentence,40794,41000,11
chapter.sentence,41001,41127,12
chapter.sentence,41128,41293,13
chapter.sentence,41294,41549,14
chapter.sentence,41550,41816,15
quote.quote,41790,41817
chapter.sentence,41817,41949,16
quote.quote,41817,41827
quote.nonquote,41827,41837
quote.suspension.short,41827,41837
quote.quote,41837,42165
chapter.sentence,41950,42088,17
chapter.sentence,42089,42100,18
chapter.sentence,42101,42234,19
quote.nonquote,42165,43194
chapter.sentence,42235,42259,20
chapter.sentence,42260,42452,21
chapter.sentence,42453,42493,22
chapter.sentence,42494,42588,23
chapter.sentence,42589,42650,24
chapter.sentence,42651,42889,25
chapter.sentence,42890,43191,26
chapter.paragraph,43194,43257,2
chapter.sentence,43194,43256,27
quote.quote,43194,43238
quote.nonquote,43238,43259
quote.quote,43259,43437
chapter.paragraph,43259,43435,3
chapter.sentence,43259,43281,28
chapter.sentence,43282,43359,29
chapter.sentence,43360,43434,30
quote.quote,43437,43479
chapter.paragraph,43437,43477,4
chapter.sentence,43437,43476,31
quote.nonquote,43479,43585
chapter.paragraph,43479,43583,5
chapter.sentence,43479,43582,32
quote.quote,43585,43676
chapter.paragraph,43585,43674,6
chapter.sentence,43585,43635,33
chapter.sentence,43636,43673,34
chapter.paragraph,43676,43779,7
quote.quote,43676,43753
chapter.sentence,43676,43701,35
chapter.sentence,43702,43778,36
quote.nonquote,43753,43781
quote.quote,43781,43793
chapter.paragraph,43781,43791,8
chapter.sentence,43781,43790,37
quote.quote,43793,43873
chapter.paragraph,43793,43871,9
chapter.sentence,43793,43801,38
chapter.sentence,43802,43835,39
chapter.sentence,43836,43870,40
quote.quote,43873,43984
chapter.paragraph,43873,43982,10
chapter.sentence,43873,43981,41
quote.quote,43984,44266
chapter.paragraph,43984,44264,11
chapter.sentence,43984,44040,42
chapter.sentence,44041,44053,43
chapter.sentence,44054,44122,44
chapter.sentence,44123,44230,45
chapter.sentence,44231,44263,46
quote.nonquote,44266,44495
chapter.paragraph,44266,44493,12
chapter.sentence,44266,44404,47
chapter.sentence,44405,44492,48
chapter.paragraph,44495,44539,13
chapter.sentence,44495,44538,49
quote.quote,44495,44513
quote.nonquote,44513,44541
quote.quote,44541,44563
chapter.paragraph,44541,44561,14
chapter.sentence,44541,44560,50
quote.quote,44563,44573
chapter.paragraph,44563,44571,15
chapter.sentence,44563,44570,51
quote.quote,44573,44596
chapter.paragraph,44573,44594,16
chapter.sentence,44573,44593,52
quote.quote,44596,44614
chapter.paragraph,44596,44612,17
chapter.sentence,44596,44611,53
chapter.paragraph,44614,44729,18
chapter.sentence,44614,44728,54
quote.quote,44614,44629
quote.nonquote,44629,44731
quote.quote,44731,44803
chapter.paragraph,44731,44801,19
chapter.sentence,44731,44800,55
quote.quote,44803,44966
chapter.paragraph,44803,44964,20
chapter.sentence,44803,44832,56
chapter.sentence,44833,44963,57
quote.quote,44966,45037
chapter.paragraph,44966,45035,21
chapter.sentence,44966,45034,58
quote.nonquote,45037,54371
chapter.paragraph,45037,45216,22
chapter.sentence,45037,45215,59
chapter.paragraph,45218,45779,23
chapter.sentence,45218,45547,60
chapter.sentence,45548,45778,61
chapter.paragraph,45781,45844,24
chapter.sentence,45781,45843,62
chapter.paragraph,45846,46820,25
chapter.sentence,45846,46020,63
chapter.sentence,46021,46164,64
chapter.sentence,46165,46349,65
chapter.sentence,46350,46675,66
chapter.sentence,46676,46819,67
chapter.paragraph,46822,47993,26
chapter.sentence,46822,47125,68
chapter.sentence,47126,47643,69
chapter.sentence,47644,47760,70
chapter.sentence,47761,47858,71
chapter.sentence,47859,47992,72
chapter.paragraph,47995,49685,27
chapter.sentence,47995,48403,73
chapter.sentence,48404,48505,74
chapter.sentence,48506,48672,75
chapter.sentence,48673,49014,76
chapter.sentence,49015,49684,77
chapter.paragraph,49687,50429,28
chapter.sentence,49687,49898,78
chapter.sentence,49899,50112,79
chapter.sentence,50113,50428,80
chapter.paragraph,50431,52097,29
chapter.sentence,50431,50495,81
chapter.sentence,50496,50639,82
chapter.sentence,50640,50820,83
chapter.sentence,50821,51164,84
chapter.sentence,51165,51601,85
chapter.sentence,51602,51746,86
chapter.sentence,51747,52096,87
chapter.paragraph,52099,54502,30
chapter.sentence,52099,52739,88
chapter.sentence,52740,53226,89
chapter.sentence,53227,53391,90
chapter.sentence,53392,53909,91
chapter.sentence,53910,54298,92
chapter.sentence,54299,54430,93
quote.quote,54371,54504
chapter.sentence,54431,54501,94
quote.quote,54504,54512
chapter.paragraph,54504,54510,31
chapter.sentence,54504,54509,95
quote.quote,54512,54559
chapter.paragraph,54512,54557,32
chapter.sentence,54512,54556,96
chapter.paragraph,54559,55253,33
quote.nonquote,54559,55062
chapter.sentence,54559,54685,97
chapter.sentence,54686,54926,98
chapter.sentence,54927,55077,99
quote.quote,55062,55092
chapter.sentence,55078,55162,100
quote.nonquote,55092,55255
chapter.sentence,55163,55252,101
quote.quote,55255,55294
chapter.paragraph,55255,55292,34
chapter.sentence,55255,55291,102
quote.quote,55294,55335
chapter.paragraph,55294,55333,35
chapter.sentence,55294,55332,103
quote.quote,55335,55370
chapter.paragraph,55335,55368,36
chapter.sentence,55335,55367,104
quote.quote,55370,55474
chapter.paragraph,55370,55472,37
chapter.sentence,55370,55407,105
chapter.sentence,55408,55433,106
chapter.sentence,55434,55471,107
quote.quote,55474,55518
chapter.paragraph,55474,55516,38
chapter.sentence,55474,55515,108
chapter.paragraph,55518,55675,39
quote.quote,55518,55578
chapter.sentence,55518,55577,109
quote.nonquote,55578,55616
chapter.sentence,55578,55615,110
quote.quote,55616,55677
chapter.sentence,55616,55674,111
chapter.paragraph,55677,56123,40
quote.nonquote,55677,56053
chapter.sentence,55677,55796,112
chapter.sentence,55797,56059,113
quote.quote,56053,56125
chapter.sentence,56060,56122,114
chapter.paragraph,56125,56523,41
chapter.sentence,56125,56463,115
quote.nonquote,56125,56392
quote.quote,56392,56525
chapter.sentence,56464,56522,116
quote.quote,56525,56542
chapter.paragraph,56525,56540,42
chapter.sentence,56525,56539,117
quote.quote,56542,56569
chapter.paragraph,56542,56567,43
chapter.sentence,56542,56566,118
quote.quote,56569,56593
chapter.paragraph,56569,56591,44
chapter.sentence,56569,56590,119
chapter.paragraph,56593,57281,45
chapter.sentence,56593,56807,120
quote.nonquote,56593,56685
quote.quote,56685,56698
quote.nonquote,56698,58308
chapter.sentence,56808,56950,121
chapter.sentence,56951,57280,122
chapter.paragraph,57283,58791,46
chapter.sentence,57283,57433,123
chapter.sentence,57434,57846,124
chapter.sentence,57847,58145,125
chapter.sentence,58146,58488,126
quote.quote,58308,58315
quote.nonquote,58315,58345
quote.suspension.short,58315,58345
quote.quote,58345,58351
quote.nonquote,58351,58614
chapter.sentence,58489,58642,127
quote.quote,58614,58643
