metadata.title,0,41
metadata.author,42,64
chapter.title,68,94,1
chapter.text,94,12885,1
quote.nonquote,94,982
chapter.paragraph,96,1350,1
chapter.sentence,96,99,1
chapter.sentence,100,307,2
chapter.sentence,308,598,3
chapter.sentence,599,775,4
chapter.sentence,776,981,5
chapter.sentence,982,1036,6
quote.quote,982,1009
quote.nonquote,1009,1037
quote.quote,1037,1088
chapter.sentence,1037,1087,7
quote.nonquote,1088,4212
chapter.sentence,1088,1234,8
chapter.sentence,1235,1349,9
chapter.paragraph,1352,2481,2
chapter.sentence,1352,1521,10
chapter.sentence,1522,1655,11
chapter.sentence,1656,1825,12
chapter.sentence,1826,1943,13
chapter.sentence,1944,2058,14
chapter.sentence,2059,2238,15
chapter.sentence,2239,2480,16
chapter.paragraph,2483,3286,3
chapter.sentence,2483,2587,17
chapter.sentence,2588,2682,18
chapter.sentence,2683,2944,19
chapter.sentence,2945,3285,20
chapter.paragraph,3288,4056,4
chapter.sentence,3288,3489,21
chapter.sentence,3490,3698,22
chapter.sentence,3699,3787,23
chapter.sentence,3788,4055,24
chapter.paragraph,4058,4210,5
chapter.sentence,4058,4209,25
chapter.paragraph,4212,4375,6
chapter.sentence,4212,4374,26
quote.quote,4212,4242
quote.nonquote,4242,4308
quote.suspension.long,4242,4308
quote.quote,4308,4337
quote.nonquote,4337,4348
quote.suspension.short,4337,4348
quote.quote,4348,4377
chapter.paragraph,4377,4458,7
chapter.sentence,4377,4457,27
quote.quote,4377,4384
quote.nonquote,4384,4435
quote.suspension.long,4384,4435
quote.quote,4435,4460
chapter.paragraph,4460,8785,8
chapter.sentence,4460,4506,28
quote.quote,4460,4482
quote.nonquote,4482,4507
quote.quote,4507,8787
chapter.sentence,4507,4707,29
chapter.sentence,4708,4966,30
chapter.sentence,4967,5167,31
chapter.sentence,5168,5373,32
chapter.sentence,5374,5427,33
chapter.sentence,5428,5485,34
chapter.sentence,5486,5637,35
chapter.sentence,5638,5763,36
chapter.sentence,5764,5901,37
chapter.sentence,5902,6042,38
chapter.sentence,6043,6082,39
chapter.sentence,6083,6137,40
chapter.sentence,6138,6188,41
chapter.sentence,6189,6230,42
chapter.sentence,6231,6373,43
chapter.sentence,6374,6518,44
chapter.sentence,6519,6642,45
chapter.sentence,6643,6777,46
chapter.sentence,6778,6853,47
chapter.sentence,6854,6992,48
chapter.sentence,6993,7193,49
chapter.sentence,7194,7282,50
quote.embedded,7194,7245
quote.embedded.suspension.short,7245,7255
quote.embedded,7255,7323
chapter.sentence,7283,7334,51
quote.embedded,7335,7355
chapter.sentence,7335,7354,52
chapter.sentence,7355,7552,53
chapter.sentence,7553,7967,54
chapter.sentence,7968,8060,55
chapter.sentence,8061,8318,56
chapter.sentence,8319,8354,57
chapter.sentence,8355,8459,58
quote.embedded,8355,8377
quote.embedded.suspension.short,8377,8387
quote.embedded,8387,8460
chapter.sentence,8460,8657,59
chapter.sentence,8658,8742,60
chapter.sentence,8743,8759,61
chapter.sentence,8760,8784,62
chapter.paragraph,8787,8817,9
chapter.sentence,8787,8816,63
quote.quote,8787,8795
quote.nonquote,8795,8819
chapter.paragraph,8819,9418,10
chapter.sentence,8819,8862,64
quote.quote,8819,8842
quote.nonquote,8842,8863
quote.quote,8863,9358
chapter.sentence,8863,8886,65
chapter.sentence,8887,9131,66
chapter.sentence,9132,9229,67
chapter.sentence,9230,9303,68
chapter.sentence,9304,9417,69
quote.nonquote,9358,9486
chapter.paragraph,9420,9548,11
chapter.sentence,9420,9485,70
quote.quote,9486,9550
chapter.sentence,9486,9547,71
chapter.paragraph,9550,9678,12
chapter.sentence,9550,9599,72
quote.quote,9550,9575
quote.nonquote,9575,9600
quote.quote,9600,9680
chapter.sentence,9600,9677,73
chapter.paragraph,9680,9753,13
chapter.sentence,9680,9752,74
quote.quote,9680,9731
quote.nonquote,9731,9755
chapter.paragraph,9755,10286,14
quote.quote,9755,9781
chapter.sentence,9755,9764,75
chapter.sentence,9765,9798,76
quote.nonquote,9781,9799
quote.quote,9799,10288
chapter.sentence,9799,9903,77
chapter.sentence,9904,9957,78
chapter.sentence,9958,10196,79
chapter.sentence,10197,10285,80
chapter.paragraph,10288,10330,15
chapter.sentence,10288,10329,81
quote.quote,10288,10310
quote.nonquote,10310,10332
chapter.paragraph,10332,10899,16
chapter.sentence,10332,10397,82
quote.quote,10332,10372
quote.nonquote,10372,10398
quote.quote,10398,10901
chapter.sentence,10398,10425,83
chapter.sentence,10426,10546,84
chapter.sentence,10547,10670,85
chapter.sentence,10671,10755,86
chapter.sentence,10756,10898,87
chapter.paragraph,10901,11021,17
chapter.sentence,10901,11020,88
quote.nonquote,10901,10958
quote.quote,10958,10968
quote.nonquote,10968,10988
quote.suspension.short,10968,10988
quote.quote,10988,11023
chapter.paragraph,11023,11063,18
chapter.sentence,11023,11062,89
quote.quote,11023,11042
quote.nonquote,11042,11065
chapter.paragraph,11065,11204,19
chapter.sentence,11065,11140,90
quote.quote,11065,11082
quote.nonquote,11082,11105
quote.suspension.short,11082,11105
quote.quote,11105,11206
chapter.sentence,11141,11203,91
chapter.paragraph,11206,11303,20
chapter.sentence,11206,11267,92
quote.quote,11206,11211
quote.nonquote,11211,11230
quote.suspension.short,11211,11230
quote.quote,11230,11305
chapter.sentence,11268,11302,93
chapter.paragraph,11305,11366,21
chapter.sentence,11305,11330,94
quote.quote,11305,11309
quote.nonquote,11309,11331
quote.quote,11331,11368
chapter.sentence,11331,11365,95
quote.quote,11368,11883
chapter.paragraph,11368,11881,22
chapter.sentence,11368,11396,96
chapter.sentence,11397,11497,97
chapter.sentence,11498,11557,98
chapter.sentence,11558,11667,99
chapter.sentence,11668,11752,100
chapter.sentence,11753,11809,101
chapter.sentence,11810,11880,102
quote.nonquote,11883,11978
chapter.paragraph,11883,11976,23
chapter.sentence,11883,11975,103
chapter.paragraph,11978,12029,24
chapter.sentence,11978,12028,104
quote.quote,11978,12005
quote.nonquote,12005,12031
chapter.paragraph,12031,12089,25
chapter.sentence,12031,12088,105
quote.quote,12031,12043
quote.nonquote,12043,12091
chapter.paragraph,12091,12356,26
chapter.sentence,12091,12150,106
quote.quote,12091,12103
quote.nonquote,12103,12119
quote.suspension.short,12103,12119
quote.quote,12119,12358
chapter.sentence,12151,12245,107
chapter.sentence,12246,12288,108
chapter.sentence,12289,12355,109
chapter.paragraph,12358,12586,27
chapter.sentence,12358,12441,110
quote.quote,12358,12391
quote.nonquote,12391,12442
quote.quote,12442,12588
chapter.sentence,12442,12494,111
chapter.sentence,12495,12550,112
chapter.sentence,12551,12585,113
chapter.paragraph,12588,12811,28
quote.nonquote,12588,12675
chapter.sentence,12588,12674,114
chapter.sentence,12675,12724,115
quote.quote,12675,12713
quote.nonquote,12713,12725
quote.quote,12725,12813
chapter.sentence,12725,12757,116
chapter.sentence,12758,12810,117
chapter.paragraph,12813,12885,29
chapter.sentence,12813,12850,118
quote.quote,12813,12831
quote.nonquote,12831,12851
quote.quote,12851,12885
chapter.sentence,12851,12884,119
chapter.title,12889,12917,2
chapter.text,12917,28998,2
quote.nonquote,12917,13890
chapter.paragraph,12919,14865,1
chapter.sentence,12919,13033,1
chapter.sentence,13034,13286,2
chapter.sentence,13287,13400,3
chapter.sentence,13401,13578,4
chapter.sentence,13579,14259,5
quote.quote,13890,13925
quote.nonquote,13925,13960
quote.suspension.long,13925,13960
quote.quote,13960,14045
quote.nonquote,14045,14867
chapter.sentence,14260,14309,6
chapter.sentence,14310,14437,7
chapter.sentence,14438,14562,8
chapter.sentence,14563,14650,9
chapter.sentence,14651,14864,10
chapter.paragraph,14867,14994,2
chapter.sentence,14867,14993,11
quote.quote,14867,14892
quote.nonquote,14892,14950
quote.suspension.long,14892,14950
quote.quote,14950,14996
chapter.paragraph,14996,15274,3
quote.nonquote,14996,15219
chapter.sentence,14996,15218,12
chapter.sentence,15219,15273,13
quote.quote,15219,15255
quote.nonquote,15255,16108
chapter.paragraph,15276,15996,4
chapter.sentence,15276,15449,14
chapter.sentence,15450,15583,15
chapter.sentence,15584,15671,16
chapter.sentence,15672,15784,17
chapter.sentence,15785,15995,18
chapter.paragraph,15998,16106,5
chapter.sentence,15998,16105,19
chapter.paragraph,16108,16203,6
chapter.sentence,16108,16202,20
quote.quote,16108,16126
quote.nonquote,16126,16136
quote.suspension.short,16126,16136
quote.quote,16136,16205
chapter.paragraph,16205,16328,7
chapter.sentence,16205,16260,21
quote.quote,16205,16237
quote.nonquote,16237,16261
quote.quote,16261,16330
chapter.sentence,16261,16283,22
chapter.sentence,16284,16301,23
chapter.sentence,16302,16327,24
chapter.paragraph,16330,16402,8
chapter.sentence,16330,16354,25
quote.quote,16330,16337
quote.nonquote,16337,16355
quote.quote,16355,16404
chapter.sentence,16355,16401,26
chapter.paragraph,16404,16804,9
chapter.sentence,16404,16428,27
quote.quote,16404,16411
quote.nonquote,16411,16429
quote.quote,16429,16715
chapter.sentence,16429,16506,28
chapter.sentence,16507,16686,29
chapter.sentence,16687,16803,30
quote.nonquote,16715,16760
quote.suspension.long,16715,16760
quote.quote,16760,16806
chapter.paragraph,16806,17248,10
quote.nonquote,16806,16877
chapter.sentence,16806,16876,31
chapter.sentence,16877,17037,32
quote.quote,16877,16926
quote.nonquote,16926,17038
quote.quote,17038,17071
chapter.sentence,17038,17070,33
quote.nonquote,17071,17183
chapter.sentence,17071,17182,34
chapter.sentence,17183,17247,35
quote.quote,17183,17235
quote.nonquote,17235,17250
chapter.paragraph,17250,17316,11
chapter.sentence,17250,17274,36
quote.quote,17250,17255
quote.nonquote,17255,17275
quote.quote,17275,17318
chapter.sentence,17275,17299,37
chapter.sentence,17300,17315,38
quote.nonquote,17318,20173
chapter.paragraph,17318,17606,12
chapter.sentence,17318,17502,39
chapter.sentence,17503,17605,40
chapter.paragraph,17608,19841,13
chapter.sentence,17608,17752,41
chapter.sentence,17753,18034,42
chapter.sentence,18035,18296,43
chapter.sentence,18297,18648,44
chapter.sentence,18649,18995,45
chapter.sentence,18996,19314,46
chapter.sentence,19315,19481,47
chapter.sentence,19482,19624,48
chapter.sentence,19625,19840,49
chapter.paragraph,19843,20171,14
chapter.sentence,19843,19930,50
chapter.sentence,19931,20170,51
chapter.paragraph,20173,20233,15
chapter.sentence,20173,20232,52
quote.quote,20173,20191
quote.nonquote,20191,20208
quote.suspension.short,20191,20208
quote.quote,20208,20235
quote.nonquote,20235,21860
chapter.paragraph,20235,21304,16
chapter.sentence,20235,20273,53
chapter.sentence,20274,20439,54
chapter.sentence,20440,20585,55
chapter.sentence,20586,20774,56
chapter.sentence,20775,20880,57
chapter.sentence,20881,21120,58
chapter.sentence,21121,21303,59
chapter.paragraph,21306,21787,17
chapter.sentence,21306,21406,60
chapter.sentence,21407,21503,61
chapter.sentence,21504,21643,62
chapter.sentence,21644,21786,63
chapter.paragraph,21789,21881,18
chapter.sentence,21789,21859,64
quote.quote,21860,21883
chapter.sentence,21860,21880,65
chapter.paragraph,21883,22089,19
quote.nonquote,21883,22052
chapter.sentence,21883,21940,66
chapter.sentence,21941,22051,67
quote.quote,22052,22091
chapter.sentence,22052,22069,68
chapter.sentence,22070,22088,69
chapter.paragraph,22091,22298,20
chapter.sentence,22091,22137,70
quote.quote,22091,22114
quote.nonquote,22114,22138
quote.quote,22138,22300
chapter.sentence,22138,22297,71
chapter.paragraph,22300,22469,21
chapter.sentence,22300,22386,72
quote.quote,22300,22346
quote.nonquote,22346,22434
chapter.sentence,22387,22468,73
quote.quote,22434,22456
quote.nonquote,22456,22471
chapter.paragraph,22471,22533,22
chapter.sentence,22471,22532,74
quote.quote,22471,22484
quote.nonquote,22484,22504
quote.suspension.short,22484,22504
quote.quote,22504,22535
chapter.paragraph,22535,22591,23
chapter.sentence,22535,22570,75
quote.quote,22535,22549
quote.nonquote,22549,22571
quote.quote,22571,22593
chapter.sentence,22571,22590,76
chapter.paragraph,22593,22644,24
chapter.sentence,22593,22643,77
quote.quote,22593,22623
quote.nonquote,22623,22829
chapter.paragraph,22646,22898,25
chapter.sentence,22646,22828,78
chapter.sentence,22829,22877,79
quote.quote,22829,22856
quote.nonquote,22856,22878
quote.quote,22878,22900
chapter.sentence,22878,22897,80
chapter.paragraph,22900,23040,26
chapter.sentence,22900,22997,81
quote.quote,22900,22904
quote.nonquote,22904,22924
quote.suspension.short,22904,22924
quote.quote,22924,22998
quote.nonquote,22998,23042
chapter.sentence,22998,23039,82
chapter.paragraph,23042,23210,27
chapter.sentence,23042,23122,83
quote.quote,23042,23051
quote.nonquote,23051,23074
quote.suspension.short,23051,23074
quote.quote,23074,23123
quote.nonquote,23123,23212
chapter.sentence,23123,23209,84
chapter.paragraph,23212,23262,28
chapter.sentence,23212,23261,85
quote.quote,23212,23220
quote.nonquote,23220,23237
quote.suspension.short,23220,23237
quote.quote,23237,23264
chapter.paragraph,23264,23297,29
chapter.sentence,23264,23296,86
quote.quote,23264,23279
quote.nonquote,23279,23299
quote.quote,23299,23322
chapter.paragraph,23299,23320,30
chapter.sentence,23299,23319,87
chapter.paragraph,23322,23367,31
chapter.sentence,23322,23366,88
quote.quote,23322,23345
quote.nonquote,23345,23369
chapter.paragraph,23369,23439,32
chapter.sentence,23369,23422,89
quote.quote,23369,23384
quote.nonquote,23384,23423
quote.quote,23423,23441
chapter.sentence,23423,23438,90
chapter.paragraph,23441,23482,33
chapter.sentence,23441,23481,91
quote.quote,23441,23462
quote.nonquote,23462,23484
chapter.paragraph,23484,23583,34
chapter.sentence,23484,23543,92
quote.quote,23484,23502
quote.nonquote,23502,23544
quote.quote,23544,23585
chapter.sentence,23544,23582,93
chapter.paragraph,23585,23644,35
chapter.sentence,23585,23643,94
quote.quote,23585,23590
quote.nonquote,23590,23610
quote.suspension.short,23590,23610
quote.quote,23610,23646
quote.nonquote,23646,24559
chapter.paragraph,23646,23799,36
chapter.sentence,23646,23798,95
chapter.paragraph,23801,25040,37
chapter.sentence,23801,23880,96
chapter.sentence,23881,24014,97
chapter.sentence,24015,24103,98
chapter.sentence,24104,24558,99
chapter.sentence,24559,24620,100
quote.quote,24559,24588
quote.nonquote,24588,24621
quote.quote,24621,25042
chapter.sentence,24621,24677,101
chapter.sentence,24678,24719,102
chapter.sentence,24720,24906,103
chapter.sentence,24907,25039,104
quote.nonquote,25042,25618
chapter.paragraph,25042,25616,38
chapter.sentence,25042,25326,105
chapter.sentence,25327,25566,106
chapter.sentence,25567,25615,107
chapter.paragraph,25618,25668,39
chapter.sentence,25618,25667,108
quote.quote,25618,25647
quote.nonquote,25647,25670
