metadata.title,0,20
metadata.author,21,34
chapter.title,38,49,1
chapter.text,49,24629,1
quote.nonquote,49,15616
chapter.paragraph,51,57,1
chapter.sentence,51,56,1
chapter.paragraph,59,445,2
chapter.sentence,59,444,2
chapter.paragraph,447,736,3
chapter.sentence,447,663,3
chapter.sentence,664,735,4
chapter.paragraph,738,1434,4
chapter.sentence,738,873,5
chapter.sentence,874,1119,6
chapter.sentence,1120,1433,7
chapter.paragraph,1436,2563,5
chapter.sentence,1436,1503,8
chapter.sentence,1504,1553,9
chapter.sentence,1554,1779,10
chapter.sentence,1780,2079,11
chapter.sentence,2080,2562,12
chapter.paragraph,2565,3380,6
chapter.sentence,2565,2586,13
chapter.sentence,2587,2820,14
chapter.sentence,2821,3379,15
chapter.paragraph,3382,5408,7
chapter.sentence,3382,4566,16
chapter.sentence,4567,4733,17
chapter.sentence,4734,5407,18
chapter.paragraph,5410,6127,8
chapter.sentence,5410,5589,19
chapter.sentence,5590,6126,20
chapter.paragraph,6129,7236,9
chapter.sentence,6129,6318,21
chapter.sentence,6319,6561,22
chapter.sentence,6562,6678,23
chapter.sentence,6679,7235,24
chapter.paragraph,7238,8245,10
chapter.sentence,7238,7362,25
chapter.sentence,7363,7604,26
chapter.sentence,7605,8244,27
chapter.paragraph,8247,10365,11
chapter.sentence,8247,8467,28
chapter.sentence,8468,8742,29
chapter.sentence,8743,9067,30
chapter.sentence,9068,9257,31
chapter.sentence,9258,9368,32
chapter.sentence,9369,9508,33
chapter.sentence,9509,9636,34
chapter.sentence,9637,9790,35
chapter.sentence,9791,10364,36
chapter.paragraph,10367,10545,12
chapter.sentence,10367,10544,37
chapter.paragraph,10547,11976,13
chapter.sentence,10547,10612,38
chapter.sentence,10613,10676,39
chapter.sentence,10677,11156,40
chapter.sentence,11157,11303,41
chapter.sentence,11304,11346,42
chapter.sentence,11347,11534,43
chapter.sentence,11535,11975,44
chapter.paragraph,11978,12321,14
chapter.sentence,11978,12320,45
chapter.paragraph,12323,12487,15
chapter.sentence,12323,12486,46
chapter.paragraph,12489,13933,16
chapter.sentence,12489,12538,47
chapter.sentence,12539,12889,48
