metadata.title,0,24
metadata.author,25,58
chapter.title,62,73,1
chapter.text,73,5377,1
quote.nonquote,73,107
chapter.paragraph,75,105,1
chapter.sentence,75,104,1
chapter.paragraph,107,305,2
quote.quote,107,162
chapter.sentence,107,129,2
chapter.sentence,130,304,3
quote.nonquote,162,307
chapter.paragraph,307,492,3
chapter.sentence,307,412,4
quote.quote,307,353
quote.nonquote,353,494
chapter.sentence,413,491,5
quote.quote,494,670
chapter.paragraph,494,668,4
chapter.sentence,494,552,6
chapter.sentence,553,667,7
chapter.paragraph,670,898,5
chapter.sentence,670,748,8
quote.quote,670,714
quote.nonquote,714,749
quote.quote,749,900
chapter.sentence,749,897,9
quote.quote,900,1021
chapter.paragraph,900,1019,6
chapter.sentence,900,968,10
chapter.sentence,969,1018,11
quote.quote,1021,1062
chapter.paragraph,1021,1060,7
chapter.sentence,1021,1059,12
quote.quote,1062,1171
chapter.paragraph,1062,1169,8
chapter.sentence,1062,1168,13
quote.quote,1171,1258
chapter.paragraph,1171,1256,9
chapter.sentence,1171,1207,14
chapter.sentence,1208,1255,15
quote.quote,1258,1291
chapter.paragraph,1258,1289,10
chapter.sentence,1258,1288,16
quote.quote,1291,1419
chapter.paragraph,1291,1417,11
chapter.sentence,1291,1416,17
quote.quote,1419,1544
chapter.paragraph,1419,1542,12
chapter.sentence,1419,1488,18
chapter.sentence,1489,1541,19
quote.quote,1544,1624
chapter.paragraph,1544,1622,13
chapter.sentence,1544,1614,20
chapter.sentence,1615,1621,21
chapter.paragraph,1624,1955,14
chapter.sentence,1624,1727,22
quote.quote,1624,1667
quote.nonquote,1667,1728
quote.quote,1728,1957
chapter.sentence,1728,1954,23
quote.nonquote,1957,2439
chapter.paragraph,1957,2185,15
chapter.sentence,1957,2184,24
chapter.paragraph,2187,2437,16
chapter.sentence,2187,2436,25
chapter.paragraph,2439,4155,17
chapter.sentence,2439,2611,26
quote.quote,2439,2498
quote.nonquote,2498,4157
chapter.sentence,2612,3113,27
chapter.sentence,3114,3339,28
chapter.sentence,3340,4154,29
chapter.paragraph,4157,4425,18
chapter.sentence,4157,4259,30
quote.quote,4157,4173
quote.nonquote,4173,4188
quote.suspension.short,4173,4188
quote.quote,4188,4427
chapter.sentence,4260,4424,31
quote.quote,4427,4899
chapter.paragraph,4427,4897,19
chapter.sentence,4427,4538,32
chapter.sentence,4539,4859,33
chapter.sentence,4860,4896,34
quote.quote,4899,4947
chapter.paragraph,4899,4945,20
chapter.sentence,4899,4944,35
quote.quote,4947,4977
chapter.paragraph,4947,4975,21
chapter.sentence,4947,4974,36
quote.quote,4977,5063
chapter.paragraph,4977,5061,22
chapter.sentence,4977,5060,37
chapter.paragraph,5063,5308,23
quote.quote,5063,5132
chapter.sentence,5063,5113,38
chapter.sentence,5114,5250,39
quote.nonquote,5132,5251
quote.quote,5251,5310
chapter.sentence,5251,5277,40
chapter.sentence,5278,5307,41
chapter.paragraph,5310,5377,24
chapter.sentence,5310,5376,42
quote.quote,5310,5328
quote.nonquote,5328,5358
quote.suspension.short,5328,5358
quote.quote,5358,5377
chapter.title,5381,5458,2
chapter.text,5458,27972,2
quote.nonquote,5458,6885
chapter.paragraph,5460,5519,1
chapter.sentence,5460,5471,1
chapter.sentence,5472,5518,2
chapter.paragraph,5521,6883,2
chapter.sentence,5521,5812,3
chapter.sentence,5813,6882,4
