metadata.title,0,13
metadata.author,14,30
chapter.title,34,45,1
chapter.text,45,18027,1
quote.nonquote,45,8124
chapter.paragraph,47,61,1
chapter.sentence,47,60,1
chapter.paragraph,63,213,2
chapter.sentence,63,212,2
chapter.paragraph,215,1170,3
chapter.sentence,215,520,3
chapter.sentence,521,768,4
chapter.sentence,769,1114,5
chapter.sentence,1115,1169,6
chapter.paragraph,1172,1598,4
chapter.sentence,1172,1253,7
chapter.sentence,1254,1343,8
chapter.sentence,1344,1481,9
chapter.sentence,1482,1597,10
chapter.paragraph,1600,2096,5
chapter.sentence,1600,1698,11
chapter.sentence,1699,1713,12
chapter.sentence,1714,2095,13
chapter.paragraph,2098,2689,6
chapter.sentence,2098,2140,14
chapter.sentence,2141,2213,15
chapter.sentence,2214,2315,16
chapter.sentence,2316,2437,17
chapter.sentence,2438,2688,18
chapter.paragraph,2691,3904,7
chapter.sentence,2691,2768,19
quote.embedded,2743,2769
chapter.sentence,2769,2793,20
chapter.sentence,2794,3004,21
quote.embedded,2924,3005
chapter.sentence,3005,3044,22
chapter.sentence,3045,3337,23
chapter.sentence,3338,3446,24
chapter.sentence,3447,3569,25
quote.embedded,3485,3570
chapter.sentence,3570,3639,26
chapter.sentence,3640,3903,27
chapter.paragraph,3906,4603,8
chapter.sentence,3906,4114,28
chapter.sentence,4115,4431,29
chapter.sentence,4432,4602,30
chapter.paragraph,4605,6719,9
chapter.sentence,4605,4696,31
chapter.sentence,4697,4824,32
chapter.sentence,4825,5212,33
chapter.sentence,5213,5473,34
chapter.sentence,5474,5572,35
chapter.sentence,5573,5743,36
chapter.sentence,5744,6040,37
chapter.sentence,6041,6588,38
chapter.sentence,6589,6718,39
chapter.paragraph,6721,7267,10
chapter.sentence,6721,6913,40
chapter.sentence,6914,6964,41
chapter.sentence,6965,7148,42
quote.embedded,7084,7149
chapter.sentence,7149,7266,43
chapter.paragraph,7269,7639,11
chapter.sentence,7269,7395,44
chapter.sentence,7396,7638,45
chapter.paragraph,7641,8122,12
chapter.sentence,7641,7749,46
chapter.sentence,7750,7957,47
chapter.sentence,7958,8121,48
chapter.paragraph,8124,8706,13
chapter.sentence,8124,8162,49
quote.quote,8124,8139
quote.nonquote,8139,11996
quote.embedded,8163,8255
chapter.sentence,8163,8254,50
chapter.sentence,8255,8357,51
chapter.sentence,8358,8705,52
chapter.paragraph,8708,9638,14
chapter.sentence,8708,9012,53
chapter.sentence,9013,9236,54
chapter.sentence,9237,9400,55
chapter.sentence,9401,9637,56
chapter.paragraph,9640,10075,15
chapter.sentence,9640,10074,57
chapter.paragraph,10077,10692,16
chapter.sentence,10077,10512,58
chapter.sentence,10513,10691,59
chapter.paragraph,10694,10976,17
chapter.sentence,10694,10975,60
chapter.paragraph,10978,11166,18
chapter.sentence,10978,11056,61
quote.embedded,11057,11168
chapter.sentence,11057,11165,62
chapter.paragraph,11168,11335,19
chapter.sentence,11168,11276,63
chapter.sentence,11277,11334,64
chapter.paragraph,11337,11490,20
chapter.sentence,11337,11489,65
chapter.paragraph,11492,11668,21
chapter.sentence,11492,11667,66
chapter.paragraph,11670,11741,22
chapter.sentence,11670,11740,67
chapter.paragraph,11743,11909,23
chapter.sentence,11743,11908,68
chapter.paragraph,11911,12207,24
chapter.sentence,11911,12028,69
quote.embedded,11926,12108
quote.quote,11996,12029
quote.nonquote,12029,17335
chapter.sentence,12029,12107,70
chapter.sentence,12108,12206,71
chapter.paragraph,12209,12604,25
chapter.sentence,12209,12362,72
chapter.sentence,12363,12537,73
chapter.sentence,12538,12603,74
chapter.paragraph,12606,12764,26
chapter.sentence,12606,12763,75
quote.embedded,12627,12766
chapter.paragraph,12766,13202,27
chapter.sentence,12766,12807,76
chapter.sentence,12808,12871,77
chapter.sentence,12872,13043,78
quote.embedded,12872,12879
quote.embedded,12891,13126
chapter.sentence,13044,13201,79
chapter.paragraph,13204,14575,28
chapter.sentence,13204,13529,80
chapter.sentence,13530,13779,81
chapter.sentence,13780,13984,82
chapter.sentence,13985,14204,83
chapter.sentence,14205,14347,84
chapter.sentence,14348,14544,85
chapter.sentence,14545,14574,86
chapter.paragraph,14577,14727,29
chapter.sentence,14577,14634,87
chapter.sentence,14635,14726,88
chapter.paragraph,14729,15762,30
chapter.sentence,14729,14792,89
chapter.sentence,14793,15049,90
chapter.sentence,15050,15317,91
chapter.sentence,15318,15536,92
chapter.sentence,15537,15761,93
chapter.paragraph,15764,16034,31
chapter.sentence,15764,16033,94
chapter.paragraph,16036,16750,32
chapter.sentence,16036,16176,95
chapter.sentence,16177,16332,96
chapter.sentence,16333,16427,97
chapter.sentence,16428,16459,98
chapter.sentence,16460,16485,99
chapter.sentence,16486,16554,100
chapter.sentence,16555,16749,101
chapter.paragraph,16752,17126,33
chapter.sentence,16752,16955,102
chapter.sentence,16956,17090,103
chapter.sentence,17091,17125,104
chapter.paragraph,17128,17308,34
chapter.sentence,17128,17307,105
chapter.paragraph,17310,17359,35
chapter.sentence,17310,17358,106
quote.quote,17335,17361
quote.nonquote,17361,18027
chapter.paragraph,17361,17605,36
chapter.sentence,17361,17562,107
chapter.sentence,17563,17604,108
chapter.paragraph,17607,18027,37
chapter.sentence,17607,17751,109
chapter.sentence,17752,17963,110
chapter.sentence,17964,18011,111
chapter.sentence,18012,18026,112
chapter.title,18031,18043,2
chapter.text,18043,30244,2
quote.nonquote,18043,19111
chapter.paragraph,18045,19123,1
chapter.sentence,18045,18159,1
chapter.sentence,18160,18239,2
chapter.sentence,18240,18849,3
chapter.sentence,18850,18926,4
chapter.sentence,18927,19038,5
chapter.sentence,19039,19122,6
quote.quote,19111,19125
chapter.paragraph,19125,19768,2
chapter.sentence,19125,19572,7
quote.nonquote,19125,19426
quote.quote,19426,19580
chapter.sentence,19573,19579,8
chapter.sentence,19580,19677,9
quote.nonquote,19580,19600
quote.quote,19600,19770
chapter.sentence,19678,19767,10
