metadata.title,0,25
metadata.author,26,38
chapter.title,42,53,1
chapter.text,53,9731,1
quote.nonquote,53,759
chapter.paragraph,55,757,1
chapter.sentence,55,223,1
chapter.sentence,224,364,2
chapter.sentence,365,491,3
chapter.sentence,492,648,4
chapter.sentence,649,756,5
chapter.paragraph,759,808,2
chapter.sentence,759,807,6
quote.quote,759,775
quote.nonquote,775,810
chapter.paragraph,810,851,3
chapter.sentence,810,850,7
quote.quote,810,831
quote.nonquote,831,924
chapter.paragraph,853,922,4
chapter.sentence,853,921,8
quote.quote,924,1090
chapter.paragraph,924,1088,5
chapter.sentence,924,1087,9
quote.embedded,1019,1031
quote.embedded.suspension.short,1031,1052
quote.embedded,1052,1076
chapter.paragraph,1090,1116,6
chapter.sentence,1090,1115,10
quote.quote,1090,1096
quote.nonquote,1096,1118
quote.quote,1118,1162
chapter.paragraph,1118,1160,7
chapter.sentence,1118,1159,11
quote.quote,1162,1178
chapter.paragraph,1162,1176,8
chapter.sentence,1162,1175,12
quote.quote,1178,1309
chapter.paragraph,1178,1307,9
chapter.sentence,1178,1306,13
quote.nonquote,1309,1349
chapter.paragraph,1309,1347,10
chapter.sentence,1309,1346,14
chapter.paragraph,1349,1887,11
chapter.sentence,1349,1414,15
quote.quote,1349,1369
quote.nonquote,1369,1415
quote.quote,1415,1889
chapter.sentence,1415,1539,16
chapter.sentence,1540,1594,17
chapter.sentence,1595,1886,18
quote.quote,1889,1921
chapter.paragraph,1889,1919,12
chapter.sentence,1889,1918,19
quote.quote,1921,2945
chapter.paragraph,1921,2943,13
chapter.sentence,1921,1937,20
chapter.sentence,1938,2019,21
chapter.sentence,2020,2081,22
chapter.sentence,2082,2210,23
chapter.sentence,2211,2343,24
chapter.sentence,2344,2559,25
chapter.sentence,2560,2725,26
chapter.sentence,2726,2942,27
quote.quote,2945,2966
chapter.paragraph,2945,2964,14
chapter.sentence,2945,2963,28
chapter.paragraph,2966,3094,15
chapter.sentence,2966,3093,29
quote.quote,2966,2975
quote.nonquote,2975,3043
quote.suspension.long,2975,3043
quote.quote,3043,3096
chapter.paragraph,3096,3353,16
chapter.sentence,3096,3146,30
quote.quote,3096,3126
quote.nonquote,3126,3147
quote.quote,3147,3355
chapter.sentence,3147,3352,31
quote.nonquote,3355,3805
chapter.paragraph,3355,3803,17
chapter.sentence,3355,3489,32
chapter.sentence,3490,3802,33
chapter.paragraph,3805,4029,18
chapter.sentence,3805,3896,34
quote.quote,3805,3885
quote.nonquote,3885,3897
quote.quote,3897,4031
chapter.sentence,3897,3963,35
chapter.sentence,3964,4028,36
quote.quote,4031,4642
chapter.paragraph,4031,4640,19
chapter.sentence,4031,4142,37
chapter.sentence,4143,4249,38
chapter.sentence,4250,4352,39
chapter.sentence,4353,4435,40
chapter.sentence,4436,4639,41
quote.quote,4642,4708
chapter.paragraph,4642,4706,20
chapter.sentence,4642,4667,42
chapter.sentence,4668,4705,43
quote.quote,4708,4724
chapter.paragraph,4708,4722,21
chapter.sentence,4708,4721,44
quote.quote,4724,4834
chapter.paragraph,4724,4832,22
chapter.sentence,4724,4831,45
quote.quote,4834,4860
chapter.paragraph,4834,4858,23
chapter.sentence,4834,4857,46
quote.quote,4860,4979
chapter.paragraph,4860,4977,24
chapter.sentence,4860,4976,47
quote.quote,4979,5029
chapter.paragraph,4979,5027,25
chapter.sentence,4979,5026,48
quote.quote,5029,5050
chapter.paragraph,5029,5048,26
chapter.sentence,5029,5047,49
quote.quote,5050,5076
chapter.paragraph,5050,5074,27
chapter.sentence,5050,5054,50
chapter.sentence,5055,5073,51
quote.quote,5076,5339
chapter.paragraph,5076,5337,28
chapter.sentence,5076,5178,52
chapter.sentence,5179,5336,53
quote.quote,5339,5386
chapter.paragraph,5339,5384,29
chapter.sentence,5339,5383,54
quote.quote,5386,5413
chapter.paragraph,5386,5411,30
chapter.sentence,5386,5410,55
chapter.paragraph,5413,5489,31
chapter.sentence,5413,5488,56
quote.quote,5413,5452
quote.nonquote,5452,5491
quote.quote,5491,5772
chapter.paragraph,5491,5770,32
chapter.sentence,5491,5586,57
quote.embedded,5557,5587
chapter.sentence,5587,5670,58
chapter.sentence,5671,5756,59
chapter.sentence,5757,5769,60
quote.quote,5772,5969
chapter.paragraph,5772,5967,33
chapter.sentence,5772,5863,61
chapter.sentence,5864,5966,62
chapter.paragraph,5969,6161,34
quote.quote,5969,6044
chapter.sentence,5969,6015,63
chapter.sentence,6016,6043,64
quote.nonquote,6044,6546
chapter.sentence,6044,6160,65
chapter.paragraph,6163,6544,35
chapter.sentence,6163,6324,66
chapter.sentence,6325,6452,67
chapter.sentence,6453,6543,68
quote.quote,6546,6614
chapter.paragraph,6546,6612,36
chapter.sentence,6546,6572,69
chapter.sentence,6573,6611,70
chapter.paragraph,6614,6764,37
quote.nonquote,6614,6647
chapter.sentence,6614,6646,71
quote.quote,6647,6766
chapter.sentence,6647,6720,72
chapter.sentence,6721,6763,73
chapter.paragraph,6766,7192,38
quote.quote,6766,7042
chapter.sentence,6766,6782,74
chapter.sentence,6783,6820,75
chapter.sentence,6821,7041,76
quote.nonquote,7042,7277
chapter.sentence,7042,7191,77
chapter.paragraph,7194,7275,39
chapter.sentence,7194,7274,78
chapter.paragraph,7277,7498,40
chapter.sentence,7277,7347,79
quote.quote,7277,7316
quote.nonquote,7316,7348
quote.quote,7348,7500
chapter.sentence,7348,7397,80
chapter.sentence,7398,7436,81
chapter.sentence,7437,7497,82
quote.quote,7500,7544
chapter.paragraph,7500,7542,41
chapter.sentence,7500,7505,83
chapter.sentence,7506,7541,84
quote.quote,7544,7596
chapter.paragraph,7544,7594,42
chapter.sentence,7544,7593,85
quote.quote,7596,7720
chapter.paragraph,7596,7718,43
chapter.sentence,7596,7717,86
quote.embedded,7596,7666
quote.quote,7720,8049
chapter.paragraph,7720,8047,44
chapter.sentence,7720,7786,87
chapter.sentence,7787,7933,88
chapter.sentence,7934,8046,89
quote.quote,8049,8057
chapter.paragraph,8049,8055,45
chapter.sentence,8049,8054,90
quote.quote,8057,8533
chapter.paragraph,8057,8531,46
chapter.sentence,8057,8224,91
chapter.sentence,8225,8339,92
chapter.sentence,8340,8530,93
quote.nonquote,8533,8686
chapter.paragraph,8533,8684,47
chapter.sentence,8533,8683,94
quote.quote,8686,8719
chapter.paragraph,8686,8717,48
chapter.sentence,8686,8716,95
