metadata.title,0,29
metadata.author,30,48
chapter.title,52,82,1
chapter.text,82,12721,1
quote.nonquote,82,441
chapter.paragraph,84,748,1
chapter.sentence,84,249,1
chapter.sentence,250,357,2
chapter.sentence,358,458,3
quote.quote,441,459
quote.nonquote,459,526
chapter.sentence,459,525,4
chapter.sentence,526,632,5
quote.quote,526,585
quote.nonquote,585,624
quote.suspension.long,585,624
quote.quote,624,633
quote.nonquote,633,750
chapter.sentence,633,747,6
quote.quote,750,792
chapter.paragraph,750,790,2
chapter.sentence,750,789,7
quote.nonquote,792,880
chapter.paragraph,792,878,3
chapter.sentence,792,877,8
quote.quote,880,969
chapter.paragraph,880,967,4
chapter.sentence,880,915,9
chapter.sentence,916,966,10
chapter.paragraph,969,1313,5
chapter.sentence,969,1055,11
quote.quote,969,1044
quote.nonquote,1044,1056
quote.quote,1056,1315
chapter.sentence,1056,1119,12
chapter.sentence,1120,1250,13
chapter.sentence,1251,1312,14
chapter.paragraph,1315,1530,6
chapter.sentence,1315,1529,15
quote.quote,1315,1323
quote.nonquote,1323,1389
quote.suspension.long,1323,1389
quote.quote,1389,1532
chapter.paragraph,1532,1566,7
chapter.sentence,1532,1552,16
quote.quote,1532,1537
quote.nonquote,1537,1553
quote.quote,1553,1568
chapter.sentence,1553,1565,17
quote.quote,1568,1702
chapter.paragraph,1568,1700,8
chapter.sentence,1568,1699,18
quote.quote,1702,1714
chapter.paragraph,1702,1712,9
chapter.sentence,1702,1711,19
quote.quote,1714,1967
chapter.paragraph,1714,1965,10
chapter.sentence,1714,1857,20
chapter.sentence,1858,1964,21
chapter.paragraph,1967,1999,11
chapter.sentence,1967,1998,22
quote.quote,1967,1983
quote.nonquote,1983,2001
quote.quote,2001,2239
chapter.paragraph,2001,2237,12
chapter.sentence,2001,2054,23
quote.embedded,2030,2055
chapter.sentence,2055,2236,24
chapter.paragraph,2239,2725,13
chapter.sentence,2239,2338,25
quote.quote,2239,2274
quote.nonquote,2274,2339
quote.quote,2339,2727
chapter.sentence,2339,2501,26
chapter.sentence,2502,2581,27
chapter.sentence,2582,2662,28
chapter.sentence,2663,2724,29
quote.nonquote,2727,3306
chapter.paragraph,2727,3304,14
chapter.sentence,2727,2951,30
chapter.sentence,2952,3067,31
chapter.sentence,3068,3158,32
chapter.sentence,3159,3303,33
chapter.paragraph,3306,3509,15
chapter.sentence,3306,3401,34
quote.quote,3306,3337
quote.nonquote,3337,3402
quote.quote,3402,3511
chapter.sentence,3402,3461,35
chapter.sentence,3462,3508,36
chapter.paragraph,3511,3645,16
quote.quote,3511,3538
chapter.sentence,3511,3537,37
quote.nonquote,3538,3573
chapter.sentence,3538,3572,38
quote.quote,3573,3647
chapter.sentence,3573,3644,39
quote.quote,3647,3979
chapter.paragraph,3647,3977,17
chapter.sentence,3647,3722,40
chapter.sentence,3723,3854,41
chapter.sentence,3855,3904,42
chapter.sentence,3905,3949,43
chapter.sentence,3950,3976,44
quote.quote,3979,4001
chapter.paragraph,3979,3999,18
chapter.sentence,3979,3998,45
quote.quote,4001,4021
chapter.paragraph,4001,4019,19
chapter.sentence,4001,4018,46
quote.quote,4021,4043
chapter.paragraph,4021,4041,20
chapter.sentence,4021,4040,47
quote.quote,4043,4343
chapter.paragraph,4043,4341,21
chapter.sentence,4043,4093,48
chapter.sentence,4094,4340,49
quote.embedded,4239,4244
quote.quote,4343,4365
chapter.paragraph,4343,4363,22
chapter.sentence,4343,4362,50
quote.quote,4365,4537
chapter.paragraph,4365,4535,23
chapter.sentence,4365,4405,51
chapter.sentence,4406,4534,52
quote.quote,4537,4655
chapter.paragraph,4537,4653,24
chapter.sentence,4537,4652,53
quote.embedded,4564,4571
quote.embedded.suspension.short,4571,4588
quote.embedded,4588,4612
quote.quote,4655,4720
chapter.paragraph,4655,4718,25
chapter.sentence,4655,4683,54
chapter.sentence,4684,4704,55
chapter.sentence,4705,4717,56
quote.quote,4720,4831
chapter.paragraph,4720,4829,26
chapter.sentence,4720,4828,57
quote.quote,4831,5426
chapter.paragraph,4831,5424,27
chapter.sentence,4831,4889,58
chapter.sentence,4890,4915,59
chapter.sentence,4916,4998,60
chapter.sentence,4999,5068,61
chapter.sentence,5069,5194,62
chapter.sentence,5195,5233,63
chapter.sentence,5234,5312,64
chapter.sentence,5313,5423,65
quote.quote,5426,5459
chapter.paragraph,5426,5457,28
