metadata.title,0,8
metadata.author,9,35
chapter.title,39,61,1
chapter.text,61,22055,1
quote.nonquote,61,1480
chapter.paragraph,63,1889,1
chapter.sentence,63,182,1
chapter.sentence,183,559,2
chapter.sentence,560,634,3
chapter.sentence,635,673,4
chapter.sentence,674,775,5
chapter.sentence,776,1479,6
chapter.sentence,1480,1557,7
quote.quote,1480,1486
quote.nonquote,1486,1523
quote.suspension.long,1486,1523
quote.quote,1523,1558
quote.nonquote,1558,2152
chapter.sentence,1558,1683,8
chapter.sentence,1684,1888,9
chapter.paragraph,1891,2643,2
chapter.sentence,1891,2092,10
chapter.sentence,2093,2233,11
quote.quote,2152,2234
chapter.sentence,2234,2356,12
quote.nonquote,2234,2290
quote.quote,2290,2357
quote.nonquote,2357,2977
chapter.sentence,2357,2642,13
chapter.paragraph,2645,3183,3
chapter.sentence,2645,2820,14
chapter.sentence,2821,2863,15
chapter.sentence,2864,3002,16
quote.quote,2977,3003
quote.nonquote,3003,3547
chapter.sentence,3003,3182,17
chapter.paragraph,3185,3421,4
chapter.sentence,3185,3420,18
chapter.paragraph,3423,3718,5
chapter.sentence,3423,3717,19
quote.quote,3547,3720
quote.nonquote,3720,3752
chapter.paragraph,3720,3750,6
chapter.sentence,3720,3749,20
quote.quote,3752,3977
chapter.paragraph,3752,3975,7
chapter.sentence,3752,3974,21
quote.quote,3977,4070
chapter.paragraph,3977,4068,8
chapter.sentence,3977,4007,22
chapter.sentence,4008,4067,23
quote.quote,4070,4175
chapter.paragraph,4070,4173,9
chapter.sentence,4070,4172,24
quote.nonquote,4175,6562
chapter.paragraph,4175,4393,10
chapter.sentence,4175,4309,25
chapter.sentence,4310,4392,26
chapter.paragraph,4395,5754,11
chapter.sentence,4395,4588,27
chapter.sentence,4589,4728,28
chapter.sentence,4729,4883,29
chapter.sentence,4884,5753,30
chapter.paragraph,5756,6582,12
chapter.sentence,5756,5996,31
chapter.sentence,5997,6220,32
chapter.sentence,6221,6384,33
chapter.sentence,6385,6581,34
quote.quote,6562,6584
chapter.paragraph,6584,9926,13
quote.quote,6584,6603
chapter.sentence,6584,6602,35
quote.nonquote,6603,6691
chapter.sentence,6603,6665,36
chapter.sentence,6666,6823,37
quote.quote,6691,6700
quote.nonquote,6700,10906
chapter.sentence,6824,7161,38
chapter.sentence,7162,7277,39
chapter.sentence,7278,7613,40
chapter.sentence,7614,7717,41
chapter.sentence,7718,7767,42
chapter.sentence,7768,7935,43
chapter.sentence,7936,8073,44
chapter.sentence,8074,8277,45
chapter.sentence,8278,8388,46
chapter.sentence,8389,8518,47
chapter.sentence,8519,8658,48
chapter.sentence,8659,8860,49
chapter.sentence,8861,9103,50
chapter.sentence,9104,9217,51
chapter.sentence,9218,9458,52
chapter.sentence,9459,9659,53
chapter.sentence,9660,9925,54
chapter.paragraph,9928,11046,14
chapter.sentence,9928,9951,55
chapter.sentence,9952,10021,56
chapter.sentence,10022,10156,57
chapter.sentence,10157,10338,58
chapter.sentence,10339,10517,59
chapter.sentence,10518,10616,60
chapter.sentence,10617,10728,61
chapter.sentence,10729,10994,62
quote.quote,10906,11048
chapter.sentence,10995,11045,63
