metadata.title,0,21
metadata.author,22,34
chapter.title,38,70,1
chapter.text,70,4819,1
quote.nonquote,70,4819
chapter.paragraph,72,1542,1
chapter.sentence,72,246,1
chapter.sentence,247,433,2
chapter.sentence,434,655,3
chapter.sentence,656,859,4
chapter.sentence,860,1160,5
chapter.sentence,1161,1253,6
chapter.sentence,1254,1318,7
chapter.sentence,1319,1472,8
chapter.sentence,1473,1512,9
chapter.sentence,1513,1541,10
chapter.paragraph,1544,2470,2
chapter.sentence,1544,1570,11
chapter.sentence,1571,1704,12
chapter.sentence,1705,1947,13
chapter.sentence,1948,2091,14
chapter.sentence,2092,2469,15
chapter.paragraph,2472,3776,3
chapter.sentence,2472,2601,16
chapter.sentence,2602,2681,17
chapter.sentence,2682,2769,18
chapter.sentence,2770,3125,19
chapter.sentence,3126,3250,20
chapter.sentence,3251,3439,21
chapter.sentence,3440,3627,22
chapter.sentence,3628,3775,23
chapter.paragraph,3778,4407,4
chapter.sentence,3778,3892,24
chapter.sentence,3893,4033,25
chapter.sentence,4034,4247,26
chapter.sentence,4248,4406,27
chapter.paragraph,4409,4819,5
chapter.sentence,4409,4441,28
chapter.sentence,4442,4623,29
chapter.sentence,4624,4818,30
chapter.title,4823,4900,2
chapter.text,4900,17858,2
quote.nonquote,4900,4902
chapter.paragraph,4902,6150,1
chapter.sentence,4902,5032,1
quote.quote,4902,4924
quote.nonquote,4924,4944
quote.suspension.short,4924,4944
quote.quote,4944,6152
chapter.sentence,5033,5125,2
chapter.sentence,5126,5184,3
chapter.sentence,5185,5347,4
chapter.sentence,5348,5451,5
chapter.sentence,5452,5592,6
chapter.sentence,5593,5665,7
chapter.sentence,5666,5952,8
chapter.sentence,5953,6117,9
chapter.sentence,6118,6149,10
quote.nonquote,6152,6451
chapter.paragraph,6152,6449,2
chapter.sentence,6152,6339,11
chapter.sentence,6340,6411,12
chapter.sentence,6412,6448,13
quote.quote,6451,6729
chapter.paragraph,6451,6727,3
chapter.sentence,6451,6486,14
chapter.sentence,6487,6508,15
chapter.sentence,6509,6683,16
chapter.sentence,6684,6726,17
chapter.paragraph,6729,6887,4
chapter.sentence,6729,6886,18
quote.quote,6729,6854
quote.nonquote,6854,6889
chapter.paragraph,6889,7752,5
chapter.sentence,6889,6995,19
quote.quote,6889,6900
quote.nonquote,6900,6958
quote.suspension.long,6900,6958
quote.quote,6958,7754
chapter.sentence,6996,7148,20
chapter.sentence,7149,7264,21
chapter.sentence,7265,7495,22
chapter.sentence,7496,7693,23
chapter.sentence,7694,7751,24
chapter.paragraph,7754,8170,6
chapter.sentence,7754,7864,25
quote.quote,7754,7843
quote.nonquote,7843,7865
quote.quote,7865,8172
chapter.sentence,7865,7963,26
chapter.sentence,7964,8090,27
chapter.sentence,8091,8169,28
chapter.paragraph,8172,8844,7
chapter.sentence,8172,8302,29
quote.quote,8172,8183
quote.nonquote,8183,8222
quote.suspension.long,8183,8222
quote.quote,8222,8846
chapter.sentence,8303,8402,30
chapter.sentence,8403,8487,31
chapter.sentence,8488,8755,32
chapter.sentence,8756,8843,33
quote.quote,8846,9415
chapter.paragraph,8846,9413,8
chapter.sentence,8846,8977,34
chapter.sentence,8978,9116,35
chapter.sentence,9117,9350,36
chapter.sentence,9351,9412,37
chapter.paragraph,9415,9712,9
quote.nonquote,9415,9607
chapter.sentence,9415,9549,38
chapter.sentence,9550,9630,39
quote.quote,9607,9714
chapter.sentence,9631,9711,40
quote.quote,9714,10303
chapter.paragraph,9714,10301,10
chapter.sentence,9714,9817,41
chapter.sentence,9818,10013,42
chapter.sentence,10014,10300,43
quote.nonquote,10303,11038
chapter.paragraph,10303,11036,11
chapter.sentence,10303,10516,44
chapter.sentence,10517,10766,45
chapter.sentence,10767,11035,46
chapter.paragraph,11038,11612,12
chapter.sentence,11038,11111,47
quote.quote,11038,11065
quote.nonquote,11065,11112
quote.quote,11112,11614
chapter.sentence,11112,11269,48
chapter.sentence,11270,11351,49
chapter.sentence,11352,11611,50
chapter.paragraph,11614,12252,13
chapter.sentence,11614,11805,51
quote.quote,11614,11619
quote.nonquote,11619,11640
quote.suspension.short,11619,11640
quote.quote,11640,12254
chapter.sentence,11806,11974,52
chapter.sentence,11975,12251,53
chapter.paragraph,12254,12604,14
chapter.sentence,12254,12325,54
quote.quote,12254,12261
quote.nonquote,12261,12281
quote.suspension.short,12261,12281
quote.quote,12281,12406
chapter.sentence,12326,12364,55
chapter.sentence,12365,12402,56
chapter.sentence,12403,12539,57
quote.nonquote,12406,12445
quote.suspension.long,12406,12445
quote.quote,12445,12606
chapter.sentence,12540,12567,58
chapter.sentence,12568,12603,59
chapter.paragraph,12606,12818,15
chapter.sentence,12606,12761,60
quote.quote,12606,12624
quote.nonquote,12624,12704
quote.suspension.long,12624,12704
quote.quote,12704,12820
chapter.sentence,12762,12817,61
chapter.paragraph,12820,13398,16
chapter.sentence,12820,12948,62
quote.quote,12820,12850
quote.nonquote,12850,12870
quote.suspension.short,12850,12870
quote.quote,12870,13147
chapter.sentence,12949,13044,63
chapter.sentence,13045,13113,64
chapter.sentence,13114,13241,65
quote.embedded,13117,13301
quote.nonquote,13147,13242
quote.quote,13242,13400
chapter.sentence,13242,13397,66
chapter.paragraph,13400,13817,17
quote.quote,13400,13592
chapter.sentence,13400,13491,67
chapter.sentence,13492,13565,68
chapter.sentence,13566,13714,69
quote.nonquote,13592,13650
quote.suspension.long,13592,13650
quote.quote,13650,13819
chapter.sentence,13715,13788,70
chapter.sentence,13789,13816,71
quote.nonquote,13819,13971
chapter.paragraph,13819,13969,18
chapter.sentence,13819,13968,72
chapter.paragraph,13971,14556,19
chapter.sentence,13971,14338,73
quote.quote,13971,14007
quote.nonquote,14007,14038
quote.suspension.long,14007,14038
quote.quote,14038,14558
chapter.sentence,14339,14438,74
chapter.sentence,14439,14555,75
chapter.paragraph,14558,14766,20
chapter.sentence,14558,14659,76
quote.quote,14558,14573
quote.nonquote,14573,14593
quote.suspension.short,14573,14593
quote.quote,14593,14768
chapter.sentence,14660,14765,77
quote.quote,14768,14954
chapter.paragraph,14768,14952,21
chapter.sentence,14768,14951,78
chapter.paragraph,14954,15011,22
chapter.sentence,14954,15010,79
quote.quote,14954,14983
quote.nonquote,14983,15013
chapter.paragraph,15013,15641,23
quote.quote,15013,15360
chapter.sentence,15013,15048,80
chapter.sentence,15049,15224,81
chapter.sentence,15225,15345,82
chapter.sentence,15346,15537,83
quote.nonquote,15360,15472
quote.suspension.long,15360,15472
quote.quote,15472,15643
chapter.sentence,15538,15640,84
chapter.paragraph,15643,16136,24
quote.nonquote,15643,15790
chapter.sentence,15643,15731,85
chapter.sentence,15732,16135,86
quote.quote,15790,15820
quote.nonquote,15820,16138
quote.quote,16138,16427
chapter.paragraph,16138,16425,25
chapter.sentence,16138,16224,87
chapter.sentence,16225,16424,88
chapter.paragraph,16427,16519,26
chapter.sentence,16427,16518,89
quote.quote,16427,16438
quote.nonquote,16438,16480
quote.suspension.long,16438,16480
quote.quote,16480,16521
quote.quote,16521,16601
chapter.paragraph,16521,16599,27
chapter.sentence,16521,16598,90
chapter.paragraph,16601,16784,28
chapter.sentence,16601,16713,91
quote.quote,16601,16619
quote.nonquote,16619,16658
quote.suspension.long,16619,16658
quote.quote,16658,16786
chapter.sentence,16714,16764,92
chapter.sentence,16765,16783,93
quote.nonquote,16786,16871
chapter.paragraph,16786,16869,29
chapter.sentence,16786,16868,94
chapter.paragraph,16871,17068,30
chapter.sentence,16871,16981,95
quote.quote,16871,16925
quote.nonquote,16925,16982
quote.quote,16982,17070
chapter.sentence,16982,17016,96
chapter.sentence,17017,17067,97
chapter.paragraph,17070,17858,31
quote.nonquote,17070,17858
chapter.sentence,17070,17343,98
chapter.sentence,17344,17490,99
chapter.sentence,17491,17729,100
chapter.sentence,17730,17857,101
chapter.title,17862,17929,3
chapter.text,17929,47389,3
