metadata.title,0,11
metadata.author,12,21
chapter.title,23,41,1
chapter.title,43,59,2
chapter.text,61,192448,2
chapter.paragraph,61,1664,1
chapter.sentence,61,296,1
quote.quote,61,1664
chapter.sentence,297,400,2
chapter.sentence,401,900,3
chapter.sentence,901,1096,4
chapter.sentence,1097,1296,5
chapter.sentence,1297,1664,6
chapter.paragraph,1666,1747,2
chapter.sentence,1666,1747,7
quote.nonquote,1666,1894
chapter.paragraph,1749,1894,3
chapter.sentence,1749,1771,8
chapter.sentence,1772,1863,9
chapter.sentence,1864,1894,10
chapter.paragraph,1896,2359,4
chapter.sentence,1896,2129,11
quote.quote,1896,2359
chapter.sentence,2130,2323,12
chapter.sentence,2324,2359,13
chapter.paragraph,2361,2448,5
chapter.sentence,2361,2448,14
quote.quote,2361,2432
quote.nonquote,2433,2448
chapter.paragraph,2450,2506,6
chapter.sentence,2450,2456,15
quote.quote,2450,2506
chapter.sentence,2457,2486,16
chapter.sentence,2487,2506,17
chapter.paragraph,2508,2720,7
chapter.sentence,2508,2720,18
quote.quote,2508,2720
chapter.paragraph,2722,3156,8
chapter.sentence,2722,2736,19
quote.quote,2722,3156
chapter.sentence,2737,2821,20
chapter.sentence,2822,2996,21
chapter.sentence,2997,3113,22
chapter.sentence,3114,3156,23
chapter.paragraph,3158,3165,9
chapter.sentence,3158,3165,24
quote.nonquote,3158,3165
chapter.paragraph,3167,3728,10
chapter.sentence,3167,3268,25
quote.quote,3167,3728
chapter.sentence,3269,3503,26
chapter.sentence,3504,3685,27
chapter.sentence,3686,3728,28
chapter.paragraph,3730,3751,11
chapter.sentence,3730,3751,29
quote.nonquote,3730,3751
chapter.paragraph,3753,4672,12
chapter.sentence,3753,3803,30
quote.quote,3753,4672
chapter.sentence,3804,3913,31
chapter.sentence,3914,4035,32
chapter.sentence,4036,4124,33
chapter.sentence,4125,4373,34
chapter.sentence,4374,4543,35
chapter.sentence,4544,4647,36
chapter.sentence,4648,4672,37
chapter.paragraph,4674,4681,13
chapter.sentence,4674,4681,38
quote.nonquote,4674,4681
chapter.paragraph,4683,4749,14
chapter.sentence,4683,4749,39
quote.quote,4683,4749
chapter.paragraph,4751,4763,15
chapter.sentence,4751,4763,40
quote.nonquote,4751,4763
chapter.paragraph,4765,4836,16
chapter.sentence,4765,4836,41
quote.quote,4765,4836
chapter.paragraph,4838,4882,17
chapter.sentence,4838,4845,42
quote.quote,4838,4882
chapter.sentence,4846,4882,43
chapter.paragraph,4884,4935,18
chapter.sentence,4884,4892,44
quote.quote,4884,4935
chapter.sentence,4893,4935,45
chapter.paragraph,4937,5052,19
chapter.sentence,4937,4950,46
quote.quote,4937,5052
chapter.sentence,4951,5052,47
chapter.paragraph,5054,5089,20
chapter.sentence,5054,5062,48
quote.quote,5054,5089
chapter.sentence,5063,5089,49
chapter.paragraph,5091,5140,21
chapter.sentence,5091,5140,50
quote.quote,5091,5140
chapter.paragraph,5142,5158,22
chapter.sentence,5142,5158,51
quote.nonquote,5142,5167
chapter.paragraph,5160,5167,23
chapter.sentence,5160,5167,52
chapter.paragraph,5169,5257,24
chapter.sentence,5169,5257,53
quote.quote,5169,5257
chapter.paragraph,5259,5268,25
chapter.sentence,5259,5268,54
quote.nonquote,5259,5268
chapter.paragraph,5270,5432,26
chapter.sentence,5270,5282,55
quote.quote,5270,5432
chapter.sentence,5283,5432,56
chapter.paragraph,5434,5531,27
chapter.sentence,5434,5446,57
quote.quote,5434,5531
chapter.sentence,5447,5531,58
chapter.paragraph,5533,5681,28
chapter.sentence,5533,5681,59
quote.quote,5533,5681
chapter.paragraph,5683,5690,29
chapter.sentence,5683,5690,60
quote.nonquote,5683,5690
chapter.paragraph,5692,6855,30
chapter.sentence,5692,5778,61
quote.quote,5692,6855
chapter.sentence,5779,6095,62
chapter.sentence,6096,6553,63
chapter.sentence,6554,6749,64
chapter.sentence,6750,6855,65
chapter.paragraph,6857,7042,31
chapter.sentence,6857,7042,66
quote.nonquote,6857,8633
chapter.paragraph,7044,7531,32
chapter.sentence,7044,7188,67
chapter.sentence,7189,7375,68
chapter.sentence,7376,7531,69
chapter.paragraph,7533,8884,33
chapter.sentence,7533,7724,70
chapter.sentence,7725,7974,71
chapter.sentence,7975,8128,72
chapter.sentence,8129,8249,73
chapter.sentence,8250,8462,74
chapter.sentence,8463,8884,75
quote.quote,8634,8709
quote.nonquote,8709,10572
chapter.paragraph,8886,9412,34
chapter.sentence,8886,8953,76
chapter.sentence,8954,9083,77
chapter.sentence,9084,9412,78
chapter.paragraph,9414,10492,35
chapter.sentence,9414,9529,79
chapter.sentence,9530,9773,80
chapter.sentence,9774,9865,81
chapter.sentence,9866,10035,82
chapter.sentence,10036,10277,83
chapter.sentence,10278,10405,84
chapter.sentence,10406,10492,85
chapter.paragraph,10494,11038,36
chapter.sentence,10494,10607,86
quote.quote,10573,10582
quote.nonquote,10582,12355
chapter.sentence,10609,10811,87
chapter.sentence,10812,11038,88
chapter.paragraph,11040,11403,37
chapter.sentence,11040,11403,89
chapter.paragraph,11405,11616,38
chapter.sentence,11405,11616,90
chapter.paragraph,11618,12432,39
chapter.sentence,11618,11778,91
chapter.sentence,11779,11901,92
chapter.sentence,11902,11982,93
chapter.sentence,11983,12107,94
chapter.sentence,12108,12195,95
chapter.sentence,12196,12432,96
quote.quote,12356,12375
quote.nonquote,12376,14860
chapter.paragraph,12434,14378,40
chapter.sentence,12434,12519,97
chapter.sentence,12520,12610,98
chapter.sentence,12611,12791,99
chapter.sentence,12792,13063,100
chapter.sentence,13064,13480,101
chapter.sentence,13481,13701,102
chapter.sentence,13702,13811,103
chapter.sentence,13812,13978,104
chapter.sentence,13979,14121,105
chapter.sentence,14122,14378,106
chapter.paragraph,14380,15719,41
chapter.sentence,14380,14483,107
chapter.sentence,14484,14580,108
chapter.sentence,14581,14800,109
chapter.sentence,14801,14925,110
quote.quote,14861,14906
quote.nonquote,14906,15122
chapter.sentence,14926,15107,111
chapter.sentence,15108,15340,112
quote.quote,15123,15174
quote.nonquote,15175,15719
chapter.sentence,15341,15452,113
chapter.sentence,15453,15576,114
chapter.sentence,15577,15642,115
chapter.sentence,15643,15719,116
chapter.paragraph,15721,15785,42
chapter.sentence,15721,15785,117
quote.quote,15721,15785
chapter.paragraph,15787,15871,43
chapter.sentence,15787,15829,118
quote.nonquote,15787,15871
chapter.sentence,15830,15871,119
chapter.paragraph,15873,16114,44
chapter.sentence,15873,15902,120
quote.quote,15873,16114
chapter.sentence,15903,15947,121
chapter.sentence,15948,16114,122
chapter.paragraph,16116,16139,45
chapter.sentence,16116,16139,123
quote.nonquote,16116,16179
chapter.paragraph,16141,16170,46
chapter.sentence,16141,16170,124
chapter.paragraph,16172,16179,47
chapter.sentence,16172,16179,125
chapter.paragraph,16181,17105,48
chapter.sentence,16181,16291,126
quote.quote,16181,17105
chapter.sentence,16292,16405,127
chapter.sentence,16406,16646,128
chapter.sentence,16647,16879,129
chapter.sentence,16880,16990,130
chapter.sentence,16991,17060,131
chapter.sentence,17061,17105,132
chapter.paragraph,17107,17153,49
chapter.sentence,17107,17141,133
quote.quote,17107,17141
chapter.sentence,17142,17153,134
quote.nonquote,17142,17153
chapter.paragraph,17155,17610,50
chapter.sentence,17155,17220,135
quote.quote,17155,17610
chapter.sentence,17221,17277,136
chapter.sentence,17278,17578,137
chapter.sentence,17579,17610,138
