metadata.title,0,12
metadata.author,13,39
chapter.title,41,55,1
chapter.text,57,164575,1
chapter.paragraph,57,110,1
chapter.sentence,57,110,1
quote.nonquote,57,1344
chapter.paragraph,112,204,2
chapter.sentence,112,161,2
chapter.sentence,162,204,3
chapter.paragraph,206,5854,3
chapter.sentence,206,480,4
chapter.sentence,481,670,5
chapter.sentence,671,1205,6
chapter.sentence,1206,1385,7
quote.quote,1345,1357
quote.nonquote,1357,3675
chapter.sentence,1386,1592,8
chapter.sentence,1593,1696,9
chapter.sentence,1697,1913,10
chapter.sentence,1914,2384,11
chapter.sentence,2385,2681,12
chapter.sentence,2682,3589,13
chapter.sentence,3590,3702,14
quote.quote,3676,3702
chapter.sentence,3703,3847,15
quote.nonquote,3703,3827
quote.quote,3828,4112
chapter.sentence,3848,4439,16
quote.nonquote,4113,5079
chapter.sentence,4440,4944,17
chapter.sentence,4945,5274,18
quote.quote,5080,5121
quote.nonquote,5122,6038
chapter.sentence,5275,5771,19
chapter.sentence,5772,5854,20
chapter.paragraph,5856,7761,4
chapter.sentence,5856,6067,21
quote.quote,6039,6137
chapter.sentence,6068,6137,22
chapter.sentence,6138,6166,23
quote.nonquote,6138,6309
chapter.sentence,6167,6316,24
quote.quote,6310,6335
chapter.sentence,6317,6335,25
chapter.sentence,6336,6522,26
quote.nonquote,6336,9011
chapter.sentence,6523,6779,27
chapter.sentence,6780,7220,28
chapter.sentence,7221,7475,29
chapter.sentence,7476,7761,30
chapter.paragraph,7763,13999,5
chapter.sentence,7763,7899,31
chapter.sentence,7900,8040,32
chapter.sentence,8041,8332,33
chapter.sentence,8333,8459,34
chapter.sentence,8460,8672,35
chapter.sentence,8673,8756,36
chapter.sentence,8757,8958,37
chapter.sentence,8959,9011,38
chapter.sentence,9012,9049,39
quote.quote,9012,9032
quote.nonquote,9033,9049
chapter.sentence,9050,9055,40
quote.quote,9050,9076
chapter.sentence,9056,9175,41
quote.nonquote,9077,9078
quote.quote,9079,9161
quote.nonquote,9162,9163
quote.quote,9164,9227
chapter.sentence,9176,9194,42
chapter.sentence,9195,9242,43
quote.nonquote,9228,9229
quote.quote,9230,9654
chapter.sentence,9243,9270,44
chapter.sentence,9271,9311,45
chapter.sentence,9312,9461,46
chapter.sentence,9462,9654,47
chapter.sentence,9655,9757,48
quote.nonquote,9655,10883
chapter.sentence,9758,9838,49
chapter.sentence,9839,10342,50
chapter.sentence,10343,10579,51
chapter.sentence,10580,10751,52
chapter.sentence,10752,10843,53
chapter.sentence,10844,10929,54
quote.quote,10884,10956
chapter.sentence,10930,11394,55
quote.nonquote,10957,11355
quote.suspension.long,10957,11355
quote.quote,11356,12007
chapter.sentence,11395,11447,56
chapter.sentence,11448,11543,57
chapter.sentence,11544,11567,58
chapter.sentence,11568,11709,59
chapter.sentence,11710,11764,60
chapter.sentence,11765,11875,61
chapter.sentence,11876,11936,62
chapter.sentence,11937,11983,63
chapter.sentence,11984,12007,64
chapter.sentence,12008,12165,65
quote.nonquote,12008,12165
chapter.sentence,12166,12192,66
quote.quote,12166,12192
chapter.sentence,12193,12224,67
quote.nonquote,12193,12467
chapter.sentence,12225,12301,68
chapter.sentence,12302,12362,69
chapter.sentence,12363,13262,70
quote.quote,12468,12503
quote.nonquote,12504,12689
quote.suspension.long,12504,12689
quote.quote,12690,12707
quote.nonquote,12708,12757
quote.suspension.long,12708,12757
quote.quote,12758,13999
chapter.sentence,13263,13385,71
chapter.sentence,13386,13999,72
chapter.paragraph,14001,15426,6
chapter.sentence,14001,14104,73
quote.nonquote,14001,14161
chapter.sentence,14105,14666,74
quote.quote,14162,15426
chapter.sentence,14667,14904,75
chapter.sentence,14905,15216,76
chapter.sentence,15217,15426,77
chapter.paragraph,15428,15893,7
chapter.sentence,15428,15667,78
quote.nonquote,15428,15879
chapter.sentence,15668,15893,79
quote.quote,15880,15893
chapter.paragraph,15895,16294,8
chapter.sentence,15895,16016,80
quote.nonquote,15895,16174
chapter.sentence,16017,16294,81
quote.quote,16175,16292
quote.nonquote,16293,17426
chapter.paragraph,16296,18752,9
chapter.sentence,16296,16424,82
chapter.sentence,16425,16621,83
chapter.sentence,16622,17095,84
chapter.sentence,17096,17371,85
chapter.sentence,17372,17426,86
chapter.sentence,17427,17459,87
quote.quote,17427,17459
chapter.sentence,17460,18541,88
quote.nonquote,17460,18473
quote.suspension.long,17460,18473
quote.quote,18474,18540
quote.nonquote,18540,19791
chapter.sentence,18542,18734,89
chapter.sentence,18735,18752,90
chapter.paragraph,18754,19475,10
chapter.sentence,18754,19199,91
chapter.sentence,19200,19475,92
chapter.paragraph,19477,22170,11
chapter.sentence,19477,19594,93
chapter.sentence,19595,19693,94
chapter.sentence,19694,19811,95
quote.quote,19792,19811
chapter.sentence,19812,19855,96
quote.nonquote,19812,21635
chapter.sentence,19856,20302,97
chapter.sentence,20303,20520,98
chapter.sentence,20521,20802,99
chapter.sentence,20803,21166,100
chapter.sentence,21167,21395,101
chapter.sentence,21396,21692,102
quote.quote,21636,21692
chapter.sentence,21693,21880,103
quote.nonquote,21693,21804
quote.quote,21805,21810
quote.nonquote,21811,22028
chapter.sentence,21881,21883,104
chapter.sentence,21884,22057,105
quote.quote,22029,22170
chapter.sentence,22058,22170,106
chapter.paragraph,22172,22295,12
chapter.sentence,22172,22201,107
quote.quote,22172,22295
