metadata.title,0,6
metadata.author,7,34
chapter.title,36,41,1
chapter.text,43,10122,1
chapter.paragraph,43,521,1
chapter.sentence,43,153,1
quote.nonquote,43,875
chapter.sentence,154,245,2
chapter.sentence,246,521,3
chapter.paragraph,523,724,2
chapter.sentence,523,724,4
chapter.paragraph,726,980,3
chapter.sentence,726,875,5
chapter.sentence,876,980,6
quote.quote,876,884
quote.nonquote,884,906
quote.suspension.short,884,906
quote.quote,907,980
chapter.paragraph,982,1137,4
chapter.sentence,982,1137,7
quote.nonquote,982,3429
chapter.paragraph,1139,1975,5
chapter.sentence,1139,1313,8
chapter.sentence,1314,1441,9
chapter.sentence,1442,1564,10
chapter.sentence,1565,1720,11
chapter.sentence,1721,1801,12
chapter.sentence,1802,1975,13
chapter.paragraph,1977,2689,6
chapter.sentence,1977,2118,14
chapter.sentence,2119,2242,15
chapter.sentence,2243,2323,16
chapter.sentence,2324,2414,17
chapter.sentence,2415,2532,18
chapter.sentence,2533,2689,19
chapter.paragraph,2691,2852,7
chapter.sentence,2691,2758,20
chapter.sentence,2759,2852,21
chapter.paragraph,2854,3233,8
chapter.sentence,2854,2948,22
chapter.sentence,2949,3010,23
chapter.sentence,3011,3106,24
chapter.sentence,3107,3233,25
chapter.paragraph,3235,3456,9
chapter.sentence,3235,3332,26
chapter.sentence,3333,3456,27
quote.quote,3430,3456
chapter.paragraph,3458,3828,10
chapter.sentence,3458,3581,28
quote.nonquote,3458,5641
chapter.sentence,3582,3828,29
chapter.paragraph,3830,4352,11
chapter.sentence,3830,4031,30
chapter.sentence,4032,4274,31
chapter.sentence,4275,4352,32
chapter.paragraph,4354,5761,12
chapter.sentence,4354,4366,33
chapter.sentence,4367,4572,34
chapter.sentence,4573,4765,35
chapter.sentence,4766,4872,36
chapter.sentence,4873,5004,37
chapter.sentence,5005,5105,38
chapter.sentence,5106,5127,39
chapter.sentence,5128,5432,40
chapter.sentence,5433,5574,41
chapter.sentence,5575,5761,42
quote.quote,5642,5663
quote.nonquote,5664,9299
chapter.paragraph,5763,6775,13
chapter.sentence,5763,5898,43
chapter.sentence,5899,6093,44
chapter.sentence,6094,6197,45
chapter.sentence,6198,6471,46
chapter.sentence,6472,6775,47
chapter.paragraph,6777,7142,14
chapter.sentence,6777,6958,48
chapter.sentence,6959,7142,49
chapter.paragraph,7144,7401,15
chapter.sentence,7144,7401,50
chapter.paragraph,7403,7982,16
chapter.sentence,7403,7565,51
chapter.sentence,7566,7761,52
chapter.sentence,7762,7982,53
chapter.paragraph,7984,8768,17
chapter.sentence,7984,8056,54
chapter.sentence,8057,8210,55
chapter.sentence,8211,8299,56
chapter.sentence,8300,8534,57
chapter.sentence,8535,8768,58
chapter.paragraph,8770,8902,18
chapter.sentence,8770,8785,59
chapter.sentence,8786,8902,60
chapter.paragraph,8904,9299,19
chapter.sentence,8904,9018,61
chapter.sentence,9019,9130,62
chapter.sentence,9131,9299,63
chapter.paragraph,9301,9446,20
chapter.sentence,9301,9346,64
quote.quote,9301,9316
quote.nonquote,9316,9328
quote.suspension.short,9316,9328
quote.quote,9329,9446
chapter.sentence,9347,9446,65
chapter.paragraph,9448,9759,21
chapter.sentence,9448,9555,66
quote.nonquote,9448,9781
chapter.sentence,9556,9759,67
chapter.paragraph,9761,9828,22
chapter.sentence,9761,9771,68
chapter.sentence,9772,9781,69
chapter.sentence,9782,9815,70
quote.quote,9782,9828
chapter.sentence,9816,9828,71
chapter.paragraph,9830,10072,23
chapter.sentence,9830,10072,72
quote.nonquote,9830,10005
quote.quote,10006,10072
chapter.paragraph,10074,10122,24
chapter.sentence,10074,10122,73
quote.nonquote,10074,10122
chapter.title,10124,10129,2
chapter.text,10131,29205,2
chapter.paragraph,10131,10716,1
chapter.sentence,10131,10244,1
quote.nonquote,10131,13898
chapter.sentence,10245,10396,2
chapter.sentence,10397,10491,3
chapter.sentence,10492,10616,4
chapter.sentence,10617,10716,5
chapter.paragraph,10718,11691,2
chapter.sentence,10718,10956,6
chapter.sentence,10957,11127,7
chapter.sentence,11128,11386,8
chapter.sentence,11387,11691,9
chapter.paragraph,11693,11832,3
chapter.sentence,11693,11709,10
chapter.sentence,11710,11733,11
chapter.sentence,11734,11832,12
chapter.paragraph,11834,12316,4
chapter.sentence,11834,11935,13
chapter.sentence,11936,12089,14
chapter.sentence,12090,12316,15
chapter.paragraph,12318,12736,5
chapter.sentence,12318,12433,16
chapter.sentence,12434,12736,17
chapter.paragraph,12738,13266,6
chapter.sentence,12738,12917,18
chapter.sentence,12918,13036,19
chapter.sentence,13037,13266,20
chapter.paragraph,13268,13464,7
chapter.sentence,13268,13464,21
chapter.paragraph,13466,13898,8
chapter.sentence,13466,13639,22
chapter.sentence,13640,13777,23
chapter.sentence,13778,13898,24
chapter.paragraph,13900,14143,9
chapter.sentence,13900,13960,25
quote.quote,13900,14143
chapter.sentence,13961,14048,26
chapter.sentence,14049,14143,27
chapter.paragraph,14145,14445,10
chapter.sentence,14145,14445,28
quote.nonquote,14145,19058
chapter.paragraph,14447,14866,11
chapter.sentence,14447,14567,29
chapter.sentence,14568,14866,30
chapter.paragraph,14868,15451,12
chapter.sentence,14868,14940,31
chapter.sentence,14941,15108,32
chapter.sentence,15109,15212,33
chapter.sentence,15213,15451,34
chapter.paragraph,15453,16322,13
chapter.sentence,15453,15621,35
chapter.sentence,15622,15763,36
chapter.sentence,15764,15897,37
chapter.sentence,15898,16100,38
chapter.sentence,16101,16322,39
chapter.paragraph,16324,16536,14
chapter.sentence,16324,16536,40
chapter.paragraph,16538,17221,15
chapter.sentence,16538,16729,41
chapter.sentence,16730,16842,42
chapter.sentence,16843,16971,43
chapter.sentence,16972,17089,44
chapter.sentence,17090,17221,45
chapter.paragraph,17223,17928,16
chapter.sentence,17223,17321,46
chapter.sentence,17322,17431,47
chapter.sentence,17432,17928,48
chapter.paragraph,17930,18711,17
chapter.sentence,17930,18068,49
chapter.sentence,18069,18348,50
chapter.sentence,18349,18711,51
chapter.paragraph,18713,19113,18
chapter.sentence,18713,19113,52
quote.quote,19059,19099
quote.nonquote,19100,19573
chapter.paragraph,19115,19259,19
chapter.sentence,19115,19259,53
chapter.paragraph,19261,20002,20
chapter.sentence,19261,19397,54
chapter.sentence,19398,19525,55
chapter.sentence,19526,19550,56
chapter.sentence,19551,19622,57
quote.quote,19574,19600
quote.nonquote,19600,21752
chapter.sentence,19623,19672,58
chapter.sentence,19673,20002,59
chapter.paragraph,20004,20510,21
chapter.sentence,20004,20140,60
chapter.sentence,20141,20283,61
chapter.sentence,20284,20510,62
chapter.paragraph,20512,20842,22
chapter.sentence,20512,20842,63
chapter.paragraph,20844,20949,23
chapter.sentence,20844,20949,64
chapter.paragraph,20951,21463,24
chapter.sentence,20951,20980,65
chapter.sentence,20981,21043,66
chapter.sentence,21044,21149,67
chapter.sentence,21150,21463,68
chapter.paragraph,21465,21697,25
chapter.sentence,21465,21697,69
chapter.paragraph,21699,21870,26
chapter.sentence,21699,21772,70
quote.quote,21753,21826
chapter.sentence,21773,21826,71
chapter.sentence,21827,21870,72
quote.nonquote,21827,21965
chapter.paragraph,21872,21908,27
chapter.sentence,21872,21908,73
chapter.paragraph,21910,22043,28
chapter.sentence,21910,21925,74
chapter.sentence,21926,21988,75
quote.quote,21966,22043
chapter.sentence,21989,22010,76
chapter.sentence,22011,22043,77
chapter.paragraph,22045,22277,29
chapter.sentence,22045,22277,78
quote.nonquote,22045,23217
chapter.paragraph,22279,22888,30
chapter.sentence,22279,22355,79
chapter.sentence,22356,22489,80
chapter.sentence,22490,22596,81
chapter.sentence,22597,22688,82
chapter.sentence,22689,22769,83
chapter.sentence,22770,22888,84
chapter.paragraph,22890,23255,31
chapter.sentence,22890,22909,85
chapter.sentence,22910,23029,86
chapter.sentence,23030,23108,87
chapter.sentence,23109,23226,88
quote.quote,23218,23255
chapter.sentence,23227,23238,89
chapter.sentence,23239,23255,90
chapter.paragraph,23257,23881,32
chapter.sentence,23257,23351,91
quote.nonquote,23257,23526
chapter.sentence,23352,23580,92
quote.quote,23527,23537
quote.nonquote,23538,23557
quote.suspension.short,23538,23557
quote.quote,23558,23580
chapter.sentence,23581,23615,93
quote.nonquote,23581,24335
chapter.sentence,23616,23788,94
chapter.sentence,23789,23806,95
chapter.sentence,23807,23826,96
chapter.sentence,23827,23881,97
chapter.paragraph,23883,24399,33
chapter.sentence,23883,23904,98
chapter.sentence,23905,24371,99
quote.quote,24336,24399
chapter.sentence,24372,24399,100
chapter.paragraph,24401,24443,34
chapter.sentence,24401,24443,101
quote.nonquote,24401,24443
chapter.paragraph,24445,25008,35
chapter.sentence,24445,24456,102
quote.quote,24445,24478
chapter.sentence,24457,24468,103
chapter.sentence,24469,24478,104
chapter.sentence,24479,24580,105
quote.nonquote,24479,24868
chapter.sentence,24581,24662,106
chapter.sentence,24663,24800,107
chapter.sentence,24801,24943,108
quote.quote,24869,24943
chapter.sentence,24944,25008,109
quote.nonquote,24944,25140
chapter.paragraph,25010,25907,36
chapter.sentence,25010,25030,110
chapter.sentence,25031,25140,111
chapter.sentence,25141,25234,112
quote.quote,25141,25192
quote.nonquote,25193,25782
chapter.sentence,25235,25309,113
chapter.sentence,25310,25375,114
chapter.sentence,25376,25519,115
chapter.sentence,25520,25573,116
chapter.sentence,25574,25801,117
quote.quote,25783,25801
chapter.sentence,25802,25870,118
quote.nonquote,25802,25848
quote.quote,25849,25907
chapter.sentence,25871,25907,119
chapter.paragraph,25909,26163,37
chapter.sentence,25909,26003,120
quote.nonquote,25909,26123
chapter.sentence,26004,26142,121
quote.quote,26124,26163
chapter.sentence,26143,26163,122
chapter.paragraph,26165,27106,38
chapter.sentence,26165,26360,123
quote.nonquote,26165,27560
chapter.sentence,26361,26545,124
chapter.sentence,26546,26610,125
chapter.sentence,26611,26745,126
chapter.sentence,26746,26790,127
chapter.sentence,26791,27106,128
chapter.paragraph,27108,27546,39
chapter.sentence,27108,27254,129
chapter.sentence,27255,27344,130
chapter.sentence,27345,27473,131
chapter.sentence,27474,27546,132
chapter.paragraph,27548,27594,40
chapter.sentence,27548,27580,133
quote.quote,27561,27594
chapter.sentence,27581,27594,134
chapter.paragraph,27596,27772,41
chapter.sentence,27596,27772,135
quote.nonquote,27596,27725
quote.quote,27726,27772
chapter.paragraph,27774,27858,42
chapter.sentence,27774,27789,136
quote.nonquote,27774,27808
chapter.sentence,27790,27858,137
quote.quote,27809,27858
chapter.paragraph,27860,27966,43
chapter.sentence,27860,27966,138
quote.nonquote,27860,27998
chapter.paragraph,27968,28026,44
chapter.sentence,27968,28026,139
quote.quote,27999,28026
chapter.paragraph,28028,28065,45
chapter.sentence,28028,28065,140
quote.quote,28028,28047
quote.nonquote,28047,28137
chapter.paragraph,28067,28137,46
chapter.sentence,28067,28086,141
chapter.sentence,28087,28137,142
chapter.paragraph,28139,28607,47
chapter.sentence,28139,28173,143
quote.quote,28139,28158
quote.nonquote,28158,28979
chapter.sentence,28174,28213,144
chapter.sentence,28214,28315,145
chapter.sentence,28316,28607,146
chapter.paragraph,28609,29205,48
chapter.sentence,28609,28774,147
chapter.sentence,28775,28898,148
chapter.sentence,28899,29068,149
quote.quote,28980,29090
chapter.sentence,29069,29090,150
chapter.sentence,29091,29205,151
quote.nonquote,29091,29134
quote.suspension.long,29091,29134
quote.quote,29135,29205
chapter.title,29207,29212,3
chapter.text,29214,48395,3
chapter.paragraph,29214,30236,1
chapter.sentence,29214,29437,1
quote.nonquote,29214,30612
chapter.sentence,29438,29600,2
chapter.sentence,29601,29875,3
chapter.sentence,29876,30028,4
chapter.sentence,30029,30236,5
chapter.paragraph,30238,30449,2
chapter.sentence,30238,30250,6
chapter.sentence,30251,30263,7
chapter.sentence,30264,30334,8
