metadata.title,0,13
metadata.author,14,25
chapter.title,27,45,1
chapter.text,47,32621,1
chapter.paragraph,47,1154,1
chapter.sentence,47,214,1
quote.quote,47,102
quote.nonquote,103,4045
chapter.sentence,215,290,2
chapter.sentence,291,558,3
chapter.sentence,559,811,4
chapter.sentence,812,941,5
chapter.sentence,942,1083,6
chapter.sentence,1084,1154,7
chapter.paragraph,1156,1404,2
chapter.sentence,1156,1204,8
chapter.sentence,1205,1404,9
chapter.paragraph,1406,1748,3
chapter.sentence,1406,1610,10
chapter.sentence,1611,1748,11
chapter.paragraph,1750,3331,4
chapter.sentence,1750,2049,12
chapter.sentence,2050,2391,13
chapter.sentence,2392,3065,14
chapter.sentence,3066,3331,15
chapter.paragraph,3333,3808,5
chapter.sentence,3333,3584,16
chapter.sentence,3585,3773,17
chapter.sentence,3774,3808,18
chapter.paragraph,3810,4101,6
chapter.sentence,3810,4101,19
quote.quote,4046,4101
chapter.paragraph,4103,4231,7
chapter.sentence,4103,4231,20
quote.nonquote,4103,4127
quote.quote,4128,4231
chapter.paragraph,4233,4795,8
chapter.sentence,4233,4287,21
quote.nonquote,4233,4819
chapter.sentence,4288,4305,22
chapter.sentence,4306,4353,23
chapter.sentence,4354,4490,24
chapter.sentence,4491,4503,25
chapter.sentence,4504,4795,26
chapter.paragraph,4797,4819,9
chapter.sentence,4797,4819,27
chapter.paragraph,4821,4943,10
chapter.sentence,4821,4849,28
quote.quote,4821,4849
chapter.sentence,4850,4870,29
quote.nonquote,4850,4870
chapter.sentence,4871,4943,30
quote.quote,4871,4943
chapter.paragraph,4945,5079,11
chapter.sentence,4945,4978,31
quote.quote,4945,4978
chapter.sentence,4979,5055,32
quote.nonquote,4979,5106
chapter.sentence,5056,5079,33
chapter.paragraph,5081,5408,12
chapter.sentence,5081,5130,34
quote.quote,5107,5408
chapter.sentence,5131,5151,35
chapter.sentence,5152,5335,36
chapter.sentence,5336,5408,37
chapter.paragraph,5410,5856,13
chapter.sentence,5410,5781,38
quote.nonquote,5410,5446
quote.quote,5447,5856
chapter.sentence,5782,5856,39
chapter.paragraph,5858,6694,14
chapter.sentence,5858,5993,40
quote.nonquote,5858,5943
quote.quote,5944,6694
chapter.sentence,5994,6024,41
chapter.sentence,6025,6082,42
chapter.sentence,6083,6207,43
chapter.sentence,6208,6373,44
chapter.sentence,6374,6455,45
chapter.sentence,6456,6645,46
chapter.sentence,6646,6694,47
chapter.paragraph,6696,6820,15
chapter.sentence,6696,6761,48
quote.nonquote,6696,6872
chapter.sentence,6762,6820,49
chapter.paragraph,6822,6975,16
chapter.sentence,6822,6896,50
quote.quote,6873,6975
chapter.sentence,6897,6975,51
chapter.paragraph,6977,7382,17
chapter.sentence,6977,6996,52
quote.nonquote,6977,7034
chapter.sentence,6997,7034,53
chapter.sentence,7035,7069,54
quote.quote,7035,7382
chapter.sentence,7070,7382,55
chapter.paragraph,7384,7513,18
chapter.sentence,7384,7440,56
quote.quote,7384,7440
chapter.sentence,7441,7513,57
quote.nonquote,7441,7513
chapter.paragraph,7515,8058,19
chapter.sentence,7515,7966,58
quote.quote,7515,8035
