metadata.title,0,32
metadata.author,33,51
chapter.title,53,78,1
chapter.text,80,2469,1
chapter.paragraph,80,668,1
chapter.sentence,80,224,1
quote.nonquote,80,2469
chapter.sentence,225,328,2
chapter.sentence,329,463,3
chapter.sentence,464,668,4
chapter.paragraph,670,710,2
chapter.sentence,670,710,5
chapter.paragraph,712,1521,3
chapter.sentence,712,823,6
chapter.sentence,824,1103,7
chapter.sentence,1104,1197,8
chapter.sentence,1198,1340,9
chapter.sentence,1341,1521,10
chapter.paragraph,1523,1941,4
chapter.sentence,1523,1761,11
chapter.sentence,1762,1941,12
chapter.paragraph,1943,2460,5
chapter.sentence,1943,2460,13
chapter.paragraph,2462,2469,6
chapter.sentence,2462,2469,14
chapter.title,2471,2489,2
chapter.text,2491,4174,2
chapter.paragraph,2491,4160,1
chapter.sentence,2491,2512,1
quote.nonquote,2491,4174
chapter.sentence,2513,2872,2
chapter.sentence,2873,3102,3
chapter.sentence,3103,3335,4
chapter.sentence,3336,3547,5
chapter.sentence,3548,3645,6
chapter.sentence,3646,3807,7
chapter.sentence,3808,3944,8
chapter.sentence,3945,3955,9
chapter.sentence,3956,4160,10
chapter.paragraph,4162,4174,2
chapter.sentence,4162,4174,11
chapter.title,4176,4195,3
chapter.text,4197,6543,3
chapter.paragraph,4197,4387,1
chapter.sentence,4197,4387,1
quote.nonquote,4197,6543
chapter.paragraph,4389,4525,2
chapter.sentence,4389,4525,2
chapter.paragraph,4527,6528,3
chapter.sentence,4527,4655,3
chapter.sentence,4656,5018,4
chapter.sentence,5019,5324,5
chapter.sentence,5325,5583,6
chapter.sentence,5584,5742,7
chapter.sentence,5743,6528,8
chapter.paragraph,6530,6543,4
chapter.sentence,6530,6543,9
chapter.title,6545,6563,4
chapter.text,6565,9930,4
chapter.paragraph,6565,7152,1
chapter.sentence,6565,6841,1
quote.nonquote,6565,9930
chapter.sentence,6842,7152,2
chapter.paragraph,7154,8070,2
chapter.sentence,7154,7418,3
chapter.sentence,7419,7503,4
chapter.sentence,7504,7719,5
chapter.sentence,7720,7834,6
chapter.sentence,7835,7977,7
chapter.sentence,7978,8070,8
chapter.paragraph,8072,8084,3
chapter.sentence,8072,8084,9
chapter.paragraph,8086,9930,4
chapter.sentence,8086,8328,10
chapter.sentence,8329,8414,11
chapter.sentence,8415,8634,12
chapter.sentence,8635,8738,13
