metadata.title,0,13
metadata.author,14,32
chapter.title,34,51,1
chapter.text,53,1825,1
chapter.paragraph,53,359,1
chapter.sentence,53,129,1
quote.nonquote,53,1161
chapter.sentence,130,359,2
chapter.paragraph,361,706,2
chapter.sentence,361,706,3
chapter.paragraph,708,951,3
chapter.sentence,708,733,4
chapter.sentence,734,951,5
chapter.paragraph,953,1161,4
chapter.sentence,953,1161,6
chapter.paragraph,1163,1197,5
chapter.sentence,1163,1197,7
quote.quote,1163,1197
chapter.paragraph,1199,1308,6
chapter.sentence,1199,1308,8
quote.nonquote,1199,1308
chapter.paragraph,1310,1374,7
chapter.sentence,1310,1374,9
quote.quote,1310,1374
chapter.paragraph,1376,1825,8
chapter.sentence,1376,1638,10
quote.nonquote,1376,1825
chapter.sentence,1639,1825,11
chapter.title,1827,1842,2
chapter.title,1844,1879,3
chapter.title,1881,1901,4
chapter.text,1903,5237,4
chapter.paragraph,1903,2809,1
chapter.sentence,1903,2184,1
quote.nonquote,1903,4054
chapter.sentence,2185,2346,2
chapter.sentence,2347,2809,3
chapter.paragraph,2811,2977,2
chapter.sentence,2811,2977,4
chapter.paragraph,2979,3755,3
chapter.sentence,2979,3576,5
chapter.sentence,3577,3755,6
chapter.paragraph,3757,3764,4
chapter.sentence,3757,3764,7
chapter.paragraph,3766,5228,5
chapter.sentence,3766,3825,8
chapter.sentence,3826,3973,9
chapter.sentence,3974,5228,10
quote.quote,4055,4191
quote.nonquote,4191,5237
chapter.paragraph,5230,5237,6
chapter.sentence,5230,5237,11
chapter.title,5239,5257,5
chapter.text,5259,7042,5
chapter.paragraph,5259,5667,1
chapter.sentence,5259,5323,1
quote.nonquote,5259,7042
chapter.sentence,5324,5474,2
chapter.sentence,5475,5667,3
chapter.paragraph,5669,5860,2
chapter.sentence,5669,5860,4
chapter.paragraph,5862,6294,3
chapter.sentence,5862,5936,5
chapter.sentence,5937,6080,6
chapter.sentence,6081,6216,7
chapter.sentence,6217,6294,8
chapter.paragraph,6296,6438,4
chapter.sentence,6296,6438,9
chapter.paragraph,6440,6686,5
chapter.sentence,6440,6686,10
chapter.paragraph,6688,6696,6
chapter.sentence,6688,6696,11
chapter.paragraph,6698,7042,7
chapter.sentence,6698,6967,12
chapter.sentence,6968,7042,13
chapter.title,7044,7057,6
chapter.text,7059,14172,6
chapter.paragraph,7059,8227,1
chapter.sentence,7059,7083,1
quote.nonquote,7059,14172
chapter.sentence,7084,7565,2
chapter.sentence,7566,7636,3
chapter.sentence,7637,7643,4
chapter.sentence,7644,7653,5
chapter.sentence,7654,7664,6
chapter.sentence,7665,8059,7
chapter.sentence,8060,8090,8
chapter.sentence,8091,8227,9
chapter.paragraph,8229,8797,2
chapter.sentence,8229,8369,10
chapter.sentence,8370,8797,11
chapter.paragraph,8799,8952,3
chapter.sentence,8799,8952,12
chapter.paragraph,8954,9183,4
chapter.sentence,8954,9183,13
chapter.paragraph,9185,9371,5
chapter.sentence,9185,9306,14
chapter.sentence,9307,9371,15
chapter.paragraph,9373,9715,6
chapter.sentence,9373,9634,16
chapter.sentence,9635,9715,17
chapter.paragraph,9717,10115,7
chapter.sentence,9717,10115,18
chapter.paragraph,10117,10157,8
chapter.sentence,10117,10157,19
chapter.paragraph,10159,10427,9
chapter.sentence,10159,10427,20
chapter.paragraph,10429,11395,10
chapter.sentence,10429,10529,21
chapter.sentence,10530,10552,22
chapter.sentence,10553,10730,23
chapter.sentence,10731,11318,24
chapter.sentence,11319,11395,25
chapter.paragraph,11397,11547,11
chapter.sentence,11397,11547,26
chapter.paragraph,11549,11786,12
chapter.sentence,11549,11786,27
chapter.paragraph,11788,11816,13
chapter.sentence,11788,11816,28
chapter.paragraph,11818,13102,14
chapter.sentence,11818,11884,29
chapter.sentence,11885,13102,30
chapter.paragraph,13104,14007,15
chapter.sentence,13104,13198,31
chapter.sentence,13199,13305,32
chapter.sentence,13306,13578,33
chapter.sentence,13579,13617,34
chapter.sentence,13618,13837,35
chapter.sentence,13838,14007,36
chapter.paragraph,14009,14172,16
chapter.sentence,14009,14057,37
chapter.sentence,14058,14172,38
chapter.title,14174,14194,7
chapter.text,14196,23252,7
chapter.paragraph,14196,15601,1
chapter.sentence,14196,14640,1
quote.nonquote,14196,14267
quote.quote,14268,14315
quote.nonquote,14316,14327
quote.suspension.short,14316,14327
quote.quote,14328,14380
quote.nonquote,14381,14382
quote.quote,14383,14943
chapter.sentence,14641,15118,2
quote.nonquote,14944,14945
quote.quote,14946,15292
chapter.sentence,15119,15601,3
quote.nonquote,15293,15294
quote.quote,15295,15386
quote.nonquote,15387,15388
quote.quote,15389,15425
quote.nonquote,15426,15427
quote.quote,15428,15479
quote.nonquote,15480,15481
