metadata.title,0,20
metadata.author,21,37
chapter.title,39,44,1
chapter.text,46,18398,1
chapter.paragraph,46,680,1
chapter.sentence,46,129,1
quote.nonquote,46,7396
chapter.sentence,130,362,2
chapter.sentence,363,549,3
chapter.sentence,550,680,4
chapter.paragraph,682,1317,2
chapter.sentence,682,770,5
chapter.sentence,771,1317,6
chapter.paragraph,1319,2559,3
chapter.sentence,1319,1665,7
chapter.sentence,1666,1775,8
chapter.sentence,1776,2559,9
chapter.paragraph,2561,3435,4
chapter.sentence,2561,2683,10
chapter.sentence,2684,3016,11
chapter.sentence,3017,3192,12
chapter.sentence,3193,3435,13
chapter.paragraph,3437,3474,5
chapter.sentence,3437,3474,14
chapter.paragraph,3476,4302,6
chapter.sentence,3476,3554,15
chapter.sentence,3555,3713,16
chapter.sentence,3714,4029,17
chapter.sentence,4030,4302,18
chapter.paragraph,4304,4825,7
chapter.sentence,4304,4825,19
chapter.paragraph,4827,5724,8
chapter.sentence,4827,4992,20
chapter.sentence,4993,5181,21
chapter.sentence,5182,5291,22
chapter.sentence,5292,5538,23
chapter.sentence,5539,5583,24
chapter.sentence,5584,5724,25
chapter.paragraph,5726,6166,9
chapter.sentence,5726,5854,26
chapter.sentence,5855,6040,27
chapter.sentence,6041,6099,28
chapter.sentence,6100,6166,29
chapter.paragraph,6168,6276,10
chapter.sentence,6168,6276,30
chapter.paragraph,6278,6794,11
chapter.sentence,6278,6378,31
chapter.sentence,6379,6794,32
chapter.paragraph,6796,7031,12
chapter.sentence,6796,7031,33
chapter.paragraph,7033,7299,13
chapter.sentence,7033,7146,34
chapter.sentence,7147,7299,35
chapter.paragraph,7301,7396,14
chapter.sentence,7301,7396,36
chapter.paragraph,7398,7608,15
chapter.sentence,7398,7441,37
quote.quote,7398,7441
chapter.sentence,7442,7608,38
quote.nonquote,7442,8511
chapter.paragraph,7610,7806,16
chapter.sentence,7610,7806,39
chapter.paragraph,7808,8163,17
chapter.sentence,7808,7928,40
chapter.sentence,7929,8163,41
chapter.paragraph,8165,8511,18
chapter.sentence,8165,8283,42
chapter.sentence,8284,8511,43
chapter.paragraph,8513,8719,19
chapter.sentence,8513,8681,44
quote.quote,8513,8552
quote.nonquote,8553,8681
chapter.sentence,8682,8719,45
quote.quote,8682,8719
chapter.paragraph,8721,8754,20
chapter.sentence,8721,8754,46
quote.quote,8721,8754
chapter.paragraph,8756,9057,21
chapter.sentence,8756,8989,47
quote.quote,8756,8835
quote.nonquote,8836,8950
quote.suspension.long,8836,8950
quote.quote,8951,9057
chapter.sentence,8990,9057,48
chapter.paragraph,9059,9249,22
chapter.sentence,9059,9083,49
quote.nonquote,9059,9249
chapter.sentence,9084,9249,50
chapter.paragraph,9251,9488,23
chapter.sentence,9251,9285,51
quote.quote,9251,9285
chapter.sentence,9286,9378,52
quote.nonquote,9286,9294
quote.suspension.short,9286,9294
quote.quote,9295,9486
chapter.sentence,9379,9488,53
quote.nonquote,9487,10349
chapter.paragraph,9490,9552,24
chapter.sentence,9490,9552,54
chapter.paragraph,9554,10349,25
chapter.sentence,9554,9890,55
chapter.sentence,9891,9919,56
chapter.sentence,9920,10021,57
chapter.sentence,10022,10197,58
chapter.sentence,10198,10349,59
chapter.paragraph,10351,10777,26
chapter.sentence,10351,10396,60
quote.quote,10351,10396
chapter.sentence,10397,10418,61
quote.nonquote,10397,10418
chapter.sentence,10419,10533,62
quote.quote,10419,10457
quote.nonquote,10458,10533
chapter.sentence,10534,10577,63
quote.quote,10534,10777
chapter.sentence,10578,10652,64
chapter.sentence,10653,10706,65
chapter.sentence,10707,10777,66
chapter.paragraph,10779,10878,27
chapter.sentence,10779,10823,67
quote.quote,10779,10809
quote.nonquote,10810,10823
chapter.sentence,10824,10878,68
quote.quote,10824,10878
chapter.paragraph,10880,11309,28
chapter.sentence,10880,11309,69
quote.nonquote,10880,12115
chapter.paragraph,11311,11950,29
chapter.sentence,11311,11950,70
chapter.paragraph,11952,12115,30
chapter.sentence,11952,12115,71
chapter.paragraph,12117,12165,31
chapter.sentence,12117,12150,72
quote.quote,12117,12150
chapter.sentence,12151,12165,73
quote.nonquote,12151,12165
chapter.paragraph,12167,12229,32
chapter.sentence,12167,12217,74
quote.quote,12167,12217
chapter.sentence,12218,12229,75
quote.nonquote,12218,12764
chapter.paragraph,12231,12764,33
chapter.sentence,12231,12273,76
chapter.sentence,12274,12764,77
chapter.paragraph,12766,12973,34
chapter.sentence,12766,12841,78
quote.quote,12766,12829
quote.nonquote,12831,12841
chapter.sentence,12842,12973,79
quote.quote,12842,12973
chapter.paragraph,12975,13223,35
chapter.sentence,12975,13074,80
quote.nonquote,12975,13223
chapter.sentence,13075,13223,81
chapter.paragraph,13225,13386,36
chapter.sentence,13225,13277,82
quote.quote,13225,13277
chapter.sentence,13278,13289,83
quote.nonquote,13278,13289
chapter.sentence,13290,13330,84
quote.quote,13290,13386
chapter.sentence,13331,13386,85
chapter.paragraph,13388,13523,37
chapter.sentence,13388,13523,86
quote.nonquote,13388,13523
chapter.paragraph,13525,13638,38
chapter.sentence,13525,13576,87
quote.quote,13525,13576
chapter.sentence,13577,13638,88
quote.nonquote,13577,13659
chapter.paragraph,13640,13728,39
chapter.sentence,13640,13659,89
chapter.sentence,13660,13692,90
quote.quote,13660,13728
chapter.sentence,13693,13728,91
chapter.paragraph,13730,13867,40
chapter.sentence,13730,13747,92
quote.quote,13730,13831
chapter.sentence,13748,13767,93
chapter.sentence,13768,13867,94
quote.nonquote,13832,14719
chapter.paragraph,13869,14515,41
chapter.sentence,13869,13904,95
chapter.sentence,13905,14095,96
chapter.sentence,14096,14270,97
chapter.sentence,14271,14515,98
chapter.paragraph,14517,14815,42
chapter.sentence,14517,14626,99
chapter.sentence,14627,14815,100
quote.quote,14720,14815
chapter.paragraph,14817,14869,43
chapter.sentence,14817,14869,101
quote.nonquote,14817,16124
chapter.paragraph,14871,15203,44
chapter.sentence,14871,14989,102
chapter.sentence,14990,15203,103
chapter.paragraph,15205,16124,45
chapter.sentence,15205,15431,104
chapter.sentence,15432,15615,105
chapter.sentence,15616,16124,106
chapter.paragraph,16126,17117,46
chapter.sentence,16126,16304,107
quote.quote,16126,16245
quote.nonquote,16246,18398
chapter.sentence,16305,16509,108
chapter.sentence,16510,17040,109
chapter.sentence,17041,17117,110
chapter.paragraph,17119,17827,47
chapter.sentence,17119,17221,111
chapter.sentence,17222,17503,112
chapter.sentence,17504,17612,113
chapter.sentence,17613,17827,114
chapter.paragraph,17829,18144,48
chapter.sentence,17829,18000,115
chapter.sentence,18001,18144,116
chapter.paragraph,18146,18398,49
chapter.sentence,18146,18263,117
chapter.sentence,18264,18398,118
chapter.title,18400,18405,2
chapter.text,18407,37937,2
chapter.paragraph,18407,18837,1
chapter.sentence,18407,18511,1
quote.nonquote,18407,19198
chapter.sentence,18512,18733,2
chapter.sentence,18734,18837,3
chapter.paragraph,18839,19198,2
chapter.sentence,18839,18883,4
chapter.sentence,18884,19198,5
chapter.paragraph,19200,19295,3
chapter.sentence,19200,19295,6
quote.quote,19200,19231
quote.nonquote,19232,22228
chapter.paragraph,19297,19393,4
chapter.sentence,19297,19393,7
chapter.paragraph,19395,19909,5
chapter.sentence,19395,19483,8
chapter.sentence,19484,19595,9
chapter.sentence,19596,19836,10
chapter.sentence,19837,19909,11
chapter.paragraph,19911,20202,6
chapter.sentence,19911,20025,12
chapter.sentence,20026,20202,13
chapter.paragraph,20204,20643,7
chapter.sentence,20204,20336,14
chapter.sentence,20337,20401,15
chapter.sentence,20402,20643,16
chapter.paragraph,20645,20690,8
chapter.sentence,20645,20690,17
chapter.paragraph,20692,20980,9
chapter.sentence,20692,20980,18
chapter.paragraph,20982,21069,10
chapter.sentence,20982,21010,19
chapter.sentence,21011,21069,20
chapter.paragraph,21071,21525,11
chapter.sentence,21071,21317,21
chapter.sentence,21318,21356,22
chapter.sentence,21357,21525,23
chapter.paragraph,21527,22078,12
chapter.sentence,21527,21592,24
chapter.sentence,21593,21841,25
chapter.sentence,21842,22078,26
chapter.paragraph,22080,22166,13
chapter.sentence,22080,22166,27
chapter.paragraph,22168,22339,14
chapter.sentence,22168,22196,28
chapter.sentence,22197,22228,29
