metadata.title,0,16
metadata.author,17,31
chapter.title,33,51,1
chapter.text,53,26203,1
chapter.paragraph,53,452,1
chapter.sentence,53,162,1
quote.nonquote,53,1269
chapter.sentence,163,452,2
chapter.paragraph,454,1269,2
chapter.sentence,454,640,3
chapter.sentence,641,1269,4
chapter.paragraph,1271,2124,3
chapter.sentence,1271,1297,5
quote.quote,1271,1335
chapter.sentence,1298,1335,6
chapter.sentence,1336,1571,7
quote.nonquote,1336,2124
chapter.sentence,1572,1760,8
chapter.sentence,1761,2124,9
chapter.paragraph,2126,2289,4
chapter.sentence,2126,2204,10
quote.quote,2126,2289
chapter.sentence,2205,2289,11
chapter.paragraph,2291,2750,5
chapter.sentence,2291,2750,12
quote.nonquote,2291,2750
chapter.paragraph,2752,4279,6
chapter.sentence,2752,2791,13
quote.quote,2752,4279
chapter.sentence,2792,2824,14
chapter.sentence,2825,2933,15
chapter.sentence,2934,2951,16
chapter.sentence,2952,3059,17
chapter.sentence,3060,3143,18
chapter.sentence,3144,3182,19
chapter.sentence,3183,3241,20
chapter.sentence,3242,3406,21
chapter.sentence,3407,3419,22
chapter.sentence,3420,3525,23
chapter.sentence,3526,3553,24
chapter.sentence,3554,4010,25
chapter.sentence,4011,4104,26
chapter.sentence,4105,4279,27
chapter.paragraph,4281,4693,7
chapter.sentence,4281,4693,28
quote.nonquote,4281,8259
chapter.paragraph,4695,5572,8
chapter.sentence,4695,5198,29
chapter.sentence,5199,5572,30
chapter.paragraph,5574,5937,9
chapter.sentence,5574,5732,31
chapter.sentence,5733,5937,32
chapter.paragraph,5939,6826,10
chapter.sentence,5939,6009,33
chapter.sentence,6010,6214,34
chapter.sentence,6215,6826,35
chapter.paragraph,6828,7517,11
chapter.sentence,6828,7117,36
chapter.sentence,7118,7344,37
chapter.sentence,7345,7517,38
chapter.paragraph,7519,8259,12
chapter.sentence,7519,7570,39
chapter.sentence,7571,8259,40
chapter.paragraph,8261,8916,13
chapter.sentence,8261,8327,41
quote.quote,8261,8327
chapter.sentence,8328,8358,42
quote.nonquote,8328,8358
chapter.sentence,8359,8466,43
quote.quote,8359,8916
chapter.sentence,8467,8636,44
chapter.sentence,8637,8653,45
chapter.sentence,8654,8670,46
chapter.sentence,8671,8687,47
chapter.sentence,8688,8821,48
chapter.sentence,8822,8844,49
chapter.sentence,8845,8857,50
chapter.sentence,8858,8916,51
chapter.paragraph,8918,9810,14
chapter.sentence,8918,9810,52
quote.nonquote,8918,10228
chapter.paragraph,9812,10122,15
chapter.sentence,9812,10122,53
chapter.paragraph,10124,10175,16
chapter.sentence,10124,10149,54
chapter.sentence,10150,10175,55
chapter.paragraph,10177,10228,17
chapter.sentence,10177,10205,56
chapter.sentence,10206,10228,57
chapter.paragraph,10230,10403,18
chapter.sentence,10230,10249,58
quote.quote,10230,10289
chapter.sentence,10250,10403,59
quote.nonquote,10290,10403
chapter.paragraph,10405,10548,19
chapter.sentence,10405,10461,60
quote.quote,10405,10548
chapter.sentence,10462,10548,61
chapter.paragraph,10550,10602,20
chapter.sentence,10550,10602,62
quote.nonquote,10550,10602
chapter.paragraph,10604,11001,21
chapter.sentence,10604,10674,63
quote.quote,10604,11001
chapter.sentence,10675,10728,64
chapter.sentence,10729,10769,65
chapter.sentence,10770,10775,66
chapter.sentence,10776,10805,67
chapter.sentence,10806,10833,68
chapter.sentence,10834,10859,69
chapter.sentence,10860,10878,70
chapter.sentence,10879,10954,71
chapter.sentence,10955,11001,72
chapter.paragraph,11003,11257,22
chapter.sentence,11003,11042,73
quote.quote,11003,11042
chapter.sentence,11043,11099,74
quote.nonquote,11043,11099
chapter.sentence,11100,11118,75
quote.quote,11100,11257
chapter.sentence,11119,11141,76
chapter.sentence,11142,11257,77
chapter.paragraph,11259,11415,23
chapter.sentence,11259,11384,78
quote.quote,11259,11353
quote.nonquote,11353,11384
chapter.sentence,11385,11415,79
quote.quote,11385,11415
chapter.paragraph,11417,11517,24
chapter.sentence,11417,11438,80
quote.quote,11417,11517
chapter.sentence,11439,11517,81
chapter.paragraph,11519,11713,25
chapter.sentence,11519,11648,82
quote.quote,11519,11545
quote.nonquote,11545,11583
quote.suspension.short,11545,11583
quote.quote,11584,11713
chapter.sentence,11649,11713,83
chapter.paragraph,11715,11876,26
chapter.sentence,11715,11861,84
quote.nonquote,11715,13083
chapter.sentence,11862,11876,85
chapter.paragraph,11878,12366,27
chapter.sentence,11878,11930,86
chapter.sentence,11931,12170,87
chapter.sentence,12171,12366,88
chapter.paragraph,12368,12814,28
chapter.sentence,12368,12463,89
chapter.sentence,12464,12605,90
chapter.sentence,12606,12814,91
chapter.paragraph,12816,13020,29
chapter.sentence,12816,13020,92
chapter.paragraph,13022,13083,30
chapter.sentence,13022,13083,93
chapter.paragraph,13085,13143,31
chapter.sentence,13085,13103,94
quote.quote,13085,13143
chapter.sentence,13104,13143,95
chapter.paragraph,13145,13185,32
chapter.sentence,13145,13185,96
quote.quote,13145,13158
quote.nonquote,13158,13206
chapter.paragraph,13187,13195,33
chapter.sentence,13187,13195,97
chapter.paragraph,13197,13206,34
chapter.sentence,13197,13206,98
chapter.paragraph,13208,13383,35
chapter.sentence,13208,13259,99
quote.quote,13208,13241
quote.nonquote,13241,13259
chapter.sentence,13260,13383,100
quote.quote,13260,13383
chapter.paragraph,13385,13471,36
chapter.sentence,13385,13471,101
quote.nonquote,13385,13471
chapter.paragraph,13473,14217,37
chapter.sentence,13473,13498,102
quote.quote,13473,14217
chapter.sentence,13499,13553,103
chapter.sentence,13554,13569,104
chapter.sentence,13570,13599,105
chapter.sentence,13600,13722,106
chapter.sentence,13723,13836,107
chapter.sentence,13837,14038,108
chapter.sentence,14039,14143,109
chapter.sentence,14144,14192,110
chapter.sentence,14193,14217,111
chapter.paragraph,14219,14811,38
chapter.sentence,14219,14518,112
quote.nonquote,14219,15256
chapter.sentence,14519,14811,113
chapter.paragraph,14813,17128,39
chapter.sentence,14813,14927,114
chapter.sentence,14928,15057,115
chapter.sentence,15058,15224,116
chapter.sentence,15225,15709,117
quote.quote,15257,15282
quote.nonquote,15282,16644
chapter.sentence,15710,15912,118
chapter.sentence,15913,16247,119
chapter.sentence,16248,16574,120
chapter.sentence,16575,16680,121
quote.quote,16645,16679
quote.nonquote,16679,17128
chapter.sentence,16681,17128,122
chapter.paragraph,17130,17714,40
chapter.sentence,17130,17212,123
quote.quote,17130,17714
chapter.sentence,17213,17288,124
chapter.sentence,17289,17418,125
chapter.sentence,17419,17714,126
chapter.paragraph,17716,17950,41
chapter.sentence,17716,17950,127
quote.nonquote,17716,17950
chapter.paragraph,17952,18046,42
chapter.sentence,17952,18046,128
quote.quote,17952,18046
chapter.paragraph,18048,20736,43
chapter.sentence,18048,18195,129
quote.nonquote,18048,20998
chapter.sentence,18196,18469,130
chapter.sentence,18470,18616,131
chapter.sentence,18617,18904,132
chapter.sentence,18905,19086,133
chapter.sentence,19087,19307,134
chapter.sentence,19308,19527,135
chapter.sentence,19528,19807,136
chapter.sentence,19808,19951,137
chapter.sentence,19952,20093,138
chapter.sentence,20094,20234,139
chapter.sentence,20235,20485,140
chapter.sentence,20486,20736,141
chapter.paragraph,20738,21118,44
chapter.sentence,20738,20915,142
chapter.sentence,20916,21118,143
quote.quote,20999,21020
quote.nonquote,21020,22244
chapter.paragraph,21120,21330,45
chapter.sentence,21120,21330,144
chapter.paragraph,21332,22470,46
chapter.sentence,21332,21591,145
chapter.sentence,21592,21683,146
chapter.sentence,21684,21823,147
chapter.sentence,21824,22155,148
chapter.sentence,22157,22470,149
quote.quote,22245,22259
quote.nonquote,22259,26203
chapter.paragraph,22472,23047,47
chapter.sentence,22472,22540,150
chapter.sentence,22541,22603,151
chapter.sentence,22604,22746,152
chapter.sentence,22747,22910,153
chapter.sentence,22911,23047,154
chapter.paragraph,23049,23508,48
chapter.sentence,23049,23113,155
chapter.sentence,23114,23508,156
chapter.paragraph,23510,24173,49
chapter.sentence,23510,23962,157
chapter.sentence,23963,24173,158
chapter.paragraph,24175,26203,50
