metadata.title,0,13
metadata.author,14,37
chapter.title,39,54,1
chapter.title,56,74,2
chapter.text,76,13787,2
chapter.paragraph,76,803,1
chapter.sentence,76,180,1
quote.nonquote,76,3873
chapter.sentence,181,263,2
chapter.sentence,264,447,3
chapter.sentence,448,607,4
chapter.sentence,608,803,5
chapter.paragraph,805,1178,2
chapter.sentence,805,972,6
chapter.sentence,973,1094,7
chapter.sentence,1095,1178,8
chapter.paragraph,1180,1777,3
chapter.sentence,1180,1268,9
chapter.sentence,1269,1373,10
chapter.sentence,1374,1725,11
chapter.sentence,1726,1777,12
chapter.paragraph,1779,1876,4
chapter.sentence,1779,1828,13
chapter.sentence,1829,1876,14
chapter.paragraph,1878,2533,5
chapter.sentence,1878,2047,15
chapter.sentence,2048,2533,16
chapter.paragraph,2535,3016,6
chapter.sentence,2535,2568,17
chapter.sentence,2569,2683,18
chapter.sentence,2684,2743,19
chapter.sentence,2744,2886,20
chapter.sentence,2887,3016,21
chapter.paragraph,3018,3873,7
chapter.sentence,3018,3063,22
chapter.sentence,3064,3433,23
chapter.sentence,3434,3571,24
chapter.sentence,3572,3873,25
chapter.paragraph,3875,3921,8
chapter.sentence,3875,3921,26
quote.quote,3875,3897
quote.nonquote,3897,3921
chapter.paragraph,3923,3999,9
chapter.sentence,3923,3943,27
quote.quote,3923,3955
chapter.sentence,3944,3955,28
chapter.sentence,3956,3999,29
quote.nonquote,3956,4359
chapter.paragraph,4001,4173,10
chapter.sentence,4001,4173,30
chapter.paragraph,4175,4359,11
chapter.sentence,4175,4359,31
chapter.paragraph,4361,4978,12
chapter.sentence,4361,4591,32
quote.quote,4361,4687
chapter.sentence,4592,4653,33
chapter.sentence,4654,4687,34
chapter.sentence,4688,4873,35
quote.nonquote,4688,4778
quote.suspension.long,4688,4778
quote.quote,4779,4978
chapter.sentence,4874,4909,36
chapter.sentence,4910,4978,37
chapter.paragraph,4980,5048,13
chapter.sentence,4980,4997,38
quote.nonquote,4980,5048
chapter.sentence,4998,5048,39
chapter.paragraph,5050,5336,14
chapter.sentence,5050,5082,40
quote.quote,5050,5082
chapter.sentence,5083,5336,41
quote.nonquote,5083,6012
chapter.paragraph,5338,5734,15
chapter.sentence,5338,5643,42
chapter.sentence,5644,5734,43
chapter.paragraph,5736,5932,16
chapter.sentence,5736,5932,44
chapter.paragraph,5934,6012,17
chapter.sentence,5934,6012,45
chapter.paragraph,6014,6195,18
chapter.sentence,6014,6195,46
quote.quote,6014,6043
quote.nonquote,6044,6195
chapter.paragraph,6197,6856,19
chapter.sentence,6197,6342,47
quote.quote,6197,6223
quote.nonquote,6223,6248
quote.suspension.short,6223,6248
quote.quote,6249,6776
chapter.sentence,6343,6561,48
chapter.sentence,6562,6661,49
chapter.sentence,6662,6731,50
chapter.sentence,6732,6776,51
chapter.sentence,6777,6856,52
quote.nonquote,6777,6984
chapter.paragraph,6858,7207,20
chapter.sentence,6858,7207,53
quote.quote,6985,7207
chapter.paragraph,7209,7337,21
chapter.sentence,7209,7221,54
quote.quote,7209,7337
chapter.sentence,7222,7337,55
chapter.paragraph,7339,7640,22
chapter.sentence,7339,7480,56
quote.quote,7339,7350
quote.nonquote,7350,7383
quote.suspension.short,7350,7383
quote.quote,7384,7640
chapter.sentence,7481,7640,57
chapter.paragraph,7642,8326,23
chapter.sentence,7642,7659,58
quote.nonquote,7642,7713
chapter.sentence,7660,7679,59
chapter.sentence,7680,7807,60
quote.quote,7714,8326
chapter.sentence,7808,7933,61
chapter.sentence,7934,8062,62
chapter.sentence,8063,8326,63
chapter.paragraph,8328,8447,24
chapter.sentence,8328,8363,64
quote.quote,8328,8363
chapter.sentence,8364,8447,65
quote.nonquote,8364,8447
chapter.paragraph,8449,9030,25
chapter.sentence,8449,8600,66
quote.quote,8449,8482
quote.nonquote,8482,8501
quote.suspension.short,8482,8501
quote.quote,8502,9030
chapter.sentence,8601,8770,67
chapter.sentence,8771,8875,68
chapter.sentence,8876,9030,69
chapter.paragraph,9032,9069,26
chapter.sentence,9032,9069,70
quote.nonquote,9032,9069
chapter.paragraph,9071,9604,27
chapter.sentence,9071,9168,71
quote.quote,9071,9089
quote.nonquote,9089,9127
quote.suspension.long,9089,9127
quote.quote,9128,9604
chapter.sentence,9169,9272,72
chapter.sentence,9273,9572,73
chapter.sentence,9573,9581,74
chapter.sentence,9582,9604,75
chapter.paragraph,9606,10145,28
chapter.sentence,9606,9711,76
quote.quote,9606,9956
chapter.sentence,9712,9834,77
chapter.sentence,9835,9935,78
chapter.sentence,9936,10145,79
quote.nonquote,9956,10023
quote.suspension.long,9956,10023
quote.quote,10024,10145
chapter.paragraph,10147,10535,29
chapter.sentence,10147,10214,80
quote.quote,10147,10191
quote.nonquote,10191,10214
chapter.sentence,10215,10297,81
quote.quote,10215,10309
chapter.sentence,10298,10431,82
quote.nonquote,10309,10332
quote.suspension.short,10309,10332
quote.quote,10333,10535
chapter.sentence,10432,10535,83
chapter.paragraph,10537,10734,30
chapter.sentence,10537,10734,84
quote.quote,10537,10603
quote.nonquote,10603,10787
chapter.paragraph,10736,10787,31
chapter.sentence,10736,10764,85
chapter.sentence,10765,10787,86
chapter.paragraph,10789,11223,32
chapter.sentence,10789,10910,87
quote.quote,10789,11223
chapter.sentence,10911,11084,88
chapter.sentence,11085,11114,89
chapter.sentence,11115,11223,90
chapter.paragraph,11225,11598,33
chapter.sentence,11225,11354,91
quote.quote,11225,11236
quote.nonquote,11236,11256
quote.suspension.short,11236,11256
quote.quote,11257,11354
chapter.sentence,11355,11598,92
quote.nonquote,11355,11598
chapter.paragraph,11600,12023,34
chapter.sentence,11600,11633,93
quote.quote,11600,11633
chapter.sentence,11634,11697,94
quote.nonquote,11634,11697
chapter.sentence,11698,11837,95
quote.quote,11698,12023
chapter.sentence,11838,12023,96
chapter.paragraph,12025,12463,35
chapter.sentence,12025,12135,97
quote.nonquote,12025,13787
chapter.sentence,12136,12280,98
chapter.sentence,12281,12293,99
chapter.sentence,12294,12416,100
chapter.sentence,12417,12463,101
chapter.paragraph,12465,12585,36
chapter.sentence,12465,12585,102
chapter.paragraph,12587,13787,37
chapter.sentence,12587,12658,103
chapter.sentence,12659,12755,104
chapter.sentence,12756,12992,105
chapter.sentence,12993,13114,106
chapter.sentence,13115,13311,107
chapter.sentence,13312,13454,108
chapter.sentence,13455,13527,109
chapter.sentence,13528,13626,110
chapter.sentence,13627,13787,111
chapter.title,13789,13808,3
chapter.text,13810,28776,3
chapter.paragraph,13810,14475,1
chapter.sentence,13810,13961,1
quote.nonquote,13810,14130
chapter.sentence,13962,14130,2
chapter.sentence,14131,14227,3
quote.quote,14131,14140
quote.nonquote,14140,14156
quote.suspension.short,14140,14156
quote.quote,14157,14348
chapter.sentence,14228,14348,4
chapter.sentence,14349,14475,5
quote.nonquote,14349,14463
quote.quote,14464,14475
chapter.paragraph,14477,14910,2
chapter.sentence,14477,14667,6
quote.nonquote,14477,15689
chapter.sentence,14668,14910,7
chapter.paragraph,14912,15834,3
chapter.sentence,14912,15014,8
chapter.sentence,15015,15197,9
chapter.sentence,15198,15416,10
chapter.sentence,15417,15565,11
chapter.sentence,15566,15730,12
quote.quote,15690,15730
chapter.sentence,15731,15834,13
quote.nonquote,15731,16437
chapter.paragraph,15836,16325,4
chapter.sentence,15836,15956,14
chapter.sentence,15957,16267,15
chapter.sentence,16268,16325,16
chapter.paragraph,16327,16602,5
chapter.sentence,16327,16437,17
chapter.sentence,16438,16519,18
quote.quote,16438,16480
quote.nonquote,16480,16492
quote.suspension.short,16480,16492
quote.quote,16493,16576
chapter.sentence,16520,16576,19
chapter.sentence,16577,16602,20
quote.nonquote,16577,17003
chapter.paragraph,16604,16936,6
chapter.sentence,16604,16734,21
chapter.sentence,16735,16936,22
chapter.paragraph,16938,17630,7
chapter.sentence,16938,17069,23
