metadata.title,0,12
metadata.author,13,24
chapter.title,26,53,1
chapter.title,55,74,2
chapter.text,76,25583,2
chapter.paragraph,76,160,1
chapter.sentence,76,160,1
quote.nonquote,76,1791
chapter.paragraph,162,660,2
chapter.sentence,162,386,2
chapter.sentence,387,660,3
chapter.paragraph,662,909,3
chapter.sentence,662,909,4
chapter.paragraph,911,1107,4
chapter.sentence,911,1107,5
chapter.paragraph,1109,1389,5
chapter.sentence,1109,1389,6
chapter.paragraph,1391,1725,6
chapter.sentence,1391,1725,7
chapter.paragraph,1727,1817,7
chapter.sentence,1727,1817,8
quote.quote,1792,1807
quote.nonquote,1808,2018
chapter.paragraph,1819,2018,8
chapter.sentence,1819,2018,9
chapter.paragraph,2020,2255,9
chapter.sentence,2020,2064,10
quote.quote,2020,2064
chapter.sentence,2065,2255,11
quote.nonquote,2065,5093
chapter.paragraph,2257,2507,10
chapter.sentence,2257,2507,12
chapter.paragraph,2509,3642,11
chapter.sentence,2509,3642,13
chapter.paragraph,3644,3784,12
chapter.sentence,3644,3784,14
chapter.paragraph,3786,4442,13
chapter.sentence,3786,4442,15
chapter.paragraph,4444,4976,14
chapter.sentence,4444,4542,16
chapter.sentence,4543,4630,17
chapter.sentence,4631,4849,18
chapter.sentence,4850,4976,19
chapter.paragraph,4978,5093,15
chapter.sentence,4978,5093,20
chapter.paragraph,5095,5278,16
chapter.sentence,5095,5249,21
quote.quote,5095,5278
chapter.sentence,5250,5278,22
chapter.paragraph,5280,5389,17
chapter.sentence,5280,5389,23
quote.nonquote,5280,5350
quote.quote,5351,5389
chapter.paragraph,5391,5467,18
chapter.sentence,5391,5418,24
quote.nonquote,5391,5392
quote.quote,5393,5467
chapter.sentence,5419,5467,25
chapter.paragraph,5469,5555,19
chapter.sentence,5469,5485,26
quote.nonquote,5469,6927
chapter.sentence,5486,5555,27
chapter.paragraph,5557,5625,20
chapter.sentence,5557,5625,28
chapter.paragraph,5627,6099,21
chapter.sentence,5627,5839,29
chapter.sentence,5840,6099,30
chapter.paragraph,6101,6197,22
chapter.sentence,6101,6197,31
chapter.paragraph,6199,6531,23
chapter.sentence,6199,6334,32
chapter.sentence,6335,6531,33
chapter.paragraph,6533,6668,24
chapter.sentence,6533,6668,34
chapter.paragraph,6670,6855,25
chapter.sentence,6670,6758,35
chapter.sentence,6759,6855,36
chapter.paragraph,6857,7015,26
chapter.sentence,6857,6980,37
quote.quote,6928,6937
quote.nonquote,6938,6953
quote.suspension.short,6938,6953
quote.quote,6954,7015
chapter.sentence,6981,7015,38
chapter.paragraph,7017,7092,27
chapter.sentence,7017,7092,39
quote.quote,7017,7092
chapter.paragraph,7094,7206,28
chapter.sentence,7094,7109,40
quote.nonquote,7094,7242
chapter.sentence,7110,7143,41
chapter.sentence,7144,7206,42
chapter.paragraph,7208,7294,29
