metadata.title,0,31
metadata.author,32,48
chapter.title,50,55,1
chapter.text,57,9629,1
chapter.paragraph,57,137,1
chapter.sentence,57,137,1
quote.quote,57,137
chapter.paragraph,139,222,2
chapter.sentence,139,176,2
quote.quote,139,176
chapter.sentence,177,222,3
quote.nonquote,177,222
chapter.paragraph,224,479,3
chapter.sentence,224,300,4
quote.quote,224,479
chapter.sentence,301,336,5
chapter.sentence,337,363,6
chapter.sentence,364,479,7
chapter.paragraph,481,849,4
chapter.sentence,481,492,8
quote.quote,481,550
chapter.sentence,493,501,9
chapter.sentence,502,697,10
quote.nonquote,551,849
chapter.sentence,698,849,11
chapter.paragraph,851,1040,5
chapter.sentence,851,887,12
quote.quote,851,887
chapter.sentence,888,993,13
quote.nonquote,888,993
chapter.sentence,994,1040,14
quote.quote,994,1040
chapter.paragraph,1042,1707,6
chapter.sentence,1042,1153,15
quote.nonquote,1042,2103
chapter.sentence,1154,1239,16
chapter.sentence,1240,1450,17
chapter.sentence,1451,1707,18
chapter.paragraph,1709,2103,7
chapter.sentence,1709,2103,19
chapter.paragraph,2105,2242,8
chapter.sentence,2105,2162,20
quote.quote,2105,2196
chapter.sentence,2163,2196,21
chapter.sentence,2197,2242,22
quote.nonquote,2197,2242
chapter.paragraph,2244,3192,9
chapter.sentence,2244,2278,23
quote.quote,2244,2278
chapter.sentence,2279,2485,24
quote.nonquote,2279,2485
chapter.sentence,2486,2628,25
quote.quote,2486,3192
chapter.sentence,2629,2735,26
chapter.sentence,2736,2796,27
chapter.sentence,2797,3002,28
chapter.sentence,3003,3192,29
chapter.paragraph,3194,3729,10
chapter.sentence,3194,3238,30
quote.nonquote,3194,3238
chapter.sentence,3239,3388,31
quote.quote,3239,3729
chapter.sentence,3389,3582,32
chapter.sentence,3583,3729,33
chapter.paragraph,3731,4434,11
chapter.sentence,3731,3863,34
quote.nonquote,3731,4382
chapter.sentence,3864,3903,35
chapter.sentence,3904,4159,36
chapter.sentence,4160,4278,37
chapter.sentence,4279,4429,38
quote.quote,4383,4429
chapter.sentence,4430,4434,39
quote.nonquote,4430,4706
chapter.paragraph,4436,4706,12
chapter.sentence,4436,4706,40
chapter.paragraph,4708,4837,13
chapter.sentence,4708,4763,41
quote.quote,4708,4763
chapter.sentence,4764,4783,42
quote.nonquote,4764,4783
chapter.sentence,4784,4837,43
quote.quote,4784,4837
chapter.paragraph,4839,4906,14
chapter.sentence,4839,4906,44
quote.quote,4839,4906
chapter.paragraph,4908,5447,15
chapter.sentence,4908,5229,45
quote.quote,4908,4996
quote.nonquote,4997,5110
quote.suspension.long,4997,5110
quote.quote,5111,5447
chapter.sentence,5230,5311,46
chapter.sentence,5312,5348,47
chapter.sentence,5349,5447,48
chapter.paragraph,5449,5570,16
chapter.sentence,5449,5468,49
quote.quote,5449,5570
chapter.sentence,5469,5570,50
chapter.paragraph,5572,5651,17
chapter.sentence,5572,5651,51
quote.quote,5572,5651
chapter.paragraph,5653,5764,18
chapter.sentence,5653,5686,52
quote.quote,5653,5764
chapter.sentence,5687,5723,53
chapter.sentence,5724,5764,54
chapter.paragraph,5766,6331,19
chapter.sentence,5766,6011,55
quote.nonquote,5766,6745
chapter.sentence,6012,6331,56
chapter.paragraph,6333,6948,20
chapter.sentence,6333,6592,57
chapter.sentence,6593,6948,58
quote.quote,6746,6766
quote.nonquote,6766,7161
chapter.paragraph,6950,7012,21
chapter.sentence,6950,7012,59
chapter.paragraph,7014,7195,22
chapter.sentence,7014,7195,60
quote.quote,7162,7195
chapter.paragraph,7197,7256,23
chapter.sentence,7197,7214,61
quote.nonquote,7197,7256
chapter.sentence,7215,7256,62
chapter.paragraph,7258,7344,24
chapter.sentence,7258,7344,63
quote.quote,7258,7344
chapter.paragraph,7346,7448,25
chapter.sentence,7346,7448,64
quote.quote,7346,7448
chapter.paragraph,7450,8338,26
chapter.sentence,7450,7618,65
quote.nonquote,7450,8749
chapter.sentence,7619,7783,66
chapter.sentence,7784,8005,67
chapter.sentence,8006,8165,68
chapter.sentence,8166,8338,69
chapter.paragraph,8340,8646,27
chapter.sentence,8340,8646,70
chapter.paragraph,8648,9016,28
chapter.sentence,8648,8815,71
quote.quote,8750,9016
chapter.sentence,8816,8945,72
chapter.sentence,8946,9016,73
chapter.paragraph,9018,9049,29
chapter.sentence,9018,9049,74
quote.nonquote,9018,9049
chapter.paragraph,9051,9346,30
chapter.sentence,9051,9261,75
quote.quote,9051,9346
chapter.sentence,9262,9346,76
chapter.paragraph,9348,9629,31
chapter.sentence,9348,9629,77
quote.nonquote,9348,9629
chapter.title,9631,9636,2
chapter.text,9638,20952,2
chapter.paragraph,9638,10523,1
chapter.sentence,9638,9738,1
quote.nonquote,9638,9900
chapter.sentence,9739,9900,2
chapter.sentence,9901,10196,3
quote.quote,9901,10029
quote.nonquote,10030,10523
chapter.sentence,10197,10276,4
chapter.sentence,10277,10416,5
chapter.sentence,10417,10523,6
chapter.paragraph,10525,10732,2
chapter.sentence,10525,10574,7
quote.quote,10525,10732
chapter.sentence,10575,10732,8
chapter.paragraph,10734,11750,3
chapter.sentence,10734,10845,9
quote.nonquote,10734,13551
chapter.sentence,10846,11013,10
chapter.sentence,11014,11129,11
chapter.sentence,11130,11196,12
chapter.sentence,11197,11518,13
chapter.sentence,11519,11644,14
chapter.sentence,11645,11750,15
chapter.paragraph,11752,12111,4
chapter.sentence,11752,11830,16
chapter.sentence,11831,11990,17
chapter.sentence,11991,12081,18
chapter.sentence,12082,12111,19
chapter.paragraph,12113,12696,5
chapter.sentence,12113,12360,20
chapter.sentence,12361,12534,21
chapter.sentence,12535,12696,22
chapter.paragraph,12698,13161,6
chapter.sentence,12698,12826,23
chapter.sentence,12828,12848,24
chapter.sentence,12849,12963,25
chapter.sentence,12964,13161,26
chapter.paragraph,13163,13720,7
chapter.sentence,13163,13582,27
quote.quote,13552,13582
chapter.sentence,13583,13626,28
quote.nonquote,13583,14821
chapter.sentence,13627,13720,29
chapter.paragraph,13722,14295,8
chapter.sentence,13722,14295,30
chapter.paragraph,14297,14455,9
chapter.sentence,14297,14455,31
chapter.paragraph,14457,14875,10
chapter.sentence,14457,14519,32
chapter.sentence,14520,14601,33
chapter.sentence,14602,14737,34
chapter.sentence,14738,14875,35
quote.quote,14822,14875
chapter.paragraph,14877,15254,11
chapter.sentence,14877,14971,36
quote.nonquote,14877,15063
chapter.sentence,14972,15063,37
chapter.sentence,15064,15147,38
quote.quote,15064,15147
chapter.sentence,15148,15254,39
quote.nonquote,15148,15834
chapter.paragraph,15256,15611,12
chapter.sentence,15256,15303,40
chapter.sentence,15304,15474,41
chapter.sentence,15475,15611,42
chapter.paragraph,15613,15701,13
chapter.sentence,15613,15629,43
chapter.sentence,15630,15701,44
chapter.paragraph,15703,15783,14
chapter.sentence,15703,15783,45
chapter.paragraph,15785,15999,15
chapter.sentence,15785,15834,46
chapter.sentence,15835,15999,47
quote.quote,15835,15999
chapter.paragraph,16001,16129,16
chapter.sentence,16001,16129,48
quote.nonquote,16001,16275
chapter.paragraph,16131,16167,17
chapter.sentence,16131,16154,49
chapter.sentence,16155,16167,50
chapter.paragraph,16169,16275,18
chapter.sentence,16169,16275,51
chapter.paragraph,16277,17429,19
chapter.sentence,16277,16312,52
quote.quote,16277,16312
chapter.sentence,16313,16332,53
quote.nonquote,16313,16332
chapter.sentence,16333,16377,54
quote.quote,16333,16944
chapter.sentence,16378,16507,55
chapter.sentence,16508,16632,56
chapter.sentence,16633,16746,57
chapter.sentence,16747,16871,58
chapter.sentence,16872,16944,59
chapter.sentence,16945,16961,60
quote.nonquote,16945,16961
chapter.sentence,16962,17022,61
quote.quote,16962,17233
chapter.sentence,17023,17158,62
chapter.sentence,17159,17333,63
quote.nonquote,17234,17309
quote.suspension.long,17234,17309
quote.quote,17310,17429
chapter.sentence,17334,17368,64
chapter.sentence,17369,17429,65
chapter.paragraph,17431,17618,20
chapter.sentence,17431,17491,66
quote.nonquote,17431,17618
chapter.sentence,17492,17618,67
chapter.paragraph,17620,18054,21
chapter.sentence,17620,17657,68
quote.quote,17620,17657
chapter.sentence,17658,18054,69
quote.nonquote,17658,18054
chapter.paragraph,18056,19150,22
chapter.sentence,18056,18386,70
quote.quote,18056,18103
quote.nonquote,18104,18208
quote.suspension.long,18104,18208
quote.quote,18209,18775
chapter.sentence,18387,18577,71
chapter.sentence,18578,18766,72
chapter.sentence,18767,19002,73
quote.nonquote,18776,18797
quote.suspension.short,18776,18797
quote.quote,18798,19150
chapter.sentence,19003,19089,74
chapter.sentence,19090,19150,75
chapter.paragraph,19152,19323,23
chapter.sentence,19152,19199,76
quote.nonquote,19152,19323
chapter.sentence,19200,19323,77
chapter.paragraph,19325,19596,24
chapter.sentence,19325,19374,78
quote.quote,19325,19374
chapter.sentence,19375,19401,79
quote.nonquote,19375,19401
chapter.sentence,19402,19596,80
quote.quote,19402,19596
chapter.paragraph,19598,20066,25
chapter.sentence,19598,19656,81
quote.nonquote,19598,20952
chapter.sentence,19657,19726,82
chapter.sentence,19727,19902,83
chapter.sentence,19903,20066,84
chapter.paragraph,20068,20952,26
chapter.sentence,20068,20164,85
chapter.sentence,20165,20322,86
chapter.sentence,20323,20485,87
chapter.sentence,20486,20636,88
chapter.sentence,20637,20952,89
chapter.title,20954,20959,3
chapter.text,20961,30506,3
chapter.paragraph,20961,21221,1
chapter.sentence,20961,20991,1
quote.nonquote,20961,23316
chapter.sentence,20992,21221,2
chapter.paragraph,21223,22813,2
chapter.sentence,21223,21287,3
chapter.sentence,21288,21572,4
chapter.sentence,21573,21646,5
chapter.sentence,21647,21879,6
chapter.sentence,21880,22173,7
chapter.sentence,22174,22422,8
chapter.sentence,22423,22517,9
chapter.sentence,22518,22601,10
chapter.sentence,22602,22813,11
chapter.paragraph,22815,22941,3
chapter.sentence,22815,22941,12
chapter.paragraph,22943,23316,4
chapter.sentence,22943,22970,13
chapter.sentence,22971,23172,14
chapter.sentence,23173,23316,15
chapter.paragraph,23318,23441,5
chapter.sentence,23318,23369,16
quote.quote,23318,23441
chapter.sentence,23370,23441,17
chapter.paragraph,23443,23741,6
chapter.sentence,23443,23741,18
quote.nonquote,23443,23846
chapter.paragraph,23743,23846,7
chapter.sentence,23743,23781,19
chapter.sentence,23782,23846,20
chapter.paragraph,23848,23926,8
chapter.sentence,23848,23888,21
quote.quote,23848,23888
chapter.sentence,23889,23926,22
quote.nonquote,23889,24407
chapter.paragraph,23928,24407,9
chapter.sentence,23928,24014,23
chapter.sentence,24015,24228,24
chapter.sentence,24229,24323,25
chapter.sentence,24324,24407,26
chapter.paragraph,24409,24557,10
chapter.sentence,24409,24557,27
quote.quote,24409,24467
quote.nonquote,24468,24601
chapter.paragraph,24559,24601,11
chapter.sentence,24559,24567,28
chapter.sentence,24568,24601,29
chapter.paragraph,24603,24638,12
chapter.sentence,24603,24638,30
quote.quote,24603,24638
chapter.paragraph,24640,24683,13
chapter.sentence,24640,24658,31
quote.nonquote,24640,24683
chapter.sentence,24659,24683,32
chapter.paragraph,24685,24829,14
chapter.sentence,24685,24780,33
quote.quote,24685,24829
chapter.sentence,24781,24829,34
chapter.paragraph,24831,24865,15
chapter.sentence,24831,24865,35
quote.quote,24831,24865
chapter.paragraph,24867,24962,16
chapter.sentence,24867,24962,36
quote.quote,24867,24962
chapter.paragraph,24964,25045,17
chapter.sentence,24964,25045,37
quote.nonquote,24964,25309
chapter.paragraph,25047,25309,18
chapter.sentence,25047,25167,38
chapter.sentence,25168,25309,39
chapter.paragraph,25311,25661,19
chapter.sentence,25311,25377,40
quote.quote,25311,25366
quote.nonquote,25367,25475
chapter.sentence,25379,25475,41
chapter.sentence,25476,25512,42
quote.quote,25476,25661
chapter.sentence,25513,25661,43
chapter.paragraph,25663,25742,20
chapter.sentence,25663,25742,44
quote.nonquote,25663,25742
chapter.paragraph,25744,25953,21
chapter.sentence,25744,25786,45
quote.quote,25744,25786
chapter.sentence,25787,25801,46
quote.nonquote,25787,25801
chapter.sentence,25802,25953,47
quote.quote,25802,25953
chapter.paragraph,25955,26247,22
chapter.sentence,25955,25994,48
quote.quote,25955,26247
chapter.sentence,25995,26144,49
chapter.sentence,26145,26247,50
chapter.paragraph,26249,26474,23
chapter.sentence,26249,26320,51
quote.nonquote,26249,27459
chapter.sentence,26321,26474,52
chapter.paragraph,26476,27309,24
chapter.sentence,26476,26699,53
chapter.sentence,26700,26829,54
chapter.sentence,26830,27058,55
chapter.sentence,27059,27309,56
chapter.paragraph,27311,27459,25
chapter.sentence,27311,27459,57
chapter.paragraph,27461,27999,26
chapter.sentence,27461,27631,58
quote.quote,27461,27526
quote.nonquote,27527,27631
chapter.sentence,27632,27846,59
quote.quote,27632,27999
chapter.sentence,27847,27999,60
chapter.paragraph,28001,28077,27
chapter.sentence,28001,28077,61
quote.nonquote,28001,28077
chapter.paragraph,28079,28212,28
chapter.sentence,28079,28212,62
quote.quote,28079,28132
quote.nonquote,28133,28212
chapter.paragraph,28214,28330,29
chapter.sentence,28214,28262,63
quote.quote,28214,28262
chapter.sentence,28263,28330,64
quote.nonquote,28263,28363
chapter.paragraph,28332,28363,30
chapter.sentence,28332,28363,65
chapter.paragraph,28365,29612,31
chapter.sentence,28365,28444,66
quote.quote,28365,28444
chapter.sentence,28445,28470,67
quote.nonquote,28445,28470
chapter.sentence,28471,28603,68
quote.quote,28471,29612
chapter.sentence,28604,28727,69
chapter.sentence,28728,29070,70
chapter.sentence,29071,29212,71
chapter.sentence,29213,29443,72
chapter.sentence,29444,29612,73
chapter.paragraph,29614,30130,32
chapter.sentence,29614,29678,74
quote.nonquote,29614,30506
chapter.sentence,29679,29886,75
chapter.sentence,29887,30066,76
chapter.sentence,30067,30130,77
chapter.paragraph,30132,30506,33
chapter.sentence,30132,30506,78
chapter.title,30508,30513,4
chapter.text,30515,37793,4
chapter.paragraph,30515,30785,1
chapter.sentence,30515,30638,1
quote.nonquote,30515,31024
chapter.sentence,30639,30785,2
chapter.paragraph,30787,30881,2
chapter.sentence,30787,30809,3
chapter.sentence,30810,30881,4
chapter.paragraph,30883,30984,3
chapter.sentence,30883,30984,5
chapter.paragraph,30986,31075,4
chapter.sentence,30986,31075,6
quote.quote,31025,31075
chapter.paragraph,31077,31138,5
chapter.sentence,31077,31138,7
quote.quote,31077,31138
chapter.paragraph,31140,31265,6
chapter.sentence,31140,31186,8
quote.quote,31140,31265
