metadata.title,0,29
metadata.author,30,47
chapter.title,49,70,1
chapter.text,72,38486,1
chapter.paragraph,72,1835,1
chapter.sentence,72,292,1
quote.nonquote,72,5131
chapter.sentence,293,754,2
chapter.sentence,755,917,3
chapter.sentence,918,1288,4
chapter.sentence,1289,1535,5
chapter.sentence,1536,1835,6
chapter.paragraph,1837,2014,2
chapter.sentence,1837,2014,7
chapter.paragraph,2016,2056,3
chapter.sentence,2016,2056,8
chapter.paragraph,2058,2958,4
chapter.sentence,2058,2446,9
chapter.sentence,2447,2566,10
chapter.sentence,2567,2730,11
chapter.sentence,2731,2958,12
chapter.paragraph,2960,3803,5
chapter.sentence,2960,3134,13
chapter.sentence,3135,3243,14
chapter.sentence,3244,3708,15
chapter.sentence,3709,3803,16
chapter.paragraph,3805,5292,6
chapter.sentence,3805,3957,17
chapter.sentence,3958,5292,18
quote.quote,5132,5155
quote.nonquote,5155,10231
chapter.paragraph,5294,6339,7
chapter.sentence,5294,5522,19
chapter.sentence,5523,6150,20
chapter.sentence,6151,6339,21
chapter.paragraph,6341,9025,8
chapter.sentence,6341,6621,22
chapter.sentence,6622,7122,23
chapter.sentence,7123,7769,24
chapter.sentence,7770,7919,25
chapter.sentence,7920,8035,26
chapter.sentence,8036,8194,27
chapter.sentence,8195,8511,28
chapter.sentence,8512,9025,29
chapter.paragraph,9027,9786,9
chapter.sentence,9027,9133,30
chapter.sentence,9134,9649,31
chapter.sentence,9650,9786,32
chapter.paragraph,9788,10481,10
chapter.sentence,9788,9850,33
chapter.sentence,9851,10111,34
chapter.sentence,10112,10481,35
quote.quote,10232,10258
quote.nonquote,10258,10399
quote.suspension.long,10258,10399
quote.quote,10400,10426
quote.nonquote,10426,16672
chapter.paragraph,10483,11572,11
chapter.sentence,10483,10674,36
chapter.sentence,10675,11004,37
chapter.sentence,11005,11276,38
chapter.sentence,11277,11572,39
chapter.paragraph,11574,13059,12
chapter.sentence,11574,11683,40
chapter.sentence,11684,11789,41
chapter.sentence,11790,12121,42
chapter.sentence,12122,12535,43
chapter.sentence,12536,12744,44
chapter.sentence,12745,13059,45
chapter.paragraph,13061,13583,13
chapter.sentence,13061,13583,46
chapter.paragraph,13585,16150,14
chapter.sentence,13585,16150,47
chapter.paragraph,16152,16590,15
chapter.sentence,16152,16590,48
chapter.paragraph,16592,17344,16
chapter.sentence,16592,17012,49
quote.quote,16673,17344
chapter.sentence,17013,17344,50
chapter.paragraph,17346,17535,17
chapter.sentence,17346,17535,51
quote.nonquote,17346,31376
chapter.paragraph,17537,17598,18
chapter.sentence,17537,17598,52
chapter.paragraph,17600,17717,19
chapter.sentence,17600,17717,53
chapter.paragraph,17719,19578,20
chapter.sentence,17719,17850,54
chapter.sentence,17851,17913,55
chapter.sentence,17914,18171,56
chapter.sentence,18172,18260,57
chapter.sentence,18261,18377,58
chapter.sentence,18378,18547,59
chapter.sentence,18548,18687,60
chapter.sentence,18688,18816,61
chapter.sentence,18817,19106,62
chapter.sentence,19107,19171,63
chapter.sentence,19172,19448,64
chapter.sentence,19449,19578,65
chapter.paragraph,19580,20592,21
chapter.sentence,19580,19962,66
chapter.sentence,19963,20155,67
chapter.sentence,20156,20274,68
chapter.sentence,20275,20592,69
chapter.paragraph,20594,22433,22
chapter.sentence,20594,20715,70
chapter.sentence,20716,20797,71
chapter.sentence,20798,20920,72
chapter.sentence,20921,21080,73
chapter.sentence,21081,21236,74
chapter.sentence,21237,21304,75
chapter.sentence,21305,21498,76
chapter.sentence,21499,22192,77
chapter.sentence,22193,22433,78
chapter.paragraph,22435,24757,23
chapter.sentence,22435,22795,79
chapter.sentence,22796,22978,80
chapter.sentence,22979,23094,81
chapter.sentence,23095,23260,82
chapter.sentence,23261,23417,83
chapter.sentence,23418,23635,84
chapter.sentence,23636,23885,85
chapter.sentence,23886,24105,86
chapter.sentence,24106,24480,87
chapter.sentence,24481,24757,88
chapter.paragraph,24759,25848,24
chapter.sentence,24759,24792,89
chapter.sentence,24793,25768,90
chapter.sentence,25769,25848,91
chapter.paragraph,25850,27223,25
chapter.sentence,25850,26150,92
chapter.sentence,26151,26474,93
chapter.sentence,26475,26673,94
chapter.sentence,26674,27023,95
chapter.sentence,27024,27089,96
chapter.sentence,27090,27217,97
chapter.sentence,27218,27223,98
chapter.paragraph,27225,28965,26
chapter.sentence,27225,27872,99
chapter.sentence,27873,28034,100
chapter.sentence,28035,28210,101
chapter.sentence,28211,28908,102
chapter.sentence,28909,28965,103
chapter.paragraph,28967,30473,27
chapter.sentence,28967,29355,104
chapter.sentence,29356,29855,105
chapter.sentence,29856,30121,106
chapter.sentence,30122,30302,107
chapter.sentence,30303,30473,108
chapter.paragraph,30475,31208,28
chapter.sentence,30475,31208,109
chapter.paragraph,31210,31798,29
chapter.sentence,31210,31441,110
quote.quote,31377,31441
chapter.sentence,31442,31686,111
quote.nonquote,31442,34582
chapter.sentence,31687,31798,112
chapter.paragraph,31800,32208,30
chapter.sentence,31800,31926,113
chapter.sentence,31927,32208,114
chapter.paragraph,32210,33678,31
chapter.sentence,32210,32753,115
chapter.sentence,32754,32810,116
chapter.sentence,32811,33114,117
chapter.sentence,33115,33343,118
chapter.sentence,33344,33570,119
chapter.sentence,33571,33678,120
chapter.paragraph,33680,34121,32
chapter.sentence,33680,34121,121
chapter.paragraph,34123,35856,33
chapter.sentence,34123,34256,122
chapter.sentence,34257,34385,123
chapter.sentence,34386,34602,124
quote.quote,34583,34602
chapter.sentence,34603,34787,125
quote.nonquote,34603,38486
chapter.sentence,34788,35058,126
chapter.sentence,35059,35528,127
chapter.sentence,35529,35856,128
chapter.paragraph,35858,35997,34
chapter.sentence,35858,35997,129
chapter.paragraph,35999,36474,35
chapter.sentence,35999,36351,130
chapter.sentence,36352,36474,131
chapter.paragraph,36476,37778,36
chapter.sentence,36476,37336,132
