metadata.title,0,22
metadata.author,23,35
chapter.title,37,48,1
chapter.text,50,1803,1
chapter.paragraph,50,469,1
chapter.sentence,50,108,1
quote.nonquote,50,1068
chapter.sentence,109,227,2
chapter.sentence,228,441,3
chapter.sentence,442,469,4
chapter.paragraph,471,1045,2
chapter.sentence,471,568,5
chapter.sentence,569,649,6
chapter.sentence,650,818,7
chapter.sentence,819,1045,8
chapter.paragraph,1047,1497,3
chapter.sentence,1047,1218,9
quote.quote,1069,1087
quote.nonquote,1088,1779
chapter.sentence,1219,1432,10
chapter.sentence,1433,1497,11
chapter.paragraph,1499,1597,4
chapter.sentence,1499,1597,12
chapter.paragraph,1599,1710,5
chapter.sentence,1599,1710,13
chapter.paragraph,1712,1803,6
chapter.sentence,1712,1803,14
quote.quote,1780,1803
chapter.title,1805,1833,2
chapter.text,1835,563236,2
chapter.paragraph,1835,2090,1
chapter.sentence,1835,1880,1
quote.nonquote,1835,9154
chapter.sentence,1881,1888,2
chapter.sentence,1889,1949,3
chapter.sentence,1950,2024,4
chapter.sentence,2025,2038,5
chapter.sentence,2039,2072,6
chapter.sentence,2073,2090,7
chapter.paragraph,2092,2722,2
chapter.sentence,2092,2312,8
chapter.sentence,2313,2498,9
chapter.sentence,2499,2536,10
chapter.sentence,2537,2574,11
chapter.sentence,2575,2593,12
chapter.sentence,2594,2722,13
chapter.paragraph,2724,3077,3
chapter.sentence,2724,2782,14
chapter.sentence,2783,2911,15
chapter.sentence,2912,3077,16
chapter.paragraph,3079,3286,4
chapter.sentence,3079,3145,17
chapter.sentence,3146,3216,18
chapter.sentence,3217,3286,19
chapter.paragraph,3288,3449,5
chapter.sentence,3288,3351,20
chapter.sentence,3352,3449,21
chapter.paragraph,3451,3582,6
chapter.sentence,3451,3582,22
chapter.paragraph,3584,3831,7
chapter.sentence,3584,3689,23
chapter.sentence,3690,3831,24
chapter.paragraph,3833,3966,8
chapter.sentence,3833,3966,25
chapter.paragraph,3968,4035,9
chapter.sentence,3968,4002,26
chapter.sentence,4003,4035,27
chapter.paragraph,4037,4534,10
chapter.sentence,4037,4112,28
chapter.sentence,4113,4268,29
chapter.sentence,4269,4383,30
chapter.sentence,4384,4534,31
chapter.paragraph,4536,4986,11
chapter.sentence,4536,4648,32
chapter.sentence,4649,4986,33
chapter.paragraph,4988,5116,12
chapter.sentence,4988,5116,34
chapter.paragraph,5118,5581,13
chapter.sentence,5118,5155,35
chapter.sentence,5156,5404,36
chapter.sentence,5405,5423,37
chapter.sentence,5424,5467,38
chapter.sentence,5468,5581,39
chapter.paragraph,5583,6137,14
chapter.sentence,5583,5662,40
chapter.sentence,5663,5797,41
chapter.sentence,5798,6016,42
chapter.sentence,6017,6137,43
chapter.paragraph,6139,6325,15
chapter.sentence,6139,6148,44
chapter.sentence,6149,6158,45
chapter.sentence,6159,6170,46
chapter.sentence,6171,6240,47
chapter.sentence,6241,6259,48
chapter.sentence,6260,6325,49
chapter.paragraph,6327,6556,16
chapter.sentence,6327,6350,50
chapter.sentence,6351,6372,51
chapter.sentence,6373,6406,52
chapter.sentence,6407,6437,53
chapter.sentence,6438,6556,54
chapter.paragraph,6558,6752,17
chapter.sentence,6558,6625,55
chapter.sentence,6626,6679,56
chapter.sentence,6680,6752,57
chapter.paragraph,6754,6996,18
chapter.sentence,6754,6878,58
chapter.sentence,6879,6957,59
chapter.sentence,6958,6996,60
chapter.paragraph,6998,7373,19
chapter.sentence,6998,7092,61
chapter.sentence,7093,7174,62
chapter.sentence,7175,7301,63
chapter.sentence,7302,7373,64
chapter.paragraph,7375,7606,20
chapter.sentence,7375,7574,65
chapter.sentence,7575,7606,66
chapter.paragraph,7608,7965,21
chapter.sentence,7608,7695,67
chapter.sentence,7696,7817,68
chapter.sentence,7818,7842,69
chapter.sentence,7843,7965,70
chapter.paragraph,7967,8134,22
chapter.sentence,7967,8081,71
chapter.sentence,8082,8134,72
chapter.paragraph,8136,8373,23
chapter.sentence,8136,8219,73
chapter.sentence,8220,8373,74
chapter.paragraph,8375,8556,24
chapter.sentence,8375,8556,75
chapter.paragraph,8558,9088,25
chapter.sentence,8558,8664,76
chapter.sentence,8665,8728,77
chapter.sentence,8729,8965,78
chapter.sentence,8966,9088,79
chapter.paragraph,9090,9271,26
chapter.sentence,9090,9154,80
chapter.sentence,9155,9271,81
quote.quote,9155,9225
quote.nonquote,9226,11972
chapter.paragraph,9273,10027,27
chapter.sentence,9273,9546,82
chapter.sentence,9547,9622,83
chapter.sentence,9623,9898,84
chapter.sentence,9899,10027,85
chapter.paragraph,10029,10446,28
chapter.sentence,10029,10260,86
chapter.sentence,10261,10371,87
chapter.sentence,10372,10446,88
chapter.paragraph,10448,10972,29
chapter.sentence,10448,10541,89
chapter.sentence,10542,10737,90
chapter.sentence,10738,10831,91
chapter.sentence,10832,10844,92
chapter.sentence,10845,10917,93
chapter.sentence,10918,10972,94
chapter.paragraph,10974,11113,30
chapter.sentence,10974,11046,95
chapter.sentence,11047,11113,96
chapter.paragraph,11115,12095,31
chapter.sentence,11115,11320,97
chapter.sentence,11321,11573,98
chapter.sentence,11574,11776,99
chapter.sentence,11777,11853,100
chapter.sentence,11854,11932,101
chapter.sentence,11933,12095,102
quote.quote,11973,12095
chapter.paragraph,12097,12917,32
chapter.sentence,12097,12326,103
quote.nonquote,12097,12774
chapter.sentence,12327,12369,104
chapter.sentence,12370,12528,105
chapter.sentence,12529,12603,106
chapter.sentence,12604,12809,107
quote.quote,12775,12809
chapter.sentence,12810,12867,108
quote.nonquote,12810,25101
chapter.sentence,12868,12917,109
chapter.paragraph,12919,13098,33
chapter.sentence,12919,13098,110
chapter.paragraph,13100,13532,34
chapter.sentence,13100,13138,111
chapter.sentence,13139,13246,112
chapter.sentence,13247,13532,113
chapter.paragraph,13534,13911,35
chapter.sentence,13534,13585,114
chapter.sentence,13586,13639,115
chapter.sentence,13640,13667,116
chapter.sentence,13668,13800,117
chapter.sentence,13801,13889,118
chapter.sentence,13890,13911,119
chapter.paragraph,13913,14209,36
chapter.sentence,13913,14109,120
chapter.sentence,14110,14169,121
chapter.sentence,14170,14209,122
chapter.paragraph,14211,14489,37
chapter.sentence,14211,14301,123
chapter.sentence,14302,14324,124
chapter.sentence,14325,14337,125
chapter.sentence,14338,14489,126
chapter.paragraph,14491,14671,38
chapter.sentence,14491,14671,127
chapter.paragraph,14673,14959,39
chapter.sentence,14673,14959,128
chapter.paragraph,14961,15155,40
chapter.sentence,14961,15104,129
chapter.sentence,15105,15155,130
chapter.paragraph,15157,15858,41
chapter.sentence,15157,15331,131
chapter.sentence,15332,15575,132
chapter.sentence,15576,15677,133
chapter.sentence,15678,15858,134
chapter.paragraph,15860,16440,42
chapter.sentence,15860,16021,135
chapter.sentence,16022,16411,136
chapter.sentence,16412,16440,137
chapter.paragraph,16442,16600,43
chapter.sentence,16442,16523,138
chapter.sentence,16524,16600,139
chapter.paragraph,16602,16929,44
chapter.sentence,16602,16707,140
chapter.sentence,16708,16929,141
chapter.paragraph,16931,17095,45
chapter.sentence,16931,17095,142
chapter.paragraph,17097,17288,46
chapter.sentence,17097,17124,143
chapter.sentence,17125,17167,144
chapter.sentence,17168,17288,145
chapter.paragraph,17290,17764,47
chapter.sentence,17290,17367,146
chapter.sentence,17368,17384,147
chapter.sentence,17385,17561,148
chapter.sentence,17562,17655,149
chapter.sentence,17656,17764,150
chapter.paragraph,17766,17897,48
chapter.sentence,17766,17897,151
chapter.paragraph,17899,18080,49
chapter.sentence,17899,17915,152
chapter.sentence,17916,17964,153
chapter.sentence,17965,17995,154
chapter.sentence,17996,18080,155
chapter.paragraph,18082,19013,50
chapter.sentence,18082,18263,156
chapter.sentence,18264,18304,157
chapter.sentence,18305,18496,158
chapter.sentence,18497,18559,159
chapter.sentence,18560,19013,160
chapter.paragraph,19015,19307,51
chapter.sentence,19015,19307,161
chapter.paragraph,19309,19411,52
chapter.sentence,19309,19411,162
chapter.paragraph,19413,19736,53
chapter.sentence,19413,19736,163
chapter.paragraph,19738,20102,54
chapter.sentence,19738,20102,164
chapter.paragraph,20104,20766,55
chapter.sentence,20104,20216,165
chapter.sentence,20217,20288,166
chapter.sentence,20289,20377,167
chapter.sentence,20378,20473,168
chapter.sentence,20474,20659,169
chapter.sentence,20660,20766,170
chapter.paragraph,20768,21216,56
chapter.sentence,20768,20935,171
chapter.sentence,20936,21048,172
chapter.sentence,21049,21161,173
chapter.sentence,21162,21216,174
chapter.paragraph,21218,21359,57
chapter.sentence,21218,21275,175
chapter.sentence,21276,21359,176
chapter.paragraph,21361,21528,58
chapter.sentence,21361,21528,177
chapter.paragraph,21530,21815,59
chapter.sentence,21530,21582,178
chapter.sentence,21583,21769,179
chapter.sentence,21770,21815,180
chapter.paragraph,21817,22584,60
chapter.sentence,21817,21946,181
chapter.sentence,21947,22121,182
chapter.sentence,22122,22270,183
chapter.sentence,22271,22458,184
chapter.sentence,22459,22584,185
chapter.paragraph,22586,23545,61
chapter.sentence,22586,22746,186
chapter.sentence,22747,22800,187
chapter.sentence,22801,22850,188
chapter.sentence,22851,23100,189
chapter.sentence,23101,23240,190
chapter.sentence,23241,23339,191
chapter.sentence,23340,23545,192
chapter.paragraph,23547,23985,62
chapter.sentence,23547,23725,193
chapter.sentence,23726,23985,194
chapter.paragraph,23987,24229,63
chapter.sentence,23987,24051,195
chapter.sentence,24052,24099,196
chapter.sentence,24100,24149,197
chapter.sentence,24150,24229,198
chapter.paragraph,24231,24344,64
chapter.sentence,24231,24344,199
chapter.paragraph,24346,24772,65
chapter.sentence,24346,24464,200
chapter.sentence,24465,24490,201
chapter.sentence,24491,24545,202
chapter.sentence,24546,24661,203
chapter.sentence,24662,24728,204
chapter.sentence,24729,24772,205
chapter.paragraph,24774,25374,66
chapter.sentence,24774,24821,206
chapter.sentence,24822,24855,207
chapter.sentence,24856,25292,208
quote.quote,25102,25166
quote.nonquote,25168,25172
quote.suspension.short,25168,25172
