metadata.title,0,15
metadata.author,16,30
chapter.title,32,50,1
chapter.text,52,17511,1
chapter.paragraph,52,425,1
chapter.sentence,52,365,1
quote.nonquote,52,2483
chapter.sentence,366,425,2
chapter.paragraph,427,2127,2
chapter.sentence,427,786,3
chapter.sentence,787,982,4
chapter.sentence,983,1378,5
chapter.sentence,1379,1845,6
chapter.sentence,1846,2127,7
chapter.paragraph,2129,2660,3
chapter.sentence,2129,2519,8
quote.quote,2484,2660
chapter.sentence,2520,2660,9
chapter.paragraph,2662,2752,4
chapter.sentence,2662,2680,10
quote.quote,2662,2707
chapter.sentence,2681,2707,11
chapter.sentence,2708,2752,12
quote.nonquote,2708,2752
chapter.paragraph,2754,3168,5
chapter.sentence,2754,2896,13
quote.quote,2754,2783
quote.nonquote,2783,2840
quote.suspension.long,2783,2840
quote.quote,2841,3168
chapter.sentence,2897,3168,14
chapter.paragraph,3170,4042,6
chapter.sentence,3170,3194,15
quote.nonquote,3170,4373
chapter.sentence,3195,3434,16
chapter.sentence,3435,3508,17
chapter.sentence,3509,3585,18
chapter.sentence,3586,3769,19
chapter.sentence,3771,4042,20
chapter.paragraph,4044,4373,7
chapter.sentence,4044,4373,21
chapter.paragraph,4375,4391,8
chapter.sentence,4375,4391,22
quote.quote,4375,4391
chapter.paragraph,4393,4439,9
chapter.sentence,4393,4439,23
quote.nonquote,4393,4439
chapter.paragraph,4441,4552,10
chapter.sentence,4441,4552,24
quote.quote,4441,4552
chapter.paragraph,4554,4780,11
chapter.sentence,4554,4722,25
quote.nonquote,4554,4780
chapter.sentence,4723,4780,26
chapter.paragraph,4782,4971,12
chapter.sentence,4782,4895,27
quote.quote,4782,4971
chapter.sentence,4896,4971,28
chapter.paragraph,4973,5168,13
chapter.sentence,4973,5168,29
quote.nonquote,4973,5168
chapter.paragraph,5170,5776,14
chapter.sentence,5170,5200,30
quote.quote,5170,5180
quote.nonquote,5180,5200
chapter.sentence,5201,5226,31
quote.quote,5201,5776
chapter.sentence,5227,5286,32
chapter.sentence,5287,5605,33
chapter.sentence,5606,5647,34
chapter.sentence,5648,5714,35
chapter.sentence,5715,5776,36
chapter.paragraph,5778,6606,15
chapter.sentence,5778,6084,37
quote.nonquote,5778,17511
chapter.sentence,6085,6429,38
chapter.sentence,6430,6606,39
chapter.paragraph,6608,7319,16
chapter.sentence,6608,7058,40
chapter.sentence,7059,7319,41
chapter.paragraph,7321,8446,17
chapter.sentence,7321,7784,42
chapter.sentence,7785,8112,43
chapter.sentence,8113,8446,44
chapter.paragraph,8448,9582,18
chapter.sentence,8448,8676,45
chapter.sentence,8677,9000,46
chapter.sentence,9001,9290,47
chapter.sentence,9291,9582,48
chapter.paragraph,9584,11112,19
chapter.sentence,9584,9906,49
chapter.sentence,9907,10127,50
chapter.sentence,10128,10536,51
chapter.sentence,10537,11112,52
chapter.paragraph,11114,12102,20
chapter.sentence,11114,11204,53
chapter.sentence,11205,11379,54
chapter.sentence,11380,11495,55
chapter.sentence,11496,11825,56
chapter.sentence,11826,12102,57
chapter.paragraph,12104,12484,21
chapter.sentence,12104,12484,58
chapter.paragraph,12486,12633,22
chapter.sentence,12486,12633,59
chapter.paragraph,12635,13467,23
chapter.sentence,12635,12826,60
chapter.sentence,12827,13270,61
chapter.sentence,13271,13467,62
chapter.paragraph,13469,15535,24
chapter.sentence,13469,14163,63
chapter.sentence,14164,14344,64
chapter.sentence,14345,14511,65
chapter.sentence,14512,14766,66
chapter.sentence,14767,15024,67
chapter.sentence,15025,15147,68
chapter.sentence,15148,15535,69
chapter.paragraph,15537,16228,25
chapter.sentence,15537,15709,70
chapter.sentence,15710,16013,71
chapter.sentence,16014,16228,72
chapter.paragraph,16230,17511,26
chapter.sentence,16230,16557,73
chapter.sentence,16558,16834,74
chapter.sentence,16835,17062,75
chapter.sentence,17063,17511,76
chapter.title,17513,17532,2
chapter.text,17534,26510,2
chapter.paragraph,17534,18568,1
chapter.sentence,17534,18116,1
quote.nonquote,17534,22364
chapter.sentence,18117,18568,2
chapter.paragraph,18570,19584,2
chapter.sentence,18570,18720,3
chapter.sentence,18721,19050,4
chapter.sentence,19051,19445,5
chapter.sentence,19446,19584,6
chapter.paragraph,19586,20605,3
chapter.sentence,19586,19992,7
chapter.sentence,19993,20094,8
chapter.sentence,20095,20332,9
chapter.sentence,20333,20605,10
chapter.paragraph,20607,21832,4
chapter.sentence,20607,20868,11
chapter.sentence,20869,21102,12
chapter.sentence,21103,21509,13
chapter.sentence,21510,21832,14
chapter.paragraph,21834,22364,5
chapter.sentence,21834,22076,15
chapter.sentence,22077,22364,16
chapter.paragraph,22366,22492,6
chapter.sentence,22366,22443,17
quote.quote,22366,22492
chapter.sentence,22444,22459,18
chapter.sentence,22460,22492,19
chapter.paragraph,22494,23389,7
chapter.sentence,22494,22733,20
