metadata.title,0,20
metadata.author,21,34
chapter.title,36,51,1
chapter.title,53,68,2
chapter.title,70,88,3
chapter.text,90,22133,3
chapter.paragraph,90,777,1
chapter.sentence,90,415,1
quote.nonquote,90,6089
chapter.sentence,416,777,2
chapter.paragraph,779,1685,2
chapter.sentence,779,939,3
chapter.sentence,940,1263,4
chapter.sentence,1264,1504,5
chapter.sentence,1505,1685,6
chapter.paragraph,1687,2115,3
chapter.sentence,1687,2115,7
chapter.paragraph,2117,2560,4
chapter.sentence,2117,2302,8
chapter.sentence,2303,2560,9
chapter.paragraph,2562,2832,5
chapter.sentence,2562,2832,10
chapter.paragraph,2834,3641,6
chapter.sentence,2834,2898,11
chapter.sentence,2899,3047,12
chapter.sentence,3048,3320,13
chapter.sentence,3321,3505,14
chapter.sentence,3506,3641,15
chapter.paragraph,3643,4728,7
chapter.sentence,3643,3804,16
chapter.sentence,3805,4136,17
chapter.sentence,4137,4263,18
chapter.sentence,4264,4450,19
chapter.sentence,4451,4728,20
chapter.paragraph,4730,5341,8
chapter.sentence,4730,4900,21
chapter.sentence,4901,5067,22
chapter.sentence,5068,5341,23
chapter.paragraph,5343,5909,9
chapter.sentence,5343,5621,24
chapter.sentence,5622,5909,25
chapter.paragraph,5911,6107,10
chapter.sentence,5911,6107,26
quote.quote,6090,6107
chapter.paragraph,6109,6245,11
chapter.sentence,6109,6245,27
quote.quote,6109,6139
quote.nonquote,6139,6174
quote.suspension.short,6139,6174
quote.quote,6175,6245
chapter.paragraph,6247,6466,12
chapter.sentence,6247,6360,28
quote.quote,6247,6275
quote.nonquote,6275,6298
quote.suspension.short,6275,6298
quote.quote,6299,6466
chapter.sentence,6361,6466,29
chapter.paragraph,6468,6868,13
chapter.sentence,6468,6473,30
quote.quote,6468,6488
chapter.sentence,6474,6596,31
quote.nonquote,6488,6505
quote.suspension.short,6488,6505
quote.quote,6506,6868
chapter.sentence,6597,6868,32
chapter.paragraph,6870,7230,14
chapter.sentence,6870,7230,33
quote.quote,6870,6883
quote.nonquote,6883,6990
quote.suspension.long,6883,6990
quote.quote,6991,7230
chapter.paragraph,7232,7423,15
chapter.sentence,7232,7423,34
quote.quote,7232,7247
quote.nonquote,7247,7264
quote.suspension.short,7247,7264
quote.quote,7265,7423
chapter.paragraph,7425,7566,16
chapter.sentence,7425,7566,35
quote.nonquote,7425,7779
chapter.paragraph,7568,7682,17
chapter.sentence,7568,7682,36
chapter.paragraph,7684,7823,18
chapter.sentence,7684,7779,37
chapter.sentence,7780,7809,38
quote.quote,7780,7809
chapter.sentence,7810,7823,39
quote.nonquote,7810,7823
chapter.paragraph,7825,8290,19
chapter.sentence,7825,7938,40
quote.quote,7825,7869
quote.nonquote,7869,7894
quote.suspension.short,7869,7894
quote.quote,7895,8290
chapter.sentence,7939,8135,41
chapter.sentence,8136,8290,42
chapter.paragraph,8292,8366,20
chapter.sentence,8292,8366,43
quote.quote,8292,8335
quote.nonquote,8335,8366
chapter.paragraph,8368,8501,21
chapter.sentence,8368,8501,44
quote.quote,8368,8423
quote.nonquote,8423,8440
quote.suspension.short,8423,8440
quote.quote,8441,8501
chapter.paragraph,8503,8721,22
chapter.sentence,8503,8580,45
quote.quote,8503,8516
quote.nonquote,8516,8544
quote.suspension.long,8516,8544
quote.quote,8545,8721
chapter.sentence,8581,8721,46
chapter.paragraph,8723,8765,23
chapter.sentence,8723,8765,47
quote.quote,8723,8740
quote.nonquote,8740,8939
chapter.paragraph,8767,8952,24
chapter.sentence,8767,8952,48
quote.quote,8940,8952
chapter.paragraph,8954,9443,25
chapter.sentence,8954,9105,49
quote.nonquote,8954,9047
quote.quote,9048,9443
chapter.sentence,9106,9326,50
chapter.sentence,9327,9443,51
chapter.paragraph,9445,9647,26
chapter.sentence,9445,9539,52
quote.quote,9445,9469
quote.nonquote,9469,9728
chapter.sentence,9540,9647,53
chapter.paragraph,9649,9807,27
chapter.sentence,9649,9807,54
quote.quote,9729,9807
chapter.paragraph,9809,9971,28
chapter.sentence,9809,9971,55
quote.quote,9809,9845
quote.nonquote,9845,9870
quote.suspension.short,9845,9870
quote.quote,9871,9969
quote.nonquote,9970,10042
chapter.paragraph,9973,10285,29
chapter.sentence,9973,9993,56
chapter.sentence,9994,10285,57
quote.quote,10043,10285
chapter.paragraph,10287,10583,30
chapter.sentence,10287,10479,58
quote.quote,10287,10312
quote.nonquote,10312,10327
quote.suspension.short,10312,10327
quote.quote,10328,10583
