metadata.title,0,26
metadata.author,27,42
chapter.title,46,65,1
chapter.text,65,7038,1
quote.nonquote,65,1951
chapter.paragraph,67,1139,1
chapter.sentence,67,102,1
chapter.sentence,103,155,2
chapter.sentence,156,218,3
chapter.sentence,219,240,4
chapter.sentence,241,345,5
chapter.sentence,346,403,6
chapter.sentence,404,505,7
chapter.sentence,506,591,8
chapter.sentence,592,690,9
chapter.sentence,691,801,10
chapter.sentence,802,923,11
chapter.sentence,924,929,12
chapter.sentence,930,1043,13
chapter.sentence,1044,1138,14
chapter.paragraph,1141,1949,2
chapter.sentence,1141,1331,15
chapter.sentence,1332,1380,16
chapter.sentence,1381,1472,17
chapter.sentence,1473,1587,18
chapter.sentence,1588,1693,19
chapter.sentence,1694,1786,20
chapter.sentence,1787,1948,21
chapter.paragraph,1951,2029,3
chapter.sentence,1951,2012,22
quote.quote,1951,1959
quote.nonquote,1959,2013
quote.quote,2013,2031
chapter.sentence,2013,2028,23
quote.nonquote,2031,2084
chapter.paragraph,2031,2082,4
chapter.sentence,2031,2081,24
chapter.paragraph,2084,2765,5
chapter.sentence,2084,2193,25
quote.quote,2084,2142
quote.nonquote,2142,2194
quote.quote,2194,2767
chapter.sentence,2194,2231,26
chapter.sentence,2232,2258,27
chapter.sentence,2259,2304,28
chapter.sentence,2305,2388,29
chapter.sentence,2389,2424,30
chapter.sentence,2425,2515,31
chapter.sentence,2516,2571,32
chapter.sentence,2572,2720,33
chapter.sentence,2721,2764,34
quote.nonquote,2767,2870
chapter.paragraph,2767,2868,6
chapter.sentence,2767,2867,35
quote.quote,2870,3565
chapter.paragraph,2870,3563,7
chapter.sentence,2870,2917,36
chapter.sentence,2918,2950,37
chapter.sentence,2951,3010,38
chapter.sentence,3011,3161,39
quote.embedded,3056,3162
chapter.sentence,3162,3177,40
chapter.sentence,3178,3380,41
chapter.sentence,3381,3400,42
chapter.sentence,3401,3505,43
chapter.sentence,3506,3562,44
quote.nonquote,3565,4139
chapter.paragraph,3565,3646,8
chapter.sentence,3565,3645,45
chapter.paragraph,3648,4137,9
chapter.sentence,3648,3801,46
chapter.sentence,3802,3893,47
chapter.sentence,3894,3966,48
chapter.sentence,3967,4069,49
chapter.sentence,4070,4114,50
chapter.sentence,4115,4136,51
chapter.paragraph,4139,4520,10
chapter.sentence,4139,4254,52
quote.quote,4139,4165
quote.nonquote,4165,4255
quote.quote,4255,4522
chapter.sentence,4255,4324,53
chapter.sentence,4325,4444,54
chapter.sentence,4445,4519,55
quote.nonquote,4522,4576
chapter.paragraph,4522,4574,11
chapter.sentence,4522,4573,56
quote.quote,4576,4596
chapter.paragraph,4576,4594,12
chapter.sentence,4576,4593,57
quote.nonquote,4596,5181
chapter.paragraph,4596,4979,13
chapter.sentence,4596,4978,58
chapter.paragraph,4981,5179,14
chapter.sentence,4981,5104,59
chapter.sentence,5105,5178,60
quote.quote,5181,5202
chapter.paragraph,5181,5200,15
chapter.sentence,5181,5199,61
quote.nonquote,5202,5222
chapter.paragraph,5202,5220,16
chapter.sentence,5202,5219,62
quote.quote,5222,5242
chapter.paragraph,5222,5240,17
chapter.sentence,5222,5239,63
quote.nonquote,5242,5981
chapter.paragraph,5242,5804,18
chapter.sentence,5242,5398,64
chapter.sentence,5399,5547,65
chapter.sentence,5548,5803,66
chapter.paragraph,5806,6317,19
chapter.sentence,5806,5886,67
chapter.sentence,5887,5971,68
chapter.sentence,5972,6102,69
quote.quote,5981,5997
quote.nonquote,5997,6937
chapter.sentence,6103,6316,70
chapter.paragraph,6319,7038,20
chapter.sentence,6319,6434,71
chapter.sentence,6435,6573,72
chapter.sentence,6574,6739,73
chapter.sentence,6740,7037,74
quote.quote,6937,6959
quote.nonquote,6959,7038
chapter.title,7042,7080,2
chapter.text,7080,30212,2
quote.nonquote,7080,8539
chapter.paragraph,7082,7562,1
chapter.sentence,7082,7561,1
chapter.paragraph,7564,7815,2
chapter.sentence,7564,7814,2
chapter.paragraph,7817,8537,3
chapter.sentence,7817,7858,3
chapter.sentence,7859,8026,4
chapter.sentence,8027,8209,5
chapter.sentence,8210,8255,6
chapter.sentence,8256,8536,7
quote.quote,8539,8570
chapter.paragraph,8539,8568,4
chapter.sentence,8539,8567,8
quote.quote,8570,8589
chapter.paragraph,8570,8587,5
chapter.sentence,8570,8586,9
quote.quote,8589,8613
chapter.paragraph,8589,8611,6
chapter.sentence,8589,8610,10
quote.quote,8613,8705
chapter.paragraph,8613,8703,7
chapter.sentence,8613,8628,11
chapter.sentence,8629,8667,12
chapter.sentence,8668,8702,13
chapter.paragraph,8705,8913,8
chapter.sentence,8705,8830,14
quote.quote,8705,8736
quote.embedded,8709,8716
quote.nonquote,8736,8831
quote.quote,8831,8915
chapter.sentence,8831,8912,15
quote.nonquote,8915,9094
chapter.paragraph,8915,9092,9
chapter.sentence,8915,9091,16
chapter.paragraph,9094,9273,10
chapter.sentence,9094,9272,17
quote.quote,9094,9208
quote.nonquote,9208,9228
quote.suspension.short,9208,9228
quote.quote,9228,9275
chapter.paragraph,9275,9317,11
chapter.sentence,9275,9316,18
quote.quote,9275,9286
quote.nonquote,9286,9319
quote.quote,9319,9339
chapter.paragraph,9319,9337,12
chapter.sentence,9319,9336,19
quote.quote,9339,9384
chapter.paragraph,9339,9382,13
chapter.sentence,9339,9381,20
chapter.paragraph,9384,9509,14
chapter.sentence,9384,9480,21
quote.quote,9384,9421
quote.embedded,9399,9414
quote.nonquote,9421,9481
quote.quote,9481,9511
chapter.sentence,9481,9508,22
chapter.paragraph,9511,9637,15
chapter.sentence,9511,9636,23
quote.quote,9511,9535
quote.nonquote,9535,9612
quote.suspension.long,9535,9612
quote.quote,9612,9639
chapter.paragraph,9639,10357,16
chapter.sentence,9639,9905,24
quote.quote,9639,9686
quote.nonquote,9686,9753
quote.suspension.long,9686,9753
quote.quote,9753,9930
chapter.sentence,9906,9929,25
quote.nonquote,9930,10043
chapter.sentence,9930,10042,26
quote.quote,10043,10241
chapter.sentence,10043,10168,27
chapter.sentence,10169,10240,28
quote.nonquote,10241,10309
chapter.sentence,10241,10308,29
quote.quote,10309,10359
chapter.sentence,10309,10356,30
chapter.paragraph,10359,10429,17
chapter.sentence,10359,10428,31
quote.quote,10359,10410
quote.nonquote,10410,10431
quote.quote,10431,10664
chapter.paragraph,10431,10662,18
chapter.sentence,10431,10479,32
chapter.sentence,10480,10661,33
quote.nonquote,10664,11180
chapter.paragraph,10664,11178,19
chapter.sentence,10664,10782,34
chapter.sentence,10783,10949,35
chapter.sentence,10950,11177,36
chapter.paragraph,11180,11230,20
chapter.sentence,11180,11229,37
quote.quote,11180,11212
quote.nonquote,11212,11232
chapter.paragraph,11232,11439,21
chapter.sentence,11232,11277,38
quote.quote,11232,11240
quote.nonquote,11240,11261
quote.suspension.short,11240,11261
quote.quote,11261,11441
chapter.sentence,11278,11438,39
chapter.paragraph,11441,11868,22
chapter.sentence,11441,11596,40
quote.quote,11441,11452
quote.nonquote,11452,11527
quote.suspension.long,11452,11527
quote.quote,11527,11870
chapter.sentence,11597,11714,41
chapter.sentence,11715,11793,42
chapter.sentence,11794,11867,43
quote.quote,11870,11964
chapter.paragraph,11870,11962,23
chapter.sentence,11870,11891,44
chapter.sentence,11892,11961,45
quote.quote,11964,12065
chapter.paragraph,11964,12063,24
chapter.sentence,11964,11982,46
chapter.sentence,11983,11993,47
chapter.sentence,11994,12020,48
chapter.sentence,12021,12034,49
chapter.sentence,12035,12062,50
quote.nonquote,12065,12865
chapter.paragraph,12065,12332,25
chapter.sentence,12065,12331,51
chapter.paragraph,12334,12863,26
chapter.sentence,12334,12862,52
quote.quote,12865,12930
chapter.paragraph,12865,12928,27
chapter.sentence,12865,12927,53
quote.quote,12930,12962
chapter.paragraph,12930,12960,28
chapter.sentence,12930,12959,54
quote.quote,12962,12990
chapter.paragraph,12962,12988,29
chapter.sentence,12962,12987,55
quote.quote,12990,13182
chapter.paragraph,12990,13180,30
chapter.sentence,12990,12996,56
chapter.sentence,12997,13017,57
chapter.sentence,13018,13050,58
chapter.sentence,13051,13091,59
chapter.sentence,13092,13179,60
quote.quote,13182,13269
chapter.paragraph,13182,13267,31
chapter.sentence,13182,13266,61
chapter.paragraph,13269,13359,32
quote.nonquote,13269,13305
chapter.sentence,13269,13304,62
quote.quote,13305,13361
chapter.sentence,13305,13358,63
quote.quote,13361,13411
chapter.paragraph,13361,13409,33
chapter.sentence,13361,13408,64
quote.quote,13411,13454
chapter.paragraph,13411,13452,34
chapter.sentence,13411,13451,65
quote.quote,13454,13510
chapter.paragraph,13454,13508,35
chapter.sentence,13454,13458,66
chapter.sentence,13459,13507,67
quote.quote,13510,13614
chapter.paragraph,13510,13612,36
chapter.sentence,13510,13542,68
chapter.sentence,13543,13611,69
quote.nonquote,13614,14574
chapter.paragraph,13614,14572,37
chapter.sentence,13614,13723,70
