metadata.title,0,10
metadata.author,11,26
chapter.title,30,64,1
chapter.text,64,1918,1
quote.nonquote,64,66
quote.quote,66,479
chapter.paragraph,66,477,1
chapter.sentence,66,94,1
chapter.sentence,95,140,2
chapter.sentence,141,172,3
chapter.sentence,173,222,4
chapter.sentence,223,333,5
chapter.sentence,334,454,6
chapter.sentence,455,476,7
quote.nonquote,479,1569
chapter.paragraph,479,1567,2
chapter.sentence,479,679,8
chapter.sentence,680,871,9
chapter.sentence,872,955,10
chapter.sentence,956,1047,11
chapter.sentence,1048,1336,12
chapter.sentence,1337,1566,13
quote.quote,1569,1638
chapter.paragraph,1569,1636,3
chapter.sentence,1569,1635,14
chapter.paragraph,1638,1918,4
quote.nonquote,1638,1918
chapter.sentence,1638,1917,15
chapter.title,1922,1959,2
chapter.text,1959,13881,2
quote.nonquote,1959,2923
chapter.paragraph,1961,2734,1
chapter.sentence,1961,1983,1
chapter.sentence,1984,2003,2
chapter.sentence,2004,2036,3
chapter.sentence,2037,2180,4
chapter.sentence,2181,2244,5
chapter.sentence,2245,2428,6
chapter.sentence,2429,2491,7
chapter.sentence,2492,2733,8
chapter.paragraph,2736,3076,2
chapter.sentence,2736,2875,9
chapter.sentence,2876,3075,10
quote.quote,2923,2939
quote.nonquote,2939,2945
quote.suspension.short,2939,2945
quote.quote,2945,2950
quote.nonquote,2950,3444
chapter.paragraph,3078,3442,3
chapter.sentence,3078,3295,11
chapter.sentence,3296,3441,12
chapter.paragraph,3444,3576,4
chapter.sentence,3444,3556,13
quote.quote,3444,3463
quote.nonquote,3463,3530
quote.suspension.long,3463,3530
quote.quote,3530,3578
chapter.sentence,3557,3575,14
chapter.paragraph,3578,3661,5
chapter.sentence,3578,3660,15
quote.quote,3578,3594
quote.nonquote,3594,3663
chapter.paragraph,3663,3758,6
chapter.sentence,3663,3705,16
quote.quote,3663,3683
quote.nonquote,3683,3706
quote.quote,3706,3760
chapter.sentence,3706,3733,17
chapter.sentence,3734,3757,18
chapter.paragraph,3760,3870,7
chapter.sentence,3760,3869,19
quote.quote,3760,3795
quote.nonquote,3795,3872
chapter.paragraph,3872,3998,8
chapter.sentence,3872,3927,20
quote.quote,3872,3905
quote.nonquote,3905,3928
quote.quote,3928,4000
chapter.sentence,3928,3949,21
chapter.sentence,3950,3963,22
chapter.sentence,3964,3975,23
chapter.sentence,3976,3997,24
quote.quote,4000,4056
chapter.paragraph,4000,4054,9
chapter.sentence,4000,4053,25
quote.nonquote,4056,4136
chapter.paragraph,4056,4134,10
chapter.sentence,4056,4133,26
quote.quote,4136,4264
chapter.paragraph,4136,4262,11
chapter.sentence,4136,4185,27
chapter.sentence,4186,4223,28
chapter.sentence,4224,4261,29
quote.quote,4264,4359
chapter.paragraph,4264,4357,12
chapter.sentence,4264,4356,30
quote.quote,4359,4498
chapter.paragraph,4359,4496,13
chapter.sentence,4359,4401,31
chapter.sentence,4402,4418,32
chapter.sentence,4419,4458,33
chapter.sentence,4459,4495,34
quote.quote,4498,4515
chapter.paragraph,4498,4513,14
chapter.sentence,4498,4512,35
quote.quote,4515,4629
chapter.paragraph,4515,4627,15
chapter.sentence,4515,4532,36
chapter.sentence,4533,4589,37
chapter.sentence,4590,4626,38
quote.nonquote,4629,4691
chapter.paragraph,4629,4689,16
chapter.sentence,4629,4688,39
chapter.paragraph,4691,4951,17
chapter.sentence,4691,4808,40
quote.quote,4691,4735
quote.nonquote,4735,4809
quote.quote,4809,4953
chapter.sentence,4809,4900,41
chapter.sentence,4901,4934,42
chapter.sentence,4935,4950,43
quote.nonquote,4953,6223
chapter.paragraph,4953,6221,18
chapter.sentence,4953,5183,44
chapter.sentence,5184,5515,45
chapter.sentence,5516,5803,46
chapter.sentence,5804,5987,47
chapter.sentence,5988,6094,48
chapter.sentence,6095,6220,49
chapter.paragraph,6223,6286,19
chapter.sentence,6223,6255,50
quote.quote,6223,6230
quote.nonquote,6230,6256
quote.quote,6256,6288
chapter.sentence,6256,6285,51
chapter.paragraph,6288,6566,20
quote.quote,6288,6537
chapter.sentence,6288,6299,52
chapter.sentence,6300,6314,53
chapter.sentence,6315,6393,54
chapter.sentence,6394,6458,55
chapter.sentence,6459,6506,56
chapter.sentence,6507,6536,57
quote.nonquote,6537,6568
chapter.sentence,6537,6565,58
chapter.paragraph,6568,6642,21
chapter.sentence,6568,6613,59
quote.quote,6568,6591
quote.nonquote,6591,6614
quote.quote,6614,6644
chapter.sentence,6614,6641,60
quote.nonquote,6644,7973
chapter.paragraph,6644,7015,22
chapter.sentence,6644,6764,61
chapter.sentence,6765,7014,62
chapter.paragraph,7017,7971,23
chapter.sentence,7017,7055,63
chapter.sentence,7056,7366,64
chapter.sentence,7367,7515,65
chapter.sentence,7516,7717,66
chapter.sentence,7718,7831,67
chapter.sentence,7832,7970,68
chapter.paragraph,7973,8155,24
chapter.sentence,7973,8045,69
quote.quote,7973,7983
quote.nonquote,7983,8046
quote.quote,8046,8157
chapter.sentence,8046,8062,70
chapter.sentence,8063,8154,71
chapter.paragraph,8157,8379,25
chapter.sentence,8157,8225,72
quote.nonquote,8157,8212
quote.quote,8212,8226
chapter.sentence,8226,8335,73
quote.nonquote,8226,8323
quote.quote,8323,8336
quote.nonquote,8336,8381
chapter.sentence,8336,8378,74
quote.quote,8381,8418
chapter.paragraph,8381,8416,26
chapter.sentence,8381,8415,75
quote.nonquote,8418,8570
chapter.paragraph,8418,8568,27
chapter.sentence,8418,8426,76
chapter.sentence,8427,8567,77
chapter.paragraph,8570,8626,28
chapter.sentence,8570,8625,78
quote.quote,8570,8588
quote.nonquote,8588,8628
chapter.paragraph,8628,8762,29
chapter.sentence,8628,8700,79
quote.quote,8628,8646
quote.nonquote,8646,8670
quote.suspension.short,8646,8670
quote.quote,8670,8764
chapter.sentence,8701,8737,80
chapter.sentence,8738,8761,81
chapter.paragraph,8764,9003,30
chapter.sentence,8764,8909,82
quote.quote,8764,8790
quote.nonquote,8790,8845
quote.suspension.long,8790,8845
quote.quote,8845,9005
chapter.sentence,8910,8993,83
chapter.sentence,8994,9002,84
chapter.paragraph,9005,9059,31
chapter.sentence,9005,9031,85
quote.quote,9005,9014
quote.nonquote,9014,9032
chapter.sentence,9032,9058,86
quote.quote,9032,9040
quote.nonquote,9040,9061
chapter.paragraph,9061,9362,32
chapter.sentence,9061,9138,87
quote.quote,9061,9074
quote.nonquote,9074,9139
quote.quote,9139,9321
chapter.sentence,9139,9266,88
chapter.sentence,9267,9320,89
quote.nonquote,9321,9364
chapter.sentence,9321,9361,90
chapter.paragraph,9364,9578,33
chapter.sentence,9364,9442,91
quote.quote,9364,9420
quote.nonquote,9420,9443
quote.quote,9443,9580
chapter.sentence,9443,9468,92
chapter.sentence,9469,9509,93
chapter.sentence,9510,9577,94
chapter.paragraph,9580,9785,34
chapter.sentence,9580,9722,95
quote.nonquote,9580,9630
quote.quote,9630,9639
quote.nonquote,9639,9787
chapter.sentence,9723,9784,96
chapter.paragraph,9787,9872,35
chapter.sentence,9787,9871,97
quote.quote,9787,9806
quote.nonquote,9806,9905
chapter.paragraph,9874,9903,36
chapter.sentence,9874,9902,98
chapter.paragraph,9905,10091,37
chapter.sentence,9905,10073,99
quote.quote,9905,10051
quote.nonquote,10051,10074
quote.quote,10074,10093
chapter.sentence,10074,10090,100
chapter.paragraph,10093,10161,38
chapter.sentence,10093,10160,101
quote.quote,10093,10139
quote.nonquote,10139,10163
quote.quote,10163,10278
chapter.paragraph,10163,10276,39
chapter.sentence,10163,10275,102
quote.nonquote,10278,10448
chapter.paragraph,10278,10446,40
chapter.sentence,10278,10306,103
chapter.sentence,10307,10358,104
chapter.sentence,10359,10445,105
chapter.paragraph,10448,10591,41
