metadata.title,0,20
metadata.author,21,36
chapter.title,40,61,1
chapter.text,61,5841,1
quote.nonquote,61,3862
chapter.paragraph,63,676,1
chapter.sentence,63,675,1
chapter.paragraph,678,1010,2
chapter.sentence,678,859,2
chapter.sentence,860,1009,3
chapter.paragraph,1012,1927,3
chapter.sentence,1012,1084,4
chapter.sentence,1085,1168,5
chapter.sentence,1169,1420,6
chapter.sentence,1421,1624,7
chapter.sentence,1625,1926,8
chapter.paragraph,1929,3370,4
chapter.sentence,1929,2110,9
chapter.sentence,2111,2491,10
chapter.sentence,2492,2785,11
chapter.sentence,2786,3117,12
chapter.sentence,3118,3369,13
chapter.paragraph,3372,5270,5
chapter.sentence,3372,3471,14
chapter.sentence,3472,4606,15
quote.quote,3862,3875
quote.nonquote,3875,4047
quote.suspension.long,3875,4047
quote.quote,4047,4097
quote.nonquote,4097,5841
chapter.sentence,4607,4793,16
chapter.sentence,4794,5269,17
chapter.paragraph,5272,5841,6
chapter.sentence,5272,5409,18
chapter.sentence,5410,5633,19
chapter.sentence,5634,5840,20
chapter.title,5845,5865,2
chapter.text,5865,17095,2
quote.nonquote,5865,7043
chapter.paragraph,5867,6782,1
chapter.sentence,5867,6003,1
chapter.sentence,6004,6091,2
chapter.sentence,6092,6513,3
chapter.sentence,6514,6781,4
chapter.paragraph,6784,7331,2
chapter.sentence,6784,6967,5
chapter.sentence,6968,7212,6
quote.quote,7043,7062
quote.nonquote,7062,9405
chapter.sentence,7213,7330,7
chapter.paragraph,7333,7870,3
chapter.sentence,7333,7480,8
chapter.sentence,7481,7657,9
chapter.sentence,7658,7869,10
chapter.paragraph,7872,9038,4
chapter.sentence,7872,7961,11
chapter.sentence,7962,8042,12
chapter.sentence,8043,8271,13
chapter.sentence,8272,8421,14
chapter.sentence,8422,8629,15
chapter.sentence,8630,9037,16
chapter.paragraph,9040,9403,5
chapter.sentence,9040,9402,17
chapter.paragraph,9405,9557,6
chapter.sentence,9405,9432,18
quote.quote,9405,9411
quote.nonquote,9411,9433
quote.quote,9433,9559
chapter.sentence,9433,9443,19
chapter.sentence,9444,9556,20
chapter.paragraph,9559,9588,7
chapter.sentence,9559,9587,21
quote.quote,9559,9566
quote.nonquote,9566,9590
quote.quote,9590,9628
chapter.paragraph,9590,9626,8
chapter.sentence,9590,9625,22
quote.quote,9628,9664
chapter.paragraph,9628,9662,9
chapter.sentence,9628,9661,23
chapter.paragraph,9664,9767,10
chapter.sentence,9664,9738,24
quote.quote,9664,9673
quote.nonquote,9673,9705
quote.suspension.short,9673,9705
quote.quote,9705,9769
chapter.sentence,9739,9743,25
chapter.sentence,9744,9748,26
chapter.sentence,9749,9766,27
quote.nonquote,9769,10511
chapter.paragraph,9769,10303,11
chapter.sentence,9769,9912,28
chapter.sentence,9913,10019,29
chapter.sentence,10020,10097,30
chapter.sentence,10098,10302,31
chapter.paragraph,10305,10509,12
chapter.sentence,10305,10363,32
chapter.sentence,10364,10508,33
chapter.paragraph,10511,10589,13
quote.quote,10511,10520
chapter.sentence,10511,10516,34
chapter.sentence,10517,10588,35
quote.nonquote,10520,10591
quote.quote,10591,10617
chapter.paragraph,10591,10615,14
chapter.sentence,10591,10614,36
quote.nonquote,10617,10639
chapter.paragraph,10617,10637,15
chapter.sentence,10617,10636,37
quote.quote,10639,10685
chapter.paragraph,10639,10683,16
chapter.sentence,10639,10682,38
chapter.paragraph,10685,10850,17
chapter.sentence,10685,10804,39
quote.quote,10685,10718
quote.nonquote,10718,10805
quote.quote,10805,10852
chapter.sentence,10805,10816,40
chapter.sentence,10817,10849,41
quote.nonquote,10852,11974
chapter.paragraph,10852,10937,18
chapter.sentence,10852,10936,42
chapter.paragraph,10939,11417,19
chapter.sentence,10939,11080,43
chapter.sentence,11081,11177,44
chapter.sentence,11178,11275,45
chapter.sentence,11276,11416,46
chapter.paragraph,11419,11900,20
chapter.sentence,11419,11568,47
chapter.sentence,11569,11679,48
chapter.sentence,11680,11899,49
chapter.paragraph,11902,11972,21
chapter.sentence,11902,11971,50
chapter.paragraph,11974,12062,22
chapter.sentence,11974,12028,51
quote.quote,11974,11980
quote.nonquote,11980,12029
quote.quote,12029,12064
chapter.sentence,12029,12039,52
chapter.sentence,12040,12046,53
chapter.sentence,12047,12061,54
chapter.paragraph,12064,12199,23
chapter.sentence,12064,12198,55
quote.nonquote,12064,12171
quote.quote,12171,12201
chapter.paragraph,12201,12266,24
chapter.sentence,12201,12249,56
quote.quote,12201,12227
quote.nonquote,12227,12250
quote.quote,12250,12268
chapter.sentence,12250,12265,57
quote.quote,12268,12298
chapter.paragraph,12268,12296,25
chapter.sentence,12268,12295,58
quote.quote,12298,12327
chapter.paragraph,12298,12325,26
chapter.sentence,12298,12324,59
quote.quote,12327,12361
chapter.paragraph,12327,12359,27
chapter.sentence,12327,12358,60
quote.quote,12361,12381
chapter.paragraph,12361,12379,28
chapter.sentence,12361,12378,61
quote.quote,12381,12403
