metadata.title,0,44
metadata.author,45,59
chapter.title,61,72,1
chapter.text,74,1031,1
chapter.paragraph,74,895,1
chapter.sentence,74,626,1
quote.nonquote,74,1031
chapter.sentence,627,895,2
chapter.paragraph,897,924,2
chapter.sentence,897,924,3
chapter.paragraph,926,939,3
chapter.sentence,926,939,4
chapter.paragraph,941,1031,4
chapter.sentence,941,1031,5
chapter.title,1033,1051,2
chapter.text,1053,16122,2
chapter.paragraph,1053,2440,1
chapter.sentence,1053,1521,1
quote.nonquote,1053,2018
chapter.sentence,1522,1735,2
chapter.sentence,1736,2140,3
quote.quote,2019,2140
chapter.sentence,2141,2440,4
quote.nonquote,2141,2403
quote.quote,2404,2440
chapter.paragraph,2442,4341,2
chapter.sentence,2442,2942,5
quote.nonquote,2442,7678
chapter.sentence,2943,3239,6
chapter.sentence,3240,3501,7
chapter.sentence,3502,3937,8
chapter.sentence,3938,4083,9
chapter.sentence,4084,4341,10
chapter.paragraph,4343,5052,3
chapter.sentence,4343,5052,11
chapter.paragraph,5054,5541,4
chapter.sentence,5054,5107,12
chapter.sentence,5108,5313,13
chapter.sentence,5314,5541,14
chapter.paragraph,5543,6222,5
chapter.sentence,5543,5991,15
chapter.sentence,5992,6222,16
chapter.paragraph,6224,7297,6
chapter.sentence,6224,6861,17
chapter.sentence,6862,6982,18
chapter.sentence,6983,7086,19
chapter.sentence,7087,7297,20
chapter.paragraph,7299,7385,7
chapter.sentence,7299,7385,21
chapter.paragraph,7387,7715,8
chapter.sentence,7387,7572,22
chapter.sentence,7573,7715,23
quote.quote,7679,7715
chapter.paragraph,7717,8121,9
chapter.sentence,7717,7793,24
quote.nonquote,7717,15341
chapter.sentence,7794,7870,25
chapter.sentence,7871,8121,26
chapter.paragraph,8123,8983,10
chapter.sentence,8123,8261,27
chapter.sentence,8262,8582,28
chapter.sentence,8583,8983,29
chapter.paragraph,8985,9187,11
chapter.sentence,8985,9187,30
chapter.paragraph,9189,9977,12
chapter.sentence,9189,9486,31
chapter.sentence,9487,9852,32
chapter.sentence,9853,9977,33
chapter.paragraph,9979,10000,13
chapter.sentence,9979,10000,34
chapter.paragraph,10002,10069,14
chapter.sentence,10002,10069,35
chapter.paragraph,10071,10638,15
chapter.sentence,10071,10208,36
chapter.sentence,10209,10350,37
chapter.sentence,10351,10510,38
chapter.sentence,10511,10638,39
chapter.paragraph,10640,11115,16
chapter.sentence,10640,11115,40
chapter.paragraph,11117,11872,17
chapter.sentence,11117,11282,41
chapter.sentence,11283,11872,42
chapter.paragraph,11874,12493,18
chapter.sentence,11874,12159,43
chapter.sentence,12160,12493,44
chapter.paragraph,12495,13013,19
chapter.sentence,12495,13013,45
chapter.paragraph,13015,13366,20
chapter.sentence,13015,13095,46
chapter.sentence,13096,13326,47
chapter.sentence,13327,13366,48
chapter.paragraph,13368,13753,21
chapter.sentence,13368,13753,49
chapter.paragraph,13755,14547,22
chapter.sentence,13755,13850,50
chapter.sentence,13851,14095,51
chapter.sentence,14096,14240,52
chapter.sentence,14241,14547,53
chapter.paragraph,14549,14705,23
chapter.sentence,14549,14705,54
chapter.paragraph,14707,16122,24
chapter.sentence,14707,14736,55
chapter.sentence,14737,15003,56
chapter.sentence,15004,15177,57
chapter.sentence,15179,15643,58
quote.quote,15342,15351
quote.nonquote,15351,16122
chapter.sentence,15644,16122,59
chapter.title,16124,16143,3
chapter.text,16145,31058,3
chapter.paragraph,16145,16671,1
chapter.sentence,16145,16376,1
quote.nonquote,16145,21187
chapter.sentence,16377,16671,2
chapter.paragraph,16673,18822,2
chapter.sentence,16673,16933,3
chapter.sentence,16934,17289,4
chapter.sentence,17290,17933,5
chapter.sentence,17934,18477,6
chapter.sentence,18478,18726,7
chapter.sentence,18727,18822,8
chapter.paragraph,18824,19752,3
chapter.sentence,18824,19075,9
chapter.sentence,19076,19400,10
chapter.sentence,19401,19752,11
chapter.paragraph,19754,21042,4
chapter.sentence,19754,19993,12
chapter.sentence,19994,20145,13
chapter.sentence,20146,20397,14
chapter.sentence,20398,21042,15
chapter.paragraph,21044,21797,5
chapter.sentence,21044,21377,16
quote.quote,21188,21200
quote.nonquote,21201,22959
chapter.sentence,21378,21797,17
chapter.paragraph,21799,22959,6
chapter.sentence,21799,21886,18
chapter.sentence,21887,22176,19
chapter.sentence,22177,22558,20
chapter.sentence,22559,22959,21
chapter.paragraph,22961,23550,7
chapter.sentence,22961,23093,22
quote.quote,22961,23008
quote.nonquote,23008,23093
chapter.sentence,23094,23202,23
quote.quote,23094,23550
chapter.sentence,23203,23550,24
chapter.paragraph,23552,24124,8
chapter.sentence,23552,23592,25
quote.quote,23552,23592
chapter.sentence,23593,23672,26
quote.nonquote,23593,23615
quote.suspension.short,23593,23615
quote.quote,23616,24124
chapter.sentence,23673,23758,27
chapter.sentence,23759,23882,28
chapter.sentence,23883,23954,29
chapter.sentence,23955,24124,30
chapter.paragraph,24126,24533,9
chapter.sentence,24126,24434,31
quote.quote,24126,24236
quote.nonquote,24236,24266
quote.suspension.short,24236,24266
quote.quote,24267,24533
chapter.sentence,24435,24533,32
chapter.paragraph,24535,24706,10
chapter.sentence,24535,24571,33
quote.quote,24535,24571
chapter.sentence,24572,24630,34
quote.nonquote,24572,24630
chapter.sentence,24631,24706,35
quote.quote,24631,24706
chapter.paragraph,24708,24868,11
chapter.sentence,24708,24734,36
quote.quote,24708,24734
chapter.sentence,24735,24761,37
quote.nonquote,24735,24761
chapter.sentence,24762,24868,38
quote.quote,24762,24868
chapter.paragraph,24870,25141,12
chapter.sentence,24870,25005,39
quote.quote,24870,24978
quote.nonquote,24978,25005
chapter.sentence,25006,25141,40
quote.quote,25006,25141
chapter.paragraph,25143,25356,13
chapter.sentence,25143,25158,41
quote.quote,25143,25158
chapter.sentence,25159,25175,42
quote.nonquote,25159,25175
chapter.sentence,25176,25268,43
quote.quote,25176,25356
chapter.sentence,25269,25356,44
chapter.paragraph,25358,25921,14
chapter.sentence,25358,25455,45
quote.quote,25358,25455
chapter.sentence,25456,25514,46
quote.nonquote,25456,25514
chapter.sentence,25515,25762,47
quote.quote,25515,25921
chapter.sentence,25763,25921,48
chapter.paragraph,25923,26551,15
chapter.sentence,25923,26122,49
quote.quote,25923,26007
quote.nonquote,26007,26035
quote.suspension.short,26007,26035
quote.quote,26036,26551
chapter.sentence,26123,26233,50
chapter.sentence,26234,26392,51
chapter.sentence,26393,26551,52
chapter.paragraph,26553,26899,16
chapter.sentence,26553,26632,53
quote.quote,26553,26566
quote.nonquote,26566,26586
quote.suspension.short,26566,26586
quote.quote,26587,26899
chapter.sentence,26633,26721,54
chapter.sentence,26722,26899,55
chapter.paragraph,26901,27688,17
chapter.sentence,26901,27095,56
quote.quote,26901,26921
quote.nonquote,26921,29101
chapter.sentence,27096,27468,57
chapter.sentence,27469,27688,58
chapter.paragraph,27690,28239,18
chapter.sentence,27690,27909,59
chapter.sentence,27910,28239,60
chapter.paragraph,28241,29101,19
chapter.sentence,28241,28379,61
chapter.sentence,28380,28645,62
chapter.sentence,28646,29030,63
chapter.sentence,29031,29101,64
chapter.paragraph,29103,29216,20
chapter.sentence,29103,29193,65
quote.quote,29103,29216
chapter.sentence,29194,29216,66
chapter.paragraph,29218,29476,21
chapter.sentence,29218,29476,67
quote.nonquote,29218,29860
chapter.paragraph,29478,29820,22
chapter.sentence,29478,29678,68
chapter.sentence,29679,29820,69
chapter.paragraph,29822,29860,23
chapter.sentence,29822,29860,70
chapter.paragraph,29862,29906,24
chapter.sentence,29862,29906,71
quote.quote,29862,29906
chapter.paragraph,29908,30537,25
chapter.sentence,29908,30051,72
quote.nonquote,29908,30025
quote.quote,30026,30051
chapter.sentence,30052,30156,73
quote.nonquote,30052,30537
chapter.sentence,30157,30537,74
chapter.paragraph,30539,30593,26
chapter.sentence,30539,30593,75
quote.quote,30539,30593
chapter.paragraph,30595,30780,27
chapter.sentence,30595,30603,76
quote.quote,30595,30603
chapter.sentence,30604,30647,77
quote.nonquote,30604,30647
chapter.sentence,30648,30780,78
quote.quote,30648,30780
chapter.paragraph,30782,30861,28
chapter.sentence,30782,30805,79
quote.quote,30782,30805
chapter.sentence,30806,30861,80
quote.nonquote,30806,30861
chapter.paragraph,30863,31058,29
chapter.sentence,30863,30891,81
quote.quote,30863,30891
chapter.sentence,30892,31058,82
quote.nonquote,30892,31058
chapter.title,31060,31079,4
chapter.text,31081,47003,4
chapter.paragraph,31081,32151,1
chapter.sentence,31081,31280,1
quote.nonquote,31081,32226
chapter.sentence,31281,31526,2
chapter.sentence,31527,31601,3
chapter.sentence,31602,31905,4
chapter.sentence,31906,32151,5
chapter.paragraph,32153,32657,2
chapter.sentence,32153,32657,6
quote.quote,32227,32255
quote.nonquote,32255,32657
chapter.paragraph,32659,43758,3
chapter.sentence,32659,33132,7
quote.quote,32659,43755
chapter.sentence,33133,33598,8
chapter.sentence,33599,33800,9
chapter.sentence,33801,33979,10
chapter.sentence,33980,34108,11
chapter.sentence,34109,34492,12
chapter.sentence,34493,34926,13
chapter.sentence,34927,35025,14
chapter.sentence,35026,35439,15
chapter.sentence,35440,35709,16
chapter.sentence,35710,36168,17
chapter.sentence,36169,36380,18
chapter.sentence,36381,36393,19
chapter.sentence,36394,36465,20
chapter.sentence,36466,36489,21
chapter.sentence,36490,36762,22
chapter.sentence,36763,36966,23
chapter.sentence,36967,37312,24
chapter.sentence,37313,37729,25
chapter.sentence,37730,38060,26
chapter.sentence,38061,38541,27
chapter.sentence,38542,38735,28
chapter.sentence,38736,39007,29
chapter.sentence,39008,39117,30
chapter.sentence,39118,39427,31
chapter.sentence,39428,39731,32
chapter.sentence,39732,39807,33
chapter.sentence,39808,40154,34
chapter.sentence,40155,40300,35
chapter.sentence,40301,40471,36
chapter.sentence,40472,40591,37
chapter.sentence,40592,41028,38
chapter.sentence,41029,41250,39
chapter.sentence,41251,41466,40
chapter.sentence,41467,41727,41
chapter.sentence,41728,41999,42
chapter.sentence,42000,42262,43
chapter.sentence,42263,42488,44
chapter.sentence,42489,42728,45
chapter.sentence,42729,42750,46
chapter.sentence,42751,43063,47
chapter.sentence,43064,43265,48
chapter.sentence,43266,43328,49
chapter.sentence,43329,43652,50
chapter.sentence,43653,43758,51
quote.nonquote,43755,44306
chapter.paragraph,43760,44306,4
chapter.sentence,43760,44003,52
chapter.sentence,44004,44172,53
chapter.sentence,44173,44306,54
chapter.paragraph,44308,44347,5
chapter.sentence,44308,44347,55
quote.quote,44308,44347
chapter.paragraph,44349,44735,6
chapter.sentence,44349,44358,56
quote.quote,44349,44358
chapter.sentence,44359,44450,57
quote.nonquote,44359,44735
chapter.sentence,44451,44735,58
chapter.paragraph,44737,45597,7
chapter.sentence,44737,44746,59
quote.quote,44737,44746
chapter.sentence,44747,44768,60
quote.nonquote,44747,44768
chapter.sentence,44769,45338,61
quote.quote,44769,45597
chapter.sentence,45339,45597,62
chapter.paragraph,45599,45721,8
chapter.sentence,45599,45704,63
quote.quote,45599,45704
chapter.sentence,45705,45721,64
quote.nonquote,45705,45721
chapter.paragraph,45723,47003,9
chapter.sentence,45723,45737,65
quote.quote,45723,47003
chapter.sentence,45738,45751,66
chapter.sentence,45752,46080,67
chapter.sentence,46081,46168,68
chapter.sentence,46169,46295,69
chapter.sentence,46296,46511,70
chapter.sentence,46512,46871,71
chapter.sentence,46872,47003,72
chapter.title,47005,47024,5
chapter.text,47026,62343,5
chapter.paragraph,47026,47401,1
chapter.sentence,47026,47401,1
quote.nonquote,47026,49574
chapter.paragraph,47403,47441,2
chapter.sentence,47403,47441,2
chapter.paragraph,47443,48040,3
chapter.sentence,47443,47634,3
chapter.sentence,47635,47839,4
chapter.sentence,47840,48040,5
chapter.paragraph,48042,49574,4
chapter.sentence,48042,48243,6
chapter.sentence,48244,48467,7
chapter.sentence,48468,48900,8
chapter.sentence,48901,49207,9
chapter.sentence,49208,49574,10
chapter.paragraph,49576,49703,5
chapter.sentence,49576,49703,11
quote.quote,49576,49703
chapter.paragraph,49705,49826,6
chapter.sentence,49705,49769,12
quote.quote,49705,49769
chapter.sentence,49770,49826,13
quote.nonquote,49770,49826
chapter.paragraph,49828,50169,7
chapter.sentence,49828,49845,14
quote.quote,49828,50169
chapter.sentence,49846,49975,15
chapter.sentence,49976,50098,16
chapter.sentence,50099,50169,17
chapter.paragraph,50171,50396,8
chapter.sentence,50171,50396,18
quote.quote,50171,50249
quote.nonquote,50249,50292
quote.suspension.long,50249,50292
quote.quote,50293,50396
chapter.paragraph,50398,50771,9
chapter.sentence,50398,50432,19
quote.quote,50398,50432
chapter.sentence,50433,50507,20
quote.nonquote,50433,50507
chapter.sentence,50508,50771,21
quote.quote,50508,50771
chapter.paragraph,50773,50876,10
chapter.sentence,50773,50876,22
quote.quote,50773,50876
chapter.paragraph,50878,51362,11
chapter.sentence,50878,50889,23
quote.quote,50878,51362
chapter.sentence,50890,50948,24
chapter.sentence,50949,51122,25
chapter.sentence,51123,51362,26
chapter.paragraph,51364,51542,12
chapter.sentence,51364,51406,27
quote.quote,51364,51406
chapter.sentence,51407,51542,28
quote.nonquote,51407,51542
chapter.paragraph,51544,51837,13
chapter.sentence,51544,51562,29
quote.quote,51544,51837
chapter.sentence,51563,51606,30
chapter.sentence,51607,51837,31
chapter.paragraph,51839,51992,14
chapter.sentence,51839,51863,32
quote.quote,51839,51945
chapter.sentence,51864,51887,33
chapter.sentence,51888,51992,34
quote.nonquote,51945,51992
chapter.paragraph,51994,52090,15
chapter.sentence,51994,52090,35
quote.quote,51994,52090
chapter.paragraph,52092,52556,16
chapter.sentence,52092,52105,36
quote.quote,52092,52105
chapter.sentence,52106,52227,37
quote.nonquote,52106,52227
chapter.sentence,52228,52357,38
quote.quote,52228,52556
chapter.sentence,52358,52556,39
chapter.paragraph,52558,52615,17
chapter.sentence,52558,52615,40
quote.nonquote,52558,52838
chapter.paragraph,52617,52639,18
chapter.sentence,52617,52639,41
chapter.paragraph,52641,52667,19
chapter.sentence,52641,52667,42
chapter.paragraph,52669,52693,20
chapter.sentence,52669,52693,43
chapter.paragraph,52695,52718,21
chapter.sentence,52695,52718,44
chapter.paragraph,52720,52749,22
chapter.sentence,52720,52749,45
chapter.paragraph,52751,52772,23
chapter.sentence,52751,52772,46
chapter.paragraph,52774,52838,24
chapter.sentence,52774,52838,47
chapter.paragraph,52840,53705,25
chapter.sentence,52840,53317,48
quote.quote,52840,53705
chapter.sentence,53318,53705,49
chapter.paragraph,53707,53768,26
chapter.sentence,53707,53768,50
quote.quote,53707,53742
quote.nonquote,53742,53759
quote.suspension.short,53742,53759
quote.quote,53760,53768
chapter.paragraph,53770,54367,27
chapter.sentence,53770,54367,51
quote.nonquote,53770,61114
chapter.paragraph,54369,54395,28
chapter.sentence,54369,54395,52
chapter.paragraph,54397,54422,29
chapter.sentence,54397,54422,53
chapter.paragraph,54424,54442,30
chapter.sentence,54424,54442,54
chapter.paragraph,54444,54468,31
chapter.sentence,54444,54468,55
chapter.paragraph,54470,54491,32
chapter.sentence,54470,54491,56
chapter.paragraph,54493,54510,33
chapter.sentence,54493,54510,57
chapter.paragraph,54512,60898,34
chapter.sentence,54512,54655,58
chapter.sentence,54656,54843,59
chapter.sentence,54844,55107,60
chapter.sentence,55108,55496,61
chapter.sentence,55497,55570,62
chapter.sentence,55571,55654,63
chapter.sentence,55655,55881,64
chapter.sentence,55882,56035,65
chapter.sentence,56036,56344,66
chapter.sentence,56345,56606,67
chapter.sentence,56607,56884,68
chapter.sentence,56885,57092,69
chapter.sentence,57093,57261,70
chapter.sentence,57262,57426,71
chapter.sentence,57427,58040,72
chapter.sentence,58041,58177,73
chapter.sentence,58178,58549,74
chapter.sentence,58550,58610,75
chapter.sentence,58611,58617,76
chapter.sentence,58618,58645,77
chapter.sentence,58646,58781,78
chapter.sentence,58782,58788,79
chapter.sentence,58789,58834,80
chapter.sentence,58835,58940,81
chapter.sentence,58941,59088,82
chapter.sentence,59089,59281,83
chapter.sentence,59282,59558,84
chapter.sentence,59559,59901,85
chapter.sentence,59902,60026,86
chapter.sentence,60027,60550,87
chapter.sentence,60551,60768,88
chapter.sentence,60769,60898,89
chapter.paragraph,60900,61114,35
chapter.sentence,60900,61114,90
chapter.paragraph,61116,61193,36
chapter.sentence,61116,61193,91
quote.quote,61116,61193
chapter.paragraph,61195,61459,37
chapter.sentence,61195,61397,92
quote.nonquote,61195,61459
chapter.sentence,61398,61459,93
chapter.paragraph,61461,61970,38
chapter.sentence,61461,61553,94
quote.quote,61461,61970
chapter.sentence,61554,61690,95
chapter.sentence,61691,61970,96
chapter.paragraph,61972,62102,39
chapter.sentence,61972,62102,97
quote.nonquote,61972,62102
chapter.paragraph,62104,62343,40
chapter.sentence,62104,62116,98
quote.quote,62104,62343
chapter.sentence,62117,62211,99
chapter.sentence,62212,62343,100
chapter.title,62345,62364,6
chapter.text,62366,88967,6
chapter.paragraph,62366,62779,1
chapter.sentence,62366,62566,1
quote.nonquote,62366,70170
chapter.sentence,62567,62779,2
chapter.paragraph,62781,64006,2
chapter.sentence,62781,63294,3
chapter.sentence,63295,63714,4
chapter.sentence,63715,64006,5
chapter.paragraph,64008,67925,3
chapter.sentence,64008,64209,6
chapter.sentence,64210,64400,7
chapter.sentence,64401,64672,8
chapter.sentence,64673,65376,9
chapter.sentence,65377,65875,10
chapter.sentence,65876,66169,11
chapter.sentence,66170,66417,12
chapter.sentence,66418,66801,13
chapter.sentence,66802,67057,14
chapter.sentence,67058,67703,15
chapter.sentence,67704,67925,16
chapter.paragraph,67927,68525,4
chapter.sentence,67927,68213,17
chapter.sentence,68214,68525,18
chapter.paragraph,68527,69931,5
chapter.sentence,68527,68896,19
chapter.sentence,68897,69290,20
chapter.sentence,69291,69536,21
chapter.sentence,69537,69931,22
chapter.paragraph,69933,70283,6
chapter.sentence,69933,69946,23
chapter.sentence,69947,70008,24
chapter.sentence,70009,70283,25
quote.quote,70171,70184
quote.nonquote,70184,70283
chapter.paragraph,70285,70731,7
chapter.sentence,70285,70410,26
quote.quote,70285,70731
chapter.sentence,70411,70706,27
chapter.sentence,70707,70731,28
