metadata.title,0,11
metadata.author,12,26
chapter.title,28,43,1
chapter.title,45,63,2
chapter.text,65,9120,2
chapter.paragraph,65,1240,1
chapter.sentence,65,210,1
quote.nonquote,65,2830
chapter.sentence,211,293,2
chapter.sentence,294,635,3
chapter.sentence,636,746,4
chapter.sentence,747,1240,5
chapter.paragraph,1242,1919,2
chapter.sentence,1242,1393,6
chapter.sentence,1394,1736,7
chapter.sentence,1737,1919,8
chapter.paragraph,1921,2670,3
chapter.sentence,1921,2372,9
chapter.sentence,2373,2454,10
chapter.sentence,2455,2670,11
chapter.paragraph,2672,3400,4
chapter.sentence,2672,3020,12
quote.quote,2831,2868
quote.nonquote,2868,7199
chapter.sentence,3021,3400,13
chapter.paragraph,3402,4085,5
chapter.sentence,3402,3431,14
chapter.sentence,3432,3847,15
chapter.sentence,3848,4085,16
chapter.paragraph,4087,4499,6
chapter.sentence,4087,4311,17
chapter.sentence,4312,4499,18
chapter.paragraph,4501,5341,7
chapter.sentence,4501,4562,19
chapter.sentence,4563,4658,20
chapter.sentence,4659,4864,21
chapter.sentence,4865,5035,22
chapter.sentence,5036,5341,23
chapter.paragraph,5343,5705,8
chapter.sentence,5343,5561,24
chapter.sentence,5562,5705,25
chapter.paragraph,5707,5944,9
chapter.sentence,5707,5944,26
chapter.paragraph,5946,6233,10
chapter.sentence,5946,6103,27
chapter.sentence,6104,6233,28
chapter.paragraph,6235,6934,11
chapter.sentence,6235,6441,29
chapter.sentence,6442,6515,30
chapter.sentence,6516,6741,31
chapter.sentence,6742,6842,32
chapter.sentence,6843,6934,33
chapter.paragraph,6936,7199,12
chapter.sentence,6936,7053,34
chapter.sentence,7054,7199,35
chapter.paragraph,7201,7926,13
chapter.sentence,7201,7293,36
quote.quote,7201,7926
chapter.sentence,7294,7370,37
chapter.sentence,7371,7504,38
chapter.sentence,7505,7653,39
chapter.sentence,7654,7665,40
chapter.sentence,7666,7882,41
chapter.sentence,7883,7926,42
