metadata.title,0,11
metadata.author,12,21
chapter.title,23,41,1
chapter.title,43,59,2
chapter.text,61,190940,2
chapter.paragraph,61,1662,1
chapter.sentence,61,295,1
quote.quote,61,1662
chapter.sentence,296,399,2
chapter.sentence,400,899,3
chapter.sentence,900,1095,4
chapter.sentence,1096,1295,5
chapter.sentence,1296,1662,6
chapter.paragraph,1664,1745,2
chapter.sentence,1664,1745,7
quote.nonquote,1664,1890
chapter.paragraph,1747,1890,3
chapter.sentence,1747,1767,8
chapter.sentence,1768,1859,9
chapter.sentence,1860,1890,10
chapter.paragraph,1892,2353,4
chapter.sentence,1892,2124,11
quote.quote,1892,2353
chapter.sentence,2125,2318,12
chapter.sentence,2319,2353,13
chapter.paragraph,2355,2440,5
chapter.sentence,2355,2440,14
quote.quote,2355,2424
quote.nonquote,2425,2440
chapter.paragraph,2442,2496,6
chapter.sentence,2442,2447,15
quote.quote,2442,2496
chapter.sentence,2448,2477,16
chapter.sentence,2478,2496,17
chapter.paragraph,2498,2708,7
chapter.sentence,2498,2708,18
quote.quote,2498,2708
chapter.paragraph,2710,3142,8
chapter.sentence,2710,2723,19
quote.quote,2710,3142
chapter.sentence,2724,2808,20
chapter.sentence,2809,2983,21
chapter.sentence,2984,3100,22
chapter.sentence,3101,3142,23
chapter.paragraph,3144,3149,9
chapter.sentence,3144,3149,24
quote.quote,3144,3149
chapter.paragraph,3151,3710,10
chapter.sentence,3151,3251,25
quote.quote,3151,3710
chapter.sentence,3252,3486,26
chapter.sentence,3487,3668,27
chapter.sentence,3669,3710,28
chapter.paragraph,3712,3731,11
chapter.sentence,3712,3731,29
quote.quote,3712,3731
chapter.paragraph,3733,4650,12
chapter.sentence,3733,3782,30
quote.quote,3733,4650
chapter.sentence,3783,3892,31
chapter.sentence,3893,4014,32
chapter.sentence,4015,4103,33
chapter.sentence,4104,4352,34
chapter.sentence,4353,4522,35
chapter.sentence,4523,4626,36
chapter.sentence,4627,4650,37
chapter.paragraph,4652,4657,13
chapter.sentence,4652,4657,38
quote.quote,4652,4657
chapter.paragraph,4659,4723,14
chapter.sentence,4659,4723,39
quote.quote,4659,4723
chapter.paragraph,4725,4735,15
chapter.sentence,4725,4735,40
quote.quote,4725,4735
chapter.paragraph,4737,4806,16
chapter.sentence,4737,4806,41
quote.quote,4737,4806
chapter.paragraph,4808,4850,17
chapter.sentence,4808,4814,42
quote.quote,4808,4850
chapter.sentence,4815,4850,43
chapter.paragraph,4852,4901,18
chapter.sentence,4852,4859,44
quote.quote,4852,4901
chapter.sentence,4860,4901,45
chapter.paragraph,4903,5016,19
chapter.sentence,4903,4915,46
quote.quote,4903,5016
chapter.sentence,4916,5016,47
chapter.paragraph,5018,5051,20
chapter.sentence,5018,5025,48
quote.quote,5018,5051
chapter.sentence,5026,5051,49
chapter.paragraph,5053,5100,21
chapter.sentence,5053,5100,50
quote.quote,5053,5100
chapter.paragraph,5102,5116,22
chapter.sentence,5102,5116,51
quote.quote,5102,5116
chapter.paragraph,5118,5123,23
chapter.sentence,5118,5123,52
quote.quote,5118,5123
chapter.paragraph,5125,5211,24
chapter.sentence,5125,5211,53
quote.quote,5125,5211
chapter.paragraph,5213,5220,25
chapter.sentence,5213,5220,54
quote.quote,5213,5220
chapter.paragraph,5222,5382,26
chapter.sentence,5222,5233,55
quote.quote,5222,5382
chapter.sentence,5234,5382,56
chapter.paragraph,5384,5479,27
chapter.sentence,5384,5395,57
quote.quote,5384,5479
chapter.sentence,5396,5479,58
chapter.paragraph,5481,5627,28
chapter.sentence,5481,5627,59
quote.quote,5481,5627
chapter.paragraph,5629,5634,29
chapter.sentence,5629,5634,60
quote.quote,5629,5634
chapter.paragraph,5636,6797,30
chapter.sentence,5636,5721,61
quote.quote,5636,6797
chapter.sentence,5722,6038,62
chapter.sentence,6039,6496,63
chapter.sentence,6497,6692,64
chapter.sentence,6693,6797,65
chapter.paragraph,6799,6984,31
chapter.sentence,6799,6984,66
quote.nonquote,6799,8575
chapter.paragraph,6986,7473,32
chapter.sentence,6986,7130,67
chapter.sentence,7131,7317,68
chapter.sentence,7318,7473,69
chapter.paragraph,7475,8824,33
chapter.sentence,7475,7666,70
chapter.sentence,7667,7916,71
chapter.sentence,7917,8070,72
chapter.sentence,8071,8191,73
chapter.sentence,8192,8404,74
chapter.sentence,8405,8824,75
quote.quote,8576,8649
quote.nonquote,8649,10512
chapter.paragraph,8826,9352,34
chapter.sentence,8826,8893,76
chapter.sentence,8894,9023,77
chapter.sentence,9024,9352,78
chapter.paragraph,9354,10432,35
chapter.sentence,9354,9469,79
chapter.sentence,9470,9713,80
chapter.sentence,9714,9805,81
chapter.sentence,9806,9975,82
chapter.sentence,9976,10217,83
chapter.sentence,10218,10345,84
chapter.sentence,10346,10432,85
chapter.paragraph,10434,10976,36
chapter.sentence,10434,10545,86
quote.quote,10513,10520
quote.nonquote,10520,12293
chapter.sentence,10547,10749,87
chapter.sentence,10750,10976,88
chapter.paragraph,10978,11341,37
chapter.sentence,10978,11341,89
chapter.paragraph,11343,11554,38
chapter.sentence,11343,11554,90
chapter.paragraph,11556,12368,39
chapter.sentence,11556,11716,91
chapter.sentence,11717,11839,92
chapter.sentence,11840,11920,93
chapter.sentence,11921,12045,94
chapter.sentence,12046,12133,95
chapter.sentence,12134,12368,96
quote.quote,12294,12311
quote.nonquote,12312,14796
chapter.paragraph,12370,14314,40
chapter.sentence,12370,12455,97
chapter.sentence,12456,12546,98
chapter.sentence,12547,12727,99
chapter.sentence,12728,12999,100
chapter.sentence,13000,13416,101
chapter.sentence,13417,13637,102
chapter.sentence,13638,13747,103
chapter.sentence,13748,13914,104
chapter.sentence,13915,14057,105
chapter.sentence,14058,14314,106
chapter.paragraph,14316,15651,41
chapter.sentence,14316,14419,107
chapter.sentence,14420,14516,108
chapter.sentence,14517,14736,109
chapter.sentence,14737,14859,110
quote.quote,14797,14840
quote.nonquote,14840,15056
chapter.sentence,14860,15041,111
chapter.sentence,15042,15272,112
quote.quote,15057,15106
quote.nonquote,15107,15651
chapter.sentence,15273,15384,113
chapter.sentence,15385,15508,114
chapter.sentence,15509,15574,115
chapter.sentence,15575,15651,116
chapter.paragraph,15653,15715,42
chapter.sentence,15653,15715,117
quote.quote,15653,15715
chapter.paragraph,15717,15801,43
chapter.sentence,15717,15759,118
quote.nonquote,15717,15801
chapter.sentence,15760,15801,119
chapter.paragraph,15803,16042,44
chapter.sentence,15803,15831,120
quote.quote,15803,16042
chapter.sentence,15832,15876,121
chapter.sentence,15877,16042,122
chapter.paragraph,16044,16065,45
chapter.sentence,16044,16065,123
quote.quote,16044,16049
quote.nonquote,16050,16065
chapter.paragraph,16067,16094,46
chapter.sentence,16067,16094,124
quote.quote,16067,16094
chapter.paragraph,16096,16101,47
chapter.sentence,16096,16101,125
quote.quote,16096,16101
chapter.paragraph,16103,17025,48
chapter.sentence,16103,16212,126
quote.quote,16103,17025
chapter.sentence,16213,16326,127
chapter.sentence,16327,16567,128
chapter.sentence,16568,16800,129
chapter.sentence,16801,16911,130
chapter.sentence,16912,16981,131
chapter.sentence,16982,17025,132
chapter.paragraph,17027,17071,49
chapter.sentence,17027,17059,133
quote.quote,17027,17059
chapter.sentence,17060,17071,134
quote.nonquote,17060,17071
chapter.paragraph,17073,17526,50
chapter.sentence,17073,17137,135
quote.quote,17073,17526
chapter.sentence,17138,17194,136
