metadata.title,0,4
metadata.author,5,24
chapter.title,26,42,1
chapter.title,44,55,2
chapter.text,57,1619,2
chapter.paragraph,57,958,1
chapter.sentence,57,203,1
quote.nonquote,57,1619
chapter.sentence,204,644,2
chapter.sentence,645,958,3
chapter.paragraph,960,1425,2
chapter.sentence,960,1425,4
chapter.paragraph,1427,1619,3
chapter.sentence,1427,1619,5
chapter.title,1621,1629,3
chapter.text,1631,92204,3
chapter.paragraph,1631,2129,1
chapter.sentence,1631,1932,1
quote.nonquote,1631,92204
chapter.sentence,1933,2129,2
chapter.paragraph,2131,2964,2
chapter.sentence,2131,2615,3
chapter.sentence,2616,2735,4
chapter.sentence,2736,2964,5
chapter.paragraph,2966,3277,3
chapter.sentence,2966,3277,6
chapter.paragraph,3279,3622,4
chapter.sentence,3279,3396,7
chapter.sentence,3397,3622,8
chapter.paragraph,3624,3870,5
chapter.sentence,3624,3870,9
chapter.paragraph,3872,4382,6
chapter.sentence,3872,4099,10
chapter.sentence,4100,4240,11
chapter.sentence,4241,4362,12
chapter.sentence,4363,4382,13
chapter.paragraph,4384,4600,7
chapter.sentence,4384,4572,14
chapter.sentence,4573,4589,15
chapter.sentence,4590,4600,16
chapter.paragraph,4602,5289,8
chapter.sentence,4602,4691,17
chapter.sentence,4692,4966,18
chapter.sentence,4967,4988,19
chapter.sentence,4989,5230,20
chapter.sentence,5231,5278,21
chapter.sentence,5279,5289,22
chapter.paragraph,5291,5488,9
chapter.sentence,5291,5488,23
chapter.paragraph,5490,5775,10
chapter.sentence,5490,5601,24
chapter.sentence,5602,5708,25
chapter.sentence,5709,5775,26
chapter.paragraph,5777,6285,11
chapter.sentence,5777,6205,27
chapter.sentence,6206,6272,28
chapter.sentence,6273,6285,29
chapter.paragraph,6287,6473,12
chapter.sentence,6287,6294,30
chapter.sentence,6295,6427,31
chapter.sentence,6428,6459,32
chapter.sentence,6460,6473,33
chapter.paragraph,6475,6575,13
chapter.sentence,6475,6510,34
chapter.sentence,6511,6575,35
chapter.paragraph,6577,6843,14
chapter.sentence,6577,6679,36
chapter.sentence,6680,6782,37
chapter.sentence,6783,6843,38
chapter.paragraph,6845,6965,15
chapter.sentence,6845,6867,39
chapter.sentence,6868,6965,40
chapter.paragraph,6967,7080,16
chapter.sentence,6967,7080,41
chapter.paragraph,7082,7330,17
chapter.sentence,7082,7192,42
chapter.sentence,7193,7330,43
chapter.paragraph,7332,7550,18
chapter.sentence,7332,7507,44
chapter.sentence,7508,7537,45
chapter.sentence,7538,7550,46
chapter.paragraph,7552,7683,19
chapter.sentence,7552,7683,47
chapter.paragraph,7685,7782,20
chapter.sentence,7685,7700,48
chapter.sentence,7701,7782,49
chapter.paragraph,7784,7939,21
chapter.sentence,7784,7939,50
chapter.paragraph,7941,7989,22
chapter.sentence,7941,7953,51
chapter.sentence,7954,7989,52
chapter.paragraph,7991,8009,23
chapter.sentence,7991,8009,53
