metadata.title,0,6
metadata.author,7,34
chapter.title,36,41,1
chapter.text,43,10094,1
chapter.paragraph,43,521,1
chapter.sentence,43,153,1
quote.nonquote,43,875
chapter.sentence,154,245,2
chapter.sentence,246,521,3
chapter.paragraph,523,724,2
chapter.sentence,523,724,4
chapter.paragraph,726,976,3
chapter.sentence,726,875,5
chapter.sentence,876,976,6
quote.quote,876,882
quote.nonquote,882,904
quote.suspension.short,882,904
quote.quote,905,976
chapter.paragraph,978,1133,4
chapter.sentence,978,1133,7
quote.nonquote,978,3423
chapter.paragraph,1135,1969,5
chapter.sentence,1135,1309,8
chapter.sentence,1310,1437,9
chapter.sentence,1438,1558,10
chapter.sentence,1559,1714,11
chapter.sentence,1715,1795,12
chapter.sentence,1796,1969,13
chapter.paragraph,1971,2683,6
chapter.sentence,1971,2112,14
chapter.sentence,2113,2236,15
chapter.sentence,2237,2317,16
chapter.sentence,2318,2408,17
chapter.sentence,2409,2526,18
chapter.sentence,2527,2683,19
chapter.paragraph,2685,2846,7
chapter.sentence,2685,2752,20
chapter.sentence,2753,2846,21
chapter.paragraph,2848,3227,8
chapter.sentence,2848,2942,22
chapter.sentence,2943,3004,23
chapter.sentence,3005,3100,24
chapter.sentence,3101,3227,25
chapter.paragraph,3229,3448,9
chapter.sentence,3229,3326,26
chapter.sentence,3327,3448,27
quote.quote,3424,3448
chapter.paragraph,3450,3820,10
chapter.sentence,3450,3573,28
quote.nonquote,3450,5633
chapter.sentence,3574,3820,29
chapter.paragraph,3822,4344,11
chapter.sentence,3822,4023,30
chapter.sentence,4024,4266,31
chapter.sentence,4267,4344,32
chapter.paragraph,4346,5751,12
chapter.sentence,4346,4358,33
chapter.sentence,4359,4564,34
chapter.sentence,4565,4757,35
chapter.sentence,4758,4864,36
chapter.sentence,4865,4996,37
chapter.sentence,4997,5097,38
chapter.sentence,5098,5119,39
chapter.sentence,5120,5424,40
chapter.sentence,5425,5566,41
chapter.sentence,5567,5751,42
quote.quote,5634,5653
quote.nonquote,5654,8752
chapter.paragraph,5753,6761,13
chapter.sentence,5753,5888,43
chapter.sentence,5889,6083,44
chapter.sentence,6084,6187,45
chapter.sentence,6188,6457,46
chapter.sentence,6458,6761,47
chapter.paragraph,6763,7128,14
chapter.sentence,6763,6944,48
chapter.sentence,6945,7128,49
chapter.paragraph,7130,7387,15
chapter.sentence,7130,7387,50
chapter.paragraph,7389,7966,16
chapter.sentence,7389,7551,51
chapter.sentence,7552,7747,52
chapter.sentence,7748,7966,53
chapter.paragraph,7968,8752,17
chapter.sentence,7968,8040,54
chapter.sentence,8041,8194,55
chapter.sentence,8195,8283,56
chapter.sentence,8284,8518,57
chapter.sentence,8519,8752,58
chapter.paragraph,8754,8884,18
chapter.sentence,8754,8767,59
quote.quote,8754,8767
chapter.sentence,8768,8884,60
quote.nonquote,8768,9281
chapter.paragraph,8886,9281,19
chapter.sentence,8886,9000,61
chapter.sentence,9001,9112,62
chapter.sentence,9113,9281,63
chapter.paragraph,9283,9424,20
chapter.sentence,9283,9325,64
quote.quote,9283,9296
quote.nonquote,9296,9308
quote.suspension.short,9296,9308
quote.quote,9309,9424
chapter.sentence,9326,9424,65
chapter.paragraph,9426,9737,21
chapter.sentence,9426,9533,66
quote.nonquote,9426,9737
chapter.sentence,9534,9737,67
chapter.paragraph,9739,9802,22
chapter.sentence,9739,9747,68
quote.quote,9739,9747
chapter.sentence,9748,9757,69
quote.nonquote,9748,9757
chapter.sentence,9758,9790,70
quote.quote,9758,9802
chapter.sentence,9791,9802,71
chapter.paragraph,9804,10044,23
chapter.sentence,9804,10044,72
quote.nonquote,9804,9979
quote.quote,9980,10044
chapter.paragraph,10046,10094,24
chapter.sentence,10046,10094,73
quote.nonquote,10046,10094
chapter.title,10096,10101,2
chapter.text,10103,29103,2
chapter.paragraph,10103,10688,1
chapter.sentence,10103,10216,1
quote.nonquote,10103,13868
chapter.sentence,10217,10368,2
chapter.sentence,10369,10463,3
chapter.sentence,10464,10588,4
chapter.sentence,10589,10688,5
chapter.paragraph,10690,11663,2
chapter.sentence,10690,10928,6
chapter.sentence,10929,11099,7
chapter.sentence,11100,11358,8
chapter.sentence,11359,11663,9
chapter.paragraph,11665,11804,3
chapter.sentence,11665,11681,10
chapter.sentence,11682,11705,11
chapter.sentence,11706,11804,12
chapter.paragraph,11806,12288,4
chapter.sentence,11806,11907,13
chapter.sentence,11908,12061,14
chapter.sentence,12062,12288,15
chapter.paragraph,12290,12708,5
chapter.sentence,12290,12405,16
chapter.sentence,12406,12708,17
chapter.paragraph,12710,13238,6
chapter.sentence,12710,12889,18
chapter.sentence,12890,13008,19
chapter.sentence,13009,13238,20
chapter.paragraph,13240,13436,7
chapter.sentence,13240,13436,21
chapter.paragraph,13438,13868,8
chapter.sentence,13438,13611,22
chapter.sentence,13612,13749,23
chapter.sentence,13750,13868,24
chapter.paragraph,13870,14111,9
chapter.sentence,13870,13929,25
quote.quote,13870,14111
chapter.sentence,13930,14017,26
chapter.sentence,14018,14111,27
chapter.paragraph,14113,14413,10
chapter.sentence,14113,14413,28
quote.nonquote,14113,19020
chapter.paragraph,14415,14834,11
chapter.sentence,14415,14535,29
chapter.sentence,14536,14834,30
chapter.paragraph,14836,15419,12
chapter.sentence,14836,14908,31
chapter.sentence,14909,15076,32
chapter.sentence,15077,15180,33
chapter.sentence,15181,15419,34
chapter.paragraph,15421,16290,13
chapter.sentence,15421,15589,35
chapter.sentence,15590,15731,36
chapter.sentence,15732,15865,37
chapter.sentence,15866,16068,38
chapter.sentence,16069,16290,39
chapter.paragraph,16292,16500,14
chapter.sentence,16292,16500,40
chapter.paragraph,16502,17183,15
chapter.sentence,16502,16693,41
chapter.sentence,16694,16804,42
chapter.sentence,16805,16933,43
chapter.sentence,16934,17051,44
chapter.sentence,17052,17183,45
chapter.paragraph,17185,17890,16
chapter.sentence,17185,17283,46
chapter.sentence,17284,17393,47
chapter.sentence,17394,17890,48
chapter.paragraph,17892,18673,17
chapter.sentence,17892,18030,49
chapter.sentence,18031,18310,50
chapter.sentence,18311,18673,51
chapter.paragraph,18675,19073,18
chapter.sentence,18675,19073,52
quote.quote,19021,19059
quote.nonquote,19060,19485
chapter.paragraph,19075,19219,19
chapter.sentence,19075,19219,53
chapter.paragraph,19221,19954,20
chapter.sentence,19221,19357,54
chapter.sentence,19358,19485,55
