metadata.title,0,13
metadata.author,14,25
chapter.title,27,45,1
chapter.text,47,32455,1
chapter.paragraph,47,1150,1
chapter.sentence,47,212,1
quote.quote,47,100
quote.nonquote,101,1150
chapter.sentence,213,288,2
chapter.sentence,289,554,3
chapter.sentence,555,807,4
chapter.sentence,808,937,5
chapter.sentence,938,1079,6
chapter.sentence,1080,1150,7
chapter.paragraph,1152,1396,2
chapter.sentence,1152,1198,8
quote.quote,1152,1171
quote.nonquote,1172,4037
chapter.sentence,1199,1396,9
chapter.paragraph,1398,1740,3
chapter.sentence,1398,1602,10
chapter.sentence,1603,1740,11
chapter.paragraph,1742,3323,4
chapter.sentence,1742,2041,12
chapter.sentence,2042,2383,13
chapter.sentence,2384,3057,14
chapter.sentence,3058,3323,15
chapter.paragraph,3325,3800,5
chapter.sentence,3325,3576,16
chapter.sentence,3577,3765,17
chapter.sentence,3766,3800,18
chapter.paragraph,3802,4091,6
chapter.sentence,3802,4091,19
quote.quote,4038,4091
chapter.paragraph,4093,4217,7
chapter.sentence,4093,4217,20
quote.quote,4093,4104
quote.nonquote,4105,4115
quote.suspension.short,4105,4115
quote.quote,4116,4217
chapter.paragraph,4219,4781,8
chapter.sentence,4219,4273,21
quote.nonquote,4219,4781
chapter.sentence,4274,4291,22
chapter.sentence,4292,4339,23
chapter.sentence,4340,4476,24
chapter.sentence,4477,4489,25
chapter.sentence,4490,4781,26
chapter.paragraph,4783,4803,9
chapter.sentence,4783,4803,27
quote.quote,4783,4803
chapter.paragraph,4805,4923,10
chapter.sentence,4805,4831,28
quote.quote,4805,4831
chapter.sentence,4832,4852,29
quote.nonquote,4832,4852
chapter.sentence,4853,4923,30
quote.quote,4853,4923
chapter.paragraph,4925,5057,11
chapter.sentence,4925,4956,31
quote.quote,4925,4956
chapter.sentence,4957,5033,32
quote.nonquote,4957,5057
chapter.sentence,5034,5057,33
chapter.paragraph,5059,5382,12
chapter.sentence,5059,5105,34
quote.quote,5059,5066
quote.nonquote,5067,5082
quote.suspension.short,5067,5082
quote.quote,5083,5382
chapter.sentence,5106,5126,35
chapter.sentence,5127,5310,36
chapter.sentence,5311,5382,37
chapter.paragraph,5384,5826,13
chapter.sentence,5384,5752,38
quote.quote,5384,5398
quote.nonquote,5399,5418
quote.suspension.short,5399,5418
quote.quote,5419,5826
chapter.sentence,5753,5826,39
chapter.paragraph,5828,6660,14
chapter.sentence,5828,5960,40
quote.quote,5828,5833
quote.nonquote,5834,5911
quote.suspension.long,5834,5911
quote.quote,5912,6660
chapter.sentence,5961,5991,41
chapter.sentence,5992,6049,42
chapter.sentence,6050,6174,43
chapter.sentence,6175,6340,44
chapter.sentence,6341,6422,45
chapter.sentence,6423,6612,46
chapter.sentence,6613,6660,47
chapter.paragraph,6662,6786,15
chapter.sentence,6662,6727,48
quote.nonquote,6662,6786
chapter.sentence,6728,6786,49
chapter.paragraph,6788,6937,16
chapter.sentence,6788,6859,50
quote.quote,6788,6801
quote.nonquote,6802,6836
quote.suspension.long,6802,6836
quote.quote,6837,6937
chapter.sentence,6860,6937,51
chapter.paragraph,6939,7340,17
chapter.sentence,6939,6956,52
quote.quote,6939,6956
chapter.sentence,6957,6994,53
quote.nonquote,6957,6994
chapter.sentence,6995,7028,54
quote.quote,6995,7340
chapter.sentence,7029,7340,55
chapter.paragraph,7342,7469,18
chapter.sentence,7342,7396,56
quote.quote,7342,7396
chapter.sentence,7397,7469,57
quote.nonquote,7397,7469
chapter.paragraph,7471,8012,19
chapter.sentence,7471,7921,58
quote.quote,7471,7989
chapter.sentence,7922,7989,59
chapter.sentence,7990,8012,60
quote.nonquote,7990,8012
chapter.paragraph,8014,9390,20
chapter.sentence,8014,8178,61
quote.quote,8014,9390
chapter.sentence,8179,8570,62
chapter.sentence,8571,8688,63
chapter.sentence,8689,8792,64
chapter.sentence,8793,8857,65
chapter.sentence,8858,9041,66
chapter.sentence,9042,9191,67
chapter.sentence,9192,9390,68
chapter.paragraph,9392,9774,21
chapter.sentence,9392,9437,69
quote.nonquote,9392,9774
chapter.sentence,9438,9465,70
chapter.sentence,9466,9495,71
chapter.sentence,9496,9664,72
chapter.sentence,9665,9674,73
chapter.sentence,9675,9682,74
chapter.sentence,9683,9706,75
chapter.sentence,9707,9774,76
chapter.paragraph,9776,10605,22
chapter.sentence,9776,9971,77
quote.quote,9776,9810
quote.nonquote,9811,9834
quote.suspension.short,9811,9834
quote.quote,9835,10605
chapter.sentence,9972,10291,78
chapter.sentence,10292,10407,79
chapter.sentence,10408,10480,80
chapter.sentence,10481,10548,81
