metadata.title,0,13
metadata.author,14,32
chapter.title,34,51,1
chapter.text,53,1821,1
chapter.paragraph,53,359,1
chapter.sentence,53,129,1
quote.nonquote,53,1161
chapter.sentence,130,359,2
chapter.paragraph,361,706,2
chapter.sentence,361,706,3
chapter.paragraph,708,951,3
chapter.sentence,708,733,4
chapter.sentence,734,951,5
chapter.paragraph,953,1161,4
chapter.sentence,953,1161,6
chapter.paragraph,1163,1195,5
chapter.sentence,1163,1195,7
quote.quote,1163,1195
chapter.paragraph,1197,1306,6
chapter.sentence,1197,1306,8
quote.nonquote,1197,1306
chapter.paragraph,1308,1370,7
chapter.sentence,1308,1370,9
quote.quote,1308,1370
chapter.paragraph,1372,1821,8
chapter.sentence,1372,1634,10
quote.nonquote,1372,1821
chapter.sentence,1635,1821,11
chapter.title,1823,1838,2
chapter.title,1840,1875,3
chapter.title,1877,1897,4
chapter.text,1899,5231,4
chapter.paragraph,1899,2805,1
chapter.sentence,1899,2180,1
quote.nonquote,1899,4050
chapter.sentence,2181,2342,2
chapter.sentence,2343,2805,3
chapter.paragraph,2807,2973,2
chapter.sentence,2807,2973,4
chapter.paragraph,2975,3751,3
chapter.sentence,2975,3572,5
chapter.sentence,3573,3751,6
chapter.paragraph,3753,3760,4
chapter.sentence,3753,3760,7
chapter.paragraph,3762,5222,5
chapter.sentence,3762,3821,8
chapter.sentence,3822,3969,9
chapter.sentence,3970,5222,10
quote.quote,4051,4185
quote.nonquote,4185,5231
chapter.paragraph,5224,5231,6
chapter.sentence,5224,5231,11
chapter.title,5233,5251,5
chapter.text,5253,7036,5
chapter.paragraph,5253,5661,1
chapter.sentence,5253,5317,1
quote.nonquote,5253,7036
chapter.sentence,5318,5468,2
chapter.sentence,5469,5661,3
chapter.paragraph,5663,5854,2
chapter.sentence,5663,5854,4
chapter.paragraph,5856,6288,3
chapter.sentence,5856,5930,5
chapter.sentence,5931,6074,6
chapter.sentence,6075,6210,7
chapter.sentence,6211,6288,8
chapter.paragraph,6290,6432,4
chapter.sentence,6290,6432,9
chapter.paragraph,6434,6680,5
chapter.sentence,6434,6680,10
chapter.paragraph,6682,6690,6
chapter.sentence,6682,6690,11
chapter.paragraph,6692,7036,7
chapter.sentence,6692,6961,12
chapter.sentence,6962,7036,13
chapter.title,7038,7051,6
chapter.text,7053,14166,6
chapter.paragraph,7053,8221,1
chapter.sentence,7053,7077,1
quote.nonquote,7053,14166
chapter.sentence,7078,7559,2
chapter.sentence,7560,7630,3
chapter.sentence,7631,7637,4
chapter.sentence,7638,7647,5
chapter.sentence,7648,7658,6
chapter.sentence,7659,8053,7
chapter.sentence,8054,8084,8
chapter.sentence,8085,8221,9
chapter.paragraph,8223,8791,2
chapter.sentence,8223,8363,10
chapter.sentence,8364,8791,11
chapter.paragraph,8793,8946,3
chapter.sentence,8793,8946,12
chapter.paragraph,8948,9177,4
chapter.sentence,8948,9177,13
chapter.paragraph,9179,9365,5
chapter.sentence,9179,9300,14
chapter.sentence,9301,9365,15
chapter.paragraph,9367,9709,6
chapter.sentence,9367,9628,16
chapter.sentence,9629,9709,17
chapter.paragraph,9711,10109,7
chapter.sentence,9711,10109,18
chapter.paragraph,10111,10151,8
chapter.sentence,10111,10151,19
chapter.paragraph,10153,10421,9
chapter.sentence,10153,10421,20
chapter.paragraph,10423,11389,10
chapter.sentence,10423,10523,21
chapter.sentence,10524,10546,22
chapter.sentence,10547,10724,23
chapter.sentence,10725,11312,24
chapter.sentence,11313,11389,25
chapter.paragraph,11391,11541,11
chapter.sentence,11391,11541,26
chapter.paragraph,11543,11780,12
chapter.sentence,11543,11780,27
chapter.paragraph,11782,11810,13
chapter.sentence,11782,11810,28
chapter.paragraph,11812,13096,14
chapter.sentence,11812,11878,29
chapter.sentence,11879,13096,30
chapter.paragraph,13098,14001,15
chapter.sentence,13098,13192,31
chapter.sentence,13193,13299,32
chapter.sentence,13300,13572,33
chapter.sentence,13573,13611,34
chapter.sentence,13612,13831,35
chapter.sentence,13832,14001,36
chapter.paragraph,14003,14166,16
chapter.sentence,14003,14051,37
chapter.sentence,14052,14166,38
chapter.title,14168,14188,7
chapter.text,14190,23216,7
chapter.paragraph,14190,15577,1
chapter.sentence,14190,14629,1
quote.nonquote,14190,14261
quote.quote,14262,14307
quote.nonquote,14308,14319
quote.suspension.short,14308,14319
quote.quote,14320,14370
quote.nonquote,14371,14372
quote.quote,14373,14931
chapter.sentence,14630,15105,2
quote.nonquote,14932,14933
quote.quote,14934,15278
chapter.sentence,15106,15577,3
quote.nonquote,15279,15280
quote.quote,15281,15370
quote.nonquote,15371,15372
quote.quote,15373,15407
quote.nonquote,15408,15409
quote.quote,15410,15459
quote.nonquote,15460,15461
quote.quote,15462,15493
quote.nonquote,15494,15495
quote.quote,15496,15575
quote.nonquote,15576,17455
chapter.paragraph,15579,16516,2
chapter.sentence,15579,16516,4
chapter.paragraph,16518,18961,3
chapter.sentence,16518,16759,5
chapter.sentence,16760,17105,6
chapter.sentence,17106,17455,7
chapter.sentence,17456,17552,8
quote.quote,17456,17552
chapter.sentence,17553,17670,9
quote.nonquote,17553,17604
quote.quote,17605,17823
chapter.sentence,17671,17823,10
chapter.sentence,17824,18026,11
quote.nonquote,17824,21447
chapter.sentence,18027,18160,12
chapter.sentence,18161,18597,13
chapter.sentence,18598,18725,14
chapter.sentence,18726,18802,15
chapter.sentence,18803,18918,16
chapter.sentence,18919,18961,17
chapter.paragraph,18963,23207,4
chapter.sentence,18963,19571,18
chapter.sentence,19572,19869,19
chapter.sentence,19870,20921,20
chapter.sentence,20922,21078,21
chapter.sentence,21079,21334,22
chapter.sentence,21336,21447,23
chapter.sentence,21448,21553,24
quote.quote,21448,21504
quote.nonquote,21505,21633
chapter.sentence,21554,21633,25
chapter.sentence,21634,21802,26
quote.quote,21634,21802
chapter.sentence,21803,21810,27
quote.nonquote,21803,22281
chapter.sentence,21811,22957,28
quote.quote,22282,22292
quote.nonquote,22292,23216
chapter.sentence,22958,23207,29
chapter.paragraph,23209,23216,5
chapter.sentence,23209,23216,30
chapter.title,23218,23236,8
chapter.text,23238,29553,8
chapter.paragraph,23238,23795,1
chapter.sentence,23238,23555,1
quote.nonquote,23238,24637
chapter.sentence,23556,23795,2
chapter.paragraph,23797,29164,2
chapter.sentence,23797,24158,3
chapter.sentence,24159,24310,4
chapter.sentence,24311,25032,5
quote.quote,24638,24732
quote.nonquote,24733,29553
chapter.sentence,25033,25395,6
chapter.sentence,25396,26623,7
chapter.sentence,26624,27134,8
chapter.sentence,27135,27750,9
chapter.sentence,27751,28040,10
chapter.sentence,28041,28855,11
chapter.sentence,28856,29058,12
chapter.sentence,29059,29164,13
chapter.paragraph,29166,29496,3
chapter.sentence,29166,29496,14
chapter.paragraph,29498,29506,4
chapter.sentence,29498,29506,15
chapter.paragraph,29508,29553,5
chapter.sentence,29508,29553,16
chapter.title,29555,29590,9
chapter.text,29592,33233,9
chapter.paragraph,29592,29622,1
chapter.sentence,29592,29622,1
quote.nonquote,29592,33233
chapter.paragraph,29624,29736,2
chapter.sentence,29624,29626,2
chapter.sentence,29627,29736,3
chapter.paragraph,29738,29917,3
chapter.sentence,29738,29740,4
chapter.sentence,29741,29917,5
chapter.paragraph,29919,30106,4
chapter.sentence,29919,29921,6
chapter.sentence,29922,30106,7
chapter.paragraph,30108,30309,5
chapter.sentence,30108,30110,8
chapter.sentence,30111,30309,9
chapter.paragraph,30311,30539,6
chapter.sentence,30311,30313,10
chapter.sentence,30314,30539,11
chapter.paragraph,30541,30719,7
chapter.sentence,30541,30543,12
chapter.sentence,30544,30719,13
chapter.paragraph,30721,30930,8
chapter.sentence,30721,30723,14
chapter.sentence,30724,30930,15
chapter.paragraph,30932,31162,9
chapter.sentence,30932,30934,16
chapter.sentence,30935,31162,17
chapter.paragraph,31164,31466,10
chapter.sentence,31164,31166,18
chapter.sentence,31167,31466,19
chapter.paragraph,31468,31711,11
chapter.sentence,31468,31471,20
chapter.sentence,31472,31711,21
chapter.paragraph,31713,31950,12
chapter.sentence,31713,31716,22
chapter.sentence,31717,31950,23
chapter.paragraph,31952,32262,13
chapter.sentence,31952,31955,24
chapter.sentence,31956,32106,25
chapter.sentence,32107,32180,26
chapter.sentence,32181,32262,27
chapter.paragraph,32264,32597,14
chapter.sentence,32264,32267,28
chapter.sentence,32268,32400,29
chapter.sentence,32401,32597,30
chapter.paragraph,32599,32883,15
chapter.sentence,32599,32602,31
chapter.sentence,32603,32883,32
chapter.paragraph,32885,33233,16
chapter.sentence,32885,32888,33
chapter.sentence,32889,32927,34
chapter.sentence,32928,33233,35
chapter.title,33235,33255,10
chapter.text,33257,46331,10
chapter.paragraph,33257,35332,1
chapter.sentence,33257,33303,1
quote.nonquote,33257,36398
chapter.sentence,33304,33366,2
chapter.sentence,33367,33490,3
chapter.sentence,33491,33628,4
chapter.sentence,33629,33657,5
chapter.sentence,33658,33789,6
chapter.sentence,33790,34251,7
chapter.sentence,34252,34783,8
chapter.sentence,34784,35033,9
chapter.sentence,35034,35248,10
chapter.sentence,35249,35332,11
chapter.paragraph,35334,39230,2
chapter.sentence,35334,35408,12
chapter.sentence,35409,35795,13
chapter.sentence,35796,35862,14
chapter.sentence,35863,36230,15
chapter.sentence,36231,36398,16
chapter.sentence,36399,36513,17
quote.quote,36399,36513
chapter.sentence,36514,36577,18
quote.nonquote,36514,36852
chapter.sentence,36578,36683,19
chapter.sentence,36684,37202,20
quote.quote,36853,36896
quote.nonquote,36896,36958
quote.suspension.long,36896,36958
quote.quote,36959,37010
quote.nonquote,37010,37141
quote.suspension.long,37010,37141
quote.quote,37142,37202
chapter.sentence,37203,37340,21
quote.nonquote,37203,37238
quote.quote,37239,37340
chapter.sentence,37341,37481,22
quote.nonquote,37341,38512
chapter.sentence,37482,37685,23
chapter.sentence,37686,37840,24
chapter.sentence,37841,38401,25
chapter.sentence,38402,39012,26
quote.quote,38513,38555
quote.nonquote,38555,41464
chapter.sentence,39013,39220,27
chapter.sentence,39221,39230,28
chapter.paragraph,39232,39239,3
chapter.sentence,39232,39239,29
chapter.paragraph,39241,39404,4
chapter.sentence,39241,39263,30
chapter.sentence,39264,39274,31
chapter.sentence,39275,39404,32
chapter.paragraph,39406,44856,5
chapter.sentence,39406,42002,33
quote.quote,41465,41538
quote.nonquote,41538,46331
chapter.sentence,42003,42575,34
chapter.sentence,42576,43159,35
chapter.sentence,43160,44127,36
chapter.sentence,44128,44635,37
chapter.sentence,44636,44856,38
chapter.paragraph,44858,45026,6
chapter.sentence,44858,45026,39
chapter.paragraph,45028,46322,7
chapter.sentence,45028,45664,40
chapter.sentence,45665,45960,41
chapter.sentence,45961,46322,42
chapter.paragraph,46324,46331,8
chapter.sentence,46324,46331,43
chapter.title,46333,46366,11
chapter.text,46368,50414,11
chapter.paragraph,46368,46403,1
chapter.sentence,46368,46403,1
quote.nonquote,46368,50414
chapter.paragraph,46405,46720,2
chapter.sentence,46405,46720,2
chapter.paragraph,46722,47361,3
chapter.sentence,46722,46956,3
chapter.sentence,46957,47361,4
chapter.paragraph,47363,47669,4
chapter.sentence,47363,47458,5
