metadata.title,0,16
metadata.author,17,38
chapter.title,40,56,1
chapter.title,58,77,2
chapter.text,79,14866,2
chapter.paragraph,79,705,1
chapter.sentence,79,160,1
quote.nonquote,79,705
chapter.sentence,161,705,2
chapter.paragraph,707,804,2
chapter.sentence,707,804,3
quote.quote,707,747
quote.nonquote,748,2702
chapter.paragraph,806,1704,3
chapter.sentence,806,1704,4
chapter.paragraph,1706,2702,4
chapter.sentence,1706,2230,5
chapter.sentence,2231,2702,6
chapter.paragraph,2704,2738,5
chapter.sentence,2704,2717,7
quote.quote,2704,2717
chapter.sentence,2718,2738,8
quote.nonquote,2718,2738
chapter.paragraph,2740,3188,6
chapter.sentence,2740,3188,9
quote.quote,2740,2772
quote.nonquote,2773,2927
quote.suspension.long,2773,2927
quote.quote,2928,3141
quote.nonquote,3142,3188
chapter.paragraph,3190,3536,7
chapter.sentence,3190,3203,10
quote.quote,3190,3203
chapter.sentence,3204,3536,11
quote.nonquote,3204,3536
chapter.paragraph,3538,5186,8
chapter.sentence,3538,3551,12
quote.quote,3538,3551
chapter.sentence,3552,4005,13
quote.nonquote,3552,5158
chapter.sentence,4006,4450,14
chapter.sentence,4451,4820,15
chapter.sentence,4821,4853,16
chapter.sentence,4854,5158,17
chapter.sentence,5159,5186,18
quote.quote,5159,5186
chapter.paragraph,5188,6172,9
chapter.sentence,5188,5204,19
quote.nonquote,5188,6172
chapter.sentence,5205,5507,20
chapter.sentence,5508,5703,21
chapter.sentence,5704,5745,22
chapter.sentence,5746,5813,23
chapter.sentence,5814,5844,24
chapter.sentence,5845,6172,25
chapter.paragraph,6174,6345,10
chapter.sentence,6174,6186,26
quote.quote,6174,6186
chapter.sentence,6187,6307,27
quote.nonquote,6187,6307
chapter.sentence,6308,6345,28
quote.quote,6308,6345
chapter.paragraph,6347,6756,11
chapter.sentence,6347,6446,29
quote.nonquote,6347,7327
chapter.sentence,6447,6756,30
chapter.paragraph,6758,7239,12
chapter.sentence,6758,7239,31
chapter.paragraph,7241,7517,13
