metadata.title,0,20
metadata.author,21,37
chapter.title,39,44,1
chapter.text,46,18342,1
chapter.paragraph,46,680,1
chapter.sentence,46,129,1
quote.nonquote,46,7392
chapter.sentence,130,362,2
chapter.sentence,363,549,3
chapter.sentence,550,680,4
chapter.paragraph,682,1317,2
chapter.sentence,682,770,5
chapter.sentence,771,1317,6
chapter.paragraph,1319,2557,3
chapter.sentence,1319,1665,7
chapter.sentence,1666,1775,8
chapter.sentence,1776,2557,9
chapter.paragraph,2559,3433,4
chapter.sentence,2559,2681,10
chapter.sentence,2682,3014,11
chapter.sentence,3015,3190,12
chapter.sentence,3191,3433,13
chapter.paragraph,3435,3472,5
chapter.sentence,3435,3472,14
chapter.paragraph,3474,4298,6
chapter.sentence,3474,3552,15
chapter.sentence,3553,3711,16
chapter.sentence,3712,4027,17
chapter.sentence,4028,4298,18
chapter.paragraph,4300,4821,7
chapter.sentence,4300,4821,19
chapter.paragraph,4823,5720,8
chapter.sentence,4823,4988,20
chapter.sentence,4989,5177,21
chapter.sentence,5178,5287,22
chapter.sentence,5288,5534,23
chapter.sentence,5535,5579,24
chapter.sentence,5580,5720,25
chapter.paragraph,5722,6162,9
chapter.sentence,5722,5850,26
chapter.sentence,5851,6036,27
chapter.sentence,6037,6095,28
chapter.sentence,6096,6162,29
chapter.paragraph,6164,6272,10
chapter.sentence,6164,6272,30
chapter.paragraph,6274,6790,11
chapter.sentence,6274,6374,31
chapter.sentence,6375,6790,32
chapter.paragraph,6792,7027,12
chapter.sentence,6792,7027,33
chapter.paragraph,7029,7295,13
chapter.sentence,7029,7142,34
chapter.sentence,7143,7295,35
chapter.paragraph,7297,7392,14
chapter.sentence,7297,7392,36
chapter.paragraph,7394,7602,15
chapter.sentence,7394,7435,37
quote.quote,7394,7435
chapter.sentence,7436,7602,38
quote.nonquote,7436,7602
chapter.paragraph,7604,7798,16
chapter.sentence,7604,7798,39
quote.quote,7604,7628
quote.nonquote,7629,8503
chapter.paragraph,7800,8155,17
chapter.sentence,7800,7920,40
chapter.sentence,7921,8155,41
chapter.paragraph,8157,8503,18
