metadata.title,0,16
metadata.author,17,31
chapter.title,33,51,1
chapter.text,53,26133,1
chapter.paragraph,53,452,1
chapter.sentence,53,162,1
quote.nonquote,53,1269
chapter.sentence,163,452,2
chapter.paragraph,454,1269,2
chapter.sentence,454,640,3
chapter.sentence,641,1269,4
chapter.paragraph,1271,2122,3
chapter.sentence,1271,1296,5
quote.quote,1271,1333
chapter.sentence,1297,1333,6
chapter.sentence,1334,1569,7
quote.nonquote,1334,2122
chapter.sentence,1570,1758,8
chapter.sentence,1759,2122,9
chapter.paragraph,2124,2285,4
chapter.sentence,2124,2201,10
quote.quote,2124,2285
chapter.sentence,2202,2285,11
chapter.paragraph,2287,2746,5
chapter.sentence,2287,2746,12
quote.nonquote,2287,2746
chapter.paragraph,2748,4273,6
chapter.sentence,2748,2786,13
quote.quote,2748,4273
chapter.sentence,2787,2819,14
chapter.sentence,2820,2928,15
chapter.sentence,2929,2946,16
chapter.sentence,2947,3054,17
chapter.sentence,3055,3138,18
chapter.sentence,3139,3177,19
chapter.sentence,3178,3236,20
chapter.sentence,3237,3401,21
chapter.sentence,3402,3414,22
chapter.sentence,3415,3520,23
chapter.sentence,3521,3548,24
chapter.sentence,3549,4005,25
chapter.sentence,4006,4099,26
chapter.sentence,4100,4273,27
chapter.paragraph,4275,4687,7
chapter.sentence,4275,4687,28
quote.nonquote,4275,8251
chapter.paragraph,4689,5566,8
chapter.sentence,4689,5192,29
chapter.sentence,5193,5566,30
chapter.paragraph,5568,5931,9
chapter.sentence,5568,5726,31
chapter.sentence,5727,5931,32
chapter.paragraph,5933,6820,10
chapter.sentence,5933,6003,33
chapter.sentence,6004,6208,34
chapter.sentence,6209,6820,35
chapter.paragraph,6822,7509,11
chapter.sentence,6822,7111,36
chapter.sentence,7112,7336,37
chapter.sentence,7337,7509,38
chapter.paragraph,7511,8251,12
chapter.sentence,7511,7562,39
chapter.sentence,7563,8251,40
chapter.paragraph,8253,8904,13
chapter.sentence,8253,8317,41
quote.quote,8253,8317
chapter.sentence,8318,8348,42
quote.nonquote,8318,8348
chapter.sentence,8349,8455,43
quote.quote,8349,8904
chapter.sentence,8456,8625,44
chapter.sentence,8626,8642,45
chapter.sentence,8643,8659,46
chapter.sentence,8660,8676,47
chapter.sentence,8677,8810,48
chapter.sentence,8811,8833,49
chapter.sentence,8834,8846,50
chapter.sentence,8847,8904,51
chapter.paragraph,8906,9798,14
chapter.sentence,8906,9798,52
quote.nonquote,8906,10110
chapter.paragraph,9800,10110,15
chapter.sentence,9800,10110,53
chapter.paragraph,10112,10161,16
chapter.sentence,10112,10135,54
quote.quote,10112,10135
chapter.sentence,10136,10161,55
quote.nonquote,10136,10161
chapter.paragraph,10163,10212,17
chapter.sentence,10163,10189,56
quote.quote,10163,10189
chapter.sentence,10190,10212,57
quote.nonquote,10190,10212
chapter.paragraph,10214,10385,18
chapter.sentence,10214,10232,58
quote.quote,10214,10271
chapter.sentence,10233,10385,59
quote.nonquote,10272,10385
chapter.paragraph,10387,10528,19
chapter.sentence,10387,10442,60
quote.quote,10387,10528
chapter.sentence,10443,10528,61
chapter.paragraph,10530,10582,20
chapter.sentence,10530,10582,62
quote.nonquote,10530,10582
chapter.paragraph,10584,10979,21
chapter.sentence,10584,10653,63
quote.quote,10584,10979
chapter.sentence,10654,10707,64
chapter.sentence,10708,10748,65
chapter.sentence,10749,10754,66
chapter.sentence,10755,10784,67
chapter.sentence,10785,10812,68
chapter.sentence,10813,10838,69
chapter.sentence,10839,10857,70
chapter.sentence,10858,10933,71
chapter.sentence,10934,10979,72
chapter.paragraph,10981,11231,22
chapter.sentence,10981,11018,73
quote.quote,10981,11018
chapter.sentence,11019,11075,74
quote.nonquote,11019,11075
chapter.sentence,11076,11093,75
quote.quote,11076,11231
chapter.sentence,11094,11116,76
chapter.sentence,11117,11231,77
chapter.paragraph,11233,11385,23
chapter.sentence,11233,11356,78
quote.quote,11233,11325
quote.nonquote,11325,11356
chapter.sentence,11357,11385,79
quote.quote,11357,11385
chapter.paragraph,11387,11485,24
chapter.sentence,11387,11407,80
quote.quote,11387,11485
chapter.sentence,11408,11485,81
chapter.paragraph,11487,11677,25
chapter.sentence,11487,11613,82
quote.quote,11487,11511
quote.nonquote,11511,11549
quote.suspension.short,11511,11549
quote.quote,11550,11677
chapter.sentence,11614,11677,83
chapter.paragraph,11679,11840,26
chapter.sentence,11679,11825,84
quote.nonquote,11679,13045
chapter.sentence,11826,11840,85
chapter.paragraph,11842,12329,27
chapter.sentence,11842,11893,86
chapter.sentence,11894,12133,87
chapter.sentence,12134,12329,88
chapter.paragraph,12331,12776,28
chapter.sentence,12331,12426,89
chapter.sentence,12427,12568,90
