metadata.title,0,13
metadata.author,14,37
chapter.title,39,54,1
chapter.title,56,74,2
chapter.text,76,13721,2
chapter.paragraph,76,803,1
chapter.sentence,76,180,1
quote.nonquote,76,3873
chapter.sentence,181,263,2
chapter.sentence,264,447,3
chapter.sentence,448,607,4
chapter.sentence,608,803,5
chapter.paragraph,805,1178,2
chapter.sentence,805,972,6
chapter.sentence,973,1094,7
chapter.sentence,1095,1178,8
chapter.paragraph,1180,1777,3
chapter.sentence,1180,1268,9
chapter.sentence,1269,1373,10
chapter.sentence,1374,1725,11
chapter.sentence,1726,1777,12
chapter.paragraph,1779,1876,4
chapter.sentence,1779,1828,13
chapter.sentence,1829,1876,14
chapter.paragraph,1878,2533,5
chapter.sentence,1878,2047,15
chapter.sentence,2048,2533,16
chapter.paragraph,2535,3016,6
chapter.sentence,2535,2568,17
chapter.sentence,2569,2683,18
chapter.sentence,2684,2743,19
chapter.sentence,2744,2886,20
chapter.sentence,2887,3016,21
chapter.paragraph,3018,3873,7
chapter.sentence,3018,3063,22
chapter.sentence,3064,3433,23
chapter.sentence,3434,3571,24
chapter.sentence,3572,3873,25
chapter.paragraph,3875,3919,8
chapter.sentence,3875,3919,26
quote.quote,3875,3895
quote.nonquote,3895,3919
chapter.paragraph,3921,3995,9
chapter.sentence,3921,3940,27
quote.quote,3921,3951
chapter.sentence,3941,3951,28
chapter.sentence,3952,3995,29
quote.nonquote,3952,4355
chapter.paragraph,3997,4169,10
chapter.sentence,3997,4169,30
chapter.paragraph,4171,4355,11
chapter.sentence,4171,4355,31
chapter.paragraph,4357,4970,12
chapter.sentence,4357,4586,32
quote.quote,4357,4681
chapter.sentence,4587,4648,33
chapter.sentence,4649,4681,34
chapter.sentence,4682,4866,35
quote.nonquote,4682,4772
quote.suspension.long,4682,4772
quote.quote,4773,4970
chapter.sentence,4867,4902,36
chapter.sentence,4903,4970,37
chapter.paragraph,4972,5038,13
chapter.sentence,4972,4987,38
quote.quote,4972,4987
chapter.sentence,4988,5038,39
quote.nonquote,4988,5038
chapter.paragraph,5040,5324,14
chapter.sentence,5040,5070,40
quote.quote,5040,5070
chapter.sentence,5071,5324,41
quote.nonquote,5071,6000
chapter.paragraph,5326,5722,15
chapter.sentence,5326,5631,42
chapter.sentence,5632,5722,43
chapter.paragraph,5724,5920,16
chapter.sentence,5724,5920,44
chapter.paragraph,5922,6000,17
chapter.sentence,5922,6000,45
chapter.paragraph,6002,6181,18
chapter.sentence,6002,6181,46
quote.quote,6002,6029
quote.nonquote,6030,6181
chapter.paragraph,6183,6838,19
chapter.sentence,6183,6325,47
quote.quote,6183,6207
quote.nonquote,6207,6232
quote.suspension.short,6207,6232
quote.quote,6233,6758
chapter.sentence,6326,6544,48
chapter.sentence,6545,6644,49
chapter.sentence,6645,6714,50
chapter.sentence,6715,6758,51
chapter.sentence,6759,6838,52
quote.nonquote,6759,6966
chapter.paragraph,6840,7187,20
chapter.sentence,6840,7187,53
quote.quote,6967,7187
chapter.paragraph,7189,7315,21
chapter.sentence,7189,7200,54
quote.quote,7189,7315
chapter.sentence,7201,7315,55
chapter.paragraph,7317,7614,22
chapter.sentence,7317,7455,56
quote.quote,7317,7326
quote.nonquote,7326,7359
quote.suspension.short,7326,7359
quote.quote,7360,7614
chapter.sentence,7456,7614,57
chapter.paragraph,7616,8296,23
chapter.sentence,7616,7632,58
quote.quote,7616,7651
chapter.sentence,7633,7651,59
chapter.sentence,7652,7778,60
quote.nonquote,7652,7685
quote.suspension.long,7652,7685
quote.quote,7686,8296
chapter.sentence,7779,7904,61
chapter.sentence,7905,8033,62
chapter.sentence,8034,8296,63
chapter.paragraph,8298,8415,24
chapter.sentence,8298,8331,64
quote.quote,8298,8331
chapter.sentence,8332,8415,65
quote.nonquote,8332,8415
chapter.paragraph,8417,8994,25
chapter.sentence,8417,8565,66
quote.quote,8417,8448
quote.nonquote,8448,8467
quote.suspension.short,8448,8467
quote.quote,8468,8994
chapter.sentence,8566,8735,67
chapter.sentence,8736,8840,68
chapter.sentence,8841,8994,69
chapter.paragraph,8996,9031,26
chapter.sentence,8996,9031,70
quote.nonquote,8996,9031
chapter.paragraph,9033,9562,27
chapter.sentence,9033,9127,71
quote.quote,9033,9049
quote.nonquote,9049,9087
quote.suspension.long,9049,9087
quote.quote,9088,9562
chapter.sentence,9128,9231,72
chapter.sentence,9232,9531,73
chapter.sentence,9532,9540,74
chapter.sentence,9541,9562,75
chapter.paragraph,9564,10099,28
chapter.sentence,9564,9668,76
quote.quote,9564,9912
chapter.sentence,9669,9791,77
chapter.sentence,9792,9892,78
chapter.sentence,9893,10099,79
quote.nonquote,9912,9979
quote.suspension.long,9912,9979
quote.quote,9980,10099
chapter.paragraph,10101,10483,29
chapter.sentence,10101,10166,80
quote.quote,10101,10143
quote.nonquote,10143,10166
chapter.sentence,10167,10248,81
quote.quote,10167,10259
chapter.sentence,10249,10380,82
quote.nonquote,10259,10282
quote.suspension.short,10259,10282
quote.quote,10283,10483
chapter.sentence,10381,10483,83
chapter.paragraph,10485,10680,30
chapter.sentence,10485,10680,84
quote.quote,10485,10549
quote.nonquote,10549,10680
chapter.paragraph,10682,10731,31
chapter.sentence,10682,10708,85
quote.quote,10682,10708
chapter.sentence,10709,10731,86
quote.nonquote,10709,10731
chapter.paragraph,10733,11165,32
chapter.sentence,10733,10853,87
quote.quote,10733,11165
chapter.sentence,10854,11027,88
chapter.sentence,11028,11057,89
chapter.sentence,11058,11165,90
chapter.paragraph,11167,11536,33
chapter.sentence,11167,11292,91
quote.quote,11167,11176
quote.nonquote,11176,11196
quote.suspension.short,11176,11196
quote.quote,11197,11292
chapter.sentence,11293,11536,92
quote.nonquote,11293,11536
chapter.paragraph,11538,11957,34
chapter.sentence,11538,11569,93
quote.quote,11538,11569
chapter.sentence,11570,11633,94
quote.nonquote,11570,11633
chapter.sentence,11634,11772,95
quote.quote,11634,11957
chapter.sentence,11773,11957,96
chapter.paragraph,11959,12397,35
chapter.sentence,11959,12069,97
quote.nonquote,11959,13721
chapter.sentence,12070,12214,98
chapter.sentence,12215,12227,99
chapter.sentence,12228,12350,100
chapter.sentence,12351,12397,101
chapter.paragraph,12399,12519,36
chapter.sentence,12399,12519,102
chapter.paragraph,12521,13721,37
chapter.sentence,12521,12592,103
chapter.sentence,12593,12689,104
chapter.sentence,12690,12926,105
chapter.sentence,12927,13048,106
chapter.sentence,13049,13245,107
chapter.sentence,13246,13388,108
chapter.sentence,13389,13461,109
chapter.sentence,13462,13560,110
chapter.sentence,13561,13721,111
chapter.title,13723,13742,3
chapter.text,13744,28630,3
chapter.paragraph,13744,14403,1
chapter.sentence,13744,13895,1
quote.nonquote,13744,14064
chapter.sentence,13896,14064,2
chapter.sentence,14065,14158,3
quote.quote,14065,14072
quote.nonquote,14072,14088
quote.suspension.short,14072,14088
quote.quote,14089,14278
chapter.sentence,14159,14278,4
chapter.sentence,14279,14403,5
quote.nonquote,14279,14393
quote.quote,14394,14403
chapter.paragraph,14405,14838,2
chapter.sentence,14405,14595,6
quote.nonquote,14405,15617
chapter.sentence,14596,14838,7
chapter.paragraph,14840,15760,3
chapter.sentence,14840,14942,8
chapter.sentence,14943,15125,9
chapter.sentence,15126,15344,10
chapter.sentence,15345,15493,11
chapter.sentence,15494,15656,12
quote.quote,15618,15656
chapter.sentence,15657,15760,13
quote.nonquote,15657,16363
chapter.paragraph,15762,16251,4
chapter.sentence,15762,15882,14
chapter.sentence,15883,16193,15
chapter.sentence,16194,16251,16
chapter.paragraph,16253,16524,5
chapter.sentence,16253,16363,17
chapter.sentence,16364,16442,18
quote.quote,16364,16404
quote.nonquote,16404,16416
quote.suspension.short,16404,16416
quote.quote,16417,16498
chapter.sentence,16443,16498,19
chapter.sentence,16499,16524,20
quote.nonquote,16499,16925
chapter.paragraph,16526,16858,6
