metadata.title,0,12
metadata.author,13,24
chapter.title,26,53,1
chapter.title,55,74,2
chapter.text,76,25421,2
chapter.paragraph,76,160,1
chapter.sentence,76,160,1
quote.nonquote,76,1791
chapter.paragraph,162,660,2
chapter.sentence,162,386,2
chapter.sentence,387,660,3
chapter.paragraph,662,909,3
chapter.sentence,662,909,4
chapter.paragraph,911,1107,4
chapter.sentence,911,1107,5
chapter.paragraph,1109,1389,5
chapter.sentence,1109,1389,6
chapter.paragraph,1391,1725,6
chapter.sentence,1391,1725,7
chapter.paragraph,1727,1815,7
chapter.sentence,1727,1815,8
quote.quote,1792,1805
quote.nonquote,1806,2016
chapter.paragraph,1817,2016,8
chapter.sentence,1817,2016,9
chapter.paragraph,2018,2251,9
chapter.sentence,2018,2060,10
quote.quote,2018,2060
chapter.sentence,2061,2251,11
quote.nonquote,2061,5089
chapter.paragraph,2253,2503,10
chapter.sentence,2253,2503,12
chapter.paragraph,2505,3638,11
chapter.sentence,2505,3638,13
chapter.paragraph,3640,3780,12
chapter.sentence,3640,3780,14
chapter.paragraph,3782,4438,13
chapter.sentence,3782,4438,15
chapter.paragraph,4440,4972,14
chapter.sentence,4440,4538,16
chapter.sentence,4539,4626,17
chapter.sentence,4627,4845,18
chapter.sentence,4846,4972,19
chapter.paragraph,4974,5089,15
chapter.sentence,4974,5089,20
chapter.paragraph,5091,5272,16
chapter.sentence,5091,5244,21
quote.quote,5091,5272
chapter.sentence,5245,5272,22
chapter.paragraph,5274,5381,17
chapter.sentence,5274,5381,23
quote.nonquote,5274,5344
quote.quote,5345,5381
chapter.paragraph,5383,5457,18
chapter.sentence,5383,5409,24
quote.nonquote,5383,5384
quote.quote,5385,5457
chapter.sentence,5410,5457,25
chapter.paragraph,5459,5543,19
chapter.sentence,5459,5473,26
quote.quote,5459,5473
chapter.sentence,5474,5543,27
quote.nonquote,5474,6913
chapter.paragraph,5545,5613,20
chapter.sentence,5545,5613,28
chapter.paragraph,5615,6087,21
chapter.sentence,5615,5827,29
chapter.sentence,5828,6087,30
chapter.paragraph,6089,6185,22
chapter.sentence,6089,6185,31
chapter.paragraph,6187,6519,23
chapter.sentence,6187,6322,32
chapter.sentence,6323,6519,33
chapter.paragraph,6521,6655,24
chapter.sentence,6521,6655,34
chapter.paragraph,6657,6841,25
chapter.sentence,6657,6745,35
chapter.sentence,6746,6841,36
chapter.paragraph,6843,6997,26
chapter.sentence,6843,6963,37
quote.quote,6914,6921
quote.nonquote,6922,6937
quote.suspension.short,6922,6937
quote.quote,6938,6997
chapter.sentence,6964,6997,38
chapter.paragraph,6999,7072,27
chapter.sentence,6999,7072,39
quote.quote,6999,7072
chapter.paragraph,7074,7184,28
chapter.sentence,7074,7087,40
quote.quote,7074,7087
chapter.sentence,7088,7121,41
quote.nonquote,7088,7184
chapter.sentence,7122,7184,42
