metadata.title,0,57
metadata.author,58,72
chapter.title,74,92,1
chapter.title,94,138,2
chapter.text,140,25893,2
chapter.paragraph,140,834,1
chapter.sentence,140,425,1
quote.nonquote,140,5325
chapter.sentence,426,834,2
chapter.paragraph,836,2405,2
chapter.sentence,836,929,3
chapter.sentence,930,1204,4
chapter.sentence,1205,1307,5
chapter.sentence,1308,1419,6
chapter.sentence,1420,1630,7
chapter.sentence,1631,1845,8
chapter.sentence,1846,1941,9
chapter.sentence,1942,2094,10
chapter.sentence,2095,2405,11
chapter.paragraph,2407,2782,3
chapter.sentence,2407,2591,12
chapter.sentence,2592,2684,13
chapter.sentence,2685,2782,14
chapter.paragraph,2784,3819,4
chapter.sentence,2784,3054,15
chapter.sentence,3055,3426,16
chapter.sentence,3427,3819,17
chapter.paragraph,3821,4362,5
chapter.sentence,3821,3929,18
chapter.sentence,3930,4024,19
chapter.sentence,4025,4200,20
chapter.sentence,4201,4273,21
chapter.sentence,4274,4362,22
chapter.paragraph,4364,5033,6
chapter.sentence,4364,4551,23
chapter.sentence,4552,4820,24
chapter.sentence,4821,4856,25
chapter.sentence,4857,5033,26
chapter.paragraph,5035,5286,7
chapter.sentence,5035,5286,27
chapter.paragraph,5288,5325,8
chapter.sentence,5288,5325,28
chapter.paragraph,5327,5459,9
chapter.sentence,5327,5394,29
quote.quote,5327,5394
chapter.sentence,5395,5459,30
quote.nonquote,5395,5459
chapter.paragraph,5461,5552,10
chapter.sentence,5461,5466,31
quote.quote,5461,5466
chapter.sentence,5467,5552,32
quote.nonquote,5467,5552
chapter.paragraph,5554,5656,11
chapter.sentence,5554,5656,33
quote.quote,5554,5656
chapter.paragraph,5658,5747,12
chapter.sentence,5658,5747,34
quote.nonquote,5658,5747
chapter.paragraph,5749,5797,13
chapter.sentence,5749,5797,35
quote.quote,5749,5797
chapter.paragraph,5799,5903,14
chapter.sentence,5799,5805,36
quote.quote,5799,5903
chapter.sentence,5806,5903,37
chapter.paragraph,5905,5945,15
chapter.sentence,5905,5921,38
quote.quote,5905,5945
chapter.sentence,5922,5931,39
chapter.sentence,5932,5945,40
chapter.paragraph,5947,10456,16
chapter.sentence,5947,5951,41
quote.quote,5947,10456
chapter.sentence,5952,6059,42
chapter.sentence,6060,6139,43
chapter.sentence,6140,6252,44
chapter.sentence,6253,6332,45
chapter.sentence,6333,6482,46
chapter.sentence,6483,6640,47
chapter.sentence,6641,6885,48
chapter.sentence,6886,7038,49
chapter.sentence,7039,7453,50
chapter.sentence,7454,7532,51
chapter.sentence,7533,7706,52
chapter.sentence,7707,8163,53
chapter.sentence,8164,8292,54
chapter.sentence,8293,8397,55
chapter.sentence,8398,8691,56
chapter.sentence,8692,8952,57
chapter.sentence,8953,9000,58
chapter.sentence,9001,9047,59
chapter.sentence,9048,9401,60
chapter.sentence,9402,9494,61
chapter.sentence,9495,9614,62
chapter.sentence,9615,9715,63
chapter.sentence,9716,9990,64
chapter.sentence,9991,10217,65
chapter.sentence,10218,10324,66
chapter.sentence,10325,10371,67
chapter.sentence,10372,10456,68
chapter.paragraph,10458,10653,17
chapter.sentence,10458,10530,69
quote.nonquote,10458,10711
chapter.sentence,10531,10653,70
chapter.paragraph,10655,10711,18
chapter.sentence,10655,10711,71
chapter.paragraph,10713,10892,19
chapter.sentence,10713,10764,72
quote.quote,10713,10779
chapter.sentence,10765,10779,73
chapter.sentence,10780,10892,74
quote.nonquote,10780,11894
chapter.paragraph,10894,11768,20
chapter.sentence,10894,11044,75
chapter.sentence,11045,11361,76
chapter.sentence,11362,11423,77
chapter.sentence,11424,11460,78
chapter.sentence,11461,11768,79
chapter.paragraph,11770,11894,21
chapter.sentence,11770,11894,80
chapter.paragraph,11896,12005,22
chapter.sentence,11896,11951,81
quote.quote,11896,12005
chapter.sentence,11952,11979,82
chapter.sentence,11980,12005,83
chapter.paragraph,12007,12048,23
chapter.sentence,12007,12048,84
quote.nonquote,12007,12048
chapter.paragraph,12050,12610,24
chapter.sentence,12050,12331,85
quote.quote,12050,12610
chapter.sentence,12332,12402,86
chapter.sentence,12403,12610,87
chapter.paragraph,12612,12644,25
chapter.sentence,12612,12631,88
quote.quote,12612,12644
chapter.sentence,12632,12644,89
chapter.paragraph,12646,12721,26
chapter.sentence,12646,12721,90
quote.nonquote,12646,12721
chapter.paragraph,12723,12910,27
chapter.sentence,12723,12786,91
quote.quote,12723,12821
chapter.sentence,12787,12821,92
chapter.sentence,12822,12910,93
quote.nonquote,12822,13021
chapter.paragraph,12912,13021,28
chapter.sentence,12912,13021,94
chapter.paragraph,13023,13131,29
chapter.sentence,13023,13108,95
quote.quote,13023,13131
chapter.sentence,13109,13131,96
chapter.paragraph,13133,14832,30
chapter.sentence,13133,13225,97
quote.nonquote,13133,15183
chapter.sentence,13226,13487,98
chapter.sentence,13488,13695,99
chapter.sentence,13696,13859,100
chapter.sentence,13860,13896,101
chapter.sentence,13897,13966,102
chapter.sentence,13967,14236,103
chapter.sentence,14237,14470,104
chapter.sentence,14471,14531,105
chapter.sentence,14532,14747,106
chapter.sentence,14748,14832,107
chapter.paragraph,14834,15079,31
chapter.sentence,14834,14971,108
chapter.sentence,14972,15079,109
chapter.paragraph,15081,15183,32
chapter.sentence,15081,15183,110
chapter.paragraph,15185,15457,33
chapter.sentence,15185,15338,111
quote.quote,15185,15457
chapter.sentence,15339,15435,112
chapter.sentence,15436,15457,113
chapter.paragraph,15459,15672,34
chapter.sentence,15459,15672,114
quote.nonquote,15459,15672
chapter.paragraph,15674,16118,35
chapter.sentence,15674,15696,115
quote.quote,15674,16118
chapter.sentence,15697,15785,116
chapter.sentence,15786,15806,117
chapter.sentence,15807,15858,118
chapter.sentence,15859,16103,119
chapter.sentence,16104,16118,120
chapter.paragraph,16120,16708,36
chapter.sentence,16120,16455,121
quote.nonquote,16120,16946
chapter.sentence,16456,16708,122
chapter.paragraph,16710,16946,37
chapter.sentence,16710,16946,123
chapter.paragraph,16948,17272,38
chapter.sentence,16948,17004,124
quote.quote,16948,17272
chapter.sentence,17005,17153,125
chapter.sentence,17154,17272,126
chapter.paragraph,17274,17520,39
chapter.sentence,17274,17414,127
quote.nonquote,17274,17520
chapter.sentence,17415,17520,128
chapter.paragraph,17522,17620,40
chapter.sentence,17522,17620,129
quote.quote,17522,17620
chapter.paragraph,17622,18593,41
chapter.sentence,17622,17626,130
quote.quote,17622,17647
chapter.sentence,17627,17630,131
chapter.sentence,17631,17647,132
chapter.sentence,17648,17970,133
quote.nonquote,17648,18696
chapter.sentence,17971,18593,134
chapter.paragraph,18595,18696,42
chapter.sentence,18595,18696,135
chapter.paragraph,18698,19751,43
chapter.sentence,18698,18836,136
quote.quote,18698,19751
chapter.sentence,18837,18961,137
chapter.sentence,18962,18999,138
chapter.sentence,19000,19122,139
chapter.sentence,19123,19368,140
chapter.sentence,19369,19449,141
chapter.sentence,19450,19506,142
chapter.sentence,19507,19602,143
chapter.sentence,19603,19751,144
chapter.paragraph,19753,19905,44
chapter.sentence,19753,19784,145
quote.quote,19753,19784
chapter.sentence,19785,19808,146
quote.nonquote,19785,19808
chapter.sentence,19809,19905,147
quote.quote,19809,19905
chapter.paragraph,19907,20113,45
chapter.sentence,19907,20113,148
quote.nonquote,19907,20113
chapter.paragraph,20115,22125,46
chapter.sentence,20115,20372,149
quote.quote,20115,22125
chapter.sentence,20373,20481,150
chapter.sentence,20482,20610,151
chapter.sentence,20611,20690,152
chapter.sentence,20691,20747,153
chapter.sentence,20748,20793,154
chapter.sentence,20794,20853,155
chapter.sentence,20854,20951,156
chapter.sentence,20952,20995,157
chapter.sentence,20996,21014,158
chapter.sentence,21015,21078,159
chapter.sentence,21079,21173,160
chapter.sentence,21174,21248,161
chapter.sentence,21249,21582,162
chapter.sentence,21583,21697,163
chapter.sentence,21698,21774,164
chapter.sentence,21775,22125,165
chapter.paragraph,22127,22187,47
chapter.sentence,22127,22163,166
quote.quote,22127,22163
chapter.sentence,22164,22187,167
quote.nonquote,22164,22187
chapter.paragraph,22189,23468,48
chapter.sentence,22189,22521,168
quote.quote,22189,22226
quote.nonquote,22226,22245
quote.suspension.short,22226,22245
quote.quote,22246,23468
chapter.sentence,22522,22552,169
chapter.sentence,22553,22628,170
chapter.sentence,22629,22773,171
chapter.sentence,22774,23031,172
chapter.sentence,23032,23182,173
chapter.sentence,23183,23294,174
chapter.sentence,23295,23403,175
chapter.sentence,23404,23468,176
chapter.paragraph,23470,24260,49
chapter.sentence,23470,23628,177
quote.quote,23470,23512
quote.nonquote,23512,23553
quote.suspension.long,23512,23553
quote.quote,23554,24260
chapter.sentence,23629,23645,178
chapter.sentence,23646,23774,179
chapter.sentence,23775,23961,180
chapter.sentence,23962,24222,181
chapter.sentence,24223,24260,182
chapter.paragraph,24262,24718,50
chapter.sentence,24262,24460,183
quote.quote,24262,24279
quote.nonquote,24279,24304
quote.suspension.short,24279,24304
quote.quote,24305,24718
chapter.sentence,24461,24718,184
chapter.paragraph,24720,25017,51
chapter.sentence,24720,25017,185
quote.nonquote,24720,25017
chapter.paragraph,25019,25237,52
chapter.sentence,25019,25133,186
quote.quote,25019,25237
chapter.sentence,25134,25228,187
chapter.sentence,25229,25237,188
chapter.paragraph,25239,25500,53
chapter.sentence,25239,25394,189
quote.nonquote,25239,25500
chapter.sentence,25395,25500,190
chapter.paragraph,25502,25629,54
chapter.sentence,25502,25536,191
quote.quote,25502,25629
chapter.sentence,25537,25629,192
chapter.paragraph,25631,25893,55
chapter.sentence,25631,25786,193
quote.nonquote,25631,25893
chapter.sentence,25787,25893,194
chapter.title,25895,25914,3
chapter.title,25916,25999,4
chapter.text,26015,55415,4
chapter.paragraph,26015,26052,1
chapter.sentence,26015,26052,1
quote.nonquote,26015,26247
chapter.paragraph,26054,26247,2
chapter.sentence,26054,26247,2
chapter.paragraph,26249,26662,3
chapter.sentence,26249,26297,3
quote.quote,26249,26662
chapter.sentence,26298,26467,4
chapter.sentence,26468,26662,5
chapter.paragraph,26664,27321,4
chapter.sentence,26664,26755,6
quote.quote,26664,27321
chapter.sentence,26756,26815,7
chapter.sentence,26816,27047,8
chapter.sentence,27048,27321,9
chapter.paragraph,27323,27461,5
chapter.sentence,27323,27422,10
quote.quote,27323,27422
chapter.sentence,27423,27461,11
quote.nonquote,27423,27461
chapter.paragraph,27463,27771,6
chapter.sentence,27463,27636,12
quote.quote,27463,27771
chapter.sentence,27637,27771,13
chapter.paragraph,27773,28201,7
chapter.sentence,27773,27908,14
quote.nonquote,27773,27856
quote.quote,27857,28201
chapter.sentence,27909,28138,15
chapter.sentence,28139,28201,16
chapter.paragraph,28203,28315,8
chapter.sentence,28203,28278,17
quote.quote,28203,28315
chapter.sentence,28279,28315,18
chapter.paragraph,28317,28564,9
chapter.sentence,28317,28357,19
quote.quote,28317,28340
quote.nonquote,28340,28357
chapter.sentence,28358,28381,20
quote.quote,28358,28564
chapter.sentence,28382,28564,21
chapter.paragraph,28566,28668,10
chapter.sentence,28566,28668,22
quote.nonquote,28566,28668
chapter.paragraph,28670,29208,11
chapter.sentence,28670,28862,23
quote.quote,28670,28695
quote.nonquote,28695,28715
quote.suspension.short,28695,28715
quote.quote,28716,29208
chapter.sentence,28863,29024,24
chapter.sentence,29025,29208,25
chapter.paragraph,29210,29640,12
chapter.sentence,29210,29269,26
quote.quote,29210,29269
chapter.sentence,29270,29542,27
quote.nonquote,29270,29640
chapter.sentence,29543,29640,28
chapter.paragraph,29642,29675,13
chapter.sentence,29642,29675,29
quote.quote,29642,29675
chapter.paragraph,29677,29781,14
chapter.sentence,29677,29781,30
quote.nonquote,29677,29781
chapter.paragraph,29783,30799,15
chapter.sentence,29783,30041,31
quote.quote,29783,29873
quote.nonquote,29874,29931
quote.suspension.long,29874,29931
quote.quote,29932,30799
chapter.sentence,30042,30250,32
chapter.sentence,30251,30384,33
chapter.sentence,30385,30585,34
chapter.sentence,30586,30799,35
chapter.paragraph,30801,30881,16
chapter.sentence,30801,30881,36
quote.nonquote,30801,30881
chapter.paragraph,30883,31144,17
chapter.sentence,30883,30949,37
quote.quote,30883,31144
chapter.sentence,30950,31001,38
chapter.sentence,31002,31144,39
chapter.paragraph,31146,31278,18
chapter.sentence,31146,31278,40
quote.nonquote,31146,31278
chapter.paragraph,31280,31444,19
chapter.sentence,31280,31444,41
quote.quote,31280,31444
chapter.paragraph,31446,31616,20
chapter.sentence,31446,31616,42
quote.quote,31446,31483
quote.nonquote,31483,31506
quote.suspension.short,31483,31506
quote.quote,31507,31616
chapter.paragraph,31618,31802,21
chapter.sentence,31618,31703,43
quote.quote,31618,31703
chapter.sentence,31704,31802,44
quote.nonquote,31704,31802
chapter.paragraph,31804,32186,22
chapter.sentence,31804,31970,45
quote.quote,31804,31853
quote.nonquote,31853,35306
chapter.sentence,31971,32186,46
chapter.paragraph,32188,33214,23
chapter.sentence,32188,32325,47
chapter.sentence,32326,32668,48
chapter.sentence,32669,32879,49
chapter.sentence,32880,33214,50
chapter.paragraph,33216,34137,24
chapter.sentence,33216,33644,51
chapter.sentence,33645,33670,52
chapter.sentence,33671,34137,53
chapter.paragraph,34139,35306,25
chapter.sentence,34139,34436,54
chapter.sentence,34437,34687,55
chapter.sentence,34688,34822,56
chapter.sentence,34823,35050,57
chapter.sentence,35051,35306,58
chapter.paragraph,35308,35950,26
chapter.sentence,35308,35361,59
quote.quote,35308,35361
chapter.sentence,35362,35398,60
quote.nonquote,35362,35398
chapter.sentence,35399,35432,61
quote.quote,35399,35432
chapter.sentence,35433,35950,62
quote.nonquote,35433,36022
chapter.paragraph,35952,36514,27
chapter.sentence,35952,35980,63
chapter.sentence,35981,36022,64
chapter.sentence,36023,36514,65
quote.quote,36023,36175
quote.nonquote,36175,37211
chapter.paragraph,36516,36562,28
chapter.sentence,36516,36562,66
chapter.paragraph,36564,36608,29
chapter.sentence,36564,36608,67
chapter.paragraph,36610,36652,30
chapter.sentence,36610,36652,68
chapter.paragraph,36654,36690,31
chapter.sentence,36654,36690,69
chapter.paragraph,36692,37225,32
chapter.sentence,36692,36844,70
chapter.sentence,36845,37148,71
chapter.sentence,37149,37225,72
quote.quote,37212,37225
chapter.paragraph,37227,37339,33
chapter.sentence,37227,37273,73
quote.nonquote,37227,37339
chapter.sentence,37274,37339,74
chapter.paragraph,37341,37754,34
chapter.sentence,37341,37464,75
quote.quote,37341,37754
chapter.sentence,37465,37531,76
chapter.sentence,37532,37728,77
chapter.sentence,37729,37754,78
chapter.paragraph,37756,37813,35
chapter.sentence,37756,37813,79
quote.nonquote,37756,37813
chapter.paragraph,37815,37865,36
chapter.sentence,37815,37835,80
quote.quote,37815,37835
chapter.sentence,37836,37865,81
quote.nonquote,37836,37865
chapter.paragraph,37867,38330,37
chapter.sentence,37867,37970,82
quote.quote,37867,37943
quote.nonquote,37943,37970
chapter.sentence,37971,38170,83
quote.quote,37971,38330
chapter.sentence,38171,38330,84
chapter.paragraph,38332,38480,38
chapter.sentence,38332,38400,85
quote.quote,38332,38400
chapter.sentence,38401,38480,86
quote.nonquote,38401,38480
chapter.paragraph,38482,38589,39
chapter.sentence,38482,38504,87
quote.quote,38482,38504
chapter.sentence,38505,38589,88
quote.nonquote,38505,38543
quote.suspension.long,38505,38543
quote.quote,38544,38589
chapter.paragraph,38591,38987,40
chapter.sentence,38591,38604,89
quote.quote,38591,38604
chapter.sentence,38605,38617,90
quote.nonquote,38605,38617
chapter.sentence,38618,38747,91
quote.quote,38618,38987
chapter.sentence,38748,38760,92
chapter.sentence,38761,38973,93
chapter.sentence,38974,38987,94
chapter.paragraph,38989,39379,41
chapter.sentence,38989,39127,95
quote.quote,38989,39021
quote.nonquote,39021,40919
chapter.sentence,39128,39379,96
chapter.paragraph,39381,40044,42
chapter.sentence,39381,39804,97
chapter.sentence,39805,40044,98
chapter.paragraph,40046,40331,43
chapter.sentence,40046,40331,99
chapter.paragraph,40333,40919,44
chapter.sentence,40333,40434,100
chapter.sentence,40435,40721,101
chapter.sentence,40722,40919,102
chapter.paragraph,40921,41383,45
chapter.sentence,40921,40999,103
quote.quote,40921,40927
quote.nonquote,40927,40950
quote.suspension.short,40927,40950
quote.quote,40951,41383
chapter.sentence,41000,41259,104
chapter.sentence,41260,41342,105
chapter.sentence,41343,41383,106
chapter.paragraph,41385,41748,46
chapter.sentence,41385,41418,107
quote.quote,41385,41449
chapter.sentence,41419,41449,108
chapter.sentence,41450,41616,109
quote.nonquote,41450,41616
chapter.sentence,41617,41713,110
quote.quote,41617,41629
quote.nonquote,41629,41660
quote.suspension.long,41629,41660
quote.quote,41661,41748
chapter.sentence,41714,41730,111
chapter.sentence,41731,41748,112
chapter.paragraph,41750,42119,47
chapter.sentence,41750,41893,113
quote.nonquote,41750,42119
chapter.sentence,41894,42119,114
chapter.paragraph,42121,42141,48
chapter.sentence,42121,42141,115
quote.quote,42121,42141
chapter.paragraph,42143,42212,49
chapter.sentence,42143,42212,116
quote.nonquote,42143,42212
chapter.paragraph,42214,42416,50
chapter.sentence,42214,42244,117
quote.quote,42214,42244
chapter.sentence,42245,42313,118
quote.nonquote,42245,42313
chapter.sentence,42314,42337,119
quote.quote,42314,42416
chapter.sentence,42338,42416,120
chapter.paragraph,42418,42720,51
chapter.sentence,42418,42488,121
quote.quote,42418,42488
chapter.sentence,42489,42506,122
quote.nonquote,42489,42506
chapter.sentence,42507,42720,123
quote.quote,42507,42720
chapter.paragraph,42722,42962,52
chapter.sentence,42722,42962,124
quote.nonquote,42722,42768
quote.quote,42769,42812
quote.nonquote,42812,42962
chapter.paragraph,42964,43042,53
chapter.sentence,42964,42997,125
quote.quote,42964,43042
chapter.sentence,42998,43042,126
chapter.paragraph,43044,43319,54
chapter.sentence,43044,43319,127
quote.nonquote,43044,44696
chapter.paragraph,43321,44632,55
chapter.sentence,43321,43507,128
chapter.sentence,43508,43616,129
chapter.sentence,43617,44315,130
chapter.sentence,44316,44352,131
chapter.sentence,44353,44632,132
chapter.paragraph,44634,44696,56
chapter.sentence,44634,44696,133
chapter.paragraph,44698,44833,57
chapter.sentence,44698,44833,134
quote.quote,44698,44833
chapter.paragraph,44835,44912,58
chapter.sentence,44835,44912,135
quote.nonquote,44835,44912
chapter.paragraph,44914,45049,59
chapter.sentence,44914,44994,136
quote.quote,44914,44937
quote.nonquote,44937,44963
quote.suspension.short,44937,44963
quote.quote,44964,45049
chapter.sentence,44995,45049,137
chapter.paragraph,45051,45332,60
chapter.sentence,45051,45258,138
quote.nonquote,45051,45332
chapter.sentence,45259,45332,139
chapter.paragraph,45334,45639,61
chapter.sentence,45334,45471,140
quote.quote,45334,45357
quote.nonquote,45357,45375
quote.suspension.short,45357,45375
quote.quote,45376,45639
chapter.sentence,45472,45639,141
chapter.paragraph,45641,45745,62
chapter.sentence,45641,45745,142
quote.nonquote,45641,45745
chapter.paragraph,45747,47023,63
chapter.sentence,45747,45899,143
quote.quote,45747,45784
quote.nonquote,45784,45810
quote.suspension.short,45784,45810
quote.quote,45811,47023
chapter.sentence,45900,45941,144
chapter.sentence,45942,46214,145
chapter.sentence,46215,46280,146
chapter.sentence,46281,46405,147
chapter.sentence,46406,46534,148
chapter.sentence,46535,46628,149
chapter.sentence,46629,46737,150
chapter.sentence,46738,46866,151
chapter.sentence,46867,46993,152
chapter.sentence,46994,47023,153
chapter.paragraph,47025,47200,64
chapter.sentence,47025,47200,154
quote.quote,47025,47068
quote.nonquote,47068,47200
chapter.paragraph,47202,47244,65
chapter.sentence,47202,47244,155
quote.quote,47202,47244
chapter.paragraph,47246,47300,66
chapter.sentence,47246,47300,156
quote.nonquote,47246,47300
chapter.paragraph,47302,48298,67
chapter.sentence,47302,47459,157
quote.quote,47302,48298
chapter.sentence,47460,47571,158
chapter.sentence,47572,47811,159
chapter.sentence,47812,48052,160
chapter.sentence,48053,48298,161
chapter.paragraph,48300,48358,68
chapter.sentence,48300,48327,162
quote.quote,48300,48327
chapter.sentence,48328,48358,163
quote.nonquote,48328,48358
chapter.paragraph,48360,48397,69
chapter.sentence,48360,48367,164
quote.quote,48360,48367
chapter.sentence,48368,48397,165
quote.nonquote,48368,48397
chapter.paragraph,48399,48754,70
chapter.sentence,48399,48510,166
quote.quote,48399,48442
quote.nonquote,48442,48510
chapter.sentence,48511,48581,167
quote.quote,48511,48754
chapter.sentence,48582,48632,168
chapter.sentence,48633,48754,169
chapter.paragraph,48756,48849,71
chapter.sentence,48756,48773,170
quote.quote,48756,48781
chapter.sentence,48774,48781,171
chapter.sentence,48782,48849,172
quote.nonquote,48782,48849
chapter.paragraph,48851,49011,72
chapter.sentence,48851,48901,173
quote.quote,48851,49011
chapter.sentence,48902,49011,174
chapter.paragraph,49013,49407,73
chapter.sentence,49013,49104,175
quote.quote,49013,49407
chapter.sentence,49105,49217,176
chapter.sentence,49218,49407,177
chapter.paragraph,49409,49454,74
chapter.sentence,49409,49454,178
quote.quote,49409,49454
chapter.paragraph,49456,49978,75
chapter.sentence,49456,49569,179
quote.quote,49456,49978
chapter.sentence,49570,49643,180
chapter.sentence,49644,49740,181
chapter.sentence,49741,49978,182
chapter.paragraph,49980,50248,76
chapter.sentence,49980,50124,183
quote.quote,49980,50248
chapter.sentence,50125,50172,184
chapter.sentence,50173,50248,185
chapter.paragraph,50250,50449,77
chapter.sentence,50250,50296,186
quote.quote,50250,50296
chapter.sentence,50297,50449,187
quote.nonquote,50297,50319
quote.suspension.short,50297,50319
quote.quote,50320,50449
chapter.paragraph,50451,50524,78
chapter.sentence,50451,50524,188
quote.nonquote,50451,50524
chapter.paragraph,50526,50873,79
chapter.sentence,50526,50643,189
quote.quote,50526,50873
chapter.sentence,50644,50789,190
chapter.sentence,50790,50873,191
chapter.paragraph,50875,50923,80
chapter.sentence,50875,50923,192
quote.quote,50875,50923
chapter.paragraph,50925,51050,81
chapter.sentence,50925,51050,193
quote.nonquote,50925,51050
chapter.paragraph,51052,51440,82
chapter.sentence,51052,51101,194
quote.quote,51052,51078
quote.nonquote,51078,51101
chapter.sentence,51102,51173,195
quote.quote,51102,51440
chapter.sentence,51174,51373,196
chapter.sentence,51374,51440,197
chapter.paragraph,51442,51805,83
chapter.sentence,51442,51544,198
quote.nonquote,51442,51805
chapter.sentence,51545,51805,199
chapter.paragraph,51807,51942,84
