metadata.title,0,31
metadata.author,32,48
chapter.title,50,55,1
chapter.text,57,9560,1
chapter.paragraph,57,134,1
chapter.sentence,57,134,1
quote.nonquote,57,134
chapter.paragraph,136,217,2
chapter.sentence,136,171,2
quote.quote,136,171
chapter.sentence,172,217,3
quote.nonquote,172,217
chapter.paragraph,219,472,3
chapter.sentence,219,294,4
quote.quote,219,472
chapter.sentence,295,330,5
chapter.sentence,331,357,6
chapter.sentence,358,472,7
chapter.paragraph,474,840,4
chapter.sentence,474,484,8
quote.quote,474,541
chapter.sentence,485,493,9
chapter.sentence,494,688,10
quote.nonquote,542,840
chapter.sentence,689,840,11
chapter.paragraph,842,1027,5
chapter.sentence,842,876,12
quote.quote,842,876
chapter.sentence,877,982,13
quote.nonquote,877,982
chapter.sentence,983,1027,14
quote.quote,983,1027
chapter.paragraph,1029,1692,6
chapter.sentence,1029,1138,15
quote.quote,1029,1034
quote.nonquote,1035,2088
chapter.sentence,1139,1224,16
chapter.sentence,1225,1435,17
chapter.sentence,1436,1692,18
chapter.paragraph,1694,2088,7
chapter.sentence,1694,2088,19
chapter.paragraph,2090,2225,8
chapter.sentence,2090,2146,20
quote.quote,2090,2179
chapter.sentence,2147,2179,21
chapter.sentence,2180,2225,22
quote.nonquote,2180,2225
chapter.paragraph,2227,3171,9
chapter.sentence,2227,2259,23
quote.quote,2227,2259
chapter.sentence,2260,2466,24
quote.nonquote,2260,2466
chapter.sentence,2467,2608,25
quote.quote,2467,3171
chapter.sentence,2609,2715,26
chapter.sentence,2716,2776,27
chapter.sentence,2777,2982,28
chapter.sentence,2983,3171,29
chapter.paragraph,3173,3704,10
chapter.sentence,3173,3215,30
quote.quote,3173,3197
quote.nonquote,3198,3215
chapter.sentence,3216,3364,31
quote.quote,3216,3704
chapter.sentence,3365,3558,32
chapter.sentence,3559,3704,33
chapter.paragraph,3706,4405,11
chapter.sentence,3706,3836,34
quote.nonquote,3706,4355
chapter.sentence,3837,3876,35
chapter.sentence,3877,4132,36
chapter.sentence,4133,4251,37
chapter.sentence,4252,4400,38
quote.quote,4356,4400
chapter.sentence,4401,4405,39
quote.nonquote,4401,4677
chapter.paragraph,4407,4677,12
chapter.sentence,4407,4677,40
chapter.paragraph,4679,4804,13
chapter.sentence,4679,4732,41
quote.quote,4679,4732
chapter.sentence,4733,4752,42
quote.nonquote,4733,4752
chapter.sentence,4753,4804,43
quote.quote,4753,4804
chapter.paragraph,4806,4871,14
chapter.sentence,4806,4871,44
quote.quote,4806,4871
chapter.paragraph,4873,5408,15
chapter.sentence,4873,5191,45
quote.quote,4873,4959
quote.nonquote,4960,5073
quote.suspension.long,4960,5073
quote.quote,5074,5408
chapter.sentence,5192,5273,46
chapter.sentence,5274,5310,47
chapter.sentence,5311,5408,48
chapter.paragraph,5410,5529,16
chapter.sentence,5410,5428,49
quote.quote,5410,5529
chapter.sentence,5429,5529,50
chapter.paragraph,5531,5608,17
chapter.sentence,5531,5608,51
quote.quote,5531,5608
chapter.paragraph,5610,5719,18
chapter.sentence,5610,5642,52
quote.quote,5610,5719
chapter.sentence,5643,5679,53
chapter.sentence,5680,5719,54
chapter.paragraph,5721,6284,19
chapter.sentence,5721,5966,55
quote.nonquote,5721,6698
chapter.sentence,5967,6284,56
chapter.paragraph,6286,6899,20
chapter.sentence,6286,6545,57
chapter.sentence,6546,6899,58
quote.quote,6699,6717
quote.nonquote,6717,6963
chapter.paragraph,6901,6963,21
chapter.sentence,6901,6963,59
chapter.paragraph,6965,7142,22
chapter.sentence,6965,7142,60
quote.quote,6965,6974
quote.nonquote,6975,7110
quote.suspension.long,6975,7110
quote.quote,7111,7142
chapter.paragraph,7144,7201,23
chapter.sentence,7144,7159,61
quote.quote,7144,7159
chapter.sentence,7160,7201,62
quote.nonquote,7160,7201
chapter.paragraph,7203,7287,24
chapter.sentence,7203,7287,63
quote.quote,7203,7287
chapter.paragraph,7289,7389,25
chapter.sentence,7289,7389,64
quote.quote,7289,7389
chapter.paragraph,7391,8277,26
chapter.sentence,7391,7557,65
quote.nonquote,7391,8585
chapter.sentence,7558,7722,66
chapter.sentence,7723,7944,67
chapter.sentence,7945,8104,68
chapter.sentence,8105,8277,69
chapter.paragraph,8279,8585,27
chapter.sentence,8279,8585,70
chapter.paragraph,8587,8951,28
chapter.sentence,8587,8751,71
quote.quote,8587,8607
quote.nonquote,8608,8686
quote.suspension.long,8608,8686
quote.quote,8687,8951
chapter.sentence,8752,8881,72
chapter.sentence,8882,8951,73
chapter.paragraph,8953,8982,29
chapter.sentence,8953,8982,74
quote.quote,8953,8982
chapter.paragraph,8984,9277,30
chapter.sentence,8984,9193,75
quote.quote,8984,9277
chapter.sentence,9194,9277,76
chapter.paragraph,9279,9560,31
chapter.sentence,9279,9560,77
quote.nonquote,9279,9560
chapter.title,9562,9567,2
chapter.text,9569,20840,2
chapter.paragraph,9569,10452,1
chapter.sentence,9569,9669,1
quote.nonquote,9569,9831
chapter.sentence,9670,9831,2
chapter.sentence,9832,10125,3
quote.quote,9832,9958
quote.nonquote,9959,13477
chapter.sentence,10126,10205,4
chapter.sentence,10206,10345,5
chapter.sentence,10346,10452,6
chapter.paragraph,10454,10658,2
chapter.sentence,10454,10501,7
chapter.sentence,10502,10658,8
chapter.paragraph,10660,11676,3
chapter.sentence,10660,10771,9
chapter.sentence,10772,10939,10
chapter.sentence,10940,11055,11
chapter.sentence,11056,11122,12
chapter.sentence,11123,11444,13
chapter.sentence,11445,11570,14
chapter.sentence,11571,11676,15
chapter.paragraph,11678,12037,4
chapter.sentence,11678,11756,16
chapter.sentence,11757,11916,17
chapter.sentence,11917,12007,18
chapter.sentence,12008,12037,19
chapter.paragraph,12039,12622,5
chapter.sentence,12039,12286,20
chapter.sentence,12287,12460,21
chapter.sentence,12461,12622,22
chapter.paragraph,12624,13087,6
chapter.sentence,12624,12752,23
chapter.sentence,12754,12774,24
chapter.sentence,12775,12889,25
chapter.sentence,12890,13087,26
chapter.paragraph,13089,13644,7
chapter.sentence,13089,13506,27
quote.quote,13478,13506
chapter.sentence,13507,13550,28
quote.nonquote,13507,14745
chapter.sentence,13551,13644,29
chapter.paragraph,13646,14219,8
chapter.sentence,13646,14219,30
chapter.paragraph,14221,14379,9
chapter.sentence,14221,14379,31
chapter.paragraph,14381,14797,10
chapter.sentence,14381,14443,32
chapter.sentence,14444,14525,33
chapter.sentence,14526,14661,34
chapter.sentence,14662,14797,35
quote.quote,14746,14797
chapter.paragraph,14799,15172,11
chapter.sentence,14799,14891,36
quote.nonquote,14799,14983
chapter.sentence,14892,14983,37
chapter.sentence,14984,15065,38
quote.quote,14984,15065
chapter.sentence,15066,15172,39
quote.nonquote,15066,15529
chapter.paragraph,15174,15529,12
chapter.sentence,15174,15221,40
chapter.sentence,15222,15392,41
chapter.sentence,15393,15529,42
chapter.paragraph,15531,15617,13
chapter.sentence,15531,15545,43
quote.quote,15531,15545
chapter.sentence,15546,15617,44
quote.nonquote,15546,15699
chapter.paragraph,15619,15699,14
chapter.sentence,15619,15699,45
chapter.paragraph,15701,15911,15
chapter.sentence,15701,15748,46
quote.quote,15701,15706
quote.nonquote,15707,15748
chapter.sentence,15749,15911,47
quote.quote,15749,15911
chapter.paragraph,15913,16041,16
chapter.sentence,15913,16041,48
quote.nonquote,15913,16041
chapter.paragraph,16043,16077,17
chapter.sentence,16043,16064,49
quote.quote,16043,16064
chapter.sentence,16065,16077,50
quote.nonquote,16065,16185
chapter.paragraph,16079,16185,18
chapter.sentence,16079,16185,51
chapter.paragraph,16187,17331,19
chapter.sentence,16187,16220,52
quote.quote,16187,16220
chapter.sentence,16221,16240,53
quote.nonquote,16221,16240
chapter.sentence,16241,16284,54
quote.quote,16241,16850
chapter.sentence,16285,16414,55
chapter.sentence,16415,16539,56
chapter.sentence,16540,16653,57
chapter.sentence,16654,16778,58
chapter.sentence,16779,16850,59
chapter.sentence,16851,16867,60
quote.nonquote,16851,16867
chapter.sentence,16868,16927,61
quote.quote,16868,17137
chapter.sentence,16928,17063,62
chapter.sentence,17064,17236,63
quote.nonquote,17138,17213
quote.suspension.long,17138,17213
quote.quote,17214,17331
chapter.sentence,17237,17271,64
chapter.sentence,17272,17331,65
chapter.paragraph,17333,17520,20
chapter.sentence,17333,17393,66
quote.nonquote,17333,17520
chapter.sentence,17394,17520,67
chapter.paragraph,17522,17954,21
chapter.sentence,17522,17557,68
quote.quote,17522,17557
chapter.sentence,17558,17954,69
quote.nonquote,17558,17954
chapter.paragraph,17956,19044,22
chapter.sentence,17956,18283,70
quote.quote,17956,18001
quote.nonquote,18002,18106
quote.suspension.long,18002,18106
quote.quote,18107,18671
chapter.sentence,18284,18474,71
chapter.sentence,18475,18663,72
chapter.sentence,18664,18897,73
quote.nonquote,18672,18693
quote.suspension.short,18672,18693
quote.quote,18694,19044
chapter.sentence,18898,18984,74
chapter.sentence,18985,19044,75
