metadata.title,0,29
metadata.author,30,47
chapter.title,49,70,1
chapter.text,72,38464,1
chapter.paragraph,72,1835,1
chapter.sentence,72,292,1
quote.nonquote,72,5131
chapter.sentence,293,754,2
chapter.sentence,755,917,3
chapter.sentence,918,1288,4
chapter.sentence,1289,1535,5
chapter.sentence,1536,1835,6
chapter.paragraph,1837,2014,2
chapter.sentence,1837,2014,7
chapter.paragraph,2016,2056,3
chapter.sentence,2016,2056,8
chapter.paragraph,2058,2958,4
chapter.sentence,2058,2446,9
chapter.sentence,2447,2566,10
chapter.sentence,2567,2730,11
chapter.sentence,2731,2958,12
chapter.paragraph,2960,3803,5
chapter.sentence,2960,3134,13
chapter.sentence,3135,3243,14
chapter.sentence,3244,3708,15
chapter.sentence,3709,3803,16
chapter.paragraph,3805,5290,6
chapter.sentence,3805,3957,17
chapter.sentence,3958,5290,18
quote.quote,5132,5153
quote.nonquote,5153,10227
chapter.paragraph,5292,6337,7
chapter.sentence,5292,5520,19
chapter.sentence,5521,6148,20
chapter.sentence,6149,6337,21
chapter.paragraph,6339,9023,8
chapter.sentence,6339,6619,22
chapter.sentence,6620,7120,23
chapter.sentence,7121,7767,24
chapter.sentence,7768,7917,25
chapter.sentence,7918,8033,26
chapter.sentence,8034,8192,27
chapter.sentence,8193,8509,28
chapter.sentence,8510,9023,29
chapter.paragraph,9025,9782,9
chapter.sentence,9025,9131,30
chapter.sentence,9132,9645,31
chapter.sentence,9646,9782,32
chapter.paragraph,9784,10473,10
chapter.sentence,9784,9846,33
chapter.sentence,9847,10107,34
chapter.sentence,10108,10473,35
quote.quote,10228,10252
quote.nonquote,10252,10393
quote.suspension.long,10252,10393
quote.quote,10394,10418
quote.nonquote,10418,16582
chapter.paragraph,10475,11564,11
chapter.sentence,10475,10666,36
chapter.sentence,10667,10996,37
chapter.sentence,10997,11268,38
chapter.sentence,11269,11564,39
chapter.paragraph,11566,13051,12
chapter.sentence,11566,11675,40
chapter.sentence,11676,11781,41
chapter.sentence,11782,12113,42
chapter.sentence,12114,12527,43
chapter.sentence,12528,12736,44
chapter.sentence,12737,13051,45
chapter.paragraph,13053,13575,13
chapter.sentence,13053,13575,46
chapter.paragraph,13577,16142,14
chapter.sentence,13577,16142,47
chapter.paragraph,16144,16582,15
chapter.sentence,16144,16582,48
chapter.paragraph,16584,17332,16
chapter.sentence,16584,17001,49
quote.quote,16584,16594
quote.nonquote,16595,16662
quote.suspension.long,16595,16662
quote.quote,16663,17332
chapter.sentence,17002,17332,50
chapter.paragraph,17334,17523,17
chapter.sentence,17334,17523,51
quote.nonquote,17334,31358
chapter.paragraph,17525,17586,18
chapter.sentence,17525,17586,52
chapter.paragraph,17588,17705,19
chapter.sentence,17588,17705,53
chapter.paragraph,17707,19566,20
chapter.sentence,17707,17838,54
chapter.sentence,17839,17901,55
chapter.sentence,17902,18159,56
chapter.sentence,18160,18248,57
chapter.sentence,18249,18365,58
chapter.sentence,18366,18535,59
chapter.sentence,18536,18675,60
chapter.sentence,18676,18804,61
chapter.sentence,18805,19094,62
chapter.sentence,19095,19159,63
chapter.sentence,19160,19436,64
chapter.sentence,19437,19566,65
chapter.paragraph,19568,20580,21
chapter.sentence,19568,19950,66
chapter.sentence,19951,20143,67
chapter.sentence,20144,20262,68
chapter.sentence,20263,20580,69
chapter.paragraph,20582,22421,22
chapter.sentence,20582,20703,70
chapter.sentence,20704,20785,71
chapter.sentence,20786,20908,72
chapter.sentence,20909,21068,73
chapter.sentence,21069,21224,74
chapter.sentence,21225,21292,75
chapter.sentence,21293,21486,76
chapter.sentence,21487,22180,77
chapter.sentence,22181,22421,78
chapter.paragraph,22423,24745,23
chapter.sentence,22423,22783,79
chapter.sentence,22784,22966,80
chapter.sentence,22967,23082,81
chapter.sentence,23083,23248,82
chapter.sentence,23249,23405,83
chapter.sentence,23406,23623,84
chapter.sentence,23624,23873,85
chapter.sentence,23874,24093,86
chapter.sentence,24094,24468,87
chapter.sentence,24469,24745,88
chapter.paragraph,24747,25836,24
chapter.sentence,24747,24780,89
chapter.sentence,24781,25756,90
chapter.sentence,25757,25836,91
chapter.paragraph,25838,27209,25
chapter.sentence,25838,26138,92
chapter.sentence,26139,26462,93
chapter.sentence,26463,26661,94
chapter.sentence,26662,27011,95
chapter.sentence,27012,27077,96
chapter.sentence,27078,27204,97
chapter.sentence,27205,27209,98
chapter.paragraph,27211,28951,26
chapter.sentence,27211,27858,99
chapter.sentence,27859,28020,100
chapter.sentence,28021,28196,101
chapter.sentence,28197,28894,102
chapter.sentence,28895,28951,103
chapter.paragraph,28953,30457,27
chapter.sentence,28953,29341,104
chapter.sentence,29342,29840,105
chapter.sentence,29841,30105,106
chapter.sentence,30106,30286,107
chapter.sentence,30287,30457,108
chapter.paragraph,30459,31190,28
chapter.sentence,30459,31190,109
chapter.paragraph,31192,31778,29
chapter.sentence,31192,31421,110
quote.quote,31359,31421
chapter.sentence,31422,31666,111
quote.nonquote,31422,34562
chapter.sentence,31667,31778,112
chapter.paragraph,31780,32188,30
chapter.sentence,31780,31906,113
chapter.sentence,31907,32188,114
chapter.paragraph,32190,33658,31
chapter.sentence,32190,32733,115
chapter.sentence,32734,32790,116
chapter.sentence,32791,33094,117
chapter.sentence,33095,33323,118
chapter.sentence,33324,33550,119
chapter.sentence,33551,33658,120
chapter.paragraph,33660,34101,32
chapter.sentence,33660,34101,121
chapter.paragraph,34103,35834,33
chapter.sentence,34103,34236,122
chapter.sentence,34237,34365,123
chapter.sentence,34366,34580,124
quote.quote,34563,34580
chapter.sentence,34581,34765,125
quote.nonquote,34581,38464
chapter.sentence,34766,35036,126
chapter.sentence,35037,35506,127
chapter.sentence,35507,35834,128
chapter.paragraph,35836,35975,34
chapter.sentence,35836,35975,129
chapter.paragraph,35977,36452,35
chapter.sentence,35977,36329,130
chapter.sentence,36330,36452,131
chapter.paragraph,36454,37756,36
chapter.sentence,36454,37314,132
chapter.sentence,37315,37502,133
chapter.sentence,37503,37756,134
chapter.paragraph,37758,38139,37
chapter.sentence,37758,37868,135
chapter.sentence,37869,38139,136
chapter.paragraph,38141,38464,38
chapter.sentence,38141,38464,137
chapter.title,38466,38485,2
chapter.text,38487,41676,2
chapter.paragraph,38487,38569,1
chapter.sentence,38487,38569,1
quote.nonquote,38487,41676
chapter.paragraph,38571,39518,2
chapter.sentence,38571,38836,2
chapter.sentence,38837,39097,3
chapter.sentence,39098,39240,4
chapter.sentence,39241,39411,5
chapter.sentence,39412,39518,6
chapter.paragraph,39520,39754,3
chapter.sentence,39520,39533,7
chapter.sentence,39534,39754,8
chapter.paragraph,39756,40543,4
chapter.sentence,39756,39820,9
chapter.sentence,39821,40121,10
chapter.sentence,40122,40249,11
chapter.sentence,40250,40466,12
chapter.sentence,40467,40528,13
chapter.sentence,40529,40543,14
chapter.paragraph,40545,41260,5
chapter.sentence,40545,40891,15
chapter.sentence,40892,41054,16
chapter.sentence,41055,41260,17
chapter.paragraph,41262,41334,6
