metadata.title,0,13
metadata.author,14,26
chapter.title,28,72,1
chapter.text,74,13722,1
chapter.paragraph,74,687,1
chapter.sentence,74,162,1
quote.nonquote,74,7520
chapter.sentence,163,323,2
chapter.sentence,324,397,3
chapter.sentence,398,687,4
chapter.paragraph,689,1412,2
chapter.sentence,689,994,5
chapter.sentence,995,1193,6
chapter.sentence,1194,1412,7
chapter.paragraph,1414,2368,3
chapter.sentence,1414,1545,8
chapter.sentence,1546,1673,9
chapter.sentence,1674,1866,10
chapter.sentence,1867,2121,11
chapter.sentence,2122,2368,12
chapter.paragraph,2370,3297,4
chapter.sentence,2370,2729,13
chapter.sentence,2730,3054,14
chapter.sentence,3055,3297,15
chapter.paragraph,3299,3597,5
chapter.sentence,3299,3360,16
chapter.sentence,3361,3464,17
chapter.sentence,3465,3597,18
chapter.paragraph,3599,4578,6
chapter.sentence,3599,3743,19
chapter.sentence,3744,4100,20
chapter.sentence,4101,4330,21
chapter.sentence,4331,4578,22
chapter.paragraph,4580,5113,7
chapter.sentence,4580,4665,23
chapter.sentence,4666,4845,24
chapter.sentence,4846,5023,25
chapter.sentence,5024,5113,26
chapter.paragraph,5115,6651,8
chapter.sentence,5115,5253,27
chapter.sentence,5254,5418,28
chapter.sentence,5419,5714,29
chapter.sentence,5715,5933,30
chapter.sentence,5934,5998,31
chapter.sentence,5999,6056,32
chapter.sentence,6057,6151,33
chapter.sentence,6152,6334,34
chapter.sentence,6335,6651,35
chapter.paragraph,6653,7224,9
chapter.sentence,6653,6957,36
chapter.sentence,6958,7224,37
chapter.paragraph,7226,8115,10
chapter.sentence,7226,7690,38
quote.quote,7521,7542
quote.nonquote,7542,7982
chapter.sentence,7691,7829,39
chapter.sentence,7830,8115,40
quote.quote,7983,8003
quote.nonquote,8003,8010
quote.suspension.short,8003,8010
quote.quote,8011,8030
quote.nonquote,8030,9643
chapter.paragraph,8117,9643,11
chapter.sentence,8117,8244,41
chapter.sentence,8245,8601,42
chapter.sentence,8602,8970,43
chapter.sentence,8971,9264,44
chapter.sentence,9265,9643,45
chapter.paragraph,9645,9735,12
chapter.sentence,9645,9735,46
quote.quote,9645,9672
quote.nonquote,9672,9790
chapter.paragraph,9737,9790,13
chapter.sentence,9737,9790,47
chapter.paragraph,9792,10023,14
chapter.sentence,9792,9813,48
quote.quote,9792,10023
chapter.sentence,9814,9894,49
chapter.sentence,9895,9925,50
chapter.sentence,9926,10002,51
chapter.sentence,10003,10023,52
chapter.paragraph,10025,10425,15
chapter.sentence,10025,10069,53
quote.nonquote,10025,10374
chapter.sentence,10070,10168,54
chapter.sentence,10169,10425,55
quote.quote,10375,10425
chapter.paragraph,10427,10485,16
chapter.sentence,10427,10485,56
quote.quote,10427,10445
quote.nonquote,10445,10700
chapter.paragraph,10487,10700,17
chapter.sentence,10487,10553,57
chapter.sentence,10554,10625,58
chapter.sentence,10626,10700,59
chapter.paragraph,10702,10929,18
chapter.sentence,10702,10856,60
quote.quote,10702,10737
quote.nonquote,10737,10764
quote.suspension.short,10737,10764
quote.quote,10765,10929
chapter.sentence,10857,10929,61
chapter.paragraph,10931,11162,19
chapter.sentence,10931,10966,62
quote.quote,10931,11110
chapter.sentence,10967,11162,63
quote.nonquote,11110,11162
chapter.paragraph,11164,11527,20
chapter.sentence,11164,11454,64
quote.quote,11164,11358
quote.nonquote,11358,11527
chapter.sentence,11455,11527,65
chapter.paragraph,11529,11637,21
chapter.sentence,11529,11557,66
quote.quote,11529,11637
chapter.sentence,11558,11637,67
chapter.paragraph,11639,11867,22
chapter.sentence,11639,11673,68
quote.quote,11639,11723
chapter.sentence,11674,11867,69
quote.nonquote,11724,13722
chapter.paragraph,11869,12534,23
chapter.sentence,11869,12058,70
chapter.sentence,12059,12233,71
chapter.sentence,12234,12308,72
chapter.sentence,12309,12459,73
chapter.sentence,12460,12534,74
chapter.paragraph,12536,12742,24
chapter.sentence,12536,12550,75
chapter.sentence,12551,12742,76
chapter.paragraph,12744,13385,25
chapter.sentence,12744,12982,77
chapter.sentence,12983,13060,78
chapter.sentence,13061,13087,79
chapter.sentence,13088,13103,80
chapter.sentence,13104,13385,81
chapter.paragraph,13387,13722,26
chapter.sentence,13387,13551,82
chapter.sentence,13552,13722,83
chapter.title,13724,13750,2
chapter.text,13752,32839,2
chapter.paragraph,13752,14257,1
chapter.sentence,13752,13804,1
quote.nonquote,13752,17085
chapter.sentence,13805,13862,2
chapter.sentence,13863,13961,3
chapter.sentence,13962,14037,4
chapter.sentence,14038,14192,5
chapter.sentence,14193,14257,6
chapter.paragraph,14259,14827,2
chapter.sentence,14259,14502,7
chapter.sentence,14503,14827,8
chapter.paragraph,14829,15583,3
chapter.sentence,14829,14877,9
chapter.sentence,14878,15059,10
chapter.sentence,15060,15583,11
chapter.paragraph,15585,15886,4
chapter.sentence,15585,15886,12
chapter.paragraph,15888,17014,5
chapter.sentence,15888,15972,13
chapter.sentence,15973,16220,14
chapter.sentence,16221,16484,15
chapter.sentence,16485,16673,16
chapter.sentence,16674,17014,17
chapter.paragraph,17016,17391,6
chapter.sentence,17016,17391,18
quote.quote,17086,17136
quote.nonquote,17137,21173
chapter.paragraph,17393,18884,7
chapter.sentence,17393,17682,19
chapter.sentence,17683,17761,20
chapter.sentence,17762,18226,21
chapter.sentence,18227,18524,22
chapter.sentence,18525,18884,23
chapter.paragraph,18886,19603,8
chapter.sentence,18886,19372,24
chapter.sentence,19373,19461,25
chapter.sentence,19462,19603,26
chapter.paragraph,19605,19860,9
chapter.sentence,19605,19627,27
chapter.sentence,19628,19860,28
chapter.paragraph,19862,21173,10
chapter.sentence,19862,19930,29
chapter.sentence,19931,20181,30
chapter.sentence,20182,20239,31
chapter.sentence,20240,20480,32
chapter.sentence,20481,20570,33
chapter.sentence,20571,20790,34
chapter.sentence,20791,21063,35
chapter.sentence,21064,21173,36
chapter.paragraph,21175,21594,11
chapter.sentence,21175,21341,37
quote.quote,21175,21258
quote.nonquote,21258,21536
chapter.sentence,21342,21594,38
quote.quote,21537,21594
chapter.paragraph,21596,22512,12
chapter.sentence,21596,21825,39
quote.nonquote,21596,22512
chapter.sentence,21826,22512,40
chapter.paragraph,22514,23237,13
chapter.sentence,22514,22753,41
quote.quote,22514,22539
quote.nonquote,22539,23460
chapter.sentence,22754,23139,42
chapter.sentence,23140,23237,43
chapter.paragraph,23239,23460,14
chapter.sentence,23239,23460,44
chapter.paragraph,23462,23834,15
chapter.sentence,23462,23541,45
quote.quote,23462,23485
quote.nonquote,23485,23541
chapter.sentence,23542,23704,46
quote.quote,23542,23834
chapter.sentence,23705,23772,47
chapter.sentence,23773,23834,48
chapter.paragraph,23836,23988,16
chapter.sentence,23836,23988,49
quote.nonquote,23836,24611
chapter.paragraph,23990,24611,17
chapter.sentence,23990,24499,50
chapter.sentence,24500,24611,51
chapter.paragraph,24613,24746,18
chapter.sentence,24613,24746,52
quote.quote,24613,24746
chapter.paragraph,24748,25094,19
chapter.sentence,24748,24849,53
quote.nonquote,24748,24984
chapter.sentence,24850,24924,54
chapter.sentence,24925,25009,55
quote.quote,24985,25009
chapter.sentence,25010,25094,56
quote.nonquote,25010,26986
chapter.paragraph,25096,26024,20
chapter.sentence,25096,25130,57
chapter.sentence,25131,25259,58
chapter.sentence,25260,25320,59
chapter.sentence,25321,25550,60
chapter.sentence,25551,26024,61
chapter.paragraph,26026,27366,21
chapter.sentence,26026,26072,62
chapter.sentence,26073,26351,63
chapter.sentence,26352,26496,64
chapter.sentence,26497,26627,65
chapter.sentence,26628,26794,66
chapter.sentence,26795,26914,67
chapter.sentence,26915,27025,68
quote.quote,26987,27025
chapter.sentence,27026,27068,69
quote.nonquote,27026,27945
chapter.sentence,27069,27183,70
chapter.sentence,27184,27270,71
chapter.sentence,27271,27314,72
chapter.sentence,27315,27366,73
chapter.paragraph,27368,27777,22
chapter.sentence,27368,27777,74
chapter.paragraph,27779,28331,23
chapter.sentence,27779,27964,75
quote.quote,27946,28331
chapter.sentence,27965,27994,76
chapter.sentence,27995,28081,77
chapter.sentence,28082,28125,78
chapter.sentence,28126,28269,79
chapter.sentence,28270,28331,80
chapter.paragraph,28333,29036,24
chapter.sentence,28333,28495,81
quote.nonquote,28333,29348
chapter.sentence,28496,28651,82
chapter.sentence,28652,28809,83
chapter.sentence,28810,28948,84
chapter.sentence,28949,29036,85
chapter.paragraph,29038,29348,25
chapter.sentence,29038,29348,86
chapter.paragraph,29350,29610,26
chapter.sentence,29350,29390,87
quote.quote,29350,29610
chapter.sentence,29391,29433,88
chapter.sentence,29434,29464,89
chapter.sentence,29465,29560,90
chapter.sentence,29561,29583,91
chapter.sentence,29584,29610,92
chapter.paragraph,29612,29853,27
chapter.sentence,29612,29714,93
quote.nonquote,29612,29828
chapter.sentence,29715,29853,94
quote.quote,29829,29853
chapter.paragraph,29855,29902,28
chapter.sentence,29855,29902,95
quote.quote,29855,29902
chapter.paragraph,29904,30163,29
chapter.sentence,29904,30163,96
quote.nonquote,29904,30312
chapter.paragraph,30165,30717,30
chapter.sentence,30165,30287,97
chapter.sentence,30288,30329,98
quote.quote,30313,30472
chapter.sentence,30330,30359,99
chapter.sentence,30360,30401,100
chapter.sentence,30402,30438,101
chapter.sentence,30439,30628,102
quote.nonquote,30473,32839
chapter.sentence,30629,30717,103
chapter.paragraph,30719,31045,31
chapter.sentence,30719,30979,104
chapter.sentence,30980,31045,105
chapter.paragraph,31047,31494,32
chapter.sentence,31047,31121,106
chapter.sentence,31122,31494,107
chapter.paragraph,31496,31985,33
chapter.sentence,31496,31583,108
chapter.sentence,31584,31812,109
chapter.sentence,31813,31985,110
chapter.paragraph,31987,32230,34
chapter.sentence,31987,32049,111
chapter.sentence,32050,32230,112
chapter.paragraph,32232,32449,35
chapter.sentence,32232,32449,113
chapter.paragraph,32451,32839,36
chapter.sentence,32451,32544,114
chapter.sentence,32545,32839,115
chapter.title,32841,32868,3
chapter.text,32870,55524,3
chapter.paragraph,32870,33087,1
chapter.sentence,32870,32929,1
quote.nonquote,32870,36046
chapter.sentence,32930,33042,2
chapter.sentence,33043,33087,3
chapter.paragraph,33089,33862,2
chapter.sentence,33089,33154,4
chapter.sentence,33155,33425,5
chapter.sentence,33426,33556,6
chapter.sentence,33557,33767,7
chapter.sentence,33768,33862,8
chapter.paragraph,33864,34243,3
chapter.sentence,33864,34045,9
chapter.sentence,34046,34074,10
chapter.sentence,34075,34243,11
chapter.paragraph,34245,35285,4
chapter.sentence,34245,34371,12
chapter.sentence,34372,34592,13
chapter.sentence,34593,34917,14
chapter.sentence,34918,35041,15
chapter.sentence,35042,35169,16
chapter.sentence,35170,35236,17
