metadata.title,0,10
metadata.author,11,24
chapter.title,26,37,1
chapter.text,39,65647,1
chapter.paragraph,39,860,1
chapter.sentence,39,220,1
quote.nonquote,39,1331
chapter.sentence,221,307,2
chapter.sentence,308,860,3
chapter.paragraph,862,1331,2
chapter.sentence,862,1113,4
chapter.sentence,1114,1331,5
chapter.paragraph,1333,1547,3
chapter.sentence,1333,1436,6
quote.quote,1333,1436
chapter.sentence,1437,1473,7
quote.nonquote,1437,1473
chapter.sentence,1474,1547,8
quote.quote,1474,1547
chapter.paragraph,1549,2415,4
chapter.sentence,1549,1571,9
quote.nonquote,1549,2371
chapter.sentence,1572,1751,10
chapter.sentence,1752,1929,11
chapter.sentence,1930,2120,12
chapter.sentence,2121,2395,13
quote.quote,2372,2395
chapter.sentence,2396,2415,14
quote.nonquote,2396,2519
chapter.paragraph,2417,2519,5
chapter.sentence,2417,2519,15
chapter.paragraph,2521,3019,6
chapter.sentence,2521,2577,16
quote.quote,2521,2577
chapter.sentence,2578,2821,17
quote.nonquote,2578,2821
chapter.sentence,2822,3019,18
quote.quote,2822,2889
quote.nonquote,2890,2968
quote.suspension.long,2890,2968
quote.quote,2969,3019
chapter.paragraph,3021,3286,7
chapter.sentence,3021,3177,19
quote.quote,3021,3043
quote.nonquote,3044,3095
quote.suspension.long,3044,3095
quote.quote,3096,3286
chapter.sentence,3178,3286,20
chapter.paragraph,3288,3783,8
chapter.sentence,3288,3582,21
quote.quote,3288,3335
quote.nonquote,3336,3465
quote.suspension.long,3336,3465
quote.quote,3466,3783
chapter.sentence,3583,3591,22
chapter.sentence,3592,3630,23
chapter.sentence,3631,3783,24
chapter.paragraph,3785,5169,9
chapter.sentence,3785,4021,25
quote.nonquote,3785,4021
chapter.sentence,4022,4341,26
quote.quote,4022,4027
quote.nonquote,4028,4056
quote.suspension.long,4028,4056
quote.quote,4057,5013
chapter.sentence,4342,4695,27
chapter.sentence,4696,4933,28
chapter.sentence,4934,5169,29
quote.nonquote,5014,5074
quote.suspension.long,5014,5074
quote.quote,5075,5169
chapter.paragraph,5171,5321,10
chapter.sentence,5171,5321,30
quote.nonquote,5171,5321
chapter.paragraph,5323,6704,11
chapter.sentence,5323,5452,31
quote.quote,5323,5382
quote.nonquote,5384,5415
quote.suspension.long,5384,5415
quote.quote,5416,6704
chapter.sentence,5453,5584,32
chapter.sentence,5585,5692,33
chapter.sentence,5693,5805,34
chapter.sentence,5806,6085,35
chapter.sentence,6086,6225,36
chapter.sentence,6226,6468,37
chapter.sentence,6469,6617,38
chapter.sentence,6618,6704,39
chapter.paragraph,6706,7192,12
chapter.sentence,6706,6751,40
quote.nonquote,6706,6751
chapter.sentence,6752,7008,41
quote.quote,6752,6781
quote.nonquote,6782,6808
quote.suspension.long,6782,6808
quote.quote,6809,7020
chapter.sentence,7009,7081,42
quote.nonquote,7021,7045
quote.suspension.short,7021,7045
quote.quote,7046,7192
chapter.sentence,7082,7192,43
chapter.paragraph,7194,9883,13
chapter.sentence,7194,7295,44
quote.quote,7194,7220
quote.nonquote,7221,7295
chapter.sentence,7296,7424,45
quote.quote,7296,9883
chapter.sentence,7425,7459,46
chapter.sentence,7460,7781,47
chapter.sentence,7782,7972,48
chapter.sentence,7973,8165,49
chapter.sentence,8166,8496,50
chapter.sentence,8497,8694,51
chapter.sentence,8695,8898,52
chapter.sentence,8899,9018,53
chapter.sentence,9019,9114,54
chapter.sentence,9115,9385,55
chapter.sentence,9386,9419,56
chapter.sentence,9420,9766,57
chapter.sentence,9767,9883,58
chapter.paragraph,9885,9984,14
chapter.sentence,9885,9935,59
quote.quote,9885,9935
chapter.sentence,9936,9984,60
quote.nonquote,9936,9984
chapter.paragraph,9986,10339,15
chapter.sentence,9986,10023,61
quote.quote,9986,10023
chapter.sentence,10024,10090,62
quote.nonquote,10024,10090
chapter.sentence,10091,10339,63
quote.quote,10091,10339
chapter.paragraph,10341,10427,16
chapter.sentence,10341,10427,64
quote.quote,10341,10427
chapter.paragraph,10429,10733,17
chapter.sentence,10429,10460,65
quote.quote,10429,10733
chapter.sentence,10461,10575,66
chapter.sentence,10576,10733,67
chapter.paragraph,10735,10960,18
chapter.sentence,10735,10803,68
quote.nonquote,10735,10803
chapter.sentence,10804,10878,69
quote.quote,10804,10878
chapter.sentence,10879,10960,70
quote.nonquote,10879,10960
chapter.paragraph,10962,11005,19
chapter.sentence,10962,10988,71
quote.quote,10962,10988
chapter.sentence,10989,11005,72
quote.nonquote,10989,11005
chapter.paragraph,11007,11032,20
chapter.sentence,11007,11019,73
quote.quote,11007,11032
chapter.sentence,11020,11032,74
chapter.paragraph,11034,11764,21
chapter.sentence,11034,11101,75
quote.quote,11034,11764
chapter.sentence,11102,11137,76
chapter.sentence,11138,11363,77
chapter.sentence,11364,11482,78
chapter.sentence,11483,11559,79
chapter.sentence,11560,11764,80
chapter.paragraph,11766,11832,22
chapter.sentence,11766,11832,81
quote.nonquote,11766,11832
chapter.paragraph,11834,12125,23
chapter.sentence,11834,12026,82
quote.quote,11834,11862
quote.nonquote,11863,11889
quote.suspension.long,11863,11889
quote.quote,11890,12125
chapter.sentence,12027,12125,83
chapter.paragraph,12127,12271,24
chapter.sentence,12127,12271,84
quote.nonquote,12127,12271
chapter.paragraph,12273,12962,25
chapter.sentence,12273,12574,85
quote.quote,12273,12345
quote.nonquote,12346,12362
quote.suspension.short,12346,12362
quote.quote,12363,12962
chapter.sentence,12575,12962,86
chapter.paragraph,12964,13097,26
chapter.sentence,12964,13097,87
quote.nonquote,12964,15856
chapter.paragraph,13099,15502,27
chapter.sentence,13099,13246,88
chapter.sentence,13247,13297,89
chapter.sentence,13298,14042,90
chapter.sentence,14043,14216,91
chapter.sentence,14217,14333,92
chapter.sentence,14334,14605,93
chapter.sentence,14606,14776,94
chapter.sentence,14777,14890,95
chapter.sentence,14891,15087,96
chapter.sentence,15088,15273,97
chapter.sentence,15274,15392,98
chapter.sentence,15393,15417,99
chapter.sentence,15418,15502,100
chapter.paragraph,15504,15897,28
chapter.sentence,15504,15742,101
chapter.sentence,15743,15897,102
quote.quote,15857,15897
chapter.paragraph,15899,16029,29
chapter.sentence,15899,15938,103
quote.quote,15899,15938
chapter.sentence,15939,16029,104
quote.nonquote,15939,15999
quote.suspension.long,15939,15999
quote.quote,16000,16029
chapter.paragraph,16031,16183,30
chapter.sentence,16031,16054,105
quote.quote,16031,16054
chapter.sentence,16055,16109,106
quote.nonquote,16055,16109
chapter.sentence,16110,16183,107
quote.quote,16110,16183
chapter.paragraph,16185,16291,31
chapter.sentence,16185,16245,108
quote.quote,16185,16245
chapter.sentence,16246,16291,109
quote.nonquote,16246,16291
chapter.paragraph,16293,16365,32
chapter.sentence,16293,16365,110
quote.quote,16293,16365
chapter.paragraph,16367,16441,33
chapter.sentence,16367,16441,111
quote.quote,16367,16441
chapter.paragraph,16443,16799,34
chapter.sentence,16443,16480,112
quote.quote,16443,16480
chapter.sentence,16481,16584,113
quote.nonquote,16481,16543
quote.suspension.long,16481,16543
quote.quote,16544,16799
chapter.sentence,16585,16799,114
chapter.paragraph,16801,17143,35
chapter.sentence,16801,17143,115
quote.nonquote,16801,17143
chapter.paragraph,17145,17275,36
chapter.sentence,17145,17222,116
quote.quote,17145,17222
chapter.sentence,17223,17275,117
quote.nonquote,17223,17240
quote.suspension.short,17223,17240
quote.quote,17241,17275
chapter.paragraph,17277,17645,37
chapter.sentence,17277,17513,118
quote.nonquote,17277,17645
chapter.sentence,17514,17645,119
chapter.paragraph,17647,18743,38
chapter.sentence,17647,17763,120
quote.quote,17647,17727
quote.nonquote,17728,17763
chapter.sentence,17764,17823,121
quote.quote,17764,18024
chapter.sentence,17824,18345,122
quote.nonquote,18025,18142
quote.suspension.long,18025,18142
quote.quote,18143,18743
chapter.sentence,18346,18743,123
chapter.paragraph,18745,18804,39
chapter.sentence,18745,18804,124
quote.quote,18745,18804
chapter.paragraph,18806,18933,40
chapter.sentence,18806,18933,125
quote.quote,18806,18933
chapter.paragraph,18935,19303,41
chapter.sentence,18935,19303,126
quote.nonquote,18935,19303
chapter.paragraph,19305,19830,42
chapter.sentence,19305,19340,127
quote.quote,19305,19340
chapter.sentence,19341,19485,128
quote.nonquote,19341,19485
chapter.sentence,19486,19830,129
quote.quote,19486,19524
quote.nonquote,19525,19573
quote.suspension.long,19525,19573
quote.quote,19574,19830
chapter.paragraph,19832,19849,43
chapter.sentence,19832,19849,130
quote.nonquote,19832,19849
chapter.paragraph,19851,20535,44
chapter.sentence,19851,19876,131
quote.quote,19851,20535
chapter.sentence,19877,20049,132
chapter.sentence,20050,20535,133
chapter.paragraph,20537,20597,45
chapter.sentence,20537,20597,134
quote.quote,20537,20597
chapter.paragraph,20599,20791,46
chapter.sentence,20599,20791,135
quote.quote,20599,20791
chapter.paragraph,20793,21178,47
chapter.sentence,20793,20816,136
quote.quote,20793,20816
chapter.sentence,20817,21178,137
quote.nonquote,20817,21368
chapter.paragraph,21180,22024,48
chapter.sentence,21180,21368,138
chapter.sentence,21369,21588,139
quote.quote,21369,21424
quote.nonquote,21425,21435
quote.suspension.short,21425,21435
quote.quote,21436,22024
chapter.sentence,21589,21852,140
chapter.sentence,21853,22024,141
chapter.paragraph,22026,22976,49
chapter.sentence,22026,22577,142
quote.nonquote,22026,22786
chapter.sentence,22578,22786,143
chapter.sentence,22787,22835,144
quote.quote,22787,22835
chapter.sentence,22836,22976,145
quote.nonquote,22836,22872
quote.suspension.long,22836,22872
quote.quote,22873,22976
chapter.paragraph,22978,23044,50
chapter.sentence,22978,23044,146
quote.quote,22978,23044
chapter.paragraph,23046,23442,51
chapter.sentence,23046,23080,147
quote.quote,23046,23080
chapter.sentence,23081,23302,148
quote.nonquote,23081,23204
quote.suspension.long,23081,23204
quote.quote,23205,23302
chapter.sentence,23303,23442,149
quote.nonquote,23303,23382
quote.suspension.long,23303,23382
quote.quote,23383,23442
chapter.paragraph,23444,23665,52
chapter.sentence,23444,23454,150
quote.quote,23444,23454
chapter.sentence,23455,23617,151
quote.nonquote,23455,23617
chapter.sentence,23618,23665,152
quote.quote,23618,23665
chapter.paragraph,23667,24047,53
chapter.sentence,23667,23969,153
quote.quote,23667,23695
quote.nonquote,23696,23727
quote.suspension.short,23696,23727
quote.quote,23728,24047
chapter.sentence,23970,24047,154
chapter.paragraph,24049,24108,54
chapter.sentence,24049,24108,155
quote.quote,24049,24108
chapter.paragraph,24110,24464,55
chapter.sentence,24110,24138,156
quote.quote,24110,24464
chapter.sentence,24139,24242,157
chapter.sentence,24243,24464,158
