metadata.title,0,55
metadata.author,56,77
chapter.title,79,90,1
chapter.text,92,4208,1
chapter.paragraph,92,268,1
chapter.sentence,92,268,1
quote.nonquote,92,3981
chapter.paragraph,270,612,2
chapter.sentence,270,612,2
chapter.paragraph,614,1288,3
chapter.sentence,614,705,3
chapter.sentence,706,893,4
chapter.sentence,894,998,5
chapter.sentence,999,1288,6
chapter.paragraph,1290,1796,4
chapter.sentence,1290,1549,7
chapter.sentence,1550,1796,8
chapter.paragraph,1798,2245,5
chapter.sentence,1798,2245,9
chapter.paragraph,2247,3074,6
chapter.sentence,2247,2333,10
chapter.sentence,2334,2426,11
chapter.sentence,2427,2671,12
chapter.sentence,2672,3074,13
chapter.paragraph,3076,3699,7
chapter.sentence,3076,3232,14
chapter.sentence,3233,3699,15
chapter.paragraph,3701,4208,8
chapter.sentence,3701,4208,16
quote.quote,3982,3997
quote.nonquote,3998,4208
chapter.title,4210,4216,2
chapter.title,4218,4298,3
chapter.text,4314,44044,3
chapter.paragraph,4314,4350,1
chapter.sentence,4314,4350,1
quote.nonquote,4314,5503
chapter.paragraph,4352,5503,2
chapter.sentence,4352,4415,2
chapter.sentence,4416,4601,3
chapter.sentence,4602,4962,4
chapter.sentence,4963,5265,5
chapter.sentence,5266,5503,6
chapter.paragraph,5505,5955,3
chapter.sentence,5505,5593,7
quote.quote,5505,5955
chapter.sentence,5594,5955,8
chapter.paragraph,5957,6981,4
chapter.sentence,5957,6303,9
quote.nonquote,5957,8706
chapter.sentence,6304,6630,10
chapter.sentence,6631,6719,11
chapter.sentence,6720,6787,12
chapter.sentence,6788,6981,13
chapter.paragraph,6983,7731,5
chapter.sentence,6983,7612,14
chapter.sentence,7613,7731,15
chapter.paragraph,7733,8706,6
chapter.sentence,7733,7924,16
chapter.sentence,7925,7990,17
chapter.sentence,7991,8463,18
chapter.sentence,8464,8706,19
chapter.paragraph,8708,8979,7
chapter.sentence,8708,8979,20
quote.quote,8708,8755
quote.nonquote,8756,8832
quote.suspension.long,8756,8832
quote.quote,8833,8979
chapter.paragraph,8981,9473,8
chapter.sentence,8981,9028,21
quote.quote,8981,9028
chapter.sentence,9029,9352,22
quote.nonquote,9029,9172
quote.suspension.long,9029,9172
quote.quote,9173,9473
chapter.sentence,9353,9473,23
chapter.paragraph,9475,9771,9
chapter.sentence,9475,9675,24
quote.quote,9475,9547
quote.nonquote,9548,9585
quote.suspension.short,9548,9585
quote.quote,9587,9594
quote.nonquote,9595,9639
quote.suspension.long,9595,9639
quote.quote,9640,9771
chapter.sentence,9676,9771,25
chapter.paragraph,9773,10179,10
chapter.sentence,9773,9841,26
quote.quote,9773,9841
chapter.sentence,9842,10076,27
quote.nonquote,9842,9875
quote.suspension.short,9842,9875
quote.quote,9876,10179
chapter.sentence,10077,10179,28
chapter.paragraph,10181,10455,11
chapter.sentence,10181,10455,29
quote.quote,10181,10256
quote.nonquote,10257,10345
quote.suspension.long,10257,10345
quote.quote,10346,10358
quote.nonquote,10359,10402
quote.suspension.long,10359,10402
quote.quote,10403,10455
chapter.paragraph,10457,10987,12
chapter.sentence,10457,10681,30
quote.nonquote,10457,10987
chapter.sentence,10682,10887,31
chapter.sentence,10888,10987,32
chapter.paragraph,10989,11324,13
chapter.sentence,10989,11029,33
quote.quote,10989,11324
chapter.sentence,11030,11111,34
chapter.sentence,11112,11254,35
chapter.sentence,11255,11324,36
chapter.paragraph,11326,11608,14
chapter.sentence,11326,11449,37
quote.nonquote,11326,11608
chapter.sentence,11450,11608,38
chapter.paragraph,11610,12312,15
chapter.sentence,11610,11800,39
quote.quote,11610,11636
quote.nonquote,11637,11688
quote.suspension.long,11637,11688
quote.quote,11689,12312
chapter.sentence,11801,11973,40
chapter.sentence,11974,12312,41
chapter.paragraph,12314,12405,16
chapter.sentence,12314,12405,42
quote.quote,12314,12341
quote.nonquote,12342,12355
quote.suspension.short,12342,12355
quote.quote,12356,12405
chapter.paragraph,12407,12735,17
chapter.sentence,12407,12735,43
quote.quote,12407,12429
quote.nonquote,12430,12488
quote.suspension.long,12430,12488
quote.quote,12489,12735
chapter.paragraph,12737,13062,18
chapter.sentence,12737,12869,44
quote.quote,12737,12755
quote.nonquote,12756,12771
quote.suspension.short,12756,12771
quote.quote,12772,13062
chapter.sentence,12870,13022,45
chapter.sentence,13023,13062,46
chapter.paragraph,13064,13426,19
chapter.sentence,13064,13309,47
quote.nonquote,13064,13426
chapter.sentence,13310,13426,48
chapter.paragraph,13428,13732,20
chapter.sentence,13428,13506,49
quote.quote,13428,13732
chapter.sentence,13507,13732,50
chapter.paragraph,13734,13947,21
chapter.sentence,13734,13947,51
quote.quote,13734,13742
quote.nonquote,13743,13791
quote.suspension.long,13743,13791
quote.quote,13792,13947
chapter.paragraph,13949,14276,22
chapter.sentence,13949,14276,52
quote.quote,13949,13996
quote.nonquote,13997,14078
quote.suspension.long,13997,14078
quote.quote,14079,14094
quote.nonquote,14095,14145
quote.suspension.long,14095,14145
quote.quote,14146,14276
chapter.paragraph,14278,14704,23
chapter.sentence,14278,14286,53
quote.quote,14278,14286
chapter.sentence,14287,14388,54
quote.nonquote,14287,14380
quote.suspension.long,14287,14380
quote.quote,14381,14704
chapter.sentence,14389,14704,55
chapter.paragraph,14706,14947,24
chapter.sentence,14706,14713,56
quote.quote,14706,14713
chapter.sentence,14714,14947,57
quote.nonquote,14714,14730
quote.suspension.short,14714,14730
quote.quote,14731,14947
chapter.paragraph,14949,15368,25
chapter.sentence,14949,15089,58
quote.quote,14949,15002
quote.nonquote,15003,15042
quote.suspension.long,15003,15042
quote.quote,15043,15368
chapter.sentence,15090,15244,59
chapter.sentence,15245,15368,60
chapter.paragraph,15370,15702,26
chapter.sentence,15370,15404,61
quote.quote,15370,15404
chapter.sentence,15405,15702,62
quote.nonquote,15405,15702
chapter.paragraph,15704,16580,27
chapter.sentence,15704,15964,63
quote.quote,15704,16580
chapter.sentence,15965,16442,64
chapter.sentence,16443,16580,65
chapter.paragraph,16582,16763,28
chapter.sentence,16582,16618,66
quote.quote,16582,16618
chapter.sentence,16619,16763,67
quote.nonquote,16619,16665
quote.suspension.long,16619,16665
quote.quote,16666,16763
chapter.paragraph,16765,17372,29
chapter.sentence,16765,17075,68
quote.quote,16765,16826
quote.nonquote,16827,16896
quote.suspension.long,16827,16896
quote.quote,16897,17372
chapter.sentence,17076,17198,69
chapter.sentence,17199,17372,70
chapter.paragraph,17374,17501,30
chapter.sentence,17374,17501,71
quote.quote,17374,17390
quote.nonquote,17391,17406
quote.suspension.short,17391,17406
quote.quote,17407,17501
chapter.paragraph,17503,17749,31
chapter.sentence,17503,17590,72
quote.quote,17503,17530
quote.nonquote,17531,17548
quote.suspension.short,17531,17548
quote.quote,17549,17749
chapter.sentence,17591,17749,73
chapter.paragraph,17751,17895,32
chapter.sentence,17751,17814,74
quote.quote,17751,17814
chapter.sentence,17815,17895,75
quote.nonquote,17815,17830
quote.suspension.short,17815,17830
quote.quote,17831,17895
chapter.paragraph,17897,18000,33
chapter.sentence,17897,18000,76
quote.quote,17897,17912
quote.nonquote,17913,17926
quote.suspension.short,17913,17926
quote.quote,17927,18000
chapter.paragraph,18002,18141,34
chapter.sentence,18002,18072,77
quote.quote,18002,18072
chapter.sentence,18073,18141,78
quote.nonquote,18073,18098
quote.suspension.short,18073,18098
quote.quote,18099,18141
chapter.paragraph,18143,18588,35
chapter.sentence,18143,18366,79
quote.nonquote,18143,18186
quote.quote,18187,18588
chapter.sentence,18367,18588,80
chapter.paragraph,18590,18793,36
chapter.sentence,18590,18637,81
quote.quote,18590,18609
quote.nonquote,18610,18626
quote.suspension.short,18610,18626
quote.quote,18627,18793
chapter.sentence,18638,18793,82
chapter.paragraph,18795,19266,37
chapter.sentence,18795,19123,83
quote.quote,18795,19018
quote.nonquote,19019,19056
quote.suspension.long,19019,19056
quote.quote,19057,19266
chapter.sentence,19124,19266,84
chapter.paragraph,19268,19403,38
chapter.sentence,19268,19273,85
quote.nonquote,19268,19306
chapter.sentence,19274,19403,86
quote.quote,19307,19403
chapter.paragraph,19405,19538,39
chapter.sentence,19405,19538,87
quote.nonquote,19405,19434
quote.quote,19435,19538
chapter.paragraph,19540,19876,40
chapter.sentence,19540,19549,88
quote.quote,19540,19568
chapter.sentence,19550,19815,89
quote.nonquote,19569,19592
quote.suspension.short,19569,19592
