metadata.title,0,22
metadata.author,23,35
chapter.title,37,48,1
chapter.text,50,1795,1
chapter.paragraph,50,469,1
chapter.sentence,50,108,1
quote.nonquote,50,492
chapter.sentence,109,227,2
chapter.sentence,228,441,3
chapter.sentence,442,469,4
chapter.paragraph,471,1043,2
chapter.sentence,471,566,5
quote.quote,493,518
quote.nonquote,519,1066
chapter.sentence,567,647,6
chapter.sentence,648,816,7
chapter.sentence,817,1043,8
chapter.paragraph,1045,1493,3
chapter.sentence,1045,1214,9
quote.quote,1067,1083
quote.nonquote,1084,1773
chapter.sentence,1215,1428,10
chapter.sentence,1429,1493,11
chapter.paragraph,1495,1591,4
chapter.sentence,1495,1591,12
chapter.paragraph,1593,1704,5
chapter.sentence,1593,1704,13
chapter.paragraph,1706,1795,6
chapter.sentence,1706,1795,14
quote.quote,1774,1795
chapter.title,1797,1825,2
chapter.text,1827,562604,2
chapter.paragraph,1827,2082,1
chapter.sentence,1827,1872,1
quote.nonquote,1827,9146
chapter.sentence,1873,1880,2
chapter.sentence,1881,1941,3
chapter.sentence,1942,2016,4
chapter.sentence,2017,2030,5
chapter.sentence,2031,2064,6
chapter.sentence,2065,2082,7
chapter.paragraph,2084,2714,2
chapter.sentence,2084,2304,8
chapter.sentence,2305,2490,9
chapter.sentence,2491,2528,10
chapter.sentence,2529,2566,11
chapter.sentence,2567,2585,12
chapter.sentence,2586,2714,13
chapter.paragraph,2716,3069,3
chapter.sentence,2716,2774,14
chapter.sentence,2775,2903,15
chapter.sentence,2904,3069,16
chapter.paragraph,3071,3278,4
chapter.sentence,3071,3137,17
chapter.sentence,3138,3208,18
chapter.sentence,3209,3278,19
chapter.paragraph,3280,3441,5
chapter.sentence,3280,3343,20
chapter.sentence,3344,3441,21
chapter.paragraph,3443,3574,6
chapter.sentence,3443,3574,22
chapter.paragraph,3576,3823,7
chapter.sentence,3576,3681,23
chapter.sentence,3682,3823,24
chapter.paragraph,3825,3958,8
chapter.sentence,3825,3958,25
chapter.paragraph,3960,4027,9
chapter.sentence,3960,3994,26
chapter.sentence,3995,4027,27
chapter.paragraph,4029,4526,10
chapter.sentence,4029,4104,28
chapter.sentence,4105,4260,29
chapter.sentence,4261,4375,30
chapter.sentence,4376,4526,31
chapter.paragraph,4528,4978,11
chapter.sentence,4528,4640,32
chapter.sentence,4641,4978,33
chapter.paragraph,4980,5108,12
chapter.sentence,4980,5108,34
chapter.paragraph,5110,5573,13
chapter.sentence,5110,5147,35
chapter.sentence,5148,5396,36
chapter.sentence,5397,5415,37
chapter.sentence,5416,5459,38
chapter.sentence,5460,5573,39
chapter.paragraph,5575,6129,14
chapter.sentence,5575,5654,40
chapter.sentence,5655,5789,41
chapter.sentence,5790,6008,42
chapter.sentence,6009,6129,43
chapter.paragraph,6131,6317,15
chapter.sentence,6131,6140,44
chapter.sentence,6141,6150,45
chapter.sentence,6151,6162,46
chapter.sentence,6163,6232,47
chapter.sentence,6233,6251,48
chapter.sentence,6252,6317,49
chapter.paragraph,6319,6548,16
chapter.sentence,6319,6342,50
chapter.sentence,6343,6364,51
chapter.sentence,6365,6398,52
chapter.sentence,6399,6429,53
chapter.sentence,6430,6548,54
chapter.paragraph,6550,6744,17
chapter.sentence,6550,6617,55
chapter.sentence,6618,6671,56
chapter.sentence,6672,6744,57
chapter.paragraph,6746,6988,18
chapter.sentence,6746,6870,58
chapter.sentence,6871,6949,59
chapter.sentence,6950,6988,60
chapter.paragraph,6990,7365,19
chapter.sentence,6990,7084,61
chapter.sentence,7085,7166,62
chapter.sentence,7167,7293,63
chapter.sentence,7294,7365,64
chapter.paragraph,7367,7598,20
chapter.sentence,7367,7566,65
chapter.sentence,7567,7598,66
chapter.paragraph,7600,7957,21
chapter.sentence,7600,7687,67
chapter.sentence,7688,7809,68
chapter.sentence,7810,7834,69
chapter.sentence,7835,7957,70
chapter.paragraph,7959,8126,22
chapter.sentence,7959,8073,71
chapter.sentence,8074,8126,72
chapter.paragraph,8128,8365,23
chapter.sentence,8128,8211,73
chapter.sentence,8212,8365,74
chapter.paragraph,8367,8548,24
chapter.sentence,8367,8548,75
chapter.paragraph,8550,9080,25
chapter.sentence,8550,8656,76
chapter.sentence,8657,8720,77
chapter.sentence,8721,8957,78
chapter.sentence,8958,9080,79
chapter.paragraph,9082,9261,26
chapter.sentence,9082,9146,80
chapter.sentence,9147,9261,81
quote.quote,9147,9215
quote.nonquote,9216,11962
chapter.paragraph,9263,10017,27
chapter.sentence,9263,9536,82
chapter.sentence,9537,9612,83
