metadata.title,0,15
metadata.author,16,30
chapter.title,32,50,1
chapter.text,52,17487,1
chapter.paragraph,52,425,1
chapter.sentence,52,365,1
quote.nonquote,52,2483
chapter.sentence,366,425,2
chapter.paragraph,427,2127,2
chapter.sentence,427,786,3
chapter.sentence,787,982,4
chapter.sentence,983,1378,5
chapter.sentence,1379,1845,6
chapter.sentence,1846,2127,7
chapter.paragraph,2129,2658,3
chapter.sentence,2129,2518,8
quote.quote,2484,2658
chapter.sentence,2519,2658,9
chapter.paragraph,2660,2748,4
chapter.sentence,2660,2677,10
quote.quote,2660,2703
chapter.sentence,2678,2703,11
chapter.sentence,2704,2748,12
quote.nonquote,2704,2748
chapter.paragraph,2750,3160,5
chapter.sentence,2750,2889,13
quote.quote,2750,2777
quote.nonquote,2777,2834
quote.suspension.long,2777,2834
quote.quote,2835,3160
chapter.sentence,2890,3160,14
chapter.paragraph,3162,4034,6
chapter.sentence,3162,3186,15
quote.nonquote,3162,4365
chapter.sentence,3187,3426,16
chapter.sentence,3427,3500,17
chapter.sentence,3501,3577,18
chapter.sentence,3578,3761,19
chapter.sentence,3763,4034,20
chapter.paragraph,4036,4365,7
chapter.sentence,4036,4365,21
chapter.paragraph,4367,4381,8
chapter.sentence,4367,4381,22
quote.quote,4367,4381
chapter.paragraph,4383,4429,9
chapter.sentence,4383,4429,23
quote.nonquote,4383,4429
chapter.paragraph,4431,4540,10
chapter.sentence,4431,4540,24
quote.quote,4431,4540
chapter.paragraph,4542,4768,11
chapter.sentence,4542,4710,25
quote.nonquote,4542,4768
chapter.sentence,4711,4768,26
chapter.paragraph,4770,4957,12
chapter.sentence,4770,4882,27
quote.quote,4770,4957
chapter.sentence,4883,4957,28
chapter.paragraph,4959,5154,13
chapter.sentence,4959,5154,29
quote.nonquote,4959,5154
chapter.paragraph,5156,5758,14
chapter.sentence,5156,5184,30
quote.quote,5156,5164
quote.nonquote,5164,5184
chapter.sentence,5185,5209,31
quote.quote,5185,5758
chapter.sentence,5210,5269,32
chapter.sentence,5270,5588,33
chapter.sentence,5589,5630,34
chapter.sentence,5631,5697,35
chapter.sentence,5698,5758,36
chapter.paragraph,5760,6588,15
chapter.sentence,5760,6066,37
quote.nonquote,5760,17487
chapter.sentence,6067,6411,38
chapter.sentence,6412,6588,39
chapter.paragraph,6590,7301,16
chapter.sentence,6590,7040,40
chapter.sentence,7041,7301,41
chapter.paragraph,7303,8428,17
chapter.sentence,7303,7766,42
chapter.sentence,7767,8094,43
chapter.sentence,8095,8428,44
chapter.paragraph,8430,9560,18
chapter.sentence,8430,8658,45
chapter.sentence,8659,8982,46
chapter.sentence,8983,9272,47
chapter.sentence,9273,9560,48
chapter.paragraph,9562,11090,19
chapter.sentence,9562,9884,49
chapter.sentence,9885,10105,50
