metadata.title,0,14
metadata.author,15,27
chapter.title,29,44,1
chapter.title,46,64,2
chapter.title,66,109,3
chapter.text,111,514629,3
chapter.paragraph,111,256,1
chapter.sentence,111,256,1
quote.nonquote,111,5827
chapter.paragraph,258,508,2
chapter.sentence,258,313,2
chapter.sentence,314,364,3
chapter.sentence,365,508,4
chapter.paragraph,510,750,3
chapter.sentence,510,611,5
chapter.sentence,612,674,6
chapter.sentence,675,750,7
chapter.paragraph,752,1056,4
chapter.sentence,752,917,8
chapter.sentence,918,1056,9
chapter.paragraph,1058,1405,5
chapter.sentence,1058,1172,10
chapter.sentence,1173,1339,11
chapter.sentence,1340,1405,12
chapter.paragraph,1407,1662,6
chapter.sentence,1407,1454,13
chapter.sentence,1455,1546,14
chapter.sentence,1547,1569,15
chapter.sentence,1570,1592,16
chapter.sentence,1593,1662,17
chapter.paragraph,1664,1830,7
chapter.sentence,1664,1704,18
chapter.sentence,1705,1830,19
chapter.paragraph,1832,2053,8
chapter.sentence,1832,1973,20
chapter.sentence,1974,2053,21
chapter.paragraph,2055,2161,9
chapter.sentence,2055,2161,22
chapter.paragraph,2163,2382,10
chapter.sentence,2163,2247,23
chapter.sentence,2248,2382,24
chapter.paragraph,2384,2702,11
chapter.sentence,2384,2451,25
chapter.sentence,2452,2521,26
chapter.sentence,2522,2702,27
chapter.paragraph,2704,3306,12
chapter.sentence,2704,2895,28
chapter.sentence,2896,3004,29
chapter.sentence,3005,3159,30
chapter.sentence,3160,3232,31
chapter.sentence,3233,3306,32
chapter.paragraph,3308,3561,13
chapter.sentence,3308,3524,33
chapter.sentence,3525,3561,34
chapter.paragraph,3563,3665,14
chapter.sentence,3563,3665,35
chapter.paragraph,3667,4486,15
chapter.sentence,3667,3746,36
chapter.sentence,3747,3898,37
chapter.sentence,3899,3976,38
chapter.sentence,3977,4067,39
chapter.sentence,4068,4296,40
chapter.sentence,4297,4486,41
chapter.paragraph,4488,4705,16
chapter.sentence,4488,4530,42
chapter.sentence,4531,4705,43
chapter.paragraph,4707,5060,17
chapter.sentence,4707,4812,44
chapter.sentence,4813,4889,45
chapter.sentence,4890,4990,46
chapter.sentence,4991,5060,47
chapter.paragraph,5062,5163,18
chapter.sentence,5062,5163,48
chapter.paragraph,5165,5361,19
chapter.sentence,5165,5256,49
chapter.sentence,5257,5282,50
chapter.sentence,5283,5361,51
chapter.paragraph,5363,5703,20
chapter.sentence,5363,5456,52
chapter.sentence,5457,5703,53
chapter.paragraph,5705,6261,21
chapter.sentence,5705,5779,54
chapter.sentence,5780,5899,55
