metadata.title,0,20
metadata.author,21,34
chapter.title,36,51,1
chapter.title,53,68,2
chapter.title,70,88,3
chapter.text,90,22009,3
chapter.paragraph,90,777,1
chapter.sentence,90,415,1
quote.nonquote,90,6089
chapter.sentence,416,777,2
chapter.paragraph,779,1685,2
chapter.sentence,779,939,3
chapter.sentence,940,1263,4
chapter.sentence,1264,1504,5
chapter.sentence,1505,1685,6
chapter.paragraph,1687,2115,3
chapter.sentence,1687,2115,7
chapter.paragraph,2117,2560,4
chapter.sentence,2117,2302,8
chapter.sentence,2303,2560,9
chapter.paragraph,2562,2832,5
chapter.sentence,2562,2832,10
chapter.paragraph,2834,3641,6
chapter.sentence,2834,2898,11
chapter.sentence,2899,3047,12
chapter.sentence,3048,3320,13
chapter.sentence,3321,3505,14
chapter.sentence,3506,3641,15
chapter.paragraph,3643,4728,7
chapter.sentence,3643,3804,16
chapter.sentence,3805,4136,17
chapter.sentence,4137,4263,18
chapter.sentence,4264,4450,19
chapter.sentence,4451,4728,20
chapter.paragraph,4730,5341,8
chapter.sentence,4730,4900,21
chapter.sentence,4901,5067,22
chapter.sentence,5068,5341,23
chapter.paragraph,5343,5909,9
chapter.sentence,5343,5621,24
chapter.sentence,5622,5909,25
chapter.paragraph,5911,6105,10
chapter.sentence,5911,6105,26
quote.quote,6090,6105
chapter.paragraph,6107,6239,11
chapter.sentence,6107,6239,27
quote.quote,6107,6135
quote.nonquote,6135,6170
quote.suspension.short,6135,6170
quote.quote,6171,6239
chapter.paragraph,6241,6456,12
chapter.sentence,6241,6351,28
quote.quote,6241,6267
quote.nonquote,6267,6290
quote.suspension.short,6267,6290
quote.quote,6291,6456
chapter.sentence,6352,6456,29
chapter.paragraph,6458,6854,13
chapter.sentence,6458,6462,30
quote.quote,6458,6476
chapter.sentence,6463,6583,31
quote.nonquote,6476,6493
quote.suspension.short,6476,6493
quote.quote,6494,6854
chapter.sentence,6584,6854,32
chapter.paragraph,6856,7212,14
chapter.sentence,6856,7212,33
quote.quote,6856,6867
quote.nonquote,6867,6974
quote.suspension.long,6867,6974
quote.quote,6975,7212
chapter.paragraph,7214,7401,15
chapter.sentence,7214,7401,34
quote.quote,7214,7227
quote.nonquote,7227,7244
quote.suspension.short,7227,7244
quote.quote,7245,7401
chapter.paragraph,7403,7544,16
chapter.sentence,7403,7544,35
quote.nonquote,7403,7757
chapter.paragraph,7546,7660,17
chapter.sentence,7546,7660,36
chapter.paragraph,7662,7799,18
chapter.sentence,7662,7757,37
chapter.sentence,7758,7785,38
quote.quote,7758,7785
chapter.sentence,7786,7799,39
quote.nonquote,7786,7799
chapter.paragraph,7801,8262,19
chapter.sentence,7801,7911,40
quote.quote,7801,7843
quote.nonquote,7843,7868
quote.suspension.short,7843,7868
quote.quote,7869,8262
chapter.sentence,7912,8108,41
chapter.sentence,8109,8262,42
chapter.paragraph,8264,8336,20
chapter.sentence,8264,8336,43
quote.quote,8264,8305
quote.nonquote,8305,8336
chapter.paragraph,8338,8467,21
chapter.sentence,8338,8467,44
quote.quote,8338,8391
quote.nonquote,8391,8408
quote.suspension.short,8391,8408
quote.quote,8409,8467
chapter.paragraph,8469,8683,22
chapter.sentence,8469,8543,45
quote.quote,8469,8480
quote.nonquote,8480,8508
quote.suspension.long,8480,8508
quote.quote,8509,8683
chapter.sentence,8544,8683,46
chapter.paragraph,8685,8725,23
chapter.sentence,8685,8725,47
quote.quote,8685,8700
quote.nonquote,8700,8899
chapter.paragraph,8727,8910,24
chapter.sentence,8727,8910,48
quote.quote,8900,8910
chapter.paragraph,8912,9399,25
chapter.sentence,8912,9062,49
quote.nonquote,8912,9005
quote.quote,9006,9399
chapter.sentence,9063,9283,50
chapter.sentence,9284,9399,51
chapter.paragraph,9401,9600,26
chapter.sentence,9401,9492,52
quote.quote,9401,9423
quote.nonquote,9423,9680
chapter.sentence,9493,9600,53
chapter.paragraph,9602,9757,27
chapter.sentence,9602,9757,54
quote.quote,9681,9757
chapter.paragraph,9759,9917,28
chapter.sentence,9759,9917,55
quote.quote,9759,9793
quote.nonquote,9793,9818
quote.suspension.short,9793,9818
quote.quote,9819,9915
quote.nonquote,9916,9917
chapter.paragraph,9919,10227,29
chapter.sentence,9919,9937,56
quote.quote,9919,9937
chapter.sentence,9938,10227,57
quote.nonquote,9938,9986
quote.suspension.long,9938,9986
quote.quote,9987,10227
chapter.paragraph,10229,10521,30
chapter.sentence,10229,10418,58
quote.quote,10229,10252
